日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2020-07-30,15.5,17.5,15.1,16.46,64611284,4.96,43.13
2020-07-31,16.67,17.17,15.99,16.0,19371127,-0.46,-2.79
2020-08-03,16.26,17.0,15.77,16.36,11739959,0.36,2.25
2020-08-04,16.55,16.84,15.95,16.69,7781785,0.33,2.02
2020-08-05,16.649,17.0,16.4,16.75,3798260,0.06,0.36
2020-08-06,16.8,19.9,16.63,18.5,14099062,1.75,10.45
2020-08-07,17.75,19.33,16.6,16.89,7459711,-1.61,-8.7
2020-08-10,17.6,17.76,16.12,16.42,7914378,-0.47,-2.78
2020-08-11,16.93,17.03,15.83,16.0,7337667,-0.42,-2.56
2020-08-12,16.36,16.36,15.135,15.66,5598262,-0.34,-2.13
2020-08-13,15.7,15.7,15.0,15.16,5384590,-0.5,-3.19
2020-08-14,15.35,15.36,14.31,14.6,5061011,-0.56,-3.69
2020-08-17,14.76,15.6,14.6,15.42,5296493,0.82,5.62
2020-08-18,15.3635,16.75,15.36,15.96,7139545,0.54,3.5
2020-08-19,15.98,16.07,15.01,15.04,3287958,-0.92,-5.76
2020-08-20,15.06,15.3,14.61,14.75,3130871,-0.29,-1.93
2020-08-21,14.94,15.5,14.76,15.02,4223631,0.27,1.83
2020-08-24,16.3,17.2,15.88,17.09,18373318,2.07,13.78
2020-08-25,17.7965,18.84,17.68,18.23,22093860,1.14,6.67
2020-08-26,18.99,24.48,18.99,23.38,30653683,5.15,28.25
2020-08-27,22.26,22.31,19.3,19.38,29089477,-4.0,-17.11
2020-08-28,20.21,20.5,17.6,17.6,14516821,-1.78,-9.18
2020-08-31,17.7588,18.84,16.2003,16.3,18073042,-1.3,-7.39
2020-09-01,17.08,18.46,16.7,18.29,18041243,1.99,12.21
2020-09-02,19.38,19.68,17.2,17.87,18415021,-0.42,-2.3
2020-09-03,17.1735,17.6,16.26,16.91,10004666,-0.96,-5.37
2020-09-04,17.08,17.9,16.04,16.83,11595033,-0.08,-0.47
2020-09-08,16.0,16.35,15.24,15.79,11067557,-1.04,-6.18
2020-09-09,16.41,16.95,15.79,15.8,8999710,0.01,0.06
2020-09-10,16.17,16.73,15.86,16.05,5865610,0.25,1.58
2020-09-11,16.19,16.7,16.05,16.21,3914977,0.16,1.0
2020-09-14,16.6,17.7095,16.3108,17.47,6429228,1.26,7.77
2020-09-15,17.66,18.75,17.65,18.19,9376664,0.72,4.12
2020-09-16,18.2,18.43,17.421,17.52,5740403,-0.67,-3.68
2020-09-17,16.74,17.65,16.7,17.26,3141267,-0.26,-1.48
2020-09-18,17.57,17.68,16.57,17.03,3817518,-0.23,-1.33
2020-09-21,16.5,16.87,16.0,16.43,4288708,-0.6,-3.52
2020-09-22,16.56,17.18,16.42,16.74,3043372,0.31,1.89
2020-09-23,16.75,16.75,15.61,15.68,6601983,-1.06,-6.33
2020-09-24,15.5,15.97,15.02,15.09,6846843,-0.59,-3.76
2020-09-25,15.35,16.07,15.23,15.8,3636752,0.71,4.71
2020-09-28,16.19,16.21,15.74,16.08,4720498,0.28,1.77
2020-09-29,16.08,17.16,16.0,17.03,6007163,0.95,5.91
2020-09-30,17.62,18.24,17.09,17.39,7620331,0.36,2.11
2020-10-01,17.76,17.78,16.55,16.8,5425567,-0.59,-3.39
2020-10-02,16.25,18.0,16.2,16.92,8353621,0.12,0.71
2020-10-05,17.42,18.13,17.15,17.52,8143927,0.6,3.55
2020-10-06,17.72,18.23,17.25,17.35,5232460,-0.17,-0.97
2020-10-07,17.6,18.08,17.41,17.77,3100653,0.42,2.42
2020-10-08,17.98,18.28,17.72,17.93,3228531,0.16,0.9
2020-10-09,18.03,18.36,17.5,17.6,3833050,-0.33,-1.84
2020-10-12,18.06,19.34,17.61,19.16,13995316,1.56,8.86
2020-10-13,18.81,19.73,18.53,19.43,7894145,0.27,1.41
2020-10-14,20.1665,21.86,20.06,20.78,16805280,1.35,6.95
2020-10-15,20.35,21.47,19.7801,20.5,11747610,-0.28,-1.35
2020-10-16,20.85,21.12,19.61,19.77,7275737,-0.73,-3.56
2020-10-19,20.34,20.37,18.91,19.18,6444710,-0.59,-2.98
2020-10-20,19.21,20.78,19.0,20.49,7623901,1.31,6.83
2020-10-21,20.3,21.1,19.36,19.39,8402525,-1.1,-5.37
2020-10-22,20.0,20.1,18.72,18.98,6343354,-0.41,-2.11
2020-10-23,18.9,18.99,18.31,18.4,3624299,-0.58,-3.06
2020-10-26,18.3,19.26,18.3,19.08,5641336,0.68,3.7
2020-10-27,18.96,19.61,18.62,19.21,4301795,0.13,0.68
2020-10-28,18.68,19.1,17.92,18.69,6231178,-0.52,-2.71
2020-10-29,19.31,21.4,19.175,20.62,14660566,1.93,10.33
2020-10-30,20.49,21.72,20.07,20.17,11956841,-0.45,-2.18
2020-11-02,21.76,23.3,21.36,22.88,24942068,2.71,13.44
2020-11-03,23.4,24.17,22.05,24.05,15342787,1.17,5.11
2020-11-04,25.69,27.67,24.06,25.31,28970571,1.26,5.24
2020-11-05,26.96,28.49,26.0,28.09,32302825,2.78,10.98
2020-11-06,27.59,28.32,25.2975,26.46,32691693,-1.63,-5.8
2020-11-09,26.37,26.52,25.29,26.3,14752053,-0.16,-0.6
2020-11-10,25.8,26.48,23.18,25.24,16747247,-1.06,-4.03
2020-11-11,24.07,25.27,23.06,24.97,11897485,-0.27,-1.07
2020-11-12,27.055,32.78,26.4,31.78,86207892,6.81,27.27
2020-11-13,38.76,40.8055,30.11,31.2,170277645,-0.58,-1.83
2020-11-16,31.33,36.97,30.97,35.55,85858046,4.35,13.94
2020-11-17,37.78,38.0,34.45,35.05,45851930,-0.5,-1.41
2020-11-18,35.07,36.65,33.5,35.49,28208904,0.44,1.26
2020-11-19,35.6,37.3,34.81,36.74,27079782,1.25,3.52
