日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2015-05-07,185.5742,210.2241,180.6723,209.3838,3303252,13.3132,6.79
2015-05-08,210.3641,272.8291,210.3641,269.888,655332,60.5102,28.9
2015-05-11,283.0532,303.9216,274.5098,290.6162,548709,20.7275,7.68
2015-05-12,303.6415,306.5826,269.4678,302.1008,271583,11.4795,3.95
2015-05-13,302.1008,308.1232,254.902,274.3697,373126,-27.733,-9.18
2015-05-14,268.7675,298.8796,257.0028,288.2353,100393,13.8561,5.05
2015-05-15,295.098,300.9804,264.4818,281.9328,144250,-6.3126,-2.19
2015-05-18,276.0504,283.3333,264.7059,278.7115,93029,-3.214,-1.14
2015-05-19,285.5742,285.5742,273.5994,281.5126,39128,2.8148,1.01
2015-05-20,280.6723,324.3697,267.2269,320.4482,152970,38.9335,13.83
2015-05-21,324.93,389.6359,320.7283,336.1345,184795,15.7012,4.9
2015-05-22,332.7731,363.7255,322.1289,346.0784,75480,9.9494,2.96
2015-05-26,352.9412,371.1485,336.5546,354.902,231074,8.825,2.55
2015-05-27,361.7647,376.0504,329.6919,345.7983,160863,-9.1214,-2.57
2015-05-28,339.2157,352.1008,334.8739,335.8543,113589,-9.9594,-2.88
2015-05-29,330.3922,336.1345,309.944,320.5882,165303,-15.2821,-4.55
2015-06-01,338.5154,339.916,317.7871,328.8515,110838,8.271,2.58
2015-06-02,330.6723,368.9076,320.3501,353.5014,167303,24.6629,7.5
2015-06-03,350.0,395.3782,341.1765,390.4762,380602,36.9761,10.46
2015-06-04,396.2185,396.2185,372.549,382.7731,63030,-7.6922,-1.97
2015-06-05,375.9104,386.7927,350.9804,362.3249,71478,-20.4396,-5.34
2015-06-08,360.2241,377.9972,346.6387,349.1597,92669,-13.1519,-3.63
2015-06-09,349.5798,349.5798,305.3221,310.084,155892,-39.0704,-11.19
2015-06-10,316.2465,329.7199,284.1737,315.6863,85818,5.6123,1.81
2015-06-11,316.1064,327.1709,290.6583,303.3613,92637,-12.3112,-3.9
2015-06-12,302.9412,321.1485,296.0084,311.3445,91068,7.9785,2.63
2015-06-15,308.1232,325.7703,305.8824,317.2269,134704,5.8844,1.89
2015-06-16,313.0252,321.9748,304.6218,307.423,108227,-9.8023,-3.09
2015-06-17,306.0224,321.7647,302.8011,314.0056,64302,6.5789,2.14
2015-06-18,311.9048,324.3697,303.4034,309.3838,78702,-4.6158,-1.47
2015-06-19,310.9244,324.7899,302.6611,305.6022,261475,-3.7744,-1.22
2015-06-22,302.521,320.8683,302.521,320.028,91299,14.4245,4.72
2015-06-23,320.028,321.5686,302.521,307.2829,91549,-12.7368,-3.98
2015-06-24,304.2017,314.1457,304.2017,307.1429,128318,-0.1536,-0.05
2015-06-25,305.7423,313.3053,271.2325,274.5098,263542,-32.6169,-10.62
2015-06-26,272.549,281.9328,262.605,275.3501,892447,0.8509,0.31
2015-06-29,276.1905,276.1905,259.2437,264.0056,56971,-11.3444,-4.12
2015-06-30,263.4454,268.6275,254.8319,259.3838,43315,-4.6201,-1.75
2015-07-01,258.6835,263.1653,232.493,238.0952,99092,-21.296,-8.21
2015-07-02,238.0952,238.0952,226.3305,230.9524,68200,-7.1429,-3.0
2015-07-06,231.0924,238.3754,221.0084,227.451,61087,-3.5106,-1.52
2015-07-07,226.4706,233.0532,215.6863,226.3305,75671,-1.1145,-0.49
