日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2020-11-25,4.0,4.125,3.7,3.85,87084,-2.02,-34.41
2020-11-27,3.85,3.85,3.569,3.6,121369,-0.14,-3.74
2020-11-30,3.74,3.8,3.74,3.775,29229,0.125,3.42
2020-12-01,3.8,3.8,3.7,3.715,17645,-0.075,-1.9789
2020-12-02,3.78,3.78,3.65,3.65,12948,-0.07,-1.8817
2020-12-03,3.71,3.8,3.7,3.775,43440,0.175,4.8611
2020-12-04,3.78,3.7936,3.67,3.71,23346,-0.065,-1.7219
2020-12-07,3.8,3.8,3.66,3.74,19364,0.06,1.63
2020-12-08,3.8,3.84,3.71,3.73,43652,0.08,2.19
2020-12-09,3.75,4.2296,3.65,3.65,514874,-0.08,-2.14
2020-12-10,3.79,3.86,3.67,3.71,34326,0.06,1.6438
2020-12-11,3.85,3.85,3.5,3.51,33570,-0.08,-2.2284
2020-12-14,3.33,3.4847,3.27,3.48,26488,0.14,4.1916
2020-12-15,3.52,3.6,3.25,3.44,46961,0.01,0.2915
2020-12-16,3.54,3.54,3.25,3.3,22394,0.0,0.0
2020-12-17,3.3163,4.79,3.29,4.15,1971567,0.875,26.72
2020-12-18,4.1,5.07,3.9,4.35,2335827,0.2,4.82
2020-12-21,4.43,4.5,3.6,3.82,558658,-0.53,-12.18
2020-12-22,3.75,3.7999,3.36,3.44,281498,-0.38,-9.95
2020-12-23,3.4,3.6107,3.37,3.43,123972,-0.01,-0.29
2020-12-24,3.4,3.6,3.38,3.525,44876,0.095,2.7697
2020-12-28,3.45,3.5,3.25,3.47,103757,-0.055,-1.56
2020-12-29,3.42,3.42,3.0,3.14,131335,-0.33,-9.51
2020-12-30,3.09,3.11,3.05,3.09,57984,-0.05,-1.59
2020-12-31,3.1099,3.44,3.1099,3.1701,54378,0.08,2.59
2021-01-04,3.25,3.34,3.2,3.21,24795,0.04,1.26
2021-01-05,3.1736,3.4501,3.17,3.2,49622,-0.01,-0.3115
2021-01-06,3.312,3.4,3.12,3.205,35790,0.005,0.16
2021-01-07,3.275,3.39,3.2501,3.31,15422,0.105,3.28
2021-01-08,3.3,3.36,3.23,3.3,34572,-0.01,-0.3021
2021-01-11,3.3,3.36,3.25,3.34,16140,0.04,1.21
2021-01-12,3.35,3.35,3.26,3.3,13183,-0.04,-1.2
2021-01-13,3.3,3.345,3.225,3.25,35455,-0.05,-1.52
2021-01-14,3.37,3.4,3.15,3.26,59989,0.01,0.3077
2021-01-15,3.4277,3.4277,3.14,3.14,26527,-0.12,-3.68
2021-01-19,3.17,4.24,3.17,3.6,494806,0.46,14.65
2021-01-20,3.45,3.6,3.4,3.4462,36870,-0.1538,-4.2722
2021-01-21,3.36,3.5005,3.25,3.49,38761,0.0438,1.271
2021-01-22,3.49,3.49,3.32,3.32,22722,-0.17,-4.8711
2021-01-25,3.44,3.44,3.22,3.33,31511,0.01,0.3
2021-01-26,3.45,3.45,3.26,3.27,39002,-0.06,-1.8
2021-01-27,3.25,3.2654,3.1,3.23,43795,-0.04,-1.22
2021-01-28,3.17,3.22,3.08,3.145,21701,-0.085,-2.63
2021-01-29,3.1301,3.29,3.05,3.05,39834,-0.095,-3.02
2021-02-01,3.03,3.23,3.0,3.19,23773,0.14,4.59
2021-02-02,3.19,3.19,3.06,3.15,24001,-0.04,-1.25
2021-02-03,3.12,3.35,3.12,3.23,26570,0.08,2.5397
2021-02-04,3.32,3.44,3.2504,3.37,35399,0.14,4.33
2021-02-05,3.48,3.65,3.38,3.38,44661,0.01,0.2967
2021-02-08,3.61,3.8,3.51,3.7,69949,0.32,9.47
2021-02-09,3.79,3.8097,3.51,3.5201,23470,-0.18,-4.86
2021-02-10,3.6,3.65,3.39,3.53,33857,0.01,0.28
2021-02-11,3.6,3.65,3.414,3.65,10634,0.12,3.4
2021-02-12,3.65,3.78,3.5501,3.67,23586,0.02,0.55
2021-02-16,3.66,3.75,3.5,3.75,40089,0.08,2.18
2021-02-17,3.85,3.89,3.6,3.63,48049,-0.12,-3.2
2021-02-18,3.61,3.7055,3.58,3.58,12001,-0.05,-1.38
2021-02-19,3.66,3.98,3.55,3.62,23190,0.04,1.1173
2021-02-22,3.76,3.8309,3.61,3.7,18839,0.08,2.21
2021-02-23,3.61,3.61,3.37,3.47,26367,-0.23,-6.22
2021-02-24,3.63,3.95,3.56,3.78,79478,0.31,8.93
2021-02-25,3.95,3.95,3.67,3.77,97168,-0.01,-0.26
2021-02-26,6.6,7.19,5.1,5.58,55021098,1.81,48.01
2021-03-01,4.62,4.75,4.405,4.48,1672542,-1.1,-19.71
2021-03-02,4.35,4.5,4.06,4.09,400576,-0.39,-8.71
2021-03-03,4.0,4.07,3.55,3.64,353399,-0.45,-11.0
2021-03-04,3.7,3.9,3.3538,3.6,175544,-0.04,-1.1
2021-03-05,3.64,3.71,3.35,3.71,178710,0.11,3.06
2021-03-08,3.76,3.89,3.68,3.88,141759,0.17,4.58
2021-03-09,3.91,3.9499,3.64,3.76,135934,-0.12,-3.09
2021-03-10,3.78,3.78,3.5,3.64,104108,-0.12,-3.19
2021-03-11,3.61,3.9,3.6,3.83,66555,0.19,5.22
2021-03-12,3.74,4.7899,3.67,4.37,1502301,0.54,14.1
2021-03-15,4.49,4.64,4.0001,4.11,1249213,-0.26,-5.95
2021-03-16,4.0,4.06,3.6,3.73,392767,-0.38,-9.25
2021-03-17,3.6,3.9,3.6,3.76,217236,0.03,0.8
2021-03-18,3.82,4.12,3.7074,3.95,969351,0.19,5.05
2021-03-19,3.88,4.02,3.76,3.76,207308,-0.19,-4.81
2021-03-22,3.79,3.91,3.7682,3.78,298401,0.02,0.53
2021-03-23,3.78,4.09,3.63,4.06,856026,0.28,7.41
2021-03-24,3.94,3.94,3.3,3.4,586901,-0.66,-16.26
2021-03-25,3.3,3.4599,3.15,3.35,147674,-0.05,-1.47
2021-03-26,3.34,3.49,3.23,3.35,91539,0.0,0.0
2021-03-29,3.3,3.3001,3.105,3.22,83697,-0.13,-3.88
2021-03-30,3.22,3.31,3.1101,3.22,52965,0.0,0.0
2021-03-31,3.29,3.3989,3.16,3.29,40047,0.07,2.17
2021-04-01,3.295,3.4,3.24,3.31,51874,0.02,0.61
2021-04-05,3.33,3.4,3.25,3.32,50491,0.01,0.3
