日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2020-01-17,11.03,15.25,11.01,11.63,3672391,0.63,5.73
2020-01-21,11.0,11.36,10.18,10.88,406745,-0.75,-6.45
2020-01-22,10.84,11.2,10.73,10.94,214698,0.06,0.55
2020-01-23,11.0,11.08,10.4,11.05,151945,0.11,1.01
2020-01-24,11.01,11.1,10.67,11.1,98649,0.05,0.45
2020-01-27,10.83,11.09,10.56,11.0,67527,-0.1,-0.9
2020-01-28,11.05,11.2,10.82,11.12,60284,0.12,1.09
2020-01-29,11.15,11.2,10.62,11.0,108917,-0.12,-1.08
2020-01-30,11.0,11.03,10.7501,11.0,47623,0.0,0.0
2020-01-31,11.0,11.18,10.805,11.08,63835,0.08,0.73
2020-02-03,11.0,11.02,10.64,11.0,102008,-0.08,-0.72
2020-02-04,11.06,11.0995,10.9,11.01,71685,0.01,0.09
2020-02-05,11.0,11.04,10.8384,11.0,47724,-0.01,-0.09
2020-02-06,10.85,10.91,10.5,10.52,65306,-0.48,-4.36
2020-02-07,10.86,11.9,10.64,11.1,256956,0.58,5.51
2020-02-10,11.05,11.29,10.73,11.0,125210,-0.1,-0.9
2020-02-11,11.2,11.4999,10.96,11.0,147466,0.0,0.0
2020-02-12,11.1,11.1002,10.8,10.91,58131,-0.09,-0.82
2020-02-13,10.75,10.8778,10.5,10.6,51836,-0.31,-2.84
2020-02-14,10.77,10.8647,10.16,10.23,72903,-0.37,-3.49
2020-02-18,10.19,10.6,10.0,10.11,129805,-0.12,-1.17
2020-02-19,10.12,10.25,9.6374,9.8,67490,-0.31,-3.07
2020-02-20,9.7,9.99,9.31,9.88,82612,0.08,0.82
2020-02-21,9.6911,9.8676,9.5,9.56,6653,-0.32,-3.24
2020-02-24,9.43,9.43,9.08,9.12,50339,-0.44,-4.6
2020-02-25,9.12,9.73,9.12,9.45,55942,0.33,3.62
2020-02-26,9.67,9.67,9.18,9.22,52017,-0.23,-2.43
2020-02-27,9.2,9.5,9.1,9.5,52683,0.28,3.04
2020-02-28,9.38,9.38,9.15,9.29,41361,-0.21,-2.21
2020-03-02,9.44,9.47,9.08,9.19,38762,-0.1,-1.08
2020-03-03,9.01,9.4,9.01,9.31,45227,0.12,1.31
2020-03-04,9.4,9.5,9.1,9.3,63279,-0.01,-0.11
2020-03-05,9.23,9.3,9.1,9.1,53624,-0.2,-2.15
2020-03-06,9.16,9.46,9.07,9.3,57002,0.2,2.2
