日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2011-11-01,13.7787,14.0132,10.1646,12.9099,96879,3.2663,33.87
2011-11-02,13.0315,14.7604,12.1628,14.2044,152084,1.2948,10.03
2011-11-03,14.1957,14.1957,12.684,13.3182,197539,-0.8864,-6.24
2011-11-04,12.9012,14.0741,12.684,13.5441,77091,0.2264,1.7
2011-11-07,13.4485,13.4485,12.684,13.3269,82484,-0.2167,-1.6
2011-11-08,12.3452,14.5084,12.3452,13.9264,92849,0.5997,4.5
2011-11-09,12.6145,13.5528,12.3365,13.1705,128711,-0.7562,-5.43
2011-11-10,13.3095,13.4746,13.0837,13.353,115904,0.1831,1.39
2011-11-11,13.3008,13.492,13.2748,13.4833,73302,0.1309,0.98
2011-11-14,13.3356,13.5007,13.1271,13.4051,89858,-0.0782,-0.58
2011-11-15,12.8925,13.5528,12.684,13.1445,76879,-0.26,-1.94
2011-11-16,12.9447,13.4833,12.9186,13.1618,48358,0.0171,0.13
2011-11-17,15.6291,15.6291,13.0055,13.0576,80249,-0.104,-0.79
2011-11-18,12.962,13.3182,12.8925,13.0402,170759,-0.017,-0.13
2011-11-21,12.7709,13.0315,12.7709,12.9273,36187,-0.1135,-0.87
2011-11-22,12.8578,12.8578,12.5016,12.6319,26752,-0.2947,-2.28
2011-11-23,12.5798,12.5798,11.7979,12.1541,50471,-0.4775,-3.78
2011-11-24,12.1541,12.1541,12.1541,12.1541,0,0.0,0.0
2011-11-25,12.128,12.2757,11.9108,12.0759,23644,-0.0778,-0.64
2011-11-28,12.4929,12.4929,11.7371,12.1888,56408,0.1135,0.94
2011-11-29,11.6936,12.2844,11.6067,12.1106,170468,-0.078,-0.64
2011-11-30,12.4581,13.1705,12.2062,12.7101,254478,0.5995,4.95
2011-12-01,12.6058,13.0055,12.0933,12.9186,55826,0.2084,1.64
2011-12-02,13.0228,13.0228,12.1628,12.5798,80086,-0.3385,-2.62
2011-12-05,12.7275,12.7275,10.9639,12.3973,128124,-0.1824,-1.45
2011-12-06,12.4495,12.5711,12.0585,12.1541,428732,-0.243,-1.96
2011-12-07,12.0064,12.2062,12.0064,12.2062,44341,0.0523,0.43
2011-12-08,11.7371,12.2062,11.5546,11.989,46161,-0.2173,-1.78
2011-12-09,11.989,12.9533,11.989,12.5885,63799,0.5995,5.0
2011-12-12,12.3713,13.4312,11.9456,13.3182,62800,0.7301,5.8
2011-12-13,13.4138,14.2912,12.9012,13.6223,59725,0.3037,2.28
2011-12-14,14.7093,14.7093,12.772,14.2096,95415,0.4646,3.38
2011-12-15,14.3148,14.4638,13.184,13.4382,95250,-0.7716,-5.43
2011-12-16,13.596,14.683,13.07,14.6654,510217,1.2269,9.13
2011-12-19,14.6567,14.6654,13.2629,13.5171,85125,-1.1483,-7.83
2011-12-20,13.6135,15.1037,13.6135,14.7794,59596,1.2625,9.34
2011-12-21,14.7093,14.7093,13.2015,14.4288,19477,-0.3503,-2.37
2011-12-22,14.5515,14.6567,14.2008,14.2096,29238,-0.2193,-1.52
2011-12-23,14.2096,14.2096,13.07,14.0431,41925,-0.1662,-1.17
2011-12-26,14.0431,14.0431,14.0431,14.0431,0,0.0,0.0
2011-12-27,13.9905,14.3674,13.7888,14.157,22045,0.1138,0.81
2011-12-28,14.0781,14.1482,12.9385,13.1402,29480,-1.0164,-7.18
2011-12-29,13.1665,13.6486,12.886,13.2629,48888,0.1222,0.93
2011-12-30,13.1928,13.482,13.1139,13.447,44537,0.1844,1.39
2012-01-02,13.447,13.447,13.447,13.447,0,0.0,0.0
2012-01-03,13.5872,14.9547,13.5872,14.8057,63921,1.3582,10.1
2012-01-04,14.7093,14.7093,14.0255,14.0431,23139,-0.7625,-5.15
2012-01-05,13.9817,13.9817,13.3768,13.5346,51688,-0.5084,-3.62
2012-01-06,13.4557,13.9729,13.4207,13.7976,25892,0.2626,1.94
2012-01-09,13.8151,15.5508,13.6398,15.5157,63740,1.7178,12.45
2012-01-10,15.5683,15.9365,15.1037,15.5946,48306,0.0791,0.51
2012-01-11,15.4807,15.5157,13.9379,14.2184,83476,-1.3771,-8.83
2012-01-12,14.1658,14.4551,13.8239,14.0343,87447,-0.1834,-1.29
2012-01-13,13.894,14.2184,13.6135,13.8151,47572,-0.2189,-1.56
2012-01-16,13.8151,13.8151,13.8151,13.8151,0,0.0,0.0
2012-01-17,13.8853,14.1482,13.4733,13.4733,52766,-0.3412,-2.47
2012-01-18,13.447,13.9466,13.447,13.8064,32128,0.3328,2.47
2012-01-19,13.8064,14.1833,13.6311,14.1395,33782,0.3327,2.41
2012-01-20,14.0781,15.1826,14.0781,15.0599,23198,0.9205,6.51
2012-01-23,14.9898,15.0336,14.2622,14.3411,47336,-0.7183,-4.77
2012-01-24,14.2534,14.2973,13.6924,13.9554,31773,-0.3858,-2.69
2012-01-25,13.9291,13.9466,13.4908,13.8151,40178,-0.141,-1.01
2012-01-26,13.8327,14.008,13.4996,13.7625,79202,-0.0525,-0.38
2012-01-27,13.6398,13.9203,13.4031,13.4382,59477,-0.3248,-2.36
2012-01-30,13.3418,13.3418,13.0876,13.1226,63747,-0.3158,-2.35
2012-01-31,13.2103,13.3418,12.8947,13.1752,63495,0.0525,0.4
2012-02-01,13.1928,13.7012,13.0262,13.6311,77655,0.4559,3.46
2012-02-02,13.5697,13.9905,13.4908,13.6924,72713,0.0613,0.45
2012-02-03,13.9466,14.4814,13.7187,14.2271,114683,0.5353,3.91
2012-02-06,14.1307,14.6479,13.8677,14.2096,76647,-0.0171,-0.12
2012-02-07,14.2184,14.3586,13.184,13.9379,54935,-0.2714,-1.91
2012-02-08,13.9203,14.1132,13.6924,14.0869,40328,0.1491,1.07
2012-02-09,14.1044,14.9021,13.4382,13.5609,41343,-0.5254,-3.73
2012-02-10,13.4119,13.4733,12.7194,13.1314,79995,-0.4299,-3.17
2012-02-13,13.2366,13.4119,12.5704,12.7106,97939,-0.4202,-3.2
2012-02-14,12.6142,13.9379,11.9568,12.36,96176,-0.3508,-2.76
2012-02-15,12.3951,12.3951,12.1584,12.1847,49707,-0.1755,-1.42
2012-02-16,12.1496,12.3512,12.0532,12.1847,59815,0.0,0.0
2012-02-17,12.2197,12.4389,12.1408,12.1847,43134,0.0,0.0
2012-02-20,12.1847,12.1847,12.1847,12.1847,0,0.0,0.0
2012-02-21,12.1759,12.8071,12.1408,12.2285,99539,0.0439,0.36
2012-02-22,12.1759,12.2373,12.0532,12.1847,34561,-0.044,-0.36
2012-02-23,12.1759,12.2636,12.1058,12.1934,117366,0.0085,0.07
2012-02-24,12.1496,12.2022,11.8077,11.948,61562,-0.2451,-2.01
2012-02-27,11.7464,11.7464,10.598,10.8961,93215,-1.0514,-8.8
2012-02-28,9.8792,10.975,9.8792,10.9048,367994,0.0087,0.08
2012-02-29,10.8785,11.6938,10.7383,11.2204,196861,0.3152,2.89
2012-03-01,11.2204,11.387,10.3526,10.3789,77339,-0.8415,-7.5
2012-03-02,10.3526,10.3964,10.0984,10.1597,82742,-0.219,-2.11
2012-03-04,10.1159,10.5279,9.7916,10.2211,29567,0.061,0.6
2012-03-05,10.1247,10.3263,9.9494,10.1422,41943,-0.0787,-0.77
2012-03-06,10.1334,10.3701,10.0545,10.2123,73757,0.07,0.69
2012-03-07,10.2299,10.5717,9.9318,10.0195,47366,-0.193,-1.89
2012-03-08,10.0283,10.5542,9.9494,10.3175,425769,0.2976,2.97
2012-03-09,10.0283,10.5542,9.9494,10.3175,425769,0.0,0.0
2012-03-12,10.3175,10.3175,9.9982,10.0514,28190,-0.3905,-3.74
2012-03-13,10.1135,10.1578,9.7586,10.0514,72696,0.0,0.0
2012-03-14,10.0248,10.0248,9.1199,9.2618,90396,-0.7901,-7.86
2012-03-15,9.2707,9.4393,8.9868,9.4126,55313,0.151,1.63
2012-03-16,9.386,9.386,9.0755,9.3062,199548,-0.1064,-1.13
2012-03-19,9.253,10.0603,9.1554,9.7586,62974,0.4523,4.86
2012-03-20,9.6965,10.2288,9.2175,10.1933,65180,0.4343,4.45
2012-03-21,10.2111,10.2732,9.6877,10.2111,78674,0.0173,0.17
2012-03-22,10.0425,10.1224,9.7231,9.8562,66126,-0.3554,-3.48
2012-03-23,9.8207,9.9094,9.732,9.8385,114749,-0.0177,-0.18
2012-03-26,9.9361,10.078,9.7498,9.9538,47474,0.1151,1.17
2012-03-27,9.9361,9.9715,9.4393,9.457,37220,-0.4967,-4.99
2012-03-28,9.4481,9.4481,9.2441,9.3505,34878,-0.1069,-1.13
2012-03-29,9.253,9.3594,9.0134,9.3417,40311,-0.0084,-0.09
2012-03-30,9.4038,9.803,9.1287,9.5457,278966,0.2037,2.18
2012-04-02,9.5368,9.5457,9.0844,9.528,109709,-0.0181,-0.19
2012-04-03,9.4747,9.4836,8.9602,9.2796,75680,-0.2487,-2.61
2012-04-04,9.1287,9.2263,8.8005,8.8803,44505,-0.399,-4.3
2012-04-05,8.8094,9.0223,8.7029,8.9602,66725,0.0799,0.9
2012-04-06,8.9602,8.9602,8.9602,8.9602,0,0.0,0.0
2012-04-09,8.765,8.9868,8.6852,8.8626,104138,-0.0977,-1.09
2012-04-10,8.8537,9.0755,8.2593,8.2771,72474,-0.5858,-6.61
2012-04-11,8.3924,8.8981,8.3126,8.8005,58290,0.5231,6.32
