日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1997-01-02,24.1116,24.1446,23.254,23.4849,270800,-0.6591,-2.73
1997-01-03,23.5509,23.7158,23.386,23.5509,291300,0.0681,0.29
1997-01-06,23.8148,24.0457,23.7818,23.9467,475600,0.3957,1.68
1997-01-07,23.8807,24.4085,23.7158,24.4085,316400,0.4598,1.92
1997-01-08,24.4085,24.4085,23.419,23.5179,546600,-0.8909,-3.65
1997-01-09,23.5179,23.6828,23.2211,23.6499,665000,0.1317,0.56
1997-01-10,23.2211,23.8478,23.2211,23.6828,677600,0.0378,0.16
1997-01-13,23.7488,23.8148,23.5179,23.5509,591500,-0.1326,-0.56
1997-01-14,23.419,23.8478,23.386,23.419,328800,-0.1319,-0.56
1997-01-15,23.2211,23.32,22.8912,23.1221,645700,-0.2998,-1.28
1997-01-16,23.0561,23.386,22.9902,23.254,329900,0.1318,0.57
1997-01-17,23.254,23.9797,23.254,23.8807,424100,0.6278,2.7
1997-01-20,23.9137,23.9137,23.5839,23.7488,470700,-0.1313,-0.55
1997-01-21,23.7158,23.8148,23.353,23.419,565600,-0.3277,-1.38
1997-01-22,23.4849,24.0127,23.4849,23.8148,1189200,0.3958,1.69
1997-01-23,23.8807,24.2766,23.8807,24.0457,742700,0.2263,0.95
1997-01-24,24.1446,24.1446,23.5179,23.6828,735200,-0.3582,-1.49
1997-01-27,23.6169,23.9467,23.5839,23.7818,370800,0.0947,0.4
1997-01-28,23.8478,23.8807,23.419,23.4519,463900,-0.3282,-1.38
1997-01-29,23.5179,23.6828,23.5179,23.6169,268100,0.1642,0.7
1997-01-30,23.6499,24.0457,23.6169,24.0457,401700,0.4275,1.81
1997-01-31,24.5075,24.5075,24.2106,24.2766,514800,0.2332,0.97
1997-02-03,24.3095,24.3425,24.0127,24.0457,362100,-0.2331,-0.96
1997-02-04,24.0787,24.1116,23.4849,23.7158,695100,-0.327,-1.36
1997-02-05,23.7488,23.9797,23.4849,23.5839,497400,-0.1328,-0.56
1997-02-06,23.5179,23.5509,23.32,23.386,390300,-0.2005,-0.85
1997-02-07,23.7158,23.8807,23.4519,23.7488,453100,0.3648,1.56
1997-02-10,23.5509,23.6169,23.1551,23.2211,434900,-0.5272,-2.22
1997-02-11,23.386,23.7158,23.2211,23.6828,535700,0.4644,2.0
1997-02-12,23.7488,24.2106,23.6828,24.1776,315600,0.4903,2.07
1997-02-13,24.2106,24.2436,24.0127,24.0787,250600,-0.0943,-0.39
1997-02-14,24.1116,24.1116,23.8807,23.9137,382200,-0.1686,-0.7
1997-02-18,23.8478,23.9797,23.5839,23.6169,483700,-0.2965,-1.24
1997-02-19,23.6499,23.8148,23.419,23.5509,821800,-0.0638,-0.27
1997-02-20,23.4849,23.5839,23.419,23.4849,653600,-0.0683,-0.29
1997-02-21,23.4519,23.5179,23.287,23.419,350500,-0.0634,-0.27
1997-02-24,23.5509,23.5839,23.386,23.5839,231600,0.0635,0.27
1997-02-25,23.6499,23.6499,23.419,23.5179,340900,0.0,0.0
1997-02-26,23.5179,23.5839,23.0232,23.0891,371700,-0.3969,-1.69
1997-02-27,23.1551,23.32,22.9572,22.9902,362400,-0.0993,-0.43
1997-02-28,22.9902,23.419,22.9902,23.353,473300,0.3632,1.58
1997-03-03,23.353,23.5179,23.287,23.5179,266500,-0.0637,-0.27
1997-03-04,23.4849,23.6169,23.32,23.4519,236100,-0.0329,-0.14
1997-03-05,23.419,23.6828,23.1551,23.419,475100,-0.4026,-1.69
1997-03-06,23.3262,23.4256,23.028,23.1274,546100,-0.1701,-0.73
1997-03-07,22.9949,23.0611,22.7629,22.9617,795800,,
1997-03-10,22.9286,23.2268,22.8292,23.0611,645900,-0.2683,-1.15
1997-03-11,23.0611,23.0943,22.7298,22.7961,576000,-0.133,-0.58
1997-03-12,22.7961,22.8623,22.6304,22.6635,476700,-0.1322,-0.58
1997-03-13,22.6304,22.7298,22.4978,22.531,341800,-0.1337,-0.59
