日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2001-03-05,1.541,1.541,1.4769,1.4769,15600,0.0,0.0
2001-03-06,1.4769,1.5065,1.4769,1.4769,14400,0.1343,10.0
2001-03-07,1.5016,1.6246,1.5016,1.6246,7400,0.0,0.0
2001-03-08,1.6246,1.6246,1.5262,1.6246,11500,0.0,0.0
2001-03-09,1.605,1.6246,1.6,1.6246,11600,,
2001-03-12,1.605,1.605,1.6,1.6,5700,-0.0826,-4.91
2001-03-13,1.5557,1.5557,1.5213,1.5262,20700,-0.1636,-9.68
2001-03-14,1.5016,1.5016,1.3096,1.3736,45300,0.0288,2.14
2001-03-15,1.3293,1.4031,1.3293,1.4031,4000,-0.0301,-2.1
2001-03-16,1.3293,1.3785,1.2308,1.3539,10600,,
2001-03-19,1.3588,1.3588,1.3588,1.3588,300,-0.0837,-5.8
2001-03-20,1.3982,1.3982,1.28,1.28,5300,-0.0728,-5.38
2001-03-21,1.2308,1.2308,1.2062,1.2062,2400,-0.0302,-2.44
2001-03-22,1.2062,1.2062,1.1816,1.1816,700,0.0288,2.5
2001-03-23,1.1077,1.2062,1.1077,1.2062,10500,,
2001-03-26,1.2062,1.2308,1.2062,1.2308,11000,0.0,0.0
2001-03-27,1.2357,1.2357,1.2111,1.2308,13500,-0.02,-1.6
2001-03-28,1.2308,1.2308,1.1816,1.2062,19100,0.0193,1.63
2001-03-29,1.2308,1.2308,1.2308,1.2308,2000,0.0,0.0
2001-03-30,1.2308,1.2308,1.2308,1.2308,7400,,
2001-04-02,1.2308,1.2308,1.2308,1.2308,1700,0.0,0.0
2001-04-03,1.1569,1.1569,1.1323,1.1323,1700,-0.0985,-8.0
2001-04-04,1.1323,1.1323,1.1225,1.1225,800,-0.0099,-0.87
2001-04-05,1.0585,1.1717,1.0585,1.1717,3400,0.0493,4.39
2001-04-06,1.1717,1.1816,1.1717,1.1816,5700,0.0098,0.84
2001-04-09,1.0585,1.1766,1.0585,1.1323,1800,-0.0493,-4.17
2001-04-10,1.1323,1.1323,1.1323,1.1323,700,0.0,0.0
2001-04-11,1.0585,1.1569,1.0585,1.1323,1800,0.0,0.0
2001-04-12,1.1323,1.1323,1.1126,1.1323,2300,0.0,0.0
