日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-01-03,17.9114,18.8269,17.9114,18.8269,223000,0.7502,4.15
1995-01-04,18.8269,19.0723,18.661,19.0723,307000,0.2448,1.3
1995-01-05,18.9065,19.404,18.7406,19.0723,229200,0.0,0.0
1995-01-06,19.1586,19.404,18.9927,19.0723,324800,0.0,0.0
1995-01-09,18.9065,19.4902,18.9065,19.1586,370100,0.0858,0.45
1995-01-10,19.2382,19.5699,19.1586,19.2382,698900,0.0805,0.42
1995-01-11,19.4902,19.4902,18.9927,19.404,282600,0.1655,0.86
1995-01-12,19.404,19.4902,19.1586,19.3244,122100,-0.0796,-0.41
1995-01-13,19.2382,19.4902,18.9927,19.404,310700,0.0792,0.41
1995-01-16,19.4902,19.7357,19.3244,19.7357,421700,0.3318,1.71
1995-01-17,19.5699,20.0674,19.5699,19.9878,427300,0.2526,1.28
1995-01-18,19.9878,20.2332,19.6561,19.7357,384400,-0.2518,-1.26
1995-01-19,19.8219,19.9015,19.5699,19.6561,135200,-0.0789,-0.4
1995-01-20,19.6561,19.6561,19.404,19.4902,180900,-0.1651,-0.84
1995-01-23,19.2382,19.404,18.9927,19.404,216300,-0.0858,-0.44
1995-01-24,19.2382,19.3244,18.4952,18.7406,527000,-0.6636,-3.42
1995-01-25,18.5748,18.9065,18.3293,18.5748,480700,-0.1649,-0.88
1995-01-26,18.4952,18.661,18.2431,18.3293,293100,-0.2452,-1.32
1995-01-27,18.2431,18.4952,17.6659,17.9114,368400,-0.4179,-2.28
1995-01-30,17.8318,17.8318,17.5797,17.7455,274200,-0.1666,-0.93
1995-01-31,17.7455,17.8318,17.4139,17.5001,395300,-0.2449,-1.38
1995-02-01,17.6659,18.1635,17.5001,17.9976,273500,0.497,2.84
1995-02-02,18.1635,18.4952,17.9976,18.4089,205500,0.4121,2.29
1995-02-03,18.4952,18.5748,18.2431,18.4952,283200,0.0865,0.47
1995-02-06,18.4952,18.9065,18.4089,18.7406,341100,0.246,1.33
1995-02-07,18.7406,18.8269,18.4089,18.661,261700,-0.0787,-0.42
1995-02-08,18.7443,18.9909,18.5777,18.9109,515600,0.1668,0.89
1995-02-09,18.9909,18.9909,18.7443,18.7443,341700,-0.1664,-0.88
1995-02-10,18.9109,18.9909,18.4911,18.7443,326100,0.0,0.0
1995-02-13,18.7443,19.1574,18.6577,19.0775,370900,0.3336,1.78
1995-02-14,18.8243,18.9909,18.4111,18.9909,294000,-0.0858,-0.45
1995-02-15,18.9909,19.4107,18.9109,19.1574,515100,0.1671,0.88
1995-02-16,19.2441,19.4107,18.9909,19.4107,408500,0.2529,1.32
1995-02-17,19.4107,19.4906,19.324,19.324,606200,-0.0874,-0.45
1995-02-21,19.2441,19.4906,19.2441,19.4906,219000,0.1662,0.86
1995-02-22,19.4107,19.4906,19.324,19.4906,256200,0.0,0.0
1995-02-23,19.4906,19.8238,19.4107,19.4906,520000,0.0,0.0
1995-02-24,19.4906,19.4906,19.1574,19.324,306700,-0.1657,-0.85
1995-02-27,19.324,19.324,18.9909,18.9909,198900,-0.3324,-1.72
1995-02-28,18.9109,18.9909,18.5777,18.8243,256000,-0.1671,-0.88
1995-03-01,19.0775,19.0775,18.4911,18.4911,234300,-0.3332,-1.77
1995-03-02,18.3245,18.4111,17.9913,18.078,324700,-0.4123,-2.23
1995-03-03,17.9913,18.1579,17.8248,17.9913,393400,-0.0868,-0.48
1995-03-05,17.9114,18.3245,17.7448,18.3245,206500,0.3328,1.85
1995-03-06,18.1579,18.4111,17.9913,17.9913,305000,-0.3335,-1.82
1995-03-07,18.078,18.2446,17.9114,18.078,265800,0.0864,0.48
1995-03-08,18.078,18.1579,17.9913,17.9913,310800,-0.0868,-0.48
1995-03-09,18.078,18.7443,18.078,18.7443,291200,0.7538,4.19
1995-03-12,18.6577,18.7443,18.078,18.1579,505900,-0.5867,-3.13
1995-03-13,18.2446,18.5777,18.1579,18.2446,312800,0.0872,0.48
1995-03-14,18.3245,18.3245,17.9114,17.9913,340100,-0.2536,-1.39
1995-03-15,17.8248,17.9913,17.7448,17.8248,421500,-0.1673,-0.93
1995-03-16,17.9114,17.9913,17.7448,17.8248,444800,0.0,0.0
1995-03-19,17.8248,17.9114,17.4116,17.4116,519200,-0.4135,-2.32
1995-03-20,17.4916,17.4916,16.9918,16.9918,882600,-0.4196,-2.41
1995-03-21,17.0784,17.1584,16.4921,16.5787,1601200,-0.4129,-2.43
1995-03-22,16.6586,17.0784,16.5787,17.0784,1255300,0.499,3.01
1995-03-23,17.0784,17.1584,16.7453,17.1584,1118300,0.0803,0.47
1995-03-26,17.0784,17.0784,16.9119,17.0784,474200,-0.0806,-0.47
1995-03-27,17.1584,17.6582,17.1584,17.6582,462500,0.579,3.39
1995-03-28,17.5782,17.7448,17.5782,17.7448,345100,0.0865,0.49
1995-03-29,17.6582,18.3245,17.6582,18.2446,481700,0.5004,2.82
1995-03-30,18.078,18.5777,17.9913,18.4111,531800,0.166,0.91
1995-04-03,18.3245,18.5777,18.1579,18.1579,249100,-0.2541,-1.38
1995-04-04,18.4111,18.6577,18.3245,18.5777,213200,0.4195,2.31
1995-04-05,18.5777,18.5777,18.2446,18.2446,164300,-0.3325,-1.79
1995-04-06,18.3245,18.4111,18.078,18.1579,185500,-0.0857,-0.47
1995-04-07,18.2446,18.2446,17.9114,18.1579,180100,0.0,0.0
1995-04-10,18.1579,18.1579,17.9114,17.9913,171000,-0.1671,-0.92
1995-04-11,18.1579,18.2446,17.7448,17.9114,182600,-0.0792,-0.44
1995-04-12,17.8248,17.9913,17.7448,17.9913,148700,0.0806,0.45
1995-04-13,17.7448,17.9913,17.4916,17.4916,321800,-0.5002,-2.78
1995-04-17,17.5782,17.6582,17.4116,17.5782,347000,0.0875,0.5
1995-04-18,17.1584,17.325,16.9918,17.0784,1024600,-0.4992,-2.84
1995-04-19,17.0784,17.325,16.9918,17.1584,307600,0.0803,0.47
1995-04-20,17.1584,17.1584,16.8252,16.9119,397500,-0.2471,-1.44
1995-04-21,16.9119,17.1584,16.7453,16.9918,567500,0.0795,0.47
1995-04-24,16.9918,16.9918,16.6586,16.9119,392900,-0.0799,-0.47
1995-04-25,16.9119,17.1584,16.9119,17.1584,308700,0.2469,1.46
1995-04-26,17.1584,17.325,17.0784,17.1584,126700,0.0,0.0
1995-04-27,17.0784,17.1584,16.9918,17.1584,215000,0.0,0.0
1995-04-28,17.245,17.245,16.8252,16.9119,449200,-0.2471,-1.44
1995-05-01,16.9918,16.9918,16.7453,16.9119,266200,0.0,0.0
1995-05-02,16.9119,17.0784,16.6586,17.0784,384700,0.1674,0.99
1995-05-03,17.0784,17.325,16.8252,17.325,296100,0.2459,1.44
1995-05-04,17.245,17.4116,17.245,17.325,468400,0.0,0.0
1995-05-05,17.325,17.4116,17.1584,17.245,441000,-0.0797,-0.46
1995-05-08,17.245,18.2446,17.245,18.078,804900,0.8329,4.83
1995-05-09,18.078,18.4111,18.078,18.3245,786100,0.2459,1.36
1995-05-10,18.4111,18.6577,18.3245,18.5777,719300,0.2529,1.38
1995-05-11,18.5777,18.5777,18.4111,18.5777,229900,0.0,0.0
1995-05-12,18.5041,19.1738,18.5041,19.0867,469500,0.4145,2.22
1995-05-15,19.1738,19.3412,18.5844,19.1738,332100,0.0878,0.46
1995-05-16,19.1738,19.4216,19.0867,19.1738,362800,0.0,0.0
1995-05-17,19.1738,19.1738,18.7518,18.9193,213300,-0.255,-1.33
1995-05-18,18.9193,18.9193,17.9147,18.0821,303500,-0.8362,-4.42
1995-05-19,18.0821,18.6715,18.0018,18.5844,421300,0.5027,2.78
1995-05-22,18.3366,18.3366,17.9147,18.2496,396900,-0.3345,-1.8
