日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2022-05-25,4.5901,5.0,4.16,4.9,11883,0.32,6.9869
2022-05-26,4.39,5.05,4.39,5.05,56369,0.15,3.0612
2022-05-27,5.0,5.29,4.68,5.23,61301,0.18,3.56
2022-05-31,5.1,5.3,5.06,5.22,37878,-0.01,-0.1912
2022-06-01,5.29,5.42,5.12,5.29,80904,0.07,1.341
2022-06-02,5.1697,5.42,5.13,5.26,18789,-0.03,-0.57
2022-06-03,5.0,5.1,4.9,4.99,13131,-0.27,-5.1331
2022-06-06,5.46,5.46,3.9,4.76,42105,-0.23,-4.6092
2022-06-07,4.56,5.09,4.56,4.79,278633,0.03,0.63
2022-06-08,4.795,4.795,4.62,4.7,7399,-0.09,-1.8789
2022-06-09,4.6,4.625,4.47,4.55,6786,-0.15,-3.1915
2022-06-10,4.5975,4.5975,4.4265,4.49,317823,-0.06,-1.3187
2022-06-13,4.56,4.6,4.3697,4.57,243897,0.08,1.78
2022-06-14,4.43,4.82,4.43,4.77,50026,0.2,4.3764
2022-06-15,4.88,5.07,4.7,5.0,117186,0.23,4.82
2022-06-16,5.0,5.16,4.76,4.95,34722,-0.05,-1.0
2022-06-17,4.8,5.1,4.7921,4.99,84386,0.04,0.81
2022-06-21,4.99,4.99,4.595,4.95,274966,-0.04,-0.8016
2022-06-22,4.895,5.05,4.86,4.99,16587,0.04,0.8081
2022-06-23,4.99,5.145,4.9,5.0,16917,0.01,0.2004
2022-06-24,4.97,5.235,4.91,5.1,12780,0.1,2.0
2022-06-27,5.1425,5.2,4.98,5.15,17548,0.05,0.9804
2022-06-28,5.18,5.36,5.11,5.25,38669,0.1,1.94
2022-06-29,5.07,5.215,5.07,5.15,204816,-0.1,-1.9
2022-06-30,5.0,5.19,5.0,5.14,15514,-0.01,-0.1942
2022-07-01,5.2,5.25,5.07,5.19,26887,0.05,0.97
2022-07-05,5.16,5.28,5.02,5.15,32961,-0.04,-0.77
2022-07-06,5.13,5.318,5.09,5.25,22668,0.1,1.9417
2022-07-07,5.18,5.294,5.18,5.25,50319,0.0,0.0
2022-07-08,5.11,5.3,5.1,5.29,11171,0.04,0.7619
2022-07-11,5.26,5.31,5.24,5.3,63859,0.01,0.19
2022-07-12,5.29,5.29,5.13,5.19,47552,-0.11,-2.0755
2022-07-13,5.168,5.23,5.11,5.21,48041,0.02,0.3854
2022-07-14,5.17,5.21,5.16,5.21,12999,0.0,0.0
2022-07-15,5.21,5.29,5.2,5.28,27074,0.07,1.34
2022-07-18,5.29,5.3484,5.225,5.3,37869,0.02,0.3788
2022-07-19,5.25,5.4,5.25,5.38,39330,0.08,1.5094
2022-07-20,5.42,5.42,5.36,5.4,61851,0.02,0.37
2022-07-21,5.3872,5.42,5.26,5.41,61527,0.01,0.19
2022-07-22,5.37,5.42,5.36,5.39,20372,-0.02,-0.3697
2022-07-25,5.4,5.4,5.36,5.39,13160,0.0,0.0
2022-07-26,5.36,5.96,5.36,5.9,114468,0.51,9.46
2022-07-27,5.89,5.95,5.71,5.75,36115,-0.15,-2.54
2022-07-28,5.8196,5.8196,5.44,5.56,75831,-0.19,-3.3043
2022-07-29,5.5,5.58,5.4348,5.53,87591,-0.03,-0.54
2022-08-01,5.45,5.55,5.4249,5.55,43032,0.02,0.3617
2022-08-02,5.59,5.59,5.517,5.545,27859,-0.005,-0.09
2022-08-03,5.57,5.73,5.57,5.63,54538,0.085,1.53
2022-08-04,5.6,5.72,5.59,5.69,6515,0.06,1.0657
2022-08-05,5.8,5.8,5.65,5.74,18046,0.05,0.8787
2022-08-08,5.74,5.79,5.68,5.73,27874,-0.01,-0.1742
2022-08-09,5.7371,5.77,5.71,5.75,531383,0.02,0.349
2022-08-10,5.74,5.9,5.73,5.87,46415,0.12,2.087
2022-08-11,5.8,5.92,5.8,5.89,64709,0.02,0.3407
2022-08-12,5.83,5.95,5.81,5.93,92430,0.04,0.68
2022-08-15,5.95,5.97,5.89,5.95,10153,0.02,0.3373
2022-08-16,5.97,5.99,5.9,5.969,22992,0.019,0.32
2022-08-17,5.964,5.964,5.91,5.93,5553,-0.039,-0.6534
2022-08-18,5.95,5.99,5.9,5.95,54208,0.02,0.3373
2022-08-19,5.96,5.98,5.875,5.96,35345,0.01,0.1681
2022-08-22,5.95,5.95,5.555,5.65,26976,-0.31,-5.2013
2022-08-23,5.619,5.62,5.55,5.62,14498,-0.03,-0.531
2022-08-24,5.63,5.6572,5.42,5.45,27271,-0.17,-3.02
2022-08-25,5.44,5.48,5.37,5.48,13330,0.03,0.5505
2022-08-26,5.5,5.5,5.32,5.4,71565,-0.08,-1.46
2022-08-29,5.3863,5.42,5.29,5.36,17061,-0.04,-0.7407
2022-08-30,5.36,5.42,5.27,5.33,7585,-0.03,-0.5597
2022-08-31,5.35,5.35,5.25,5.3,28747,-0.03,-0.56
2022-09-01,5.2884,5.2884,5.08,5.08,74509,-0.22,-4.1509
2022-09-02,5.0115,5.3535,5.0115,5.26,9728,0.18,3.54
2022-09-06,5.14,5.24,5.04,5.04,18853,-0.22,-4.1825
2022-09-07,5.13,5.25,5.115,5.25,245962,0.21,4.17
2022-09-08,5.085,5.2,5.085,5.15,301509,-0.1,-1.9
2022-09-09,5.3637,5.39,5.15,5.17,60424,0.02,0.39
2022-09-12,5.35,5.35,4.62,4.69,158604,-0.48,-9.28
2022-09-13,4.6,4.7,4.31,4.36,112023,-0.33,-7.0362
2022-09-14,4.41,4.77,4.1,4.14,36815,-0.22,-5.05
2022-09-15,4.03,4.1,3.9,3.92,109477,-0.22,-5.314
2022-09-16,3.84,3.9,3.42,3.5,359070,-0.42,-10.71
2022-09-19,3.46,3.55,3.445,3.47,78642,-0.03,-0.8571
2022-09-20,3.88,3.88,3.5,3.51,101751,0.04,1.15
2022-09-21,3.5,3.71,3.4,3.46,176663,-0.05,-1.42
2022-09-22,3.43,3.551,3.36,3.37,32000,-0.09,-2.6012
2022-09-23,3.4,3.4,3.04,3.14,54273,-0.23,-6.8249
2022-09-26,3.14,3.2,3.03,3.08,69277,-0.06,-1.9108
2022-09-27,3.17,3.17,3.03,3.06,928365,-0.02,-0.6494
2022-09-28,3.02,3.17,3.02,3.15,896907,0.09,2.94
2022-09-29,3.19,3.47,3.19,3.31,344497,0.16,5.08
2022-09-30,3.34,3.58,3.26,3.52,854744,0.21,6.34
2022-10-03,3.54,3.64,3.485,3.52,1325204,0.0,0.0
2022-10-04,3.64,3.83,3.575,3.83,69922,0.31,8.8068
2022-10-05,3.84,4.065,3.73,4.03,68520,0.2,5.2219
2022-10-06,4.11,4.11,3.9,4.09,77491,0.06,1.49
2022-10-07,4.01,4.13,4.0,4.04,40391,-0.05,-1.22
2022-10-10,4.07,4.115,3.985,4.04,16695,0.0,0.0
2022-10-11,3.94,4.14,3.8374,4.07,27842,0.03,0.74
2022-10-12,4.09,4.13,3.97,4.1,7716,0.03,0.74
2022-10-13,4.05,4.15,3.8,4.1,40573,0.0,0.0
2022-10-14,4.07,4.07,3.92,4.02,16587,-0.08,-1.9512
2022-10-17,4.06,4.071,3.87,3.89,42005,-0.13,-3.23
2022-10-18,4.01,4.01,3.8401,3.86,10334,-0.03,-0.7712
2022-10-19,3.86,3.87,3.77,3.84,8438,-0.02,-0.5181
2022-10-20,3.86,3.87,3.85,3.86,80971,0.02,0.5208
2022-10-21,3.89,4.03,3.69,3.93,79198,0.07,1.8135
2022-10-24,3.9,3.98,3.81,3.91,27538,-0.02,-0.51
2022-10-25,3.95,4.15,3.9,4.09,56234,0.18,4.6036
2022-10-26,4.08,4.08,3.82,3.91,23414,-0.18,-4.4
2022-10-27,3.94,4.13,3.91,3.95,13387,0.04,1.02
2022-10-28,4.0,4.02,3.98,3.98,5780,0.03,0.76
2022-10-31,3.91,4.04,3.9,3.98,154005,0.0,0.0
2022-11-01,4.01,4.18,3.98,4.17,43558,0.19,4.77
2022-11-02,4.11,4.13,3.86,3.86,52901,-0.31,-7.4341
2022-11-03,3.79,3.932,3.79,3.9,8158,0.04,1.04
2022-11-04,3.95,4.16,3.94,4.05,34527,0.15,3.8462
2022-11-07,4.01,4.09,3.95,3.98,25115,-0.07,-1.7284
2022-11-08,3.88,4.06,3.8264,3.93,28298,-0.05,-1.2563
2022-11-09,3.83,4.05,3.83,3.92,45762,-0.01,-0.2545
2022-11-10,3.98,4.115,3.89,3.97,297302,0.05,1.28
2022-11-11,4.0,4.09,3.96,3.98,100441,0.01,0.25
2022-11-14,3.91,4.05,3.58,3.93,178820,-0.05,-1.26
2022-11-15,4.07,4.09,3.84,4.025,1016367,0.095,2.4173
2022-11-16,3.98,4.22,3.98,4.04,9481,0.015,0.37
2022-11-17,4.0,4.04,3.92,3.99,66187,-0.05,-1.24
2022-11-18,4.09,4.27,3.86,3.96,35941,-0.03,-0.7519
2022-11-21,3.96,4.11,3.96,4.06,12370,0.1,2.5253
2022-11-22,4.02,4.25,3.95,4.25,51876,0.19,4.68
2022-11-23,4.26,4.26,3.98,4.03,15050,-0.22,-5.1765
2022-11-25,4.03,4.19,4.03,4.18,9470,0.15,3.72
2022-11-28,4.08,4.25,4.06,4.07,7217,-0.11,-2.63
2022-11-29,4.12,4.2072,4.06,4.09,7168,0.02,0.4914
2022-11-30,4.14,4.14,3.99,4.06,21322,-0.03,-0.7335
2022-12-01,4.09,4.19,4.01,4.08,5415,0.02,0.4926
2022-12-02,3.94,4.09,3.93,3.93,17331,-0.15,-3.6765
2022-12-05,3.88,3.96,3.65,3.66,8952,-0.27,-6.87
2022-12-06,3.71,3.8298,3.62,3.765,42334,0.105,2.8689
2022-12-07,3.797,3.87,3.6,3.73,12787,-0.035,-0.93
2022-12-08,3.78,3.78,3.64,3.7,8013,-0.03,-0.8
2022-12-09,3.75,3.86,3.69,3.76,23877,0.06,1.62
2022-12-12,3.7792,3.85,3.73,3.8,8026,0.04,1.06
2022-12-13,3.785,3.87,3.6796,3.84,31174,0.04,1.0526
2022-12-14,3.68,3.87,3.68,3.78,11534,-0.06,-1.56
2022-12-15,3.73,3.82,3.66,3.78,15835,0.0,0.0
2022-12-16,3.629,3.79,3.6,3.65,15607,-0.13,-3.4392
2022-12-19,3.6,3.8,3.53,3.55,569133,-0.1,-2.7397
2022-12-20,3.59,3.7,3.55,3.69,30698,0.14,3.94
2022-12-21,3.82,3.85,3.63,3.65,34069,-0.04,-1.08
2022-12-22,3.69,3.83,3.6,3.8,34604,0.15,4.11
2022-12-23,3.7325,3.79,3.6567,3.79,9965,-0.01,-0.26
2022-12-27,3.8,4.04,3.64,3.93,227530,0.14,3.69
2022-12-28,4.02,4.35,3.95,4.15,346517,0.22,5.6
2022-12-29,4.21,4.425,4.21,4.34,34126,0.19,4.5783
2022-12-30,4.5,4.7,4.2,4.55,348629,0.21,4.8387
