日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2020-09-23,33.55,44.0,31.0,40.8,1978215,18.8,85.45
2020-09-24,39.52,39.99,33.9,37.5,445267,-3.3,-8.09
2020-09-25,36.16,48.0,35.6723,45.0,305051,7.5,20.0
2020-09-28,48.44,51.89,44.11,46.5,312738,1.5,3.33
2020-09-29,46.85,47.4399,41.43,44.07,155421,-2.43,-5.23
2020-09-30,41.68,47.23,41.6,45.87,136515,1.8,4.08
2020-10-01,45.32,47.22,43.2,43.2,220736,-2.67,-5.82
2020-10-02,42.4,43.0,41.22,41.72,203077,-1.48,-3.43
2020-10-05,42.56,43.11,41.73,42.86,66647,1.14,2.73
2020-10-06,43.21,43.72,41.9,42.6,135432,-0.26,-0.61
2020-10-07,42.95,43.9504,42.8085,43.0,137261,0.4,0.94
2020-10-08,42.71,43.95,40.02,43.9,158645,0.9,2.09
2020-10-09,46.12,46.42,43.1001,44.0,223775,0.1,0.23
2020-10-12,45.03,46.25,44.2,45.6,70120,1.6,3.64
2020-10-13,46.01,48.91,45.0,48.5,45606,2.9,6.36
2020-10-14,48.89,51.25,46.08,46.75,132804,-1.75,-3.61
2020-10-15,47.0,47.1823,44.59,44.59,52225,-2.16,-4.62
2020-10-16,45.31,49.95,45.31,49.17,100234,4.58,10.27
2020-10-19,51.61,57.25,50.755,53.58,224404,4.41,8.97
2020-10-20,53.6,60.8,53.6,57.18,162170,3.6,6.72
2020-10-21,57.98,60.26,49.37,49.37,150450,-7.81,-13.66
2020-10-22,50.0,52.7799,46.69,47.02,82158,-2.35,-4.76
2020-10-23,47.47,51.9,47.2001,51.26,63152,4.24,9.02
2020-10-26,51.12,51.12,46.0,49.21,79394,-2.05,-4.0
2020-10-27,48.88,51.47,48.88,50.67,74870,1.46,2.97
2020-10-28,50.4,50.9251,49.0056,49.64,110806,-1.03,-2.03
2020-10-29,50.18,50.93,49.07,50.55,120201,0.91,1.83
2020-10-30,50.55,51.4,45.43,46.0,202019,-4.55,-9.0
2020-11-02,47.63,47.79,45.01,46.1,50292,0.1,0.22
2020-11-03,46.46,47.38,45.555,46.06,86356,-0.04,-0.09
2020-11-04,45.82,47.855,45.82,47.73,64924,1.67,3.63
2020-11-05,48.0,49.0,45.7,49.0,48667,1.27,2.66
2020-11-06,49.08,49.1296,47.4,48.0,34958,-1.0,-2.04
2020-11-09,50.0,50.43,45.1,45.1,154288,-2.9,-6.04
2020-11-10,44.99,44.99,39.54,40.22,137234,-4.88,-10.82
2020-11-11,40.67,43.8499,40.67,42.32,56774,2.1,5.22
2020-11-12,42.99,42.99,41.6503,42.49,52145,0.17,0.4
2020-11-13,41.8,42.85,38.6,39.13,340872,-3.36,-7.9077
2020-11-16,42.92,48.0,40.96,47.99,184519,8.86,22.6425
2020-11-17,48.0,51.7,47.53,47.78,158342,-0.21,-0.44
2020-11-18,50.2,51.2645,47.13,47.5,149586,-0.28,-0.59
2020-11-19,48.0,49.0,47.3292,47.76,73096,0.26,0.55
2020-11-20,48.21,48.93,45.8736,47.18,92225,-0.58,-1.21
2020-11-23,48.1,51.9999,47.53,49.34,144170,2.16,4.58
2020-11-24,49.8,50.92,47.005,47.58,117395,-1.76,-3.57
2020-11-25,47.99,48.65,46.3556,47.29,53951,-0.29,-0.61
2020-11-27,47.79,48.05,46.92,48.05,25419,0.76,1.61
2020-11-30,48.48,49.275,47.5,48.41,87634,0.36,0.75
2020-12-01,48.83,49.0199,45.9,46.57,72793,-1.84,-3.8
2020-12-02,47.18,48.75,45.2,47.35,163005,0.78,1.67
2020-12-03,47.49,48.47,45.75,47.72,113631,0.37,0.78
2020-12-04,48.23,48.7408,45.55,47.54,88230,-0.18,-0.38
2020-12-07,47.54,48.0,45.32,45.86,70639,-1.68,-3.53
2020-12-08,45.33,47.262,45.33,45.75,73762,-0.11,-0.24
2020-12-09,46.12,46.2,43.0,43.0,108346,-2.75,-6.01
2020-12-10,43.3,44.0,40.645,41.79,114294,-1.21,-2.81
2020-12-11,42.0,43.8,41.0,42.0,114249,0.21,0.5025
2020-12-14,41.5,43.8,41.5,43.52,79786,1.52,3.62
2020-12-15,43.39,44.43,42.6,43.0,118410,-0.52,-1.1949
2020-12-16,43.04,44.99,43.04,44.98,134225,1.98,4.6
2020-12-17,46.0,53.14,45.99,48.5,297450,3.52,7.83
2020-12-18,49.6,49.6,45.81,45.85,682529,-2.65,-5.46
2020-12-21,45.43,46.23,44.57,46.02,176234,0.17,0.37
2020-12-22,45.6,51.97,45.6,51.41,125962,5.39,11.71
2020-12-23,51.63,56.26,51.63,55.79,143891,4.38,8.52
2020-12-24,56.0,58.52,55.2,57.1,53818,1.31,2.35
2020-12-28,57.0,58.33,55.0,57.83,68167,0.73,1.28
2020-12-29,58.41,58.41,53.01,53.47,58914,-4.36,-7.54
2020-12-30,53.5,54.26,51.0,51.35,64631,-2.12,-3.96
2020-12-31,51.54,51.54,47.18,47.32,94747,-4.03,-7.85
2021-01-04,47.01,47.2,43.8,44.51,116741,-2.81,-5.94
2021-01-05,44.35,46.93,44.35,45.49,51968,0.98,2.2018
2021-01-06,45.7,47.26,44.6,45.49,67465,0.0,0.0
2021-01-07,46.47,46.59,43.74,44.13,92364,-1.36,-2.99
2021-01-08,44.19,45.94,43.5,44.97,95455,0.84,1.9035
2021-01-11,45.0,46.41,43.9,45.92,59518,0.95,2.11
2021-01-12,46.23,46.23,43.53,44.66,76472,-1.26,-2.74
2021-01-13,45.36,47.85,43.6,46.67,79521,2.01,4.5
2021-01-14,47.45,48.275,45.41,47.0,59307,0.33,0.71
2021-01-15,47.48,47.48,44.36,44.61,54440,-2.39,-5.09
2021-01-19,44.71,45.39,43.6,45.39,73943,0.78,1.75
2021-01-20,45.51,45.51,43.52,43.52,58286,-1.87,-4.1199
2021-01-21,45.4,45.4,42.135,42.55,78675,-0.97,-2.23
2021-01-22,42.37,42.92,41.62,42.92,62803,0.37,0.8696
2021-01-25,43.64,46.39,42.82,43.85,85928,0.93,2.17
2021-01-26,45.32,46.0,44.5,46.0,51534,2.15,4.9
2021-01-27,45.0,47.0,43.6901,46.49,66869,0.49,1.07
2021-01-28,46.99,46.99,43.4556,44.48,50893,-2.01,-4.32
2021-01-29,44.25,45.6,43.17,43.34,44502,-1.14,-2.56
2021-02-01,43.12,43.805,42.0,43.53,40859,0.19,0.44
2021-02-02,44.53,44.53,42.5,43.5,32993,-0.03,-0.07
2021-02-03,44.0,45.09,42.8,44.99,28914,1.49,3.4253
2021-02-04,45.1,46.19,44.0331,46.03,54429,1.04,2.31
2021-02-05,48.0,55.0,48.0,52.88,228373,6.85,14.88
2021-02-08,54.85,55.99,50.92,53.99,123706,1.11,2.1
2021-02-09,54.82,55.7,53.09,53.6,117520,-0.39,-0.72
2021-02-10,54.74,55.74,53.04,55.72,57869,2.12,3.96
2021-02-11,55.8,55.8,51.52,53.82,106160,-1.9,-3.41
2021-02-12,54.73,55.0199,52.26,53.26,25966,-0.56,-1.04
2021-02-16,53.0,53.0,47.4101,48.33,103009,-4.93,-9.26
2021-02-17,48.15,48.89,46.37,47.0,46498,-1.33,-2.75
2021-02-18,46.19,47.29,45.8,47.29,45886,0.29,0.62
2021-02-19,46.8,49.0,46.8,48.19,46998,0.9,1.9032
2021-02-22,48.23,48.23,43.38,43.7,84117,-4.49,-9.32
2021-02-23,43.0,43.86,40.0,42.78,77953,-0.92,-2.11
2021-02-24,45.65,45.65,41.56,42.35,96765,-0.43,-1.01
2021-02-25,42.41,42.89,40.0,40.0,110455,-2.35,-5.55
2021-02-26,40.12,41.1195,37.77,39.47,68786,-0.53,-1.32
2021-03-01,41.0,41.85,39.66,40.18,56682,0.71,1.8
2021-03-02,40.76,43.2399,39.75,42.47,63963,2.29,5.7
2021-03-03,42.5,42.5,38.6001,40.27,74823,-2.2,-5.18
2021-03-04,39.78,40.33,36.0,37.3,100625,-2.97,-7.38
2021-03-05,37.89,38.1379,34.3891,35.75,99418,-1.55,-4.16
2021-03-08,35.47,36.92,33.0,33.27,116606,-2.48,-6.94
2021-03-09,34.37,38.0,34.15,36.97,74356,3.7,11.12
2021-03-10,37.99,38.6551,35.703,36.64,44267,-0.33,-0.89
2021-03-11,37.0,38.96,36.3,37.44,52426,0.8,2.18
2021-03-12,41.0,41.0,35.82,37.18,131689,-0.26,-0.69
2021-03-15,37.07,37.44,35.06,35.06,123766,-2.12,-5.7
2021-03-16,35.48,36.74,34.53,35.99,82202,0.93,2.65
2021-03-17,35.11,36.54,35.06,36.37,45875,0.38,1.06
2021-03-18,36.28,36.28,34.89,35.35,57905,-1.02,-2.8
2021-03-19,36.0,37.33,35.27,36.94,106272,1.59,4.5
2021-03-22,37.8,37.99,35.38,36.62,56460,-0.32,-0.87
2021-03-23,36.92,36.92,35.42,35.52,30824,-1.1,-3.0
2021-03-24,36.27,36.27,33.62,33.86,42612,-1.66,-4.67
2021-03-25,33.63,36.23,33.62,35.58,75750,1.72,5.08
2021-03-26,34.01,36.01,33.71,34.27,41096,-1.31,-3.68
2021-03-29,34.35,35.98,34.2553,35.39,40653,1.12,3.27
2021-03-30,35.59,35.9336,34.9,35.26,25257,-0.13,-0.37
2021-03-31,34.8,38.73,34.8,37.47,61688,2.21,6.27
2021-04-01,37.47,38.73,37.04,37.67,50361,0.2,0.53
2021-04-05,37.71,39.89,36.5,36.91,70296,-0.76,-2.02
2021-04-06,36.5,39.03,36.26,38.36,24058,1.45,3.93
2021-04-07,38.0,39.5,36.66,37.89,30384,-0.47,-1.23
2021-04-08,37.79,39.79,37.745,38.86,26211,0.97,2.56
2021-04-09,38.97,39.19,37.42,38.23,16853,-0.63,-1.6212
2021-04-12,38.56,40.47,37.28,38.87,58945,0.64,1.67
2021-04-13,38.69,39.76,37.642,38.21,16555,-0.66,-1.698
2021-04-14,38.0,39.69,37.82,38.53,61556,0.32,0.8375
2021-04-15,38.21,39.0,37.75,38.12,50306,-0.41,-1.06
2021-04-16,37.26,37.77,35.68,35.79,44595,-2.33,-6.1123
2021-04-19,35.77,36.48,35.6,36.01,49989,0.22,0.61
2021-04-20,36.01,36.045,33.97,34.25,45665,-1.76,-4.89
2021-04-21,34.25,34.88,33.71,33.93,46467,-0.32,-0.93
2021-04-22,33.67,34.91,33.06,33.5,86568,-0.43,-1.27
2021-04-23,33.5,34.49,33.33,34.4,90375,0.9,2.69
2021-04-26,34.54,36.75,34.54,35.55,50921,1.15,3.34
2021-04-27,35.34,38.469,35.34,38.08,88000,2.53,7.12
2021-04-28,38.63,38.63,37.18,37.61,72451,-0.47,-1.23
2021-04-29,37.76,38.37,35.54,36.61,63126,-1.0,-2.66
2021-04-30,35.6,36.91,35.34,36.51,57479,-0.1,-0.27
2021-05-03,37.06,37.75,36.59,36.94,19446,0.43,1.1778
2021-05-04,37.25,37.96,36.5127,37.5,31410,0.56,1.52
2021-05-05,37.38,37.58,35.54,35.63,38563,-1.87,-4.9867
2021-05-06,35.98,36.38,35.29,35.54,54054,-0.09,-0.25
2021-05-07,34.81,36.25,34.8,35.45,39149,-0.09,-0.25
2021-05-10,34.95,36.96,34.51,34.95,74708,-0.5,-1.41
2021-05-11,34.49,36.55,34.08,35.79,103545,0.84,2.4034
2021-05-12,35.17,35.79,33.5,34.16,61663,-1.63,-4.55
2021-05-13,34.14,35.5,33.97,34.06,62563,-0.1,-0.29
2021-05-14,33.6,33.6,30.5,31.76,119565,-2.3,-6.75
2021-05-17,31.75,33.7,31.38,32.18,85870,0.42,1.32
2021-05-18,31.81,34.0,31.81,32.94,90186,0.76,2.36
2021-05-19,32.58,33.43,31.181,31.66,44118,-1.28,-3.8859
