日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-10-07,16.57,18.02,16.55,17.75,12165771,-0.25,-1.39
2021-10-08,17.75,17.89,16.81,17.2,2450597,-0.55,-3.1
2021-10-11,17.16,17.43,16.61,17.26,1106753,0.06,0.35
2021-10-12,17.01,17.74,16.76,17.27,1547000,0.01,0.0579
2021-10-13,17.17,17.67,17.0,17.4,4128271,0.13,0.75
2021-10-14,17.49,17.6142,17.02,17.22,671502,-0.18,-1.03
2021-10-15,17.21,17.48,16.6,16.96,895951,-0.26,-1.51
2021-10-18,16.82,16.97,15.81,16.25,1047789,-0.71,-4.19
2021-10-19,16.18,17.04,16.18,16.98,540327,0.73,4.4923
2021-10-20,16.85,17.4,16.8,17.23,394635,0.25,1.4723
2021-10-21,17.29,17.8,17.035,17.75,387688,0.52,3.02
2021-10-22,17.57,17.75,17.14,17.18,346727,-0.57,-3.2113
2021-10-25,17.19,17.2,16.88,17.09,585349,-0.09,-0.52
2021-10-26,17.12,17.42,16.75,17.06,498291,-0.03,-0.18
2021-10-27,17.06,18.25,16.9,18.06,1105018,1.0,5.86
2021-10-28,18.0,18.06,17.455,17.99,511658,-0.07,-0.39
2021-10-29,18.1,18.14,17.1501,17.34,627749,-0.65,-3.61
2021-11-01,17.14,17.7,16.69,17.51,486395,0.17,0.98
2021-11-02,17.51,17.76,17.4,17.58,169415,0.07,0.3998
2021-11-03,17.88,18.38,17.41,17.59,805642,0.01,0.0569
2021-11-04,17.6,18.47,17.59,18.24,664664,0.65,3.7
2021-11-05,18.7,19.58,18.55,19.4,1038205,1.16,6.3596
2021-11-08,19.4,19.62,19.06,19.51,723727,0.11,0.57
2021-11-09,19.35,19.75,19.1,19.39,421726,-0.12,-0.62
2021-11-10,19.3,19.605,19.08,19.54,1002759,0.15,0.7736
2021-11-11,19.55,21.04,19.51,20.7,792047,1.16,5.94
2021-11-12,20.62,20.65,19.66,19.76,282611,-0.94,-4.54
2021-11-15,19.62,20.11,19.48,19.56,454386,-0.2,-1.0121
2021-11-16,19.48,19.63,19.1,19.59,455778,0.03,0.15
2021-11-17,19.54,20.18,19.24,19.9,586102,0.31,1.5824
2021-11-18,19.87,20.15,19.19,19.46,424070,-0.44,-2.2111
2021-11-19,19.33,20.5,19.1164,20.43,227362,0.97,4.9846
2021-11-22,20.31,20.56,19.4,20.03,423572,-0.4,-1.9579
2021-11-23,20.26,21.93,20.135,21.92,1079083,1.89,9.4358
2021-11-24,21.71,23.37,21.71,21.99,680306,0.07,0.32
2021-11-26,21.09,22.34,20.77,22.14,617103,0.15,0.68
2021-11-29,22.49,23.17,19.95,19.96,1057380,-2.18,-9.85
2021-11-30,19.5,20.49,18.91,20.09,3097477,0.13,0.65
2021-12-01,20.12,20.81,19.03,19.1,637144,-0.99,-4.93
2021-12-02,19.15,20.1,18.74,19.75,623478,0.65,3.4
2021-12-03,19.74,19.936,18.07,19.31,751189,-0.44,-2.23
2021-12-06,19.52,21.73,18.77,20.91,1283362,1.6,8.29
2021-12-07,21.32,21.44,20.61,21.34,612566,0.43,2.06
2021-12-08,21.24,22.47,20.24,20.4,661009,-0.94,-4.4
2021-12-09,20.21,21.32,20.08,20.8,503930,0.4,1.96
2021-12-10,20.89,21.37,20.04,20.31,331034,-0.49,-2.36
2021-12-13,20.17,20.74,19.72,20.22,622208,-0.09,-0.4431
2021-12-14,19.83,20.16,18.51,18.9,522022,-1.32,-6.53
2021-12-15,19.0,19.24,18.365,19.1,564694,0.2,1.06
2021-12-16,19.11,19.86,17.36,17.4,1047503,-1.7,-8.9
2021-12-17,17.19,17.4,16.26,16.61,7495958,-0.79,-4.54
2021-12-20,16.25,17.29,15.905,16.9,867263,0.29,1.75
2021-12-21,17.18,17.44,16.65,17.03,536230,0.13,0.77
2021-12-22,16.97,17.86,16.85,17.55,391342,0.52,3.0534
2021-12-23,17.62,18.12,17.35,18.08,232429,0.53,3.0199
2021-12-27,18.15,18.47,17.49,18.18,252709,0.1,0.5531
2021-12-28,18.14,18.5505,17.48,17.74,342302,-0.44,-2.42
2021-12-29,17.54,18.06,17.35,17.8,333827,0.06,0.3382
2021-12-30,17.73,17.91,17.245,17.34,530582,-0.46,-2.5843
2021-12-31,17.4,17.83,16.9,17.21,565314,-0.13,-0.75
2022-01-03,17.21,17.65,16.76,17.53,637877,0.32,1.8594
2022-01-04,17.58,18.54,17.485,18.48,656644,0.95,5.42
2022-01-05,18.55,18.55,16.89,16.96,618042,-1.52,-8.2251
2022-01-06,16.96,17.33,16.165,16.53,493470,-0.43,-2.5354
2022-01-07,16.4,16.6,16.12,16.5,383276,-0.03,-0.18
2022-01-10,16.37,16.43,16.01,16.38,446081,-0.12,-0.7273
2022-01-11,16.14,17.04,16.13,16.99,332723,0.61,3.72
2022-01-12,17.09,17.4804,16.87,17.36,334263,0.37,2.1778
2022-01-13,17.32,17.8,17.28,17.32,589153,-0.04,-0.2304
2022-01-14,17.16,17.495,16.66,17.45,752088,0.13,0.7506
2022-01-18,17.28,17.48,16.67,16.68,677032,-0.77,-4.4126
2022-01-19,16.71,16.99,15.75,16.01,795320,-0.67,-4.0168
2022-01-20,16.01,16.815,15.58,15.81,461918,-0.2,-1.2492
2022-01-21,15.69,15.86,15.25,15.26,375352,-0.55,-3.48
2022-01-24,15.02,16.02,14.645,15.96,496744,0.7,4.59
2022-01-25,15.65,16.01,15.23,15.66,316572,-0.3,-1.88
2022-01-26,15.95,16.26,15.21,15.32,290855,-0.34,-2.17
2022-01-27,15.49,15.49,14.06,14.2,472843,-1.12,-7.31
2022-01-28,14.08,14.86,14.0,14.85,613746,0.65,4.58
2022-01-31,14.43,15.16,14.43,15.02,458889,0.17,1.14
2022-02-01,15.1,15.73,15.1,15.61,313105,0.59,3.9281
2022-02-02,15.64,15.735,14.98,15.23,307886,-0.38,-2.43
2022-02-03,15.0,15.24,14.33,14.35,301160,-0.88,-5.7781
2022-02-04,14.24,14.69,13.82,14.61,293300,0.26,1.81
2022-02-07,14.54,15.19,14.465,15.08,307253,0.47,3.217
2022-02-08,15.08,15.88,15.07,15.84,204088,0.76,5.0398
2022-02-09,16.09,16.5,15.975,16.47,227234,0.63,3.9773
2022-02-10,16.04,17.1,16.04,16.61,438826,0.14,0.85
2022-02-11,16.59,17.12,16.17,16.35,624298,-0.26,-1.5653
2022-02-14,16.27,16.59,15.98,16.38,276897,0.03,0.1835
2022-02-15,16.67,17.16,16.66,17.0,318911,0.62,3.79
2022-02-16,16.94,17.69,16.9,17.67,440307,0.67,3.94
2022-02-17,17.44,17.67,16.355,16.4,485381,-1.27,-7.1873
2022-02-18,16.29,16.58,15.77,16.3,272996,-0.1,-0.6098
2022-02-22,16.1,16.39,15.69,15.89,279590,-0.41,-2.5153
2022-02-23,15.51,15.52,14.23,14.66,938250,-1.23,-7.7407
2022-02-24,13.91,14.625,13.51,14.57,1134974,-0.09,-0.6139
2022-02-25,14.72,15.51,14.35,15.48,564041,0.91,6.25
2022-02-28,15.16,15.62,14.81,15.55,603746,0.07,0.45
2022-03-01,15.39,15.77,14.36,14.51,3259519,-1.04,-6.6881
2022-03-02,14.61,15.07,14.225,14.68,388778,0.17,1.1716
2022-03-03,14.85,14.85,14.03,14.64,652830,-0.04,-0.2725
2022-03-04,14.31,14.8,13.66,13.85,426185,-0.79,-5.3962
2022-03-07,13.99,14.23,13.27,13.42,731022,-0.43,-3.1047
2022-03-08,13.36,14.07,13.11,13.52,341344,0.1,0.75
2022-03-09,14.03,14.59,13.911,13.93,506751,0.41,3.03
2022-03-10,13.5,13.5,12.4,12.72,1091289,-1.21,-8.69
2022-03-11,12.61,12.61,11.205,11.35,895320,-1.37,-10.77
2022-03-14,11.29,11.29,10.53,10.91,780689,-0.44,-3.88
2022-03-15,10.88,11.62,10.88,11.5,665173,0.59,5.41
2022-03-16,11.61,12.99,11.61,12.97,570019,1.47,12.78
2022-03-17,12.77,13.65,12.655,13.65,651561,0.68,5.24
2022-03-18,13.58,14.42,13.58,14.3,979471,0.65,4.76
2022-03-21,14.17,14.2,13.31,13.57,551593,-0.73,-5.1
2022-03-22,13.52,14.315,13.52,13.93,663013,0.36,2.6529
2022-03-23,13.86,14.2,13.66,14.02,525509,0.09,0.65
2022-03-24,14.02,14.48,13.9343,14.33,395920,0.31,2.21
2022-03-25,14.44,14.7397,14.23,14.47,416449,0.14,0.98
2022-03-28,14.57,14.955,14.41,14.77,302901,0.3,2.07
2022-03-29,15.16,15.72,14.72,14.87,706486,0.1,0.68
2022-03-30,14.77,15.235,14.6452,14.77,288945,-0.1,-0.67
2022-03-31,14.82,14.89,14.49,14.54,199800,-0.23,-1.56
2022-04-01,14.61,14.8,14.19,14.57,324083,0.03,0.21
2022-04-04,14.5,15.19,14.5,14.98,382140,0.41,2.81
2022-04-05,15.11,15.31,14.685,14.79,305450,-0.19,-1.27
2022-04-06,14.49,14.63,14.03,14.53,433844,-0.26,-1.76
2022-04-07,14.56,14.739,13.68,14.18,267301,-0.35,-2.4088
2022-04-08,14.16,14.49,13.74,14.11,209095,-0.07,-0.49
2022-04-11,14.06,14.36,13.75,14.22,332224,0.11,0.7796
2022-04-12,14.47,15.015,14.36,14.53,356331,0.31,2.18
2022-04-13,14.56,15.25,14.35,14.94,511792,0.41,2.82
2022-04-14,15.02,15.35,14.9,15.34,510269,0.4,2.68
2022-04-18,15.41,15.8,14.581,14.71,403631,-0.63,-4.11
2022-04-19,14.69,15.63,14.66,15.4,369482,0.69,4.6907
2022-04-20,15.56,15.7,15.15,15.3,251277,-0.1,-0.6494
2022-04-21,15.54,15.975,15.01,15.25,374448,-0.05,-0.3268
2022-04-22,15.21,15.48,15.01,15.17,282004,-0.08,-0.5246
2022-04-25,15.0,15.51,14.77,15.3,378731,0.13,0.86
2022-04-26,15.18,15.18,14.17,14.19,318084,-1.11,-7.2549
2022-04-27,14.18,14.62,14.03,14.5,311000,0.31,2.18
2022-04-28,14.75,15.17,14.39,14.99,198097,0.49,3.3793
2022-04-29,14.94,15.27,14.18,14.3,233759,-0.69,-4.6031
2022-05-02,14.28,14.645,14.0,14.64,405077,0.34,2.3776
2022-05-03,14.68,14.845,14.11,14.38,212210,-0.26,-1.776
2022-05-04,14.42,14.62,13.76,14.58,338744,0.2,1.3908
