日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-03-25,12.0,15.29,11.17,14.3,2610641,-0.7,-4.67
2021-03-26,14.29,14.5,12.08,12.5,463673,-1.8,-12.59
2021-03-29,12.46,13.6,9.76,12.7,569707,0.2,1.6
2021-03-30,12.5,14.1,11.19,14.0,142969,1.3,10.24
2021-03-31,14.0,17.2,13.4,15.19,256440,1.19,8.5
2021-04-01,14.96,15.6539,12.68,13.0,218728,-2.19,-14.42
2021-04-05,13.35,15.25,13.13,14.75,183009,1.75,13.46
2021-04-06,14.8,15.9799,14.05,15.75,129479,1.0,6.78
2021-04-07,15.51,16.93,14.98,14.98,94132,-0.77,-4.89
2021-04-08,15.0,15.89,15.0,15.11,56094,0.13,0.87
2021-04-09,15.35,15.87,15.0,15.36,16172,0.25,1.6545
2021-04-12,15.14,15.5,15.0,15.01,33575,-0.35,-2.28
2021-04-13,14.79,16.2,14.57,16.0,16751,0.99,6.5956
2021-04-14,16.35,16.35,15.38,15.5,4269,-0.5,-3.125
2021-04-15,16.03,16.4,15.5,15.62,27568,0.12,0.7742
2021-04-16,15.51,16.4099,14.82,15.0,4351,-0.62,-3.9693
2021-04-19,15.33,16.15,14.98,14.98,26584,-0.02,-0.1333
2021-04-20,15.4,15.4,13.61,13.61,13579,-1.37,-9.15
2021-04-21,13.61,13.61,12.0,12.3,117957,-1.31,-9.63
2021-04-22,12.4,13.0,12.21,12.33,48403,0.03,0.2439
2021-04-23,12.43,12.545,11.51,12.12,53687,-0.21,-1.7032
2021-04-26,11.91,12.0946,11.7,11.85,45444,-0.27,-2.23
2021-04-27,12.0,12.0,11.48,11.55,114621,-0.3,-2.5316
2021-04-28,12.0,12.28,11.55,12.04,46655,0.49,4.24
2021-04-29,12.5,12.5,11.81,12.0,17881,-0.04,-0.3322
2021-04-30,11.93,12.1324,11.86,11.9,8864,-0.1,-0.83
2021-05-03,11.88,12.4,11.88,12.13,9545,0.23,1.9328
2021-05-04,12.1,12.2927,11.86,12.05,7606,-0.08,-0.6595
2021-05-05,12.1,12.11,11.95,11.95,7500,-0.1,-0.83
2021-05-06,11.9,12.3044,11.9,12.24,8926,0.29,2.43
2021-05-07,12.06,12.3252,11.8,11.8,18025,-0.44,-3.5948
2021-05-10,11.91,13.5,11.87,13.24,153077,1.44,12.2
2021-05-11,15.0,15.91,14.0,14.66,276986,1.42,10.73
2021-05-12,15.11,16.2,14.009,14.35,152343,-0.31,-2.11
2021-05-13,14.01,14.35,13.95,13.95,55739,-0.4,-2.79
2021-05-14,13.84,14.2272,12.55,12.93,74722,-1.02,-7.3118
2021-05-17,12.94,13.13,11.9,11.9,52694,-1.03,-7.97
2021-05-18,11.85,11.95,11.4,11.63,49514,-0.27,-2.27
2021-05-19,11.3662,12.3599,11.35,12.3599,13917,0.73,6.28
2021-05-20,12.8,12.92,11.51,12.0,16492,-0.36,-2.91
2021-05-21,12.03,12.9,12.0,12.0,10647,0.0,0.0
2021-05-24,12.24,12.44,11.6,11.88,12335,-0.12,-1.0
2021-05-25,11.96,12.06,11.7,11.91,4547,0.03,0.25
2021-05-26,12.1088,12.1088,11.4,11.52,18897,-0.39,-3.27
2021-05-27,11.49,11.8,11.15,11.15,20357,-0.37,-3.21
2021-05-28,11.2,11.4999,11.2,11.35,6116,0.2,1.7937
2021-06-01,11.2,11.35,11.0,11.12,16992,-0.23,-2.03
2021-06-02,11.1,11.18,10.9,11.03,23009,-0.09,-0.81
2021-06-03,10.9,11.2035,10.73,10.8,16221,-0.23,-2.0852
2021-06-04,10.78,11.0,10.7,10.99,6580,0.19,1.76
2021-06-07,10.79,10.9799,10.65,10.9,7020,-0.09,-0.82
2021-06-08,10.85,11.28,10.75,10.95,25896,0.05,0.4587
2021-06-09,11.18,11.24,11.0,11.23,7918,0.28,2.56
2021-06-10,11.15,11.5,11.0,11.43,59402,0.2,1.7809
2021-06-11,10.9457,11.3715,10.9457,11.3,6516,-0.13,-1.14
2021-06-14,11.22,11.34,10.9,10.93,64680,-0.37,-3.2743
2021-06-15,11.26,11.2641,10.86,10.87,9223,-0.06,-0.5489
2021-06-16,10.9,11.2899,10.9,11.25,6452,0.38,3.5
2021-06-17,11.0,11.32,11.0,11.06,2056,-0.19,-1.6889
2021-06-18,11.02,11.2,11.0,11.0479,2105,-0.012,-0.11
2021-06-21,11.03,11.2217,11.0101,11.03,1974,-0.0179,-0.162
2021-06-22,11.115,11.1823,11.115,11.13,2911,0.1,0.91
2021-06-23,11.0,11.13,11.0,11.03,6109,-0.1,-0.8985
2021-06-24,11.14,11.15,11.03,11.03,1977,0.0,0.0
2021-06-25,11.09,11.09,11.04,11.07,3145,0.04,0.36
2021-06-28,11.11,11.15,11.0124,11.02,3287,-0.05,-0.4517
2021-06-29,11.1139,11.1139,11.0582,11.0582,2875,0.0382,0.3466
2021-06-30,11.0,11.1,10.88,10.88,13713,-0.178,-1.61
2021-07-01,10.9,10.98,10.9,10.98,1008,0.1,0.9191
2021-07-02,10.995,11.13,10.85,10.85,4656,-0.13,-1.184
2021-07-06,10.79,11.12,10.5,10.51,9025,-0.34,-3.13
2021-07-07,10.7,10.7,10.29,10.49,5017,-0.02,-0.19
2021-07-08,10.29,10.39,10.29,10.3336,1106,-0.156,-1.49
2021-07-09,10.47,11.13,10.2189,11.0,68735,0.666,6.44
2021-07-12,11.11,11.12,10.78,10.92,10931,-0.08,-0.73
2021-07-13,11.01,11.12,10.6001,10.91,14594,-0.01,-0.09
2021-07-14,10.7769,11.13,10.1,10.51,48521,-0.4,-3.6664
2021-07-15,10.63,10.7934,10.41,10.58,5516,0.07,0.67
2021-07-16,10.47,10.838,10.05,10.1538,33685,-0.426,-4.03
2021-07-19,10.08,10.08,8.91,9.06,23186,-1.0938,-10.7723
2021-07-20,9.06,9.52,9.06,9.1201,3308,0.0601,0.6634
2021-07-21,9.07,9.46,9.07,9.13,2686,0.0099,0.1086
2021-07-22,9.265,9.47,8.91,9.32,23774,0.19,2.08
2021-07-23,9.32,9.5,7.4259,7.9,80788,-1.42,-15.2361
2021-07-26,7.75,8.3533,7.0,7.01,27022,-0.89,-11.27
2021-07-27,7.15,7.88,7.15,7.62,35961,0.61,8.7019
2021-07-28,7.56,8.85,7.175,7.42,140916,-0.2,-2.6247
2021-07-29,7.5,8.41,7.1,7.49,116209,0.07,0.9434
2021-07-30,7.34,8.26,5.52,5.53,26415,-1.96,-26.17
2021-08-02,6.74,6.9341,5.81,5.83,157321,0.3,5.42
2021-08-03,6.09,10.8,5.911,6.91,6143106,1.08,18.52
2021-08-04,6.43,6.78,5.99,5.99,283545,-0.92,-13.31
2021-08-05,5.85,6.35,5.65,5.77,138453,-0.22,-3.67
2021-08-06,6.0,6.0,5.63,5.71,53230,-0.06,-1.04
2021-08-09,5.69,5.83,5.6,5.65,50020,-0.06,-1.05
2021-08-10,5.59,5.75,5.58,5.64,92353,-0.01,-0.18
2021-08-11,5.63,5.745,5.55,5.55,54604,-0.09,-1.6
2021-08-12,5.56,5.62,5.5,5.5,25898,-0.05,-0.9
2021-08-13,5.61,5.75,5.53,5.71,115083,0.21,3.8182
2021-08-16,5.67,5.8492,5.57,5.74,67881,0.03,0.53
2021-08-17,5.73,5.7908,5.53,5.79,72799,0.05,0.87
2021-08-18,5.73,6.09,5.59,5.97,40113,0.18,3.1088
2021-08-19,5.85,6.0,5.8445,5.9,8937,-0.07,-1.17
2021-08-20,6.01,6.035,5.88,5.9,10986,0.0,0.0
2021-08-23,5.9,6.66,5.9,6.48,39753,0.58,9.8305
2021-08-24,6.36,7.1899,6.36,7.09,64475,0.61,9.41
2021-08-25,7.11,7.173,7.0,7.0,38924,-0.09,-1.27
2021-08-26,7.01,7.1386,6.63,7.0201,11945,0.02,0.29
2021-08-27,6.9152,7.04,6.75,6.75,22350,-0.2701,-3.8475
2021-08-30,6.82,6.9,6.69,6.69,7910,-0.06,-0.89
2021-08-31,6.71,6.8388,6.51,6.55,10031,-0.14,-2.09
2021-09-01,6.63,6.63,6.46,6.46,9138,-0.09,-1.37
2021-09-02,6.45,6.54,6.3,6.35,10885,-0.11,-1.7
2021-09-03,6.38,6.5178,6.15,6.19,32798,-0.16,-2.52
2021-09-07,6.25,6.26,5.95,5.96,16430,-0.23,-3.7157
2021-09-08,5.95,5.98,5.86,5.87,10033,-0.09,-1.51
2021-09-09,5.89,5.9176,5.85,5.86,6146,-0.01,-0.17
2021-09-10,5.95,6.7999,5.89,6.49,78580,0.63,10.75
2021-09-13,6.56,6.66,6.1,6.33,51561,-0.16,-2.47
2021-09-14,6.33,6.6237,6.07,6.3,21787,-0.03,-0.4739
2021-09-15,6.35,6.69,6.3001,6.34,49138,0.04,0.63
2021-09-16,6.32,6.59,6.1519,6.33,17805,-0.01,-0.1577
2021-09-17,6.25,6.58,6.11,6.11,77350,-0.22,-3.48
2021-09-20,6.17,6.6099,5.88,5.95,48827,-0.16,-2.62
2021-09-21,6.145,6.24,5.8,6.0,141222,0.05,0.8403
2021-09-22,6.05,6.24,5.65,5.89,35443,-0.11,-1.83
2021-09-23,5.9,6.1776,5.9,6.15,25125,0.26,4.41
2021-09-24,6.07,6.15,6.0,6.0,12258,-0.15,-2.44
2021-09-27,5.98,6.34,5.94,6.095,14204,0.095,1.5833
2021-09-28,6.07,6.25,5.75,5.8,30103,-0.295,-4.84
2021-09-29,6.08,6.1,5.8,6.1,118461,0.3,5.17
2021-09-30,6.13,6.14,5.83,5.92,35859,-0.18,-2.95
2021-10-01,6.04,6.1,5.86,6.07,15239,0.15,2.53
2021-10-04,6.12,6.4181,5.94,6.1737,14357,0.104,1.71
2021-10-05,6.18,6.335,5.95,6.07,22921,-0.104,-1.68
2021-10-06,5.97,6.24,5.97,6.24,3731,0.17,2.8
2021-10-07,6.0338,6.391,6.0,6.08,15083,-0.16,-2.56
2021-10-08,5.96,7.4,5.96,7.11,52755,1.03,16.94
2021-10-11,7.26,7.26,6.53,7.0,9911,-0.11,-1.55
2021-10-12,6.85,7.31,6.6441,7.18,8973,0.18,2.5714
2021-10-13,7.22,8.38,7.09,7.54,747880,0.36,5.01
2021-10-14,7.06,7.78,6.79,7.63,60010,0.09,1.19
2021-10-15,7.63,8.0,7.08,7.13,142650,-0.5,-6.55
2021-10-18,7.03,7.035,6.6101,6.87,39536,-0.26,-3.65
