日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-04-07,10.0,10.0,10.0,10.0,1047,0.0,0.0
2021-04-08,10.11,10.18,10.05,10.18,525,0.18,1.8
2021-04-09,9.72,10.03,9.68,9.97,278648,-0.21,-2.0629
2021-04-12,9.76,10.05,9.76,9.93,24955,-0.04,-0.4012
2021-04-13,9.9532,9.9532,9.9532,9.9532,102,0.0232,0.2336
2021-04-14,9.75,10.03,9.75,9.99,51735,0.0368,0.3697
2021-04-15,9.92,10.0,9.85,9.89,35218,-0.1,-1.001
2021-04-16,9.9,9.97,9.82,9.84,3134,-0.05,-0.5056
2021-04-19,9.81,10.15,9.8,10.15,21064,0.31,3.1504
2021-04-20,9.95,9.95,9.86,9.86,965,-0.29,-2.8571
2021-04-21,9.76,9.9,9.76,9.84,2583,-0.02,-0.2028
2021-04-22,9.79,9.8,9.75,9.8,2249,-0.04,-0.4065
2021-04-23,9.76,9.83,9.76,9.8,1469,0.0,0.0
2021-04-26,9.76,9.8,9.75,9.77,3082,-0.03,-0.3061
2021-04-27,9.74,9.74,9.74,9.74,154,-0.03,-0.3071
2021-04-28,9.74,9.74,9.74,9.74,595,0.0,0.0
2021-04-29,9.77,9.77,9.72,9.74,8070,0.0,0.0
2021-04-30,9.72,9.76,9.65,9.74,66317,0.0,0.0
2021-05-03,9.71,9.74,9.7,9.72,54275,-0.02,-0.2053
2021-05-04,9.69,9.74,9.69,9.73,90593,0.01,0.1029
2021-05-05,9.73,9.73,9.68,9.68,25038,-0.05,-0.5139
2021-05-06,9.69,9.72,9.68,9.72,4860,0.04,0.4132
2021-05-07,9.72,9.72,9.72,9.72,224,0.0,0.0
2021-05-10,9.72,9.72,9.72,9.72,269,0.0,0.0
2021-05-11,9.72,9.72,9.72,9.72,5,0.0,0.0
2021-05-12,9.68,9.69,9.66,9.69,77508,-0.03,-0.3086
2021-05-13,9.72,9.72,9.69,9.69,518,0.0,0.0
2021-05-14,9.7,9.7,9.7,9.7,1169,0.01,0.1032
2021-05-17,9.8,9.99,9.62,9.625,24572,-0.075,-0.77
2021-05-18,9.66,9.66,9.62,9.65,5456,0.025,0.2597
2021-05-19,9.65,9.65,9.65,9.65,154,0.0,0.0
2021-05-20,9.65,9.65,9.65,9.65,111,0.0,0.0
2021-05-21,9.61,9.64,9.6,9.64,58719,-0.01,-0.1036
2021-05-24,9.6402,9.69,9.6,9.69,23328,0.05,0.5187
2021-05-25,9.66,9.67,9.64,9.64,14114,-0.05,-0.516
2021-05-26,9.693,9.7,9.64,9.64,2845,0.0,0.0
2021-05-27,9.65,9.65,9.61,9.64,7007,0.0,0.0
2021-05-28,9.63,9.65,9.63,9.65,3867,0.01,0.1037
2021-06-01,9.625,9.625,9.61,9.61,20101,-0.04,-0.41
2021-06-02,9.62,9.63,9.62,9.63,773,0.02,0.2081
2021-06-03,9.62,9.68,9.62,9.68,19942,0.05,0.5192
2021-06-04,9.65,9.69,9.65,9.68,28812,0.0,0.0
2021-06-07,9.6702,9.685,9.63,9.685,8271,0.005,0.0517
2021-06-08,9.64,9.71,9.64,9.69,13700,0.005,0.0516
2021-06-09,9.64,9.69,9.64,9.69,5606,0.0,0.0
2021-06-10,9.68,9.68,9.67,9.67,963,-0.02,-0.2064
2021-06-11,9.67,9.7,9.65,9.66,18119,-0.01,-0.1034
2021-06-14,9.65,9.7,9.65,9.69,17910,0.03,0.3106
2021-06-15,9.66,9.75,9.66,9.66,17516,-0.03,-0.3096
2021-06-16,9.66,9.67,9.65,9.66,4912,0.0,0.0
2021-06-17,9.67,9.68,9.67,9.67,1720,0.01,0.1035
2021-06-18,9.68,9.68,9.66,9.68,18163,0.01,0.1034
