日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-04-10,3.9314,4.0596,3.9314,4.0596,797250,0.1282,3.26
1995-04-11,4.1006,4.1006,4.0135,4.1006,651750,0.041,1.01
1995-04-12,4.1006,4.1416,4.0596,4.1006,383700,0.0,0.0
1995-04-13,4.1416,4.1416,4.0596,4.1416,359700,0.041,1.0
1995-04-17,4.1877,4.1877,4.0596,4.0801,212700,-0.0617,-1.49
1995-04-18,4.1416,4.1416,4.0135,4.0135,113850,-0.0665,-1.63
1995-04-19,4.034,4.1416,4.0135,4.1416,24450,0.128,3.19
1995-04-20,4.1006,4.1416,4.0135,4.0135,68700,-0.128,-3.09
1995-04-21,4.034,4.1416,4.0135,4.1006,60150,0.0871,2.17
1995-04-24,4.1416,4.1416,4.0135,4.1416,22950,0.041,1.0
1995-04-25,4.1416,4.1416,4.0135,4.1006,14100,-0.041,-0.99
1995-04-26,4.1416,4.1416,4.0596,4.1006,172500,0.0,0.0
1995-04-27,4.0596,4.1877,4.0596,4.1006,314850,0.0,0.0
1995-04-28,4.1877,4.1877,4.1006,4.1006,201750,0.0,0.0
1995-05-01,4.1467,4.1877,4.1006,4.1006,130950,0.0,0.0
1995-05-02,4.1877,4.1877,4.1006,4.1006,176550,0.0,0.0
1995-05-03,4.1006,4.1877,4.1006,4.1672,57750,0.0668,1.63
1995-05-04,4.1467,4.1877,4.1006,4.1877,183450,0.0204,0.49
1995-05-05,4.1006,4.1416,4.1006,4.1006,128100,-0.0871,-2.08
1995-05-08,4.1211,4.2287,4.1211,4.1877,161250,0.0869,2.12
1995-05-09,4.1467,4.1877,4.1416,4.1877,2550,0.0,0.0
1995-05-10,4.2287,4.2287,4.1416,4.2287,202800,0.041,0.98
1995-05-11,4.2697,4.3159,4.2287,4.2492,112800,0.0203,0.48
1995-05-12,4.3159,4.3159,4.2287,4.3159,28050,0.0667,1.57
1995-05-15,4.3159,4.3159,4.2287,4.3159,23400,0.0,0.0
1995-05-16,4.2492,4.3159,4.2287,4.2954,80400,-0.0207,-0.48
1995-05-17,4.2697,4.2697,4.2287,4.2287,54900,-0.0666,-1.55
1995-05-18,4.2697,4.2697,4.1877,4.1877,54450,-0.041,-0.97
1995-05-19,4.2287,4.2287,4.1006,4.1006,5400,-0.0871,-2.08
1995-05-22,4.2287,4.2287,4.1006,4.1006,10800,0.0,0.0
1995-05-23,4.1877,4.1877,4.1006,4.1416,4050,0.041,1.0
1995-05-24,4.1006,4.1877,4.1006,4.1416,7200,0.0,0.0
1995-05-25,4.1006,4.1416,4.1006,4.1211,30000,-0.0207,-0.5
1995-05-26,4.1467,4.1877,4.1006,4.1877,50400,0.0668,1.62
1995-05-30,4.2287,4.2287,4.1006,4.1877,8400,0.0,0.0
1995-05-31,4.2287,4.2697,4.1416,4.1416,32550,-0.0461,-1.1
1995-06-01,4.1877,4.3159,4.1877,4.2697,342300,0.128,3.09
1995-06-02,4.2697,4.444,4.2697,4.3569,284400,0.0871,2.04
1995-06-05,4.3159,4.3979,4.3159,4.3979,91350,0.041,0.94
1995-06-06,4.444,4.444,4.3569,4.3774,74250,-0.0207,-0.47
1995-06-07,4.3569,4.3979,4.3159,4.3159,61800,-0.0617,-1.41
1995-06-08,4.2697,4.3979,4.2697,4.2697,21300,-0.0462,-1.07
1995-06-09,4.3979,4.3979,4.2492,4.3159,117450,0.0461,1.08
1995-06-12,4.2903,4.3159,4.2287,4.3159,58500,0.0,0.0
1995-06-13,4.444,4.444,4.2697,4.3569,69600,0.041,0.95
1995-06-14,4.2697,4.3774,4.2697,4.3774,14400,0.0205,0.47
1995-06-15,4.3159,4.3569,4.3159,4.3569,3300,-0.0206,-0.47
1995-06-16,4.3979,4.3979,4.3569,4.3979,7500,0.041,0.94
1995-06-19,4.3569,4.3979,4.3159,4.3466,19050,-0.0515,-1.17
1995-06-20,4.3569,4.444,4.3569,4.4235,109200,0.0769,1.77
1995-06-21,4.444,4.485,4.3979,4.3979,23700,-0.0257,-0.58
1995-06-22,4.403,4.4235,4.3979,4.3979,6750,0.0,0.0
1995-06-23,4.485,4.485,4.3979,4.3979,79500,0.0,0.0
1995-06-26,4.403,4.444,4.3569,4.3569,42450,-0.0409,-0.93
1995-06-27,4.3569,4.4235,4.3569,4.4235,25650,0.0667,1.53
1995-06-28,4.3569,4.3979,4.3569,4.3979,54000,-0.0257,-0.58
1995-06-29,4.403,4.444,4.3979,4.444,30000,0.0462,1.05
1995-06-30,4.444,4.444,4.3979,4.3979,450,-0.0462,-1.04
1995-07-03,4.444,4.444,4.4235,4.4235,31500,0.0255,0.58
1995-07-05,4.444,4.444,4.444,4.444,5700,0.0203,0.46
1995-07-06,4.485,4.485,4.3979,4.485,42900,0.0409,0.92
1995-07-07,4.485,4.485,4.444,4.444,3150,-0.0408,-0.91
1995-07-10,4.485,4.485,4.3979,4.3979,6300,-0.0462,-1.04
1995-07-11,4.485,4.485,4.3979,4.3979,1950,0.0,0.0
1995-07-12,4.485,4.485,4.3979,4.3979,2100,0.0,0.0
1995-07-13,4.485,4.485,4.4235,4.4235,23550,0.0255,0.58
1995-07-14,4.403,4.485,4.3979,4.4235,4800,0.0,0.0
1995-07-17,4.7413,4.7413,4.7413,4.7413,92100,0.3176,7.18
1995-07-18,4.485,4.485,4.4235,4.4235,3000,-0.3177,-6.7
1995-07-19,4.403,4.485,4.3979,4.444,1200,0.0203,0.46
1995-07-20,4.485,4.485,4.3979,4.3979,14850,-0.0462,-1.04
1995-07-21,4.403,4.485,4.3979,4.485,21900,0.0871,1.98
1995-07-24,4.485,4.5722,4.444,4.5722,33750,0.087,1.94
1995-07-25,4.526,4.6132,4.485,4.485,22200,-0.0873,-1.91
1995-07-26,4.5465,4.5722,4.526,4.526,4800,0.0408,0.91
1995-07-27,4.5722,4.6132,4.485,4.6132,19050,0.0873,1.93
1995-07-28,4.485,4.485,4.485,4.485,1050,-0.1282,-2.78
1995-07-31,4.5722,4.5722,4.5517,4.5517,7200,0.0668,1.49
1995-08-01,4.6542,4.6542,4.485,4.5722,16050,0.0205,0.45
1995-08-02,4.6593,4.9566,4.6132,4.9566,81900,0.3845,8.41
1995-08-03,4.9566,4.9566,4.9105,4.9566,11700,0.0,0.0
1995-08-04,4.7823,4.9566,4.7823,4.7823,62250,-0.1745,-3.52
1995-08-07,4.8695,4.8695,4.8695,4.8695,16500,0.087,1.82
1995-08-08,4.8285,4.89,4.7823,4.7823,54450,-0.0872,-1.79
1995-08-09,4.9105,4.9105,4.7413,4.7823,10650,0.0,0.0
1995-08-10,4.7823,4.8695,4.7823,4.8285,23250,0.0459,0.96
1995-08-11,4.9105,4.9105,4.9105,4.9105,300,0.0821,1.7
1995-08-14,4.7413,4.9105,4.6542,4.7413,92100,-0.1689,-3.44
1995-08-15,4.7003,4.7003,4.7003,4.7003,1500,-0.0408,-0.86
1995-08-16,4.7413,4.7413,4.7003,4.7003,2700,0.0,0.0
1995-08-17,4.7413,4.7413,4.6542,4.6542,98850,-0.0461,-0.98
1995-08-18,4.7413,4.7413,4.7413,4.7413,15000,0.087,1.87
1995-08-21,4.7823,4.8285,4.7003,4.8285,28950,0.0872,1.84
1995-08-22,4.8695,4.9105,4.7823,4.9105,12000,0.0821,1.7
1995-08-23,4.7823,4.9566,4.7823,4.9566,10200,0.0462,0.94
1995-08-24,4.9566,4.9566,4.8695,4.8695,4500,-0.0872,-1.76
1995-08-25,4.7823,4.8285,4.7823,4.8285,5400,-0.0409,-0.84
1995-08-28,4.7823,5.0386,4.7823,4.8285,14250,0.0,0.0
1995-08-29,4.8285,5.0386,4.8285,5.0386,4500,0.21,4.35
1995-08-30,5.0386,5.0847,5.0386,5.0847,35250,0.0464,0.92
1995-08-31,5.0386,5.1668,5.0386,5.1257,28500,0.0412,0.81
1995-09-01,5.1719,5.1924,5.1668,5.1924,31200,0.0666,1.3
1995-09-05,5.1668,5.1668,5.1257,5.1668,35250,-0.0254,-0.49
1995-09-06,5.1257,5.2129,5.1257,5.1257,30300,-0.0408,-0.79
1995-09-07,5.1257,5.2129,4.9976,5.0386,547800,-0.0871,-1.7
1995-09-08,5.0386,5.0847,4.9566,4.9566,90600,-0.0821,-1.63
1995-09-11,5.2129,5.2129,5.0386,5.2129,16350,0.2563,5.17
1995-09-12,5.0386,5.0386,4.9566,4.9566,4500,-0.2565,-4.92
1995-09-13,5.0847,5.0847,4.9566,5.0386,43800,0.0818,1.65
1995-09-14,4.9566,4.9566,4.9566,4.9566,750,-0.0821,-1.63
1995-09-15,5.1257,5.1257,4.9566,4.9566,496350,0.0,0.0
1995-09-18,4.9566,4.9566,4.9566,4.9566,18600,0.0,0.0
1995-09-19,4.9566,5.0386,4.9566,4.9566,11700,0.0,0.0
1995-09-20,4.8695,5.0386,4.8695,4.8695,43500,-0.0872,-1.76
1995-09-21,4.9156,4.9566,4.8695,4.89,84450,0.0205,0.42
1995-09-22,4.7823,4.8695,4.7823,4.8695,12150,-0.0205,-0.42
1995-09-25,4.7823,4.8695,4.7823,4.8695,22050,0.0,0.0
1995-09-26,4.8028,4.9566,4.7823,4.8695,9300,0.0,0.0
1995-09-27,4.7003,4.8695,4.7003,4.7413,7050,-0.1281,-2.63
1995-09-28,4.7823,4.8695,4.7823,4.7823,18900,0.0408,0.86
1995-09-29,4.7823,4.7823,4.7823,4.7823,2250,0.0,0.0
1995-10-02,4.9105,4.9105,4.7823,4.8285,36900,0.0459,0.96
1995-10-03,4.9156,4.9976,4.8695,4.8695,78000,0.041,0.85
1995-10-04,4.9976,4.9976,4.9976,4.9976,2250,0.1281,2.63
1995-10-05,5.0386,5.0386,4.9105,4.9566,16650,-0.041,-0.82
1995-10-06,4.9156,5.0386,4.9105,5.0386,21450,0.0818,1.65
1995-10-09,4.9566,5.0386,4.9566,5.0386,13050,0.0,0.0
1995-10-10,5.0386,5.0386,4.9566,4.9566,17250,-0.0821,-1.63
1995-10-11,5.0386,5.0386,4.9566,4.9566,5250,0.0,0.0
1995-10-12,4.9361,4.9976,4.9105,4.9105,4500,-0.0461,-0.93
1995-10-16,4.9105,4.9105,4.9105,4.9105,450,0.0,0.0
1995-10-17,4.9361,4.9976,4.9361,4.9976,1650,0.0869,1.77
1995-10-19,5.0386,5.0386,5.0386,5.0386,3450,0.041,0.82
1995-10-20,4.9105,4.9105,4.9105,4.9105,450,-0.128,-2.54
1995-10-24,5.0386,5.0386,5.0386,5.0386,450,0.1282,2.61
1995-10-25,5.2129,5.2129,5.1257,5.1257,11250,0.0872,1.73
1995-10-26,5.0386,5.2129,4.9105,4.9566,23400,-0.1691,-3.3
1995-10-27,4.8695,4.8695,4.8695,4.8695,450,-0.0872,-1.76
1995-10-30,4.9105,4.9105,4.9105,4.9105,5250,0.0409,0.84
1995-10-31,4.9566,4.9566,4.9566,4.9566,18750,0.0462,0.94
1995-11-01,4.9566,4.9566,4.9566,4.9566,9300,0.0,0.0
1995-11-02,4.9361,4.9976,4.9105,4.9105,94950,-0.0461,-0.93
1995-11-03,4.9976,4.9976,4.9976,4.9976,1500,0.0869,1.77
1995-11-06,5.0386,5.0386,5.0386,5.0386,450,0.041,0.82
1995-11-07,4.9976,4.9976,4.9976,4.9976,750,-0.0408,-0.81
1995-11-08,4.9566,4.9566,4.9566,4.9566,12000,-0.041,-0.82
1995-11-09,4.9976,4.9976,4.9976,4.9976,1500,0.0411,0.83
1995-11-10,4.9976,4.9976,4.9976,4.9976,1800,0.0,0.0
1995-11-13,4.9976,4.9976,4.9976,4.9976,600,0.0,0.0
1995-11-14,4.9976,5.1257,4.9976,4.9976,3900,0.0,0.0
1995-11-15,4.9976,5.1257,4.9976,4.9976,67050,0.0,0.0
1995-11-16,4.9976,5.0386,4.9976,5.0386,47250,0.041,0.82
1995-11-17,5.0847,5.0847,4.9976,4.9976,3600,-0.0408,-0.81
1995-11-20,5.0181,5.0847,5.0181,5.0386,15300,0.041,0.82
1995-11-21,5.0847,5.0847,5.0386,5.0642,15000,0.0257,0.51
1995-11-24,5.1257,5.1257,5.1257,5.1257,150,0.0613,1.21
1995-11-27,5.0386,5.1257,5.0386,5.0386,4050,-0.0871,-1.7
1995-11-28,5.1257,5.1668,5.0847,5.1257,43950,0.0872,1.73
1995-11-29,5.1257,5.1257,5.0847,5.0847,9750,-0.041,-0.8
1995-11-30,5.1719,5.2129,5.1257,5.2129,22500,0.1281,2.52
1995-12-01,5.1463,5.1463,5.1257,5.1257,17700,-0.0871,-1.67
1995-12-04,5.1257,5.1463,5.1257,5.1257,7350,0.0,0.0
1995-12-05,5.1668,5.1668,5.0847,5.0847,10050,-0.041,-0.8
1995-12-06,5.1668,5.1668,5.0386,5.0386,11250,-0.0463,-0.91
1995-12-08,5.0386,5.1668,5.0386,5.1668,17100,0.128,2.54
1995-12-11,5.1463,5.1668,5.1257,5.1257,54600,-0.0408,-0.79
1995-12-12,5.0847,5.1668,5.0847,5.1668,61050,0.041,0.8
1995-12-13,5.1668,5.1668,5.1463,5.1463,6900,-0.0207,-0.4
1995-12-14,5.1052,5.1052,5.0847,5.0847,32400,-0.0618,-1.2
1995-12-15,5.0847,5.2129,5.0847,5.2129,5700,0.1281,2.52
1995-12-18,5.0847,5.1257,5.0386,5.0386,25200,-0.1741,-3.34
1995-12-19,5.0847,5.0847,4.9771,4.9771,3450,-0.0615,-1.22
1995-12-20,4.9566,5.0386,4.9566,5.0386,6900,0.0617,1.24
1995-12-21,4.9566,5.0386,4.9566,5.0386,28800,0.0,0.0
1995-12-26,4.9976,4.9976,4.9976,4.9976,150,-0.0408,-0.81
1995-12-27,4.9771,5.0386,4.9771,5.0386,13500,0.041,0.82
1995-12-28,4.9566,4.9566,4.9566,4.9566,2250,-0.0821,-1.63
1995-12-29,4.9566,4.9976,4.9566,4.9566,14250,0.0,0.0
1996-01-02,4.9566,5.0386,4.9566,4.9976,15900,0.0411,0.83
1996-01-04,4.9566,5.0847,4.9566,5.0386,61350,0.041,0.82
1996-01-05,4.9976,5.0386,4.9976,5.0386,37200,0.0,0.0
1996-01-08,4.9566,4.9566,4.9566,4.9566,5250,-0.0821,-1.63
1996-01-09,4.9566,5.0847,4.9566,5.0847,93900,0.1284,2.59
1996-01-10,4.9566,4.9771,4.8695,4.8695,23400,-0.2151,-4.23
1996-01-11,4.8695,5.0847,4.8695,5.0847,43650,0.2152,4.42
1996-01-12,4.9566,5.0847,4.8695,5.0847,8550,0.0,0.0
1996-01-15,4.9771,4.9771,4.8695,4.8695,23850,-0.2151,-4.23
1996-01-16,4.8695,4.9976,4.8695,4.9105,61650,0.0409,0.84
1996-01-17,4.8695,4.8695,4.8695,4.8695,8400,-0.0413,-0.84
1996-01-18,4.89,4.9566,4.89,4.9566,103200,0.0872,1.79
1996-01-19,4.9566,4.9566,4.8695,4.8695,1800,-0.0872,-1.76
1996-01-22,5.0847,5.0847,5.0847,5.0847,750,0.2152,4.42
1996-01-24,4.9566,5.0386,4.8695,4.8695,12900,-0.2151,-4.23
1996-01-25,5.0847,5.0847,4.8695,4.9566,18000,0.0872,1.79
1996-01-26,4.9566,4.9566,4.9566,4.9566,1050,0.0,0.0
1996-01-29,4.9771,4.9771,4.9771,4.9771,300,0.0203,0.41
1996-01-30,4.9976,5.1257,4.9105,5.1257,7650,0.1488,2.99
1996-01-31,5.1257,5.2129,4.9566,5.1257,20700,0.0,0.0
1996-02-01,5.2129,5.2129,5.0386,5.1257,47850,0.0,0.0
1996-02-02,5.1257,5.2129,5.1257,5.1257,215400,0.0,0.0
1996-02-05,5.1719,5.2129,5.1257,5.1463,124500,0.0205,0.4
1996-02-06,5.1257,5.2129,5.1257,5.1463,6150,0.0,0.0
1996-02-07,5.1257,5.1257,5.1257,5.1257,24750,-0.0206,-0.4
1996-02-08,5.1257,5.2129,5.1257,5.1257,20100,0.0,0.0
1996-02-09,5.2129,5.2129,5.2129,5.2129,51000,0.0871,1.7
1996-02-12,5.1052,5.1463,5.0847,5.0847,4800,-0.1282,-2.46
1996-02-13,5.0847,5.0847,5.0386,5.0847,2550,0.0,0.0
1996-02-14,5.0847,5.0847,5.0847,5.0847,7650,0.0,0.0
1996-02-15,5.2129,5.2129,5.0642,5.2129,42300,0.1281,2.52
1996-02-16,5.2129,5.2129,5.0847,5.0847,3750,-0.1282,-2.46
1996-02-20,5.0386,5.0847,5.0386,5.0386,684450,-0.0463,-0.91
1996-02-21,5.0386,5.0847,5.0335,5.0386,230700,0.0,0.0
1996-02-23,5.0181,5.0386,4.9976,4.9976,10500,-0.0408,-0.81
1996-02-26,4.9976,4.9976,4.9566,4.9976,13950,0.0,0.0
1996-02-27,4.9566,4.9976,4.9566,4.9976,10950,0.0,0.0
1996-02-28,4.9566,4.9566,4.9566,4.9566,300,-0.041,-0.82
1996-02-29,4.9566,4.9771,4.9566,4.9566,40950,0.0,0.0
1996-03-01,5.0386,5.0386,5.0386,5.0386,8700,0.0818,1.65
1996-03-05,4.9566,4.9566,4.9566,4.9566,1500,-0.0821,-1.63
1996-03-06,5.0386,5.0386,5.0386,5.0386,450,0.0818,1.65
1996-03-07,4.9976,4.9976,4.9976,4.9976,9000,-0.0408,-0.81
1996-03-08,4.9566,4.9566,4.7823,4.7823,53100,-0.2154,-4.31
1996-03-11,4.7823,4.9105,4.7823,4.8285,10050,0.0459,0.96
1996-03-12,4.8285,4.8695,4.7413,4.849,132900,0.0203,0.42
1996-03-13,4.7823,4.7823,4.7823,4.7823,2400,-0.0664,-1.37
1996-03-14,4.9566,4.9566,4.7823,4.9566,28500,0.1741,3.64
1996-03-19,4.7823,4.7823,4.7823,4.7823,300,-0.1745,-3.52
1996-03-20,4.9566,4.9566,4.9566,4.9566,150,0.1741,3.64
1996-03-21,4.9566,4.9566,4.9566,4.9566,8700,0.0,0.0
1996-03-22,4.8695,4.8695,4.7823,4.7823,5550,-0.1745,-3.52
1996-03-27,4.7823,4.7823,4.7823,4.7823,1950,0.0,0.0
1996-03-28,4.7823,4.7823,4.7823,4.7823,150,0.0,0.0
1996-03-29,4.8028,4.9566,4.7413,4.8285,308250,0.0459,0.96
1996-04-02,4.7413,4.7413,4.7413,4.7413,2700,-0.0869,-1.8
1996-04-03,4.9566,4.9566,4.9566,4.9566,2250,0.2153,4.54
1996-04-04,4.9566,4.9566,4.9566,4.9566,750,0.0,0.0
1996-04-08,4.9566,4.9566,4.7823,4.8285,59400,-0.1284,-2.59
1996-04-09,4.7823,4.808,4.7823,4.808,17700,-0.0203,-0.42
1996-04-10,4.7823,4.8285,4.7823,4.7823,97500,-0.0255,-0.53
1996-04-11,4.7823,4.8285,4.7003,4.7003,16200,-0.0818,-1.71
1996-04-12,4.6132,4.7823,4.6132,4.7823,33000,0.0818,1.74
1996-04-15,4.8285,4.8285,4.6542,4.8285,18600,0.0459,0.96
1996-04-16,4.7823,4.8285,4.6132,4.6542,198000,-0.1743,-3.61
1996-04-17,4.6132,4.7823,4.6132,4.6132,8400,-0.041,-0.88
1996-04-18,4.6593,4.7413,4.6542,4.7413,5550,0.1282,2.78
1996-04-19,4.7003,4.8285,4.6542,4.8285,38400,0.0872,1.84
1996-04-22,4.7003,4.7003,4.7003,4.7003,2700,-0.1279,-2.65
1996-04-23,4.7823,4.8285,4.7003,4.7823,14700,0.0818,1.74
1996-04-24,4.8285,4.8285,4.7413,4.7823,412800,0.0,0.0
1996-04-25,4.7823,4.7823,4.7823,4.7823,3000,0.0,0.0
1996-04-26,4.8285,4.8695,4.7003,4.7003,267750,-0.0818,-1.71
1996-04-29,4.7823,4.7823,4.7003,4.7208,11100,0.0207,0.44
1996-04-30,4.7003,4.7003,4.7003,4.7003,5100,-0.0203,-0.43
1996-05-02,4.7823,4.7823,4.526,4.6542,23250,-0.0461,-0.98
1996-05-03,4.526,4.7003,4.526,4.526,20550,-0.128,-2.75
1996-05-06,4.526,4.526,4.3569,4.444,30150,-0.0819,-1.81
1996-05-07,4.403,4.444,4.3569,4.3774,58650,-0.0667,-1.5
