日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-04-12,8.269,8.3011,7.8545,8.2743,918758,0.5297,6.84
1995-05-10,7.7422,7.7716,7.2715,7.7154,1218890,0.4174,5.72
1997-01-02,14.9428,15.1433,14.8759,14.9762,359900,0.0671,0.45
1997-01-03,14.9428,15.0096,14.5082,14.6753,245900,-0.301,-2.01
1997-01-06,14.6419,14.8425,14.6419,14.7756,149900,0.0998,0.68
1997-01-07,14.8425,15.0096,14.8425,14.8425,582400,0.068,0.46
1997-01-08,14.8425,14.8425,14.7422,14.8425,217200,0.0,0.0
1997-01-09,14.8425,14.8425,14.5082,14.6419,319100,-0.2019,-1.36
1997-01-10,14.575,14.8425,14.5082,14.8425,60300,0.202,1.38
1997-01-13,14.809,14.9762,14.809,14.9428,176500,0.0995,0.67
1997-01-14,15.0096,15.1768,15.0096,15.1099,209300,0.1674,1.12
1997-01-15,15.2102,15.277,15.1433,15.1433,78700,0.0317,0.21
1997-01-16,15.1433,15.3773,15.1433,15.3105,180200,0.1696,1.12
1997-01-17,15.3105,15.3439,15.277,15.3105,171100,0.0,0.0
1997-01-20,15.2436,15.277,15.0765,15.0765,48200,-0.2343,-1.53
1997-01-21,15.1433,15.1768,14.9428,15.1099,346800,0.0317,0.21
1997-01-22,15.1099,15.1433,15.0096,15.0096,172000,-0.0997,-0.66
1997-01-23,15.043,15.4442,14.9428,14.9428,410600,-0.0675,-0.45
1997-01-24,14.9093,15.1768,14.9093,15.0765,70400,0.1345,0.9
1997-01-27,14.9762,15.1768,14.9428,15.0765,103800,0.0,0.0
1997-01-28,15.1433,15.2102,14.9762,15.0096,213700,-0.0678,-0.45
1997-01-29,14.9762,15.043,14.8759,15.043,339200,0.0315,0.21
1997-01-30,15.043,15.043,14.9428,14.9428,236000,-0.0993,-0.66
1997-01-31,14.9762,15.0765,14.8759,14.8759,100600,-0.0672,-0.45
1997-02-03,14.8759,14.9762,14.809,14.8425,244200,-0.0327,-0.22
1997-02-04,14.7756,14.809,14.4079,14.575,242200,-0.2656,-1.79
1997-02-05,14.575,14.575,14.341,14.4079,241500,-0.1706,-1.17
1997-02-06,14.4413,14.4413,14.1405,14.1739,230700,-0.2305,-1.6
1997-02-07,14.2073,14.3745,14.1739,14.341,599900,0.1673,1.18
1997-02-10,14.341,14.4748,14.3076,14.4748,229400,0.132,0.92
1997-02-11,14.4748,14.4748,14.341,14.3745,271200,-0.0999,-0.69
1997-02-12,14.3076,14.3745,13.8396,14.107,2463100,-0.2659,-1.85
1997-02-13,14.0736,14.4079,14.0736,14.3076,357200,0.1989,1.41
1997-02-14,14.341,14.7756,14.3076,14.7088,303500,0.4006,2.8
1997-02-18,14.6753,14.6753,14.1739,14.1739,220300,-0.5324,-3.62
1997-02-19,14.1405,14.2073,14.0402,14.0402,151700,-0.1347,-0.95
1997-02-20,14.0402,14.2073,14.0067,14.107,207700,0.0674,0.48
1997-02-21,14.107,14.107,14.0402,14.0736,79500,-0.0353,-0.25
1997-02-24,14.0402,14.3076,14.0402,14.3076,89400,,
1997-02-25,14.3076,14.341,14.2073,14.2742,97800,,
1997-02-26,14.4079,14.4079,13.7727,13.873,355500,-0.1984,-1.41
1997-02-27,13.9399,14.2407,13.9065,14.0736,144100,0.1984,1.43
1997-02-28,14.0736,14.107,14.0067,14.0402,111300,-0.0324,-0.23
1997-03-03,14.0736,14.1405,13.9565,14.107,101900,0.0674,0.48
1997-03-04,14.107,14.1405,14.0402,14.0736,136000,-0.0353,-0.25
1997-03-05,14.0736,14.1405,14.0067,14.0067,314600,-0.0676,-0.48
1997-03-06,14.0402,14.1405,14.0402,14.0736,258200,0.0672,0.48
1997-03-07,14.107,14.3076,14.0736,14.2407,154900,0.1675,1.19
1997-03-10,14.2742,14.2742,14.1405,14.1405,120400,-0.0997,-0.7
1997-03-11,14.107,14.107,14.0402,14.0402,149100,-0.099,-0.7
1997-03-12,14.0736,14.0736,13.9065,13.9065,155300,-0.1348,-0.96
1997-03-13,13.8396,14.0067,13.8062,13.873,281500,-0.032,-0.23
1997-03-14,13.9065,14.0402,13.873,13.873,115900,0.0,0.0
1997-03-17,13.873,13.873,13.639,13.639,153800,-0.2345,-1.69
1997-03-18,13.7059,13.7727,13.6056,13.7727,128300,0.135,0.99
1997-03-19,13.7393,13.873,13.7393,13.8396,242300,0.0647,0.47
1997-03-20,13.9065,13.9065,13.8062,13.873,48900,0.036,0.26
1997-03-21,13.873,13.873,13.7727,13.7727,59700,-0.0999,-0.72
1997-03-24,13.7059,13.8396,13.7059,13.7727,211000,0.0,0.0
1997-03-25,13.7393,13.8396,13.7393,13.7393,120700,-0.0358,-0.26
1997-03-26,13.6725,13.8062,13.6725,13.6725,171900,-0.0673,-0.49
1997-03-27,13.7059,13.7059,13.3716,13.4385,140300,-0.2338,-1.71
1997-03-31,13.4385,13.4385,13.2379,13.2713,177300,-0.1666,-1.24
