日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2013-04-24,4.6,4.6,4.1,4.4,373350,-7.1,-61.74
2013-04-25,4.48,4.48,4.02,4.1,77710,-0.3,-6.82
2013-04-26,4.16,4.3,4.15,4.3,39892,0.2,4.88
2013-04-29,4.3,4.8,4.219,4.44,70023,0.14,3.26
2013-04-30,4.55,4.55,4.13,4.35,17528,-0.09,-2.03
2013-05-01,4.28,4.439,4.17,4.17,7019,-0.18,-4.14
2013-05-02,4.2,4.45,4.2,4.25,25686,0.0,0.0
2013-05-03,4.4,4.5,4.21,4.28,22232,0.11,2.64
2013-05-06,4.27,4.7,4.27,4.599,25896,0.32,7.48
2013-05-07,4.6,4.7,4.5,4.69,57910,0.09,1.96
2013-05-08,4.68,4.93,4.6,4.8,42468,0.11,2.35
2013-05-09,4.8,4.9,4.35,4.7,21000,-0.1,-2.08
2013-05-10,4.6,4.94,4.6,4.94,15503,0.24,5.11
2013-05-13,5.17,5.2,4.94,5.2,31525,0.26,5.26
2013-05-14,5.2,5.698,4.99,4.99,44028,-0.21,-4.04
2013-05-15,5.03,5.03,4.45,4.99,31357,0.0,0.0
2013-05-16,5.6,5.6,4.7,5.01,20250,0.02,0.4
2013-05-17,5.07,5.19,4.75,5.19,40581,0.0,0.0
2013-05-20,5.05,5.05,4.9,4.95,57328,0.0,0.0
2013-05-21,5.2,5.2,4.8,4.98,19900,0.0,0.0
2013-05-22,5.2,5.2,4.85,4.85,9050,0.0,0.0
2013-05-23,4.85,5.0,4.7,4.72,20754,0.0,0.0
2013-05-24,4.72,4.9,4.719,4.9,14400,0.0,0.0
2013-05-27,5.01,5.01,5.01,5.01,0,0.0,0.0
2013-05-28,5.0,5.0,4.8,4.99,33447,-0.02,-0.4
2013-05-29,4.92,4.989,4.71,4.71,27250,-0.28,-5.61
2013-05-30,5.0,5.6,4.71,4.9,109623,0.19,4.03
2013-05-31,4.99,4.999,4.71,4.71,17297,-0.19,-3.88
2013-06-03,4.71,4.95,4.65,4.8,26764,0.09,1.91
2013-06-04,4.8,4.83,4.65,4.7,2880,-0.1,-2.08
2013-06-05,4.82,4.82,4.43,4.5,13618,-0.2,-4.26
2013-06-06,4.53,4.75,4.24,4.31,31864,-0.19,-4.22
2013-06-07,4.51,4.555,4.399,4.4,11100,0.09,2.09
2013-06-10,4.39,4.6,4.26,4.5,61639,0.1,2.27
2013-06-11,4.44,4.44,4.44,4.44,100,-0.06,-1.33
2013-06-12,4.37,4.59,4.06,4.11,20660,-0.33,-7.43
2013-06-13,4.11,4.53,4.0,4.34,31280,0.23,5.6
2013-06-14,4.31,4.35,4.306,4.306,1312,-0.03,-0.69
2013-06-17,4.34,4.35,4.26,4.35,6485,0.04,0.93
2013-06-18,4.35,4.5,4.349,4.5,13312,0.15,3.45
2013-06-19,4.49,4.5,4.4,4.5,6631,0.0,0.0
2013-06-20,4.4,4.48,4.4,4.4,5683,-0.1,-2.22
2013-06-21,4.49,4.63,4.4,4.63,30754,0.23,5.23
2013-06-24,4.499,4.7,4.41,4.7,24074,0.07,1.51
2013-06-25,4.7,4.75,4.51,4.7,6000,0.0,0.0
2013-06-26,4.63,4.79,4.43,4.64,16100,-0.06,-1.28
2013-06-27,4.7,4.7,4.5,4.53,11142,-0.11,-2.37
2013-06-28,4.96,4.96,4.52,4.52,2621,-0.01,-0.22
2013-07-01,4.58,4.867,4.52,4.52,9644,0.0,0.0
2013-07-02,4.52,4.52,4.52,4.52,0,0.0,0.0
2013-07-03,4.709,4.709,4.52,4.52,300,0.0,0.0
2013-07-04,4.52,4.52,4.52,4.52,0,0.0,0.0
2013-07-05,4.55,4.57,4.52,4.52,600,0.0,0.0
2013-07-08,4.53,4.879,4.52,4.52,3612,0.0,0.0
2013-07-09,4.56,4.59,4.5,4.5,7312,-0.02,-0.44
2013-07-10,4.5,4.5,4.5,4.5,3143,0.0,0.0
2013-07-11,4.51,4.51,4.43,4.46,2700,-0.04,-0.89
2013-07-12,4.45,4.499,4.42,4.43,3600,-0.03,-0.67
2013-07-15,4.45,4.48,4.42,4.479,10100,0.05,1.13
2013-07-16,4.42,4.6,4.42,4.6,6627,0.12,2.68
2013-07-17,4.53,4.54,4.5,4.54,1900,-0.06,-1.3
2013-07-18,4.51,4.52,4.5,4.52,9150,-0.02,-0.44
2013-07-19,4.52,4.52,4.52,4.52,0,0.0,0.0
2013-07-22,4.55,4.58,4.54,4.55,3450,0.03,0.66
2013-07-23,4.6,4.92,4.6,4.91,32563,0.36,7.91
2013-07-24,4.91,5.709,4.9,5.25,19830,0.34,6.92
2013-07-25,5.5,5.5,4.96,5.39,10250,0.14,2.67
2013-07-26,5.38,5.5,5.15,5.16,5470,-0.23,-4.27
2013-07-29,5.1,5.25,5.0,5.25,7086,0.09,1.74
2013-07-30,5.18,5.18,5.15,5.15,300,-0.1,-1.9
2013-07-31,4.99,5.24,4.99,5.24,3000,0.09,1.75
2013-08-01,5.16,5.26,5.16,5.26,5230,0.02,0.38
2013-08-02,5.15,5.25,5.1,5.25,13701,-0.01,-0.19
2013-08-05,5.25,5.259,5.12,5.16,4487,-0.09,-1.71
2013-08-06,5.25,5.25,5.25,5.25,100,0.09,1.74
2013-08-07,5.12,5.16,4.8,5.16,4399,-0.09,-1.71
2013-08-08,5.15,5.65,5.15,5.15,2767,-0.01,-0.19
2013-08-09,5.25,5.3,5.25,5.3,1500,0.15,2.91
2013-08-12,5.27,5.27,5.12,5.25,4630,-0.05,-0.94
2013-08-13,5.0,5.99,4.83,5.35,16976,0.1,1.9
2013-08-14,5.24,5.25,4.9,5.25,10450,-0.1,-1.87
2013-08-15,5.0,5.2,5.0,5.2,665,-0.05,-0.95
2013-08-16,5.099,5.1,5.069,5.069,13112,-0.13,-2.5
2013-08-19,4.97,5.159,4.8,5.159,12723,0.09,1.78
2013-08-20,5.021,5.021,4.86,4.87,2262,-0.29,-5.62
2013-08-21,5.02,5.19,5.02,5.02,2519,0.15,3.08
2013-08-22,5.02,5.02,5.02,5.02,0,0.0,0.0
2013-08-23,5.01,5.38,4.89,5.01,34037,-0.01,-0.2
2013-08-26,5.01,5.199,5.01,5.05,3500,0.04,0.8
2013-08-27,5.07,5.18,4.92,4.92,3675,-0.13,-2.57
2013-08-28,5.2,5.2,5.199,5.199,2633,0.28,5.69
2013-08-29,5.3,5.44,5.16,5.4,30186,0.2,3.85
2013-08-30,5.45,5.5,5.4,5.48,13356,0.08,1.48
2013-09-02,5.48,5.48,5.48,5.48,0,0.0,0.0
2013-09-03,5.5,5.63,5.5,5.55,7565,0.07,1.28
2013-09-04,5.6,5.6,5.148,5.209,44136,-0.34,-6.13
2013-09-05,5.23,5.38,5.035,5.25,6258,0.04,0.77
2013-09-06,5.28,5.451,5.25,5.35,3209,0.1,1.9
2013-09-09,5.57,5.629,5.104,5.54,10600,0.19,3.55
2013-09-10,5.5,5.549,5.47,5.47,4187,-0.07,-1.26
2013-09-11,5.48,5.54,5.15,5.23,11400,-0.24,-4.39
2013-09-12,5.14,5.23,5.14,5.23,400,0.0,0.0
2013-09-13,5.1,5.1,5.1,5.1,2500,-0.13,-2.49
2013-09-16,5.131,5.131,5.131,5.131,600,0.03,0.59
2013-09-17,5.25,5.52,5.201,5.25,7838,0.12,2.34
2013-09-18,5.25,5.369,5.2,5.369,900,0.12,2.29
2013-09-19,5.38,5.39,5.17,5.38,3300,0.01,0.19
2013-09-20,5.12,5.351,5.11,5.11,2571,-0.27,-5.02
2013-09-23,5.1,5.38,5.1,5.24,1300,0.13,2.54
2013-09-24,5.289,5.39,5.289,5.39,4100,0.15,2.86
2013-09-25,5.27,5.27,5.25,5.251,824,-0.14,-2.6
2013-09-26,5.25,5.37,5.12,5.37,1200,0.12,2.29
2013-09-27,5.12,5.36,5.02,5.04,2025,-0.33,-6.15
2013-09-30,5.3,5.39,5.12,5.39,2900,0.35,6.94
2013-10-01,5.409,5.409,5.13,5.14,2700,-0.25,-4.64
2013-10-02,5.04,5.28,4.78,5.23,23677,0.09,1.75
2013-10-03,5.249,5.25,5.17,5.17,1000,-0.06,-1.15
2013-10-04,5.001,5.11,4.751,5.11,14380,-0.06,-1.16
2013-10-07,5.09,5.09,4.78,4.92,1458,-0.19,-3.72
2013-10-08,4.99,5.1,4.77,4.8,13624,-0.12,-2.44
2013-10-09,4.81,4.99,4.41,4.8,13039,0.0,0.0
2013-10-10,4.989,4.989,4.933,4.94,1000,0.14,2.92
2013-10-11,4.97,4.97,4.97,4.97,11,0.03,0.61
2013-10-14,4.97,4.97,4.97,4.97,0,0.0,0.0
2013-10-15,4.979,4.979,4.979,4.979,100,0.01,0.2
2013-10-16,4.93,5.0,4.49,4.997,5747,0.02,0.4
2013-10-17,5.0,5.0,4.6,4.98,8245,-0.02,-0.4
2013-10-18,4.6,4.81,4.6,4.81,730,-0.17,-3.41
2013-10-21,4.6,5.0,4.6,5.0,8136,0.19,3.95
2013-10-22,4.9,4.99,4.9,4.99,600,-0.01,-0.2
2013-10-23,4.9,4.999,4.9,4.999,400,0.01,0.2
2013-10-24,5.0,5.0,4.9,4.9,920,-0.1,-2.0
2013-10-25,4.98,4.999,4.98,4.999,995,0.1,2.04
2013-10-28,4.95,4.95,4.95,4.95,100,-0.05,-1.0
2013-10-29,4.95,5.0,4.95,5.0,5000,0.05,1.01
2013-10-30,4.96,4.96,4.96,4.96,1100,-0.04,-0.8
2013-10-31,4.86,4.95,4.86,4.94,400,-0.02,-0.4
2013-11-01,4.87,4.87,4.801,4.86,2700,-0.08,-1.62
2013-11-04,4.8,4.8,4.6,4.6,3179,-0.26,-5.35
2013-11-05,4.6,4.645,4.6,4.645,310,0.05,1.09
2013-11-06,4.67,4.74,4.67,4.74,200,0.09,1.94
2013-11-07,4.57,4.62,4.57,4.6,2909,-0.14,-2.95
2013-11-08,4.65,4.74,4.25,4.3,10192,-0.3,-6.52
2013-11-11,4.21,4.23,3.75,4.21,11015,-0.09,-2.09
2013-11-12,3.9,4.21,3.84,4.17,28769,-0.04,-0.95
2013-11-13,4.0,4.18,3.85,4.18,13173,0.01,0.24
2013-11-14,4.0,4.459,3.96,4.239,12290,0.06,1.44
2013-11-15,4.09,4.399,4.0,4.05,5136,-0.19,-4.48
2013-11-18,4.09,4.25,4.06,4.1,4133,0.05,1.23
2013-11-19,4.05,4.15,4.05,4.15,1400,0.05,1.22
2013-11-20,4.021,4.17,4.02,4.021,2614,-0.13,-3.13
2013-11-21,4.02,4.385,4.02,4.385,3407,0.37,9.2
2013-11-22,4.37,4.37,4.02,4.339,1590,-0.05,-1.14
2013-11-25,4.2,4.2,4.0,4.0,4700,-0.34,-7.83
2013-11-26,4.01,4.19,4.0,4.0,13600,0.0,0.0
2013-11-27,4.1,4.319,4.1,4.319,10157,0.32,8.0
2013-11-28,4.32,4.32,4.32,4.32,0,0.0,0.0
2013-11-29,4.19,4.19,4.01,4.02,5250,-0.3,-6.94
2013-12-02,4.07,4.15,4.05,4.09,7947,0.07,1.74
2013-12-03,3.99,4.02,3.85,3.95,10241,-0.14,-3.42
2013-12-04,4.0,4.25,3.98,4.25,14003,0.3,7.59
2013-12-05,4.27,4.79,4.1,4.65,74015,0.4,9.41
2013-12-06,4.73,4.75,4.5,4.749,23700,0.1,2.15
2013-12-09,4.7,5.1,4.7,4.84,198580,0.09,1.89
2013-12-10,4.75,5.08,4.75,5.06,143919,0.22,4.55
2013-12-11,5.06,5.06,4.72,4.74,31685,-0.32,-6.32
2013-12-12,4.72,4.93,4.72,4.93,5850,0.19,4.01
2013-12-13,4.691,4.92,4.691,4.76,3108,-0.17,-3.45
2013-12-16,4.77,4.85,4.76,4.85,27577,0.09,1.89
2013-12-17,4.85,4.85,4.75,4.75,26506,-0.1,-2.06
2013-12-18,4.824,4.83,4.8,4.81,16947,0.06,1.26
2013-12-19,4.801,4.94,4.8,4.94,10110,0.13,2.7
2013-12-20,4.91,5.0,4.81,4.81,67496,-0.13,-2.63
2013-12-23,4.92,5.05,4.83,5.05,22743,0.24,4.99
2013-12-24,5.05,5.05,5.05,5.05,2325,0.0,0.0
2013-12-25,5.05,5.05,5.05,5.05,0,0.0,0.0
2013-12-26,5.05,5.05,4.91,4.99,9525,-0.06,-1.19
2013-12-27,4.99,4.99,4.94,4.94,1998,-0.05,-1.0
2013-12-30,4.96,5.05,4.96,5.05,1903,0.11,2.23
2013-12-31,5.04,5.1,5.04,5.1,16289,0.05,0.99
2014-01-01,5.1,5.1,5.1,5.1,0,0.0,0.0
2014-01-02,5.0,5.187,4.951,5.187,4018,0.09,1.76
2014-01-03,5.1,5.12,4.975,5.12,19075,-0.07,-1.35
2014-01-06,4.97,5.011,4.97,5.01,3200,-0.11,-2.15
2014-01-07,5.04,5.29,5.04,5.1,6610,0.09,1.8
2014-01-08,5.12,5.2,5.1,5.1,2600,0.0,0.0
2014-01-09,5.099,5.45,5.063,5.28,53758,0.18,3.53
2014-01-10,5.28,5.65,5.279,5.44,9662,0.16,3.03
2014-01-13,5.489,5.489,5.301,5.329,9411,-0.11,-2.02
2014-01-14,5.39,5.599,5.2,5.489,29657,0.16,3.0
2014-01-15,5.28,5.48,5.27,5.395,13185,-0.09,-1.64
2014-01-16,5.395,5.399,5.29,5.29,400,-0.11,-2.04
2014-01-17,5.29,5.29,5.04,5.07,8179,-0.22,-4.16
2014-01-20,5.07,5.07,5.07,5.07,0,0.0,0.0
2014-01-21,5.04,5.357,5.04,5.22,8731,0.15,2.96
2014-01-22,5.25,5.25,5.18,5.23,15843,0.01,0.19
2014-01-23,5.23,5.319,5.185,5.31,25115,0.08,1.53
2014-01-24,5.31,5.31,5.21,5.21,1920,-0.1,-1.88
2014-01-27,5.29,6.25,5.2,5.54,290729,0.33,6.33
2014-01-28,5.37,5.51,5.103,5.464,107151,-0.08,-1.44
2014-01-29,5.7,5.8,5.26,5.29,123759,-0.17,-3.11
2014-01-30,5.43,5.62,5.0,5.11,54714,-0.18,-3.4
2014-01-31,5.24,5.24,4.95,5.02,34046,-0.09,-1.76
2014-02-03,5.1,5.11,4.75,4.91,41397,-0.11,-2.19
2014-02-04,4.98,4.98,4.75,4.81,17108,-0.1,-2.04
2014-02-05,4.9,4.95,4.9,4.949,4233,0.14,2.91
2014-02-06,5.24,5.24,4.89,5.0,21037,0.05,1.01
2014-02-07,5.16,5.16,5.0,5.0,1700,0.0,0.0
2014-02-10,5.0,5.15,5.0,5.15,13520,0.15,3.0
2014-02-11,5.15,5.22,5.05,5.05,14474,-0.1,-1.94
2014-02-12,5.05,5.154,5.0,5.154,8658,0.1,1.98
2014-02-13,5.178,5.178,5.15,5.15,589,0.0,0.0
2014-02-14,5.13,5.19,4.93,4.95,1733,-0.2,-3.88
2014-02-17,4.95,4.95,4.95,4.95,0,0.0,0.0
2014-02-18,5.02,5.18,4.95,5.163,4902,0.21,4.24
2014-02-19,5.2,5.2,4.96,5.149,3508,-0.01,-0.19
2014-02-20,5.14,5.15,4.932,5.15,1200,0.0,0.0
2014-02-21,5.24,5.24,5.19,5.22,16018,0.07,1.36
2014-02-24,5.21,5.48,5.1,5.45,58328,0.23,4.41
2014-02-25,5.41,5.93,5.37,5.499,22259,0.05,0.92
2014-02-26,5.156,5.8,5.156,5.8,2300,0.3,5.45
2014-02-27,5.79,5.819,5.45,5.6,2810,-0.2,-3.45
2014-02-28,5.599,5.61,5.35,5.35,8831,-0.25,-4.46
2014-03-03,5.65,5.7,5.145,5.34,3391,-0.01,-0.19
2014-03-04,5.49,5.65,5.265,5.265,12886,-0.07,-1.31
2014-03-05,5.22,5.367,5.11,5.283,5756,0.01,0.19
2014-03-06,5.42,5.63,5.129,5.2,18432,-0.08,-1.52
2014-03-07,5.229,5.3,5.229,5.25,4017,0.05,0.96
2014-03-10,5.4,5.5,5.4,5.5,48644,0.25,4.76
2014-03-11,5.57,5.58,5.35,5.53,30876,0.03,0.55
2014-03-12,5.6,5.85,5.6,5.66,17313,0.13,2.35
2014-03-13,5.65,5.67,5.27,5.34,32833,-0.32,-5.65
2014-03-14,5.28,5.49,5.28,5.49,2669,0.15,2.81
2014-03-17,5.53,5.68,5.53,5.65,1533,0.16,2.91
2014-03-18,5.65,5.68,5.451,5.589,2375,-0.06,-1.06
2014-03-19,5.68,6.37,5.29,5.31,174147,-0.28,-5.01
2014-03-20,5.38,5.45,5.17,5.17,25890,-0.14,-2.64
2014-03-21,5.17,5.209,5.04,5.08,26284,-0.09,-1.74
2014-03-24,5.0,5.13,4.91,4.911,34278,-0.17,-3.33
2014-03-25,4.939,4.94,4.92,4.94,9263,0.03,0.59
2014-03-26,4.91,4.92,4.8,4.81,13656,0.11,2.39
2014-03-27,4.69,4.8,4.69,4.77,3254,,
2014-03-28,4.899,4.9,4.78,4.78,2300,,
2014-03-31,4.84,4.84,4.802,4.819,2850,,
2014-04-01,4.7,4.7,4.55,4.59,19534,,
2014-04-02,4.708,4.708,4.65,4.699,3001,,
2014-04-03,4.599,4.69,4.58,4.58,1225,-0.12,-2.55
2014-04-04,4.67,4.67,4.55,4.555,17266,-0.03,-0.55
2014-04-07,4.51,4.52,4.4,4.4,11650,-0.16,-3.4
2014-04-08,4.47,4.47,4.34,4.34,7937,-0.06,-1.36
2014-04-09,4.34,4.52,4.26,4.4,14099,0.06,1.38
2014-04-10,4.4,4.4,4.32,4.33,4059,-0.07,-1.59
2014-04-11,4.356,4.37,4.35,4.35,5095,-0.09,-2.02
2014-04-14,4.41,4.46,4.39,4.46,2778,,
2014-04-15,4.46,4.46,4.192,4.369,11215,,
2014-04-16,4.324,4.46,4.216,4.45,7990,0.08,1.83
2014-04-17,4.36,4.439,4.35,4.439,3130,0.13,2.97
2014-04-21,4.4,4.46,4.281,4.3,5245,,
2014-04-22,4.41,4.439,4.28,4.428,4080,,
2014-04-23,4.33,4.34,4.22,4.3,23510,-0.13,-2.89
2014-04-24,4.26,4.295,4.1,4.2,11473,-0.1,-2.33
2014-04-25,4.24,4.28,4.15,4.22,13713,0.02,0.48
2014-04-28,4.25,4.25,4.214,4.249,1150,0.03,0.71
2014-04-29,4.21,4.21,4.12,4.12,6700,-0.13,-3.06
2014-04-30,4.1,4.14,4.0,4.05,8740,0.09,2.26
2014-05-01,4.05,4.23,4.05,4.141,6079,,
2014-05-02,4.11,4.11,3.96,4.01,9768,-0.13,-3.17
2014-05-05,4.099,4.099,4.099,4.099,1000,0.09,2.24
2014-05-06,4.1,4.1,4.01,4.01,795,-0.09,-2.19
2014-05-07,4.15,4.19,4.028,4.028,12818,0.02,0.45
2014-05-08,4.15,4.24,3.951,4.04,1630,0.01,0.29
2014-05-09,3.97,3.97,3.97,3.97,400,-0.07,-1.73
2014-05-12,4.269,4.27,4.1,4.1,20439,0.13,3.27
2014-05-13,4.1,4.1,3.98,4.09,3238,-0.01,-0.23
2014-05-14,4.349,4.349,4.023,4.03,5108,-0.06,-1.48
2014-05-15,3.95,3.95,3.77,3.87,25900,-0.16,-3.97
2014-05-16,3.866,3.866,3.8,3.81,5500,-0.06,-1.55
2014-05-19,3.9,3.9,3.9,3.9,400,0.09,2.36
2014-05-20,3.92,3.92,3.92,3.92,750,0.02,0.51
2014-05-21,3.81,3.95,3.81,3.95,1505,0.03,0.77
2014-05-22,3.821,3.834,3.821,3.834,500,-0.05,-1.28
2014-05-23,3.84,3.84,3.84,3.84,1480,,
2014-05-27,3.9,3.9,3.8,3.9,8044,,
2014-05-28,3.905,3.905,3.9,3.9,950,,
2014-05-29,3.85,3.92,3.85,3.9,1410,,
2014-05-30,3.9,3.9,3.83,3.87,7919,,
2014-06-02,3.9,3.9,3.9,3.9,100,,
2014-06-03,3.82,3.85,3.75,3.85,3300,,
2014-06-04,3.97,3.98,3.96,3.98,1600,0.13,3.38
2014-06-05,3.95,3.98,3.59,3.77,12072,-0.21,-5.28
2014-06-06,3.74,3.82,3.74,3.803,2100,0.03,0.88
2014-06-09,3.79,3.87,3.74,3.87,15275,0.07,1.76
2014-06-10,3.87,4.0,3.72,3.854,6529,-0.11,-2.82
2014-06-11,3.73,3.9,3.73,3.9,2500,,
2014-06-16,3.784,3.95,3.7,3.95,9001,0.05,1.28
2014-06-17,4.0,4.39,3.96,4.22,12414,0.01,0.26
2014-06-19,4.24,4.249,4.1,4.1,1388,,
2014-06-20,4.04,4.25,4.0,4.25,4348,,
2014-06-23,4.261,4.261,4.261,4.261,347,,
2014-06-24,4.29,4.3,4.1,4.3,712,0.04,0.91
2014-06-25,4.24,4.24,4.24,4.24,109,-0.18,-4.29
2014-06-26,4.06,4.076,3.97,4.058,2106,,
2014-06-27,4.05,4.061,4.02,4.056,2290,0.0,-0.05
2014-06-30,4.22,4.25,4.14,4.25,3810,0.19,4.78
2014-07-01,4.12,4.449,4.12,4.449,15103,0.2,4.7
2014-07-02,4.489,4.68,4.37,4.41,20591,-0.04,-0.9
2014-07-03,4.206,4.587,4.206,4.57,1850,-0.07,-1.53
2014-07-07,4.6,4.6,4.41,4.499,1055,,
2014-07-08,4.37,4.62,4.37,4.39,7530,-0.05,-1.15
2014-07-09,4.55,4.55,4.43,4.47,1800,,
2014-07-10,4.29,4.29,4.29,4.29,100,,
2014-07-11,4.31,4.31,4.31,4.31,100,,
2014-07-14,4.43,4.43,4.36,4.36,1395,,
2014-07-15,4.15,4.33,4.141,4.31,3877,,
2014-07-16,4.35,4.41,4.24,4.3,15137,-0.03,-0.7
2014-07-17,4.3,4.35,4.14,4.27,18015,,
2014-07-18,4.21,4.48,4.18,4.43,7220,0.16,3.75
2014-07-21,4.45,4.46,4.25,4.43,15726,0.0,0.0
2014-07-22,4.41,4.41,4.16,4.24,7025,-0.19,-4.29
2014-07-23,4.19,4.23,4.02,4.2,21417,-0.04,-0.94
2014-07-24,4.2,4.21,4.2,4.209,3000,0.01,0.24
2014-07-25,4.2,4.21,3.99,4.01,11840,-0.2,-4.75
2014-07-28,4.01,4.129,3.92,4.0,3877,-0.01,-0.25
2014-07-29,4.06,4.3,3.96,3.96,45127,-0.04,-1.0
2014-07-30,3.99,4.22,3.67,3.73,144664,-0.19,-5.09
2014-07-31,3.75,3.75,3.54,3.54,20350,,
2014-08-01,3.5,3.68,3.48,3.5,31000,-0.04,-1.13
2014-08-04,3.49,3.5,3.25,3.4,31862,-0.1,-2.86
2014-08-05,3.44,3.44,3.3,3.33,24220,,
2014-08-06,3.31,3.347,3.3,3.31,5200,,
2014-08-07,3.22,3.253,2.96,2.96,83104,-0.01,-0.34
2014-08-08,2.81,2.96,2.77,2.96,16991,,
2014-08-11,2.96,3.025,2.96,2.96,20066,,
2014-08-12,2.95,2.95,2.65,2.95,10017,,
2014-08-13,2.94,2.999,2.8,2.999,8280,0.05,1.69
2014-08-14,3.0,3.0,2.83,2.86,6270,-0.14,-4.66
2014-08-15,2.891,2.99,2.88,2.95,26294,0.09,3.15
2014-08-18,2.91,2.949,2.9,2.9,4840,-0.05,-1.69
2014-08-19,2.999,2.999,2.81,2.83,19177,-0.07,-2.41
2014-08-20,2.969,2.969,2.78,2.83,6500,0.0,0.0
2014-08-21,2.82,2.88,2.82,2.85,6864,0.03,1.08
2014-08-22,2.82,2.83,2.681,2.83,13812,,
2014-08-25,2.87,2.87,2.87,2.87,1000,,
2014-08-26,2.88,2.88,2.76,2.85,4125,,
2014-08-27,2.839,2.85,2.81,2.85,2385,,
2014-08-28,2.76,2.83,2.76,2.77,2120,,
2014-08-29,2.81,2.81,2.67,2.8,9004,,
2014-09-02,2.839,2.839,2.68,2.8,9980,0.0,0.0
2014-09-03,2.7,2.701,2.669,2.67,3450,0.15,5.62
2014-09-04,2.72,2.82,2.72,2.82,1261,,
2014-09-05,2.84,3.34,2.58,3.08,50494,0.26,9.24
2014-09-08,3.1,3.58,3.1,3.41,116756,0.33,10.7
2014-09-09,3.45,5.24,3.26,3.71,712622,0.3,8.8
2014-09-10,3.97,3.98,3.45,3.54,63233,-0.17,-4.58
2014-09-11,3.5,3.5,3.25,3.31,39966,-0.23,-6.5
2014-09-12,3.32,3.43,3.31,3.35,10463,0.04,1.21
2014-09-15,3.336,3.38,3.08,3.22,34935,-0.13,-3.88
2014-09-16,3.22,3.34,3.22,3.31,26930,0.09,2.8
2014-09-17,3.25,3.58,3.25,3.5,7825,0.19,5.74
2014-09-18,3.49,3.5,3.399,3.43,20129,-0.07,-2.0
2014-09-19,3.46,3.59,3.4,3.4,13390,-0.03,-0.87
2014-09-22,3.44,3.495,3.31,3.4,9682,0.0,0.0
2014-09-23,3.42,3.42,3.4,3.4,5228,0.0,0.0
2014-09-24,3.49,3.88,3.42,3.589,79264,0.19,5.56
2014-09-25,3.69,3.74,3.44,3.6,9425,0.07,1.94
2014-09-26,3.6,3.67,3.45,3.67,1235,,
2014-09-29,3.46,3.6,3.35,3.6,27107,-0.07,-1.91
2014-09-30,3.38,3.573,3.38,3.45,10915,-0.15,-4.17
2014-10-01,3.36,3.49,3.36,3.49,6218,-0.06,-1.74
2014-10-02,3.67,3.67,3.587,3.587,1960,,
2014-10-03,3.45,3.551,3.45,3.549,9123,,
2014-10-07,3.515,3.515,3.41,3.45,10034,,
2014-10-08,3.44,3.45,3.38,3.39,6457,,
2014-10-09,3.39,3.443,3.38,3.38,7356,0.22,5.78
2014-10-10,3.33,3.33,3.25,3.264,8250,,
2014-10-13,3.25,3.29,3.22,3.22,6600,,
2014-10-14,3.21,3.25,3.21,3.25,1900,,
2014-10-15,3.204,3.204,3.204,3.204,1000,,
2014-10-16,3.18,3.29,3.18,3.23,11023,,
2014-10-17,3.2,3.24,3.2,3.24,685,,
2014-10-20,3.28,3.29,3.28,3.29,600,,
2014-10-21,3.32,3.32,3.32,3.32,175,,
