日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-11-29,0.637,0.6469,0.637,0.637,91600,-0.0197,-3.0
1995-11-30,0.637,0.6469,0.6255,0.6469,6400,0.0099,1.55
1995-12-01,0.6469,0.6469,0.6157,0.6469,62800,0.0,0.0
1995-12-04,0.6469,0.6469,0.6157,0.6469,10000,0.0,0.0
1995-12-05,0.6469,0.6469,0.6157,0.6469,6600,0.0,0.0
1995-12-06,0.6469,0.6567,0.6157,0.6567,11800,0.0098,1.52
1995-12-07,0.6567,0.6978,0.6567,0.6567,47800,0.0,0.0
1995-12-08,0.6567,0.6781,0.637,0.6666,180400,0.0099,1.5
1995-12-11,0.6682,0.6879,0.6567,0.6781,22200,0.0115,1.72
1995-12-12,0.6781,0.6879,0.637,0.6781,47600,0.0,0.0
1995-12-13,0.6781,0.6781,0.6469,0.6666,124200,-0.0115,-1.69
1995-12-14,0.6682,0.6978,0.6567,0.6978,39400,0.0312,4.68
1995-12-15,0.6978,0.6978,0.6469,0.6978,4600,0.0,0.0
1995-12-18,0.637,0.6781,0.637,0.6567,264800,-0.041,-5.88
1995-12-19,0.6567,0.6781,0.6469,0.6567,5800,0.0,0.0
1995-12-20,0.6567,0.6781,0.6469,0.6469,4000,-0.0099,-1.5
1995-12-21,0.6567,0.6781,0.6567,0.6781,15400,0.0312,4.82
1995-12-22,0.6781,0.6879,0.6567,0.6879,82200,0.0098,1.45
1995-12-26,0.6978,0.6978,0.6978,0.6978,600,0.0098,1.43
1995-12-27,0.6978,0.6978,0.6666,0.6978,2000,0.0,0.0
1995-12-28,0.6978,0.7388,0.6666,0.7388,73200,0.041,5.88
1995-12-29,0.7388,0.8012,0.7191,0.7799,249800,0.0411,5.56
1996-07-18,0.5746,0.5746,0.5549,0.5746,10800,-0.2053,-26.32
1996-07-19,0.5746,0.5746,0.5237,0.5746,1000,0.0,0.0
1996-07-22,0.4925,0.5648,0.4925,0.5648,58800,-0.0098,-1.71
1996-07-24,0.5746,0.5746,0.5024,0.5746,113600,0.0098,1.74
1996-07-25,0.5746,0.6058,0.5549,0.6058,3600,0.0312,5.43
1996-07-26,0.6058,0.6058,0.5549,0.6058,4400,0.0,0.0
1996-07-29,0.6058,0.6058,0.5549,0.6058,2200,0.0,0.0
1996-07-30,0.5648,0.5845,0.5648,0.5845,28000,-0.0213,-3.52
1996-07-31,0.5845,0.5845,0.5549,0.5845,1400,0.0,0.0
1996-08-01,0.5549,0.5746,0.5549,0.5746,4000,-0.0099,-1.69
1996-08-05,0.5746,0.5845,0.5336,0.5845,18400,0.0098,1.71
1996-08-06,0.5845,0.5845,0.5336,0.5845,6200,0.0,0.0
1996-08-07,0.5845,0.5845,0.5336,0.5845,22600,0.0,0.0
1996-08-08,0.5845,0.5845,0.5336,0.5845,1000,0.0,0.0
1996-08-09,0.5845,0.5845,0.5336,0.5845,4400,0.0,0.0
1996-08-12,0.5845,0.5845,0.5336,0.5845,3200,0.0,0.0
1996-08-13,0.5845,0.5845,0.5845,0.5845,400,0.0,0.0
1996-08-14,0.5237,0.5746,0.5237,0.5746,14200,-0.0099,-1.69
1996-08-15,0.5746,0.5746,0.5336,0.5746,10400,0.0,0.0
1996-08-16,0.5746,0.5746,0.5287,0.5746,4400,0.0,0.0
1996-08-20,0.5746,0.5746,0.5237,0.5746,9800,0.0,0.0
1996-08-21,0.5746,0.5746,0.5237,0.5434,17600,-0.0312,-5.43
1996-08-22,0.5434,0.5434,0.5024,0.5434,6800,0.0,0.0
1996-08-23,0.5434,0.5434,0.4728,0.5434,23000,0.0,0.0
1996-08-26,0.4925,0.5336,0.4925,0.5336,3200,-0.0098,-1.81
1996-08-27,0.5336,0.5434,0.4925,0.5385,41600,0.0049,0.92
1996-08-28,0.5385,0.5434,0.4925,0.5139,17400,-0.0246,-4.57
1996-08-29,0.5139,0.5237,0.5024,0.5024,10600,-0.0115,-2.24
1996-08-30,0.504,0.5139,0.5024,0.5139,13600,0.0115,2.29
1996-09-03,0.4515,0.4925,0.4515,0.4925,17000,-0.0213,-4.15
1996-09-04,0.4925,0.4925,0.4515,0.4925,1200,0.0,0.0
1996-09-05,0.4925,0.5024,0.4728,0.4925,51000,0.0,0.0
1996-09-10,0.4925,0.4925,0.4613,0.4925,6400,0.0,0.0
1996-09-11,0.4925,0.4925,0.4728,0.4728,6200,-0.0197,-4.0
1996-09-12,0.4728,0.5024,0.4728,0.4925,38000,0.0197,4.17
1996-09-13,0.4925,0.5139,0.4827,0.5139,7000,0.0213,4.33
1996-09-16,0.5139,0.5139,0.4925,0.5139,5800,0.0,0.0
1996-09-17,0.4925,0.5024,0.4925,0.4925,200000,-0.0213,-4.15
1996-09-18,0.4925,0.5139,0.4728,0.5024,34600,0.0099,2.0
1996-09-23,0.5024,0.5024,0.4728,0.5024,13600,0.0,0.0
1996-09-24,0.5024,0.5024,0.4827,0.5024,800,0.0,0.0
1996-09-25,0.5024,0.5024,0.4728,0.5024,2000,0.0,0.0
1996-09-26,0.5024,0.5024,0.4728,0.4925,8800,-0.0098,-1.96
1996-09-27,0.4925,0.5024,0.4827,0.4925,13200,0.0,0.0
1996-10-01,0.4925,0.5139,0.4925,0.5024,104000,0.0099,2.0
1996-10-02,0.5024,0.5024,0.4613,0.4925,21000,-0.0098,-1.96
1996-10-03,0.4925,0.5024,0.4613,0.4925,12800,0.0,0.0
1996-10-04,0.4925,0.5024,0.4613,0.4827,9000,-0.0099,-2.0
1996-10-09,0.4515,0.4728,0.4515,0.4515,10600,-0.0312,-6.46
1996-10-10,0.4515,0.4663,0.4515,0.4515,3000,0.0,0.0
1996-10-11,0.4515,0.4613,0.4318,0.4318,161800,-0.0197,-4.36
1996-10-14,0.4318,0.4515,0.4318,0.4416,9800,0.0098,2.28
1996-10-15,0.4416,0.4515,0.4318,0.4515,20000,0.0098,2.23
1996-10-16,0.4318,0.4416,0.4318,0.4318,8200,-0.0197,-4.36
1996-10-17,0.4318,0.4613,0.4203,0.4203,12000,-0.0115,-2.66
1996-10-18,0.4203,0.4203,0.4203,0.4203,2800,0.0,0.0
1996-10-21,0.4219,0.4613,0.3907,0.4203,33800,0.0,0.0
1996-10-22,0.3907,0.4006,0.3907,0.3907,9200,-0.0295,-7.03
1996-10-23,0.3907,0.4318,0.3694,0.4318,14000,0.041,10.5
1996-10-24,0.4318,0.4416,0.4104,0.4318,75800,0.0,0.0
1996-10-25,0.4318,0.4728,0.4203,0.4728,14800,0.0411,9.51
1996-10-28,0.4728,0.4925,0.4515,0.4515,18200,-0.0213,-4.51
1996-10-29,0.4728,0.4827,0.4728,0.4827,8400,0.0312,6.91
1996-10-30,0.4515,0.4613,0.4515,0.4515,10000,-0.0312,-6.46
1996-10-31,0.4515,0.4515,0.4318,0.4318,26000,-0.0197,-4.36
1996-11-01,0.4318,0.4613,0.4318,0.4613,7200,0.0295,6.84
1996-11-04,0.463,0.5549,0.4318,0.4975,174400,0.0361,7.83
1996-11-05,0.4975,0.5336,0.4925,0.5139,63400,0.0164,3.3
1996-11-06,0.5139,0.5336,0.4925,0.4925,20800,-0.0213,-4.15
1996-11-07,0.4925,0.5336,0.4925,0.5139,89400,0.0213,4.33
1996-11-08,0.5139,0.5336,0.5024,0.5336,41400,0.0197,3.83
1996-11-11,0.5336,0.5336,0.5024,0.5336,12200,0.0,0.0
