日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-01-03,2.3247,2.3247,2.3247,2.3247,23000,0.0,0.0
1995-01-04,2.4345,2.4345,2.4345,2.4345,2100,0.11,4.73
1995-01-05,2.4345,2.536,2.3247,2.3247,26200,-0.1098,-4.51
1995-01-06,2.536,2.536,2.3247,2.536,20000,0.2113,9.09
1995-01-09,2.536,2.536,2.3247,2.536,21000,0.0,0.0
1995-01-10,2.536,2.536,2.3247,2.3247,16900,-0.2112,-8.33
1995-01-11,2.4345,2.536,2.3247,2.536,20300,0.2113,9.09
1995-01-12,2.3247,2.536,2.3247,2.536,24400,0.0,0.0
1995-01-13,2.3247,2.536,2.3247,2.4853,32400,-0.0507,-2.0
1995-01-16,2.536,2.536,2.3247,2.536,17700,0.0507,2.04
1995-01-17,2.5106,2.536,2.3247,2.536,15900,0.0,0.0
1995-01-18,2.3247,2.4853,2.3247,2.3247,37400,-0.2112,-8.33
1995-01-19,2.4853,2.4853,2.3247,2.3247,42200,0.0,0.0
1995-01-20,2.3247,2.4345,2.3247,2.4345,77300,0.11,4.73
1995-01-23,2.3247,2.536,2.3247,2.4345,8400,0.0,0.0
1995-01-24,2.3247,2.536,2.3247,2.3247,20000,-0.1098,-4.51
1995-01-25,2.3247,2.536,2.2148,2.536,15400,0.2113,9.09
1995-01-26,2.4345,2.536,2.2148,2.3247,14400,-0.2112,-8.33
1995-01-27,2.536,2.536,2.2148,2.2148,45600,-0.11,-4.73
1995-01-30,2.2232,2.4345,2.2148,2.2148,9200,0.0,0.0
1995-01-31,2.4345,2.4345,2.2148,2.2148,6100,0.0,0.0
1995-02-01,2.4345,2.4345,2.2148,2.2148,14800,0.0,0.0
1995-02-02,2.4345,2.4345,2.2148,2.2148,8200,0.0,0.0
1995-02-03,2.2148,2.2148,2.2148,2.2148,5400,0.0,0.0
1995-02-06,2.3247,2.3247,1.9527,2.0119,53700,-0.2029,-9.16
1995-02-07,2.1133,2.1133,1.9527,2.1133,41200,0.1014,5.04
1995-02-08,2.1133,2.2148,1.9527,2.2148,25900,0.1014,4.8
1995-02-09,2.0119,2.2148,2.0119,2.0626,26800,-0.1522,-6.87
1995-02-10,2.0119,2.2148,2.0119,2.2148,110400,0.1522,7.38
1995-02-13,2.1133,2.2148,2.1133,2.1133,18500,-0.1014,-4.58
