日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2001-09-21,26.3589,26.3589,26.3589,26.3589,500,0.0,0.0
2001-09-24,26.2945,26.2945,26.2945,26.2945,1000,-0.0633,-0.24
2001-09-28,28.4965,28.4965,28.4965,28.4965,400,2.0717,7.84
2001-10-01,28.4641,28.4641,28.4317,28.4317,300,-0.0655,-0.23
2001-10-03,28.3669,28.9498,28.3669,28.9498,1800,0.5175,1.82
2001-10-04,28.885,28.885,28.885,28.885,200,-0.0637,-0.22
2001-10-09,28.7555,28.7555,28.7555,28.7555,500,-0.13,-0.45
2001-10-10,28.885,29.0793,28.885,29.0793,1300,0.3249,1.13
2001-10-16,28.9174,28.9174,28.9174,28.9174,300,-0.1628,-0.56
2001-10-23,28.8527,28.9174,28.8527,28.9174,1100,0.0,0.0
2001-10-29,28.7555,28.7555,28.7555,28.7555,200,-0.1619,-0.56
2001-10-31,28.6907,28.6907,28.6907,28.6907,500,-0.0661,-0.23
2001-11-01,28.5288,28.5288,28.5288,28.5288,100,-0.1607,-0.56
2001-11-05,28.626,28.7555,28.626,28.7555,1800,0.2254,0.79
2001-11-07,28.9174,28.9174,28.9174,28.9174,800,0.161,0.56
2001-11-09,28.7879,28.7879,28.7879,28.7879,800,-0.1301,-0.45
2001-11-13,28.626,28.626,28.626,28.626,100,-0.1612,-0.56
2001-11-19,28.4641,28.4641,28.4641,28.4641,200,-0.1632,-0.57
2001-11-26,28.1726,28.1726,28.1726,28.1726,400,-0.2903,-1.02
2001-11-28,27.9783,27.9783,27.9783,27.9783,400,-0.1944,-0.69
2001-11-29,27.8488,27.8488,27.5574,27.5574,600,-0.4197,-1.5
2001-12-13,27.5574,27.5574,27.5574,27.5574,100,0.0,0.0
2001-12-17,27.2012,27.2012,27.2012,27.2012,200,-0.3555,-1.29
2001-12-21,27.3631,27.3631,27.3631,27.3631,100,0.1632,0.6
2001-12-24,27.3566,27.3566,27.3566,27.3566,100,-0.0055,-0.02
2001-12-27,28.0631,28.0631,28.0631,28.0631,100,0.4311,1.56
2001-12-31,27.8995,27.8995,27.8995,27.8995,100,-0.1628,-0.58
2002-01-02,27.4743,27.4743,27.3108,27.3108,900,-0.5887,-2.11
2002-01-03,26.8202,27.3108,26.8202,27.3108,200,0.0,0.0
2002-01-07,27.6379,27.6379,27.6379,27.6379,100,0.3277,1.2
2002-01-09,27.3108,27.4743,27.3108,27.4743,1200,-0.1631,-0.59
2002-01-10,27.5071,27.6379,27.3108,27.6379,6400,0.1648,0.6
2002-01-11,27.8014,27.8668,27.8014,27.8668,400,0.2294,0.83
2002-01-14,27.965,27.965,27.965,27.965,200,0.0975,0.35
2002-01-18,27.965,27.965,27.965,27.965,3000,0.0,0.0
2002-01-22,27.965,27.965,27.965,27.965,500,0.0,0.0
2002-01-23,27.965,27.965,27.965,27.965,6500,0.0,0.0
2002-01-25,27.8014,27.8014,27.8014,27.8014,2400,-0.1622,-0.58
2002-01-28,27.965,27.965,27.965,27.965,100,0.164,0.59
2002-01-29,27.9977,27.9977,27.9977,27.9977,100,0.0336,0.12
2002-01-30,28.2593,28.521,28.2593,28.521,600,0.5236,1.87
2002-01-31,28.6518,28.7826,28.6518,28.7826,300,0.2624,0.92
2002-02-01,28.7826,28.7826,28.7826,28.7826,100,0.0,0.0
2002-02-05,29.0443,29.1751,29.0443,29.1751,200,0.3915,1.36
2002-02-07,29.4368,29.4368,29.4368,29.4368,200,0.2626,0.9
2002-02-12,29.3387,29.4368,29.3387,29.4368,300,0.0,0.0
2002-02-13,29.7639,29.7639,29.7639,29.7639,100,0.3268,1.11
2002-02-14,30.0909,30.0909,30.0909,30.0909,100,0.3274,1.1
2002-02-15,30.0909,30.0909,30.0909,30.0909,500,0.0,0.0
2002-02-19,30.0909,30.0909,30.0909,30.0909,1500,0.0,0.0
2002-02-20,30.418,30.7451,30.418,30.7451,700,0.653,2.17
2002-02-21,30.9741,31.3338,30.9741,31.3338,1800,0.5873,1.91
2002-02-22,31.3992,31.7917,31.3338,31.7917,1400,0.4575,1.46
2002-02-25,32.0534,32.0534,32.0534,32.0534,200,0.2607,0.82
