日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2020-08-14,9.79,9.8,9.79,9.8,250028,0.01,0.1
2020-08-18,10.0,10.0,9.8,9.8,1112,0.0,0.0
2020-08-19,9.75,9.7501,9.75,9.75,621,-0.05,-0.51
2020-08-20,9.75,9.75,9.75,9.75,746,0.0,0.0
2020-08-21,9.72,9.73,9.7,9.7,205313,-0.05,-0.51
2020-08-24,9.77,9.77,9.77,9.77,204,0.07,0.72
2020-08-28,9.71,9.71,9.71,9.71,1948,-0.06,-0.61
2020-09-01,9.7,9.75,9.7,9.74,18416,0.03,0.31
2020-09-02,9.74,9.74,9.73,9.73,5543,-0.01,-0.1
2020-09-03,9.71,9.73,9.71,9.73,312511,0.0,0.0
2020-09-04,9.75,9.79,9.75,9.79,1014,0.06,0.62
2020-09-08,9.73,9.75,9.73,9.75,103619,-0.04,-0.41
2020-09-09,9.75,9.7605,9.75,9.75,63410,0.0,0.0
2020-09-10,9.75,9.76,9.74,9.75,39856,0.0,0.0
2020-09-14,9.7502,9.7502,9.7502,9.7502,233,0.0002,0.0
2020-09-15,9.77,9.77,9.77,9.77,142,0.0198,0.2
2020-09-16,9.8,9.8,9.77,9.8,2192,0.03,0.31
2020-09-17,9.79,9.79,9.7746,9.7746,100432,-0.0254,-0.26
2020-09-18,9.8,9.81,9.77,9.81,259306,0.0354,0.36
2020-09-21,9.79,9.8,9.78,9.8,215770,-0.01,-0.1
2020-09-22,9.75,9.8,9.75,9.79,1500,-0.01,-0.1
2020-09-23,9.8,9.8,9.8,9.8,429,0.01,0.1
2020-09-24,9.75,9.8,9.75,9.77,8679,-0.03,-0.31
2020-09-25,9.76,9.76,9.75,9.75,698,-0.02,-0.2
2020-09-28,9.77,9.77,9.76,9.77,227325,0.02,0.21
2020-09-29,9.77,9.77,9.77,9.77,111323,0.0,0.0
2020-09-30,9.75,9.8,9.75,9.77,38193,0.0,0.0
2020-10-01,9.79,9.83,9.77,9.83,272947,0.06,0.61
2020-10-02,9.8,9.8,9.8,9.8,2148,-0.03,-0.31
2020-10-07,9.82,9.82,9.79,9.79,7339,-0.01,-0.1
2020-10-08,9.78,9.78,9.76,9.76,548,-0.03,-0.31
2020-10-12,9.7602,9.7603,9.75,9.75,1100,-0.01,-0.1
2020-10-13,9.75,9.75,9.75,9.75,10601,0.0,0.0
2020-10-15,9.75,9.75,9.745,9.745,1111,-0.005,-0.05
2020-10-21,9.74,9.74,9.71,9.71,5710,-0.035,-0.36
2020-10-22,9.73,9.73,9.73,9.73,5900,0.02,0.21
2020-10-23,9.75,9.75,9.72,9.72,110200,-0.01,-0.1
2020-10-26,9.71,9.72,9.7,9.71,113963,-0.01,-0.1
2020-10-28,9.7,9.71,9.62,9.65,369754,-0.06,-0.62
2020-10-29,9.65,9.65,9.65,9.65,14194,0.0,0.0
2020-10-30,9.685,9.685,9.65,9.65,33482,0.0,0.0
2020-11-02,9.665,9.8,9.66,9.685,46689,0.035,0.36
2020-11-03,9.66,9.66,9.66,9.66,39750,-0.025,-0.26
2020-11-05,9.66,9.66,9.65,9.65,8430,-0.01,-0.1
2020-11-06,9.6832,9.6832,9.67,9.67,12107,0.02,0.21
2020-11-09,9.674,9.7489,9.674,9.71,1331,0.04,0.41
2020-11-12,9.73,9.73,9.73,9.73,454,0.02,0.206
2020-11-13,9.73,9.73,9.73,9.73,694,0.0,0.0
2020-11-16,9.7439,9.7439,9.73,9.73,20350,0.0,0.0
2020-11-17,9.78,9.79,9.77,9.77,417,0.04,0.41
2020-11-18,9.77,9.77,9.77,9.77,6,0.0,0.0
2020-11-19,9.7,9.7,9.7,9.7,175,-0.07,-0.7165
2020-11-20,9.7422,9.7422,9.7422,9.7422,1625,0.0422,0.4351
2020-11-24,9.7422,9.7422,9.7422,9.7422,7,0.0,0.0
2020-11-25,9.75,9.76,9.72,9.75,23144,0.008,0.08
2020-11-27,9.7748,9.7748,9.7748,9.7748,5005,0.0248,0.2544
2020-11-30,9.7748,9.7748,9.7748,9.7748,3236,0.0,0.0
2020-12-01,9.78,9.79,9.77,9.77,3761,-0.005,-0.05
2020-12-02,9.78,9.9,9.78,9.79,9747,0.02,0.2
2020-12-03,9.8,9.87,9.76,9.79,5892,0.0,0.0
2020-12-04,9.79,9.8,9.79,9.8,1200,0.01,0.1021
2020-12-07,9.79,9.9,9.79,9.81,20391,0.01,0.102
2020-12-08,9.85,9.9,9.83,9.87,282833,0.06,0.6116
2020-12-09,9.85,9.9,9.85,9.85,2005,-0.02,-0.2026
2020-12-10,9.85,9.86,9.85,9.85,13431,0.0,0.0
2020-12-11,9.94,9.95,9.85,9.91,52160,0.06,0.6091
2020-12-14,9.96,9.96,9.85,9.9,10884,-0.01,-0.1009
2020-12-15,9.9,9.95,9.89,9.89,29107,-0.01,-0.101
2020-12-16,9.9003,9.95,9.89,9.89,2101,0.0,0.0
2020-12-17,9.95,9.96,9.89,9.89,145564,0.0,0.0
2020-12-18,9.91,9.9472,9.88,9.9472,3600,0.0572,0.5784
2020-12-21,9.94,9.96,9.89,9.89,9742,-0.057,-0.57
2020-12-22,10.0,10.34,9.96,10.09,70195,0.2,2.02
2020-12-23,10.13,10.1353,9.934,10.05,1856,-0.04,-0.4
2020-12-24,9.97,10.13,9.97,10.0,23871,-0.05,-0.5
2020-12-28,10.0,10.0999,10.0,10.0,51777,0.0,0.0
2020-12-29,10.05,10.05,10.0,10.0,8823,0.0,0.0
2020-12-30,10.0,10.03,9.94,9.94,15301,-0.06,-0.6
2020-12-31,9.96,9.96,9.91,9.91,40799,-0.03,-0.3
2021-01-04,10.0,10.07,9.98,9.99,66034,0.08,0.81
2021-01-05,10.06,10.06,10.0,10.01,45905,0.02,0.2002
2021-01-06,10.05,10.11,10.05,10.08,12645,0.07,0.7
2021-01-07,10.1,10.205,10.1,10.14,73605,0.06,0.6
2021-01-08,10.15,10.24,10.14,10.24,391068,0.1,0.99
2021-01-11,10.25,10.25,10.13,10.17,42148,-0.07,-0.68
2021-01-12,10.17,10.25,10.17,10.25,50446,0.08,0.79
2021-01-13,10.25,10.25,10.21,10.23,35119,-0.02,-0.2
2021-01-14,10.25,10.25,10.15,10.25,31451,0.02,0.1955
2021-01-15,10.25,10.25,10.15,10.2,16989,-0.05,-0.49
2021-01-19,10.1247,10.21,10.1247,10.15,5476,-0.05,-0.49
2021-01-20,10.195,10.25,10.1425,10.18,116385,0.03,0.2956
2021-01-21,10.2107,10.24,10.1,10.11,39954,-0.07,-0.69
2021-01-22,10.1999,10.25,10.1,10.1499,54014,0.0399,0.3947
2021-01-25,10.2,10.455,10.2,10.3,172024,0.1501,1.4788
2021-01-26,10.25,10.3,10.19,10.19,107424,-0.11,-1.07
2021-01-27,10.13,10.19,9.99,10.1,60532,-0.09,-0.88
2021-01-28,10.15,10.4,10.07,10.25,98895,0.15,1.49
2021-01-29,10.25,10.25,10.07,10.07,263567,-0.18,-1.76
2021-02-01,10.07,10.38,10.07,10.38,33826,0.31,3.0785
2021-02-02,10.14,10.38,10.14,10.24,48362,-0.14,-1.35
2021-02-03,10.25,10.5,10.24,10.33,71256,0.09,0.8789
2021-02-04,10.39,10.39,10.16,10.23,20042,-0.1,-0.9681
2021-02-05,10.28,10.46,10.16,10.28,39150,0.05,0.4888
2021-02-08,10.28,10.48,10.16,10.33,621180,0.05,0.4864
2021-02-09,10.22,10.47,10.2,10.21,48154,-0.12,-1.16
2021-02-10,10.22,10.3991,10.13,10.24,163191,0.03,0.29
2021-02-11,10.16,10.25,10.15,10.15,92829,-0.09,-0.8789
2021-02-12,10.23,10.23,10.1,10.17,73413,0.02,0.2
2021-02-16,10.15,10.21,10.13,10.1606,79535,-0.0094,-0.0924
2021-02-17,10.19,10.3,10.16,10.21,52785,0.049,0.48
2021-02-18,10.2,10.35,10.2,10.28,32837,0.07,0.69
2021-02-19,10.35,10.39,10.18,10.3,47730,0.02,0.1946
2021-02-22,10.28,10.28,10.17,10.2,128524,-0.1,-0.97
2021-02-23,10.11,10.26,10.04,10.25,277545,0.05,0.49
2021-02-24,10.13,10.33,10.12,10.25,37687,0.0,0.0
2021-02-25,10.5,10.5,10.24,10.35,1473093,0.1,0.98
2021-02-26,10.22,10.39,10.17,10.32,557347,-0.03,-0.29
2021-03-01,10.35,10.39,10.21,10.3,174757,-0.02,-0.19
2021-03-02,10.3,10.3,9.99,10.03,261680,-0.27,-2.62
2021-03-03,10.02,10.16,9.86,9.88,271008,-0.15,-1.5
2021-03-04,9.86,9.98,9.8,9.88,187114,0.0,0.0
2021-03-05,9.96,10.09,9.85,10.05,142393,0.17,1.72
2021-03-08,9.98,10.12,9.88,9.95,74712,-0.1,-1.0
2021-03-09,9.94,10.03,9.9,9.95,155167,0.0,0.0
2021-03-10,9.93,10.0,9.915,9.98,130890,0.03,0.3015
2021-03-11,10.01,10.01,9.91,9.91,64071,-0.07,-0.7
2021-03-12,9.9,9.99,9.9,9.93,35675,0.02,0.2018
2021-03-15,9.925,10.0,9.85,9.88,35542,-0.05,-0.5
2021-03-16,9.9,9.97,9.85,9.88,142328,0.0,0.0
2021-03-17,9.87,9.96,9.82,9.94,232953,0.06,0.6073
2021-03-18,9.9,9.95,9.75,9.89,129582,-0.05,-0.5
2021-03-19,9.81,9.9,9.8,9.86,108756,-0.03,-0.3033
2021-03-22,9.9,10.0,9.83,9.88,1445510,0.02,0.2
2021-03-23,9.9,9.94,9.83,9.85,353400,-0.03,-0.3
2021-03-24,9.85,9.85,9.66,9.75,103698,-0.1,-1.0152
2021-03-25,9.8,9.87,9.69,9.87,108165,0.12,1.23
2021-03-26,9.86,9.96,9.85,9.92,84496,0.05,0.51
2021-03-29,9.91,9.92,9.85,9.87,296704,-0.05,-0.504
2021-03-30,9.85,9.9,9.8,9.88,357194,0.01,0.1
2021-03-31,9.85,9.87,9.84,9.87,128495,-0.01,-0.1
2021-04-01,9.89,9.95,9.86,9.88,229087,0.01,0.1013
2021-04-05,9.88,9.92,9.87,9.91,53275,0.03,0.3
2021-04-06,9.91,9.91,9.8801,9.89,69301,-0.02,-0.2
2021-04-07,9.93,9.93,9.88,9.89,27245,0.0,0.0
2021-04-08,9.89,9.9,9.86,9.86,176452,-0.03,-0.3
2021-04-09,9.87,9.95,9.87,9.9,66634,0.04,0.4057
2021-04-12,9.92,9.95,9.89,9.94,120404,0.04,0.4
2021-04-13,9.94,9.94,9.89,9.9,15974,-0.04,-0.4024
2021-04-14,9.94,9.94,9.89,9.92,7557,0.02,0.202
2021-04-15,9.94,9.94,9.87,9.9,56533,-0.02,-0.2016
2021-04-16,9.89,9.92,9.89,9.91,179296,0.01,0.101
2021-04-19,9.87,9.91,9.87,9.9,42789,-0.01,-0.1009
2021-04-20,9.87,9.89,9.87,9.87,8938,-0.03,-0.303
2021-04-21,9.88,9.88,9.86,9.87,47409,0.0,0.0
2021-04-22,9.89,9.89,9.84,9.86,58060,-0.01,-0.1
2021-04-23,9.86,9.89,9.83,9.86,31298,0.0,0.0
2021-04-26,9.86,9.88,9.86,9.87,9845,0.01,0.1014
2021-04-27,9.874,9.89,9.85,9.88,42048,0.01,0.1
2021-04-28,9.87,9.9,9.86,9.88,20765,0.0,0.0
2021-04-29,9.9,9.91,9.871,9.91,30545,0.03,0.3
2021-04-30,9.91,9.92,9.88,9.91,120021,0.0,0.0
2021-05-03,9.87,9.94,9.87,9.93,51021,0.02,0.2
2021-05-04,9.95,9.95,9.91,9.91,16903,-0.02,-0.2014
2021-05-05,9.89,9.93,9.87,9.9,42961,-0.01,-0.1009
2021-05-06,9.91,9.92,9.89,9.9,9976,0.0,0.0
2021-05-07,9.9,9.93,9.89,9.9,3276,0.0,0.0
2021-05-10,9.9,9.93,9.9,9.9,11801,0.0,0.0
2021-05-11,9.86,9.93,9.86,9.9,26095,0.0,0.0
2021-05-12,9.89,9.9,9.88,9.89,20172,-0.01,-0.1
2021-05-13,9.93,9.93,9.86,9.88,105439,-0.01,-0.1
2021-05-14,9.88,9.89,9.86,9.88,46400,0.0,0.0
2021-05-17,9.875,9.89,9.875,9.88,15578,0.0,0.0
2021-05-18,9.88,9.89,9.87,9.88,41462,0.0,0.0
2021-05-19,9.86,9.89,9.86,9.88,17744,0.0,0.0
2021-05-20,9.88,9.89,9.87,9.88,27133,0.0,0.0
2021-05-21,9.89,9.89,9.87,9.88,55704,0.0,0.0
2021-05-24,9.87,9.89,9.87,9.88,26468,0.0,0.0
2021-05-25,9.8722,9.89,9.8722,9.88,12354,0.0,0.0
2021-05-26,9.885,9.89,9.87,9.87,24871,-0.01,-0.1012
2021-05-27,9.88,9.9,9.87,9.9,56579,0.03,0.304
2021-05-28,9.9,9.9,9.89,9.89,9248,-0.01,-0.101
2021-06-01,9.9,9.9,9.89,9.9,11759,0.01,0.1011
2021-06-02,9.9,9.91,9.9,9.91,21876,0.01,0.101
2021-06-03,9.88,9.92,9.86,9.89,93333,-0.02,-0.2
2021-06-04,9.9,9.91,9.8901,9.9,2720,0.01,0.1011
2021-06-07,9.9,9.9,9.89,9.89,2580,-0.01,-0.101
2021-06-08,9.91,9.92,9.88,9.88,22969,-0.01,-0.1011
2021-06-09,9.89,9.93,9.89,9.89,44257,0.01,0.1012
2021-06-10,9.89,9.92,9.89,9.92,18055,0.03,0.3033
2021-06-11,9.9,9.93,9.9,9.91,33001,-0.01,-0.1008
2021-06-14,9.92,9.92,9.89,9.92,34714,0.01,0.1
2021-06-15,9.9121,9.93,9.88,9.92,53682,0.0,0.0
2021-06-16,9.91,9.92,9.89,9.89,24828,-0.03,-0.3024
2021-06-17,9.91,9.91,9.9,9.9,1941,0.01,0.1011
2021-06-18,9.9,9.91,9.9,9.9,1767,0.0,0.0
2021-06-21,9.9,9.9,9.9,9.9,422,0.0,0.0
2021-06-22,9.9,9.92,9.9,9.9,2080,0.0,0.0
2021-06-23,9.9,9.9002,9.9,9.9,6149,0.0,0.0
2021-06-24,9.9,9.91,9.9,9.9,11719,0.0,0.0
2021-06-25,9.91,9.92,9.9,9.9,94426,0.0,0.0
2021-06-28,9.9,9.92,9.9,9.92,8142,0.02,0.202
2021-06-29,9.9,9.93,9.9,9.905,12687,-0.015,-0.15
2021-06-30,9.93,9.93,9.9,9.9,21431,-0.005,-0.0505
2021-07-01,9.9093,9.91,9.9,9.9,4102,0.0,0.0
2021-07-02,9.91,9.91,9.9,9.9,22564,0.0,0.0
2021-07-06,9.93,9.93,9.92,9.92,591,0.02,0.202
2021-07-07,9.9,9.94,9.9,9.91,135541,-0.01,-0.1008
2021-07-08,9.9,9.94,9.9,9.91,37412,0.0,0.0
2021-07-09,9.91,9.94,9.9,9.9,9784,-0.01,-0.1009
2021-07-12,9.903,9.94,9.9,9.94,1016,0.04,0.404
2021-07-13,9.9,9.94,9.9,9.9,15429,-0.04,-0.4
2021-07-14,9.93,9.93,9.915,9.92,15299,0.02,0.202
2021-07-15,9.92,9.93,9.9,9.9,33251,-0.02,-0.2
2021-07-16,9.93,9.93,9.93,9.93,213,0.03,0.303
2021-07-19,9.93,9.935,9.88,9.9,140448,-0.03,-0.3021
2021-07-20,9.92,9.92,9.89,9.89,103320,-0.01,-0.101
2021-07-21,9.94,9.94,9.89,9.89,1341,0.0,0.0
2021-07-22,9.9,9.9,9.9,9.9,319,0.01,0.1011
2021-07-23,9.8934,9.91,9.89,9.91,865,0.01,0.101
2021-07-26,9.91,9.91,9.9025,9.91,745,0.0,0.0
2021-07-27,9.9,9.91,9.89,9.9,114830,-0.01,-0.1009
2021-07-28,9.88,9.91,9.88,9.88,4632,-0.02,-0.202
2021-07-29,9.88,9.91,9.88,9.89,4742,0.01,0.1012
2021-07-30,9.91,9.91,9.89,9.9,6267,0.01,0.1011
2021-08-02,9.89,9.91,9.88,9.89,14734,-0.01,-0.101
2021-08-03,9.91,9.91,9.895,9.9,1344,0.01,0.1011
2021-08-04,9.9,9.91,9.88,9.9,75448,0.0,0.0
2021-08-05,9.89,9.91,9.89,9.89,16917,-0.01,-0.101
2021-08-06,9.91,9.91,9.91,9.91,155,0.02,0.2022
2021-08-09,9.9,9.91,9.86,9.9,39671,-0.01,-0.1009
2021-08-10,9.89,9.91,9.89,9.9,13976,0.0,0.0
2021-08-11,9.94,9.94,9.94,9.94,5181,0.04,0.4
2021-08-12,9.94,9.94,9.89,9.91,946802,-0.03,-0.3018
2021-08-13,9.9,9.91,9.9,9.91,237835,0.0,0.0
2021-08-16,9.9,9.92,9.89,9.92,34588,0.01,0.1009
2021-08-17,9.91,9.92,9.89,9.89,9922,-0.03,-0.3024
2021-08-18,9.9,9.9,9.9,9.9,192,0.01,0.1011
2021-08-19,9.9,9.91,9.9,9.91,3785,0.01,0.101
2021-08-20,9.91,9.91,9.9,9.9,41519,-0.01,-0.1009
2021-08-23,9.91,9.91,9.89,9.89,1234,-0.01,-0.101
2021-08-24,9.92,9.92,9.89,9.89,8607,0.0,0.0
2021-08-25,9.9,9.9,9.9,9.9,328,0.01,0.1
2021-08-26,9.9,9.91,9.895,9.91,22968,0.01,0.1
2021-08-27,9.9,9.92,9.9,9.92,3363,0.01,0.1009
2021-08-30,9.9,9.92,9.9,9.92,5411,0.0,0.0
2021-08-31,9.91,9.92,9.91,9.92,16621,0.0,0.0
2021-09-01,9.92,9.92,9.915,9.92,3277,0.0,0.0
2021-09-02,9.91,9.92,9.91,9.92,971,0.0,0.0
2021-09-03,9.912,9.92,9.9,9.9,216470,-0.02,-0.2016
2021-09-07,9.9,9.91,9.86,9.89,2191016,-0.01,-0.1
2021-09-08,9.89,9.92,9.89,9.9001,271679,0.01,0.1
2021-09-09,9.91,9.92,9.91,9.91,315128,0.01,0.1
2021-09-10,9.91,9.91,9.91,9.91,117,0.0,0.0
2021-09-13,9.91,9.91,9.91,9.91,428,0.0,0.0
2021-09-14,9.91,9.91,9.91,9.91,38,0.0,0.0
2021-09-15,9.91,9.91,9.91,9.91,267,0.0,0.0
2021-09-16,9.91,9.92,9.91,9.92,15781,0.01,0.1009
2021-09-20,9.91,9.93,9.91,9.93,6056,0.01,0.1008
2021-09-21,9.925,9.94,9.925,9.94,599,0.01,0.1007
2021-09-22,9.94,9.95,9.92,9.95,20865,0.01,0.1
2021-09-23,9.92,9.92,9.92,9.92,172,-0.03,-0.3
2021-09-24,9.92,9.92,9.92,9.92,668,0.0,0.0
2021-09-27,9.92,9.92,9.92,9.92,150,0.0,0.0
2021-09-28,9.93,9.94,9.92,9.94,60448,0.02,0.2
2021-09-29,9.93,9.93,9.93,9.93,965,-0.01,-0.1006
2021-09-30,9.95,9.95,9.92,9.94,21459,0.01,0.1007
2021-10-01,9.95,9.96,9.95,9.96,25290,0.02,0.2012
2021-10-04,9.94,9.94,9.93,9.93,2257,-0.03,-0.3
2021-10-05,9.934,9.934,9.93,9.93,888,0.0,0.0
2021-10-06,9.94,9.94,9.935,9.935,3697,0.005,0.0504
2021-10-07,9.94,9.94,9.9329,9.94,2333,0.005,0.0503
2021-10-08,9.94,9.94,9.94,9.94,154,0.0,0.0
2021-10-11,9.94,9.94,9.94,9.94,1,0.0,0.0
2021-10-12,9.94,9.94,9.93,9.94,280928,0.0,0.0
2021-10-13,9.94,9.94,9.94,9.94,3167,0.0,0.0
2021-10-14,9.94,9.945,9.94,9.94,5085,0.0,0.0
2021-10-15,9.94,9.96,9.935,9.95,51461,0.01,0.1006
2021-10-18,9.93,9.95,9.93,9.93,15736,-0.02,-0.2
2021-10-19,9.93,9.9303,9.93,9.93,35703,0.0,0.0
2021-10-20,9.93,9.945,9.93,9.94,28879,0.01,0.1007
2021-10-21,9.945,9.95,9.935,9.95,128125,0.01,0.1006
2021-10-22,9.94,9.94,9.93,9.93,29952,-0.02,-0.201
2021-10-25,9.93,9.9405,9.93,9.94,1755,0.01,0.1007
2021-10-26,9.93,9.94,9.92,9.94,2526,0.0,0.0
2021-10-27,9.94,9.94,9.94,9.94,1680,0.0,0.0
2021-10-28,9.93,9.95,9.93,9.94,297607,0.0,0.0
2021-10-29,9.93,9.96,9.93,9.96,210213,0.02,0.2
2021-11-01,9.95,9.96,9.94,9.96,7229,0.0,0.0
2021-11-02,9.95,9.955,9.95,9.955,5117,-0.005,-0.0502
2021-11-03,9.96,9.96,9.96,9.96,1021,0.005,0.0502
2021-11-04,9.95,9.95,9.95,9.95,469,-0.01,-0.1004
2021-11-05,9.955,9.96,9.955,9.96,13864,0.01,0.1005
2021-11-08,9.96,9.96,9.95,9.95,257238,-0.01,-0.1
2021-11-09,9.96,9.9612,9.96,9.96,5345,0.01,0.1005
2021-11-10,9.98,9.98,9.96,9.96,7362,0.0,0.0
2021-11-11,9.96,9.96,9.96,9.96,13,0.0,0.0
2021-11-12,9.96,9.965,9.96,9.965,10278,0.005,0.0502
2021-11-15,9.96,9.97,9.96,9.97,29914,0.005,0.0502
2021-11-16,9.9601,9.97,9.9601,9.97,64751,0.0,0.0
2021-11-17,9.98,9.98,9.96,9.96,957,-0.01,-0.1003
2021-11-18,9.95,9.97,9.95,9.97,6971,0.01,0.1
2021-11-19,9.97,9.97,9.965,9.97,34947,0.0,0.0
2021-11-22,9.97,9.97,9.97,9.97,45629,0.0,0.0
2021-11-23,9.96,9.97,9.96,9.96,75782,-0.01,-0.1003
2021-11-24,9.97,9.97,9.96,9.96,291,0.0,0.0
2021-11-26,9.97,9.98,9.96,9.98,12059,0.02,0.2
2021-11-29,9.9635,9.9635,9.9635,9.9635,2611,-0.017,-0.17
2021-11-30,9.9601,9.99,9.96,9.99,103402,0.0265,0.266
2021-12-01,9.99,9.99,9.99,9.99,15,0.0,0.0
2021-12-02,9.96,9.97,9.95,9.97,124812,-0.02,-0.2002
2021-12-03,9.98,9.99,9.98,9.98,132329,0.01,0.1003
2021-12-06,9.9778,9.9778,9.96,9.97,4624,-0.01,-0.1002
2021-12-07,9.98,9.99,9.97,9.99,58649,0.02,0.2006
2021-12-08,9.96,9.98,9.96,9.98,38304,-0.01,-0.1001
2021-12-09,9.98,9.98,9.9701,9.9701,424,-0.0099,-0.0992
2021-12-10,9.98,9.99,9.96,9.98,36253,0.0099,0.0993
2021-12-13,9.97,9.97,9.97,9.97,39114,-0.01,-0.1
2021-12-14,9.98,9.98,9.97,9.97,15272,0.0,0.0
2021-12-15,9.985,9.985,9.97,9.97,10589,0.0,0.0
2021-12-16,9.97,9.98,9.97,9.97,31211,0.0,0.0
2021-12-17,9.9701,9.98,9.97,9.97,19890,0.0,0.0
2021-12-20,9.97,9.99,9.97,9.99,37180,0.02,0.2
2021-12-21,9.98,9.98,9.98,9.98,3559,-0.01,-0.1
2021-12-22,9.98,10.0,9.97,10.0,13031,0.02,0.2004
2021-12-23,9.98,9.995,9.98,9.99,6766,-0.01,-0.1
2021-12-27,9.96,9.96,9.96,9.96,205,-0.03,-0.3003
2021-12-28,9.985,9.985,9.98,9.98,24913,0.02,0.2008
2021-12-29,9.971,9.99,9.96,9.99,38552,0.01,0.1002
2021-12-30,10.0,10.0,9.98,10.0,34214,0.01,0.1001
2021-12-31,9.985,10.25,9.97,10.21,53615,0.21,2.1
2022-01-03,10.08,10.08,10.0,10.03,51729,-0.18,-1.763
2022-01-04,10.0,10.05,10.0,10.05,341103,0.02,0.2
2022-01-05,10.06,10.06,10.02,10.02,576,-0.03,-0.2985
2022-01-06,10.01,10.04,10.0,10.02,317894,0.0,0.0
2022-01-07,10.02,10.025,10.01,10.025,25798,0.005,0.05
2022-01-10,10.02,10.03,10.02,10.03,28672,0.005,0.05
2022-01-11,10.03,10.04,10.03,10.04,5778,0.01,0.1
2022-01-12,10.04,10.04,10.04,10.04,33,0.0,0.0
2022-01-13,10.04,10.04,10.04,10.04,218,0.0,0.0
2022-01-14,10.03,10.04,10.03,10.03,34411,-0.01,-0.0996
2022-01-18,10.02,10.03,10.02,10.03,3335,0.0,0.0
2022-01-19,10.0201,10.05,10.0201,10.05,14496,0.02,0.1994
2022-01-20,10.03,10.03,10.03,10.03,360,-0.02,-0.199
2022-01-21,10.03,10.03,10.03,10.03,7423,0.0,0.0
2022-01-24,10.03,10.04,10.03,10.0354,11023,0.005,0.05
2022-01-25,10.0354,10.0354,10.0354,10.0354,2,0.0,0.0
2022-01-26,10.015,10.03,10.015,10.03,1617,-0.0054,-0.0538
2022-01-27,10.04,10.06,10.04,10.05,72499,0.02,0.2
2022-01-28,10.05,10.05,10.05,10.05,11,0.0,0.0
2022-01-31,10.05,10.05,10.05,10.05,2369,0.0,0.0
2022-02-01,10.06,10.0976,10.06,10.085,29304,0.035,0.35
2022-02-02,10.0862,10.11,10.08,10.1022,4117,0.017,0.17
2022-02-03,10.04,10.11,10.04,10.1,874,-0.002,-0.02
2022-02-04,10.104,10.11,10.06,10.11,20294,0.01,0.1
2022-02-07,10.16,10.16,10.07,10.07,101040,-0.04,-0.4
2022-02-08,10.08,10.09,10.07,10.07,1690,0.0,0.0
2022-02-09,10.0792,10.08,10.079,10.08,1230,0.01,0.1
2022-02-10,10.08,10.08,10.07,10.07,622,-0.01,-0.0992
2022-02-11,10.07,10.08,10.07,10.079,362,0.009,0.0894
2022-02-14,10.11,10.11,10.07,10.07,657,-0.009,-0.0893
2022-02-15,10.0792,10.0792,10.07,10.075,1729,0.005,0.0497
2022-02-16,10.13,10.13,10.07,10.07,450,-0.005,-0.0496
2022-02-17,10.1,10.1,10.085,10.085,512,0.015,0.149
2022-02-18,10.0763,10.0796,10.0763,10.0796,765,-0.0054,-0.0535
2022-02-22,10.0894,10.0894,10.0894,10.0894,1258,0.0098,0.0972
2022-02-23,10.125,10.125,10.08,10.1,8732,0.0106,0.1051
2022-02-24,10.1,10.1,10.1,10.1,154,0.0,0.0
2022-02-25,10.082,10.12,10.082,10.12,1542,0.02,0.198
2022-02-28,10.12,10.12,10.06,10.09,106134,-0.03,-0.3
2022-03-01,10.07,10.07,10.07,10.07,1228,-0.02,-0.1982
2022-03-02,10.07,10.0898,10.07,10.0898,31771,0.0198,0.1966
2022-03-03,10.07,10.07,10.07,10.07,12487,-0.0198,-0.1962
2022-03-04,10.07,10.07,10.07,10.07,112,0.0,0.0
2022-03-07,10.07,10.085,10.07,10.0778,1768,0.0078,0.0775
2022-03-08,10.085,10.085,10.07,10.07,2849,-0.0078,-0.0774
2022-03-09,10.11,10.11,10.07,10.07,15852,0.0,0.0
2022-03-10,10.08,10.08,10.0757,10.0757,10706,0.0057,0.0566
2022-03-11,10.0771,10.0798,10.0771,10.0798,822,0.0041,0.0407
2022-03-14,10.0798,10.0798,10.0798,10.0798,53,0.0,0.0
2022-03-15,10.07,10.08,10.07,10.075,22467,-0.0048,-0.0476
2022-03-16,10.07,10.07,10.07,10.07,13088,-0.005,-0.0496
2022-03-17,10.08,10.08,10.08,10.08,15633,0.01,0.0993
2022-03-18,10.08,10.08,10.07,10.08,1474,0.0,0.0
2022-03-21,10.07,10.08,10.07,10.08,8423,0.0,0.0
2022-03-22,10.0899,10.0899,10.0899,10.0899,594,0.0099,0.0982
2022-03-23,10.0909,10.0909,10.0891,10.0891,540,-0.0008,-0.0079
2022-03-24,10.0843,10.0843,10.0843,10.0843,231,-0.0048,-0.0476
2022-03-25,10.0843,10.0843,10.0843,10.0843,208,0.0,0.0
2022-03-28,10.0843,10.0843,10.0843,10.0843,59,0.0,0.0
2022-03-29,10.0984,10.0984,10.095,10.095,750,0.0107,0.1061
2022-03-30,10.1,10.1,10.09,10.09,116304,-0.005,-0.0495
2022-03-31,10.1,10.11,10.09,10.11,35343,0.02,0.1982
2022-04-01,10.11,10.11,10.11,10.11,56046,0.0,0.0
