日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-12-23,9.82,9.82,9.82,9.82,495002,0.0,0.0
2021-12-27,9.8,9.9,9.8,9.82,272500,0.0,0.0
2021-12-28,10.045,10.045,9.9,9.92,94519,0.1,1.0183
2021-12-29,9.93,9.93,9.93,9.93,1053,0.01,0.1008
2021-12-30,9.93,9.93,9.93,9.93,71,0.0,0.0
2021-12-31,9.905,9.92,9.85,9.92,120909,-0.01,-0.1007
2022-01-03,9.98,10.01,9.93,9.94,129477,0.02,0.2016
2022-01-04,9.93,9.93,9.9,9.91,282549,-0.03,-0.3
2022-01-05,9.9,9.9,9.9,9.9,101,-0.01,-0.1009
2022-01-06,9.9,9.91,9.9,9.91,541404,0.01,0.101
2022-01-07,9.89,9.9,9.89,9.9,16313,-0.01,-0.1
2022-01-10,9.89,9.9,9.89,9.89,8645,-0.01,-0.101
2022-01-11,9.97,9.97,9.97,9.97,4311,0.08,0.81
2022-01-12,9.85,9.91,9.85,9.89,10917,-0.08,-0.8024
2022-01-13,9.89,9.9,9.89,9.89,34559,0.0,0.0
2022-01-14,9.9,9.91,9.9,9.91,4335,0.02,0.2022
2022-01-18,9.91,9.91,9.91,9.91,43,0.0,0.0
2022-01-19,9.91,9.91,9.91,9.91,41,0.0,0.0
2022-01-20,9.89,9.89,9.89,9.89,982,-0.02,-0.2018
2022-01-24,10.08,10.41,10.01,10.41,603,0.52,5.2578
2022-01-25,10.11,10.11,10.11,10.11,162,-0.3,-2.88
2022-01-26,10.1,10.1,9.9,9.9,2154,-0.21,-2.0772
2022-01-27,9.88,9.9,9.86,9.86,203169,-0.04,-0.404
2022-01-28,9.86,9.88,9.86,9.87,72924,0.01,0.1014
2022-01-31,9.87,9.87,9.87,9.87,999,0.0,0.0
2022-02-01,9.87,10.345,9.87,9.92,9932,0.05,0.5066
2022-02-02,9.85,9.92,9.85,9.92,12162,0.0,0.0
2022-02-03,9.951,9.951,9.89,9.9,7403,-0.02,-0.2016
2022-02-04,9.9,9.9,9.9,9.9,310,0.0,0.0
2022-02-07,9.9,9.9,9.9,9.9,4,0.0,0.0
2022-02-08,9.88,9.9,9.88,9.9,602,0.0,0.0
2022-02-09,9.9,9.9,9.9,9.9,133889,0.0,0.0
2022-02-10,9.9,9.9,9.9,9.9,3,0.0,0.0
2022-02-11,9.92,10.0,9.9,9.92,135490,0.02,0.202
2022-02-14,9.9,9.92,9.9,9.91,54476,-0.01,-0.1008
2022-02-15,9.9,9.9,9.9,9.9,1681,-0.01,-0.1
2022-02-16,9.9,9.9,9.9,9.9,11,0.0,0.0
2022-02-18,9.9,9.9,9.9,9.9,33,0.0,0.0
2022-02-22,9.9,9.9,9.9,9.9,4,0.0,0.0
2022-02-23,9.96,9.97,9.96,9.97,2300,0.07,0.7071
2022-02-24,9.93,9.93,9.93,9.93,29030,-0.04,-0.4012
2022-02-25,9.93,9.93,9.93,9.93,9872,0.0,0.0
2022-02-28,9.93,9.93,9.93,9.93,57,0.0,0.0
2022-03-02,9.98,9.98,9.97,9.97,19271,0.04,0.4028
2022-03-03,9.9566,9.9566,9.95,9.95,1098,-0.02,-0.2006
2022-03-04,9.96,9.96,9.955,9.96,1012,0.01,0.1005
2022-03-07,9.96,9.96,9.96,9.96,15,0.0,0.0
2022-03-08,9.93,9.93,9.93,9.93,301,-0.03,-0.3012
2022-03-09,9.93,9.93,9.93,9.93,50,0.0,0.0
2022-03-10,9.93,9.93,9.93,9.93,15,0.0,0.0
2022-03-11,9.93,9.9412,9.93,9.93,800,0.0,0.0
2022-03-14,9.93,9.93,9.93,9.93,604,0.0,0.0
2022-03-15,9.93,9.93,9.93,9.93,1,0.0,0.0
2022-03-16,9.93,9.93,9.93,9.93,11,0.0,0.0
2022-03-18,9.93,9.93,9.93,9.93,18,0.0,0.0
2022-03-25,9.93,9.93,9.93,9.93,3,0.0,0.0
2022-03-28,9.93,9.93,9.93,9.93,26,0.0,0.0
2022-03-29,9.93,9.93,9.93,9.93,2,0.0,0.0
2022-03-31,9.97,9.97,9.97,9.97,200,0.04,0.4028
2022-04-04,9.97,9.99,9.97,9.99,458,0.02,0.2006
2022-04-05,9.99,9.99,9.97,9.97,14605,-0.02,-0.2002
2022-04-06,9.97,9.97,9.97,9.97,4,0.0,0.0
2022-04-07,9.985,9.985,9.98,9.98,700,0.01,0.1003
2022-04-11,9.98,9.98,9.98,9.98,5,0.0,0.0
2022-04-12,9.99,9.995,9.985,9.99,7197,0.01,0.1002
2022-04-13,9.99,9.99,9.99,9.99,10,0.0,0.0
2022-04-18,9.99,9.99,9.99,9.99,6,0.0,0.0
2022-04-19,9.99,9.99,9.99,9.99,1,0.0,0.0
2022-04-22,10.08,10.55,9.98,10.0,6970,0.01,0.1001
2022-04-25,10.04,10.04,10.04,10.04,299,0.04,0.4
2022-04-26,10.04,10.04,10.015,10.015,1249,-0.025,-0.249
2022-04-27,10.0,10.009,9.99,10.0,12005,-0.015,-0.15
2022-04-28,10.0,10.0,10.0,10.0,206,0.0,0.0
2022-04-29,10.0,10.0,10.0,10.0,1,0.0,0.0
2022-05-02,10.0,10.0,10.0,10.0,5900,0.0,0.0
2022-05-03,10.0,10.0,10.0,10.0,30,0.0,0.0
2022-05-05,10.01,10.02,10.0,10.0,7462,0.0,0.0
2022-05-06,10.0,10.0,9.99,9.99,1530049,-0.01,-0.1
2022-05-09,9.99,9.99,9.99,9.99,56,0.0,0.0
2022-05-10,9.99,9.99,9.99,9.99,9,0.0,0.0
2022-05-11,9.98,9.98,9.98,9.98,636,-0.01,-0.1001
2022-05-12,9.95,9.98,9.95,9.97,2328,-0.01,-0.1002
2022-05-16,9.97,9.97,9.97,9.97,5,0.0,0.0
2022-05-17,9.98,9.98,9.98,9.98,41101,0.01,0.1
2022-05-18,9.98,9.985,9.98,9.985,5419,0.005,0.0501
2022-05-19,9.985,9.985,9.985,9.985,22,0.0,0.0
2022-05-20,9.98,9.99,9.975,9.99,13742,0.005,0.0501
2022-05-23,9.98,9.99,9.98,9.98,3365,-0.01,-0.1
2022-05-24,9.97,9.99,9.97,9.98,5602,0.0,0.0
