日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2013-06-18,44.5,45.0,43.5,44.0,1082571,0.0,0.0
2013-06-19,44.0,44.05,43.0,43.1,540735,0.0,0.0
2013-06-20,43.0,43.5,42.0,42.94,1013513,0.0,0.0
2013-06-21,43.29,43.5,42.04,43.5,913646,0.0,0.0
2013-06-24,44.0,44.0,42.96,43.5,272078,0.0,0.0
2013-06-25,43.5,44.38,42.71,44.0,224280,0.0,0.0
2013-06-26,43.5,45.47,43.31,44.1,1422798,0.0,0.0
2013-06-27,44.85,45.5,44.22,44.95,612619,0.0,0.0
2013-06-28,45.49,46.65,44.1,45.43,7775614,0.0,0.0
2013-07-01,45.94,46.43,43.75,44.0,5786938,-1.0,-2.22
2013-07-02,43.66,45.26,41.85,42.26,6730353,-1.74,-3.95
2013-07-03,42.0,43.1,41.2,43.1,5069286,0.84,1.99
2013-07-04,43.1,43.1,43.1,43.1,0,0.0,0.0
2013-07-05,42.26,44.32,42.26,44.23,1754457,1.13,2.62
2013-07-08,43.25,44.27,41.5,43.01,4796328,-1.22,-2.76
2013-07-09,42.5,43.51,42.1,43.27,4196206,0.26,0.6
2013-07-10,42.81,42.83,41.18,42.12,5929033,-1.15,-2.66
2013-07-11,42.15,42.57,42.04,42.4,2292238,0.28,0.66
2013-07-12,42.0,42.44,41.66,41.96,1226898,-0.44,-1.04
2013-07-15,41.82,42.03,41.31,41.87,1182189,-0.09,-0.21
2013-07-16,41.87,41.87,41.0,41.51,1452655,-0.36,-0.86
2013-07-17,41.5,42.05,41.35,41.93,686927,0.42,1.01
2013-07-18,41.93,43.48,41.53,43.09,1417262,1.16,2.77
2013-07-19,43.39,44.32,42.85,43.48,1329881,0.39,0.91
2013-07-22,43.2,43.74,43.01,43.51,1226356,0.03,0.07
2013-07-23,43.3,44.5,43.23,44.0,734901,0.49,1.13
2013-07-24,43.97,44.4,43.5,43.98,889070,-0.02,-0.05
2013-07-25,43.67,44.65,43.67,44.38,861935,0.4,0.91
2013-07-26,44.16,45.56,43.78,45.05,740176,0.67,1.51
2013-07-29,45.35,46.66,45.0,46.2,1976008,1.15,2.55
2013-07-30,46.07,47.23,45.73,47.16,1033590,0.96,2.08
2013-07-31,47.25,47.68,45.63,45.89,1145395,-1.27,-2.69
2013-08-01,46.26,48.26,46.08,46.22,974390,0.33,0.72
2013-08-02,46.47,46.56,44.92,45.83,539595,-0.39,-0.84
2013-08-05,45.51,46.0,45.0,45.14,388622,-0.69,-1.51
2013-08-06,45.1,45.2,43.83,44.36,821257,-0.78,-1.73
2013-08-07,44.04,44.86,44.02,44.78,373819,0.42,0.95
2013-08-08,44.85,46.05,44.825,45.92,946972,1.14,2.55
2013-08-09,45.0,45.77,44.51,45.36,914800,-0.56,-1.22
2013-08-12,44.55,45.57,44.32,45.32,538253,-0.04,-0.09
2013-08-13,45.13,45.275,44.205,44.66,1236471,-0.66,-1.46
2013-08-14,44.51,44.6,44.0,44.11,547501,-0.55,-1.23
2013-08-15,43.85,44.52,42.79,42.89,734554,-1.22,-2.77
2013-08-16,42.75,42.828,42.16,42.69,486548,-0.2,-0.47
2013-08-19,42.58,43.549,42.497,42.82,343473,0.13,0.3
2013-08-20,42.98,43.25,42.7,43.0,313609,0.18,0.42
2013-08-21,42.74,43.251,42.02,42.5,335554,-0.5,-1.16
2013-08-22,42.35,42.57,42.02,42.5,457365,0.0,0.0
2013-08-23,42.43,42.96,42.12,42.33,268154,-0.17,-0.4
2013-08-26,42.26,43.15,42.21,42.66,286333,0.33,0.78
2013-08-27,42.51,42.74,42.06,42.64,320692,-0.02,-0.05
2013-08-28,43.11,44.69,42.4,43.98,643681,1.34,3.14
2013-08-29,44.0,44.23,43.45,44.07,240262,0.09,0.2
2013-08-30,41.89,44.17,41.89,43.65,452088,-0.42,-0.95
2013-09-02,43.65,43.65,43.65,43.65,0,0.0,0.0
2013-09-03,43.75,44.87,43.09,44.62,692473,0.97,2.22
2013-09-04,44.38,45.775,44.26,45.02,552323,0.4,0.9
2013-09-05,44.9,46.57,44.71,46.1,840666,1.08,2.4
2013-09-06,45.97,48.06,45.62,46.84,1195361,0.74,1.61
2013-09-09,46.76,47.06,44.73,46.58,970666,-0.26,-0.56
2013-09-10,45.98,46.61,45.37,45.4,667595,-1.18,-2.53
2013-09-11,45.09,45.27,44.39,44.9,577896,-0.5,-1.1
2013-09-12,44.74,45.05,44.05,44.46,593566,-0.44,-0.98
2013-09-13,44.36,44.5,43.5,43.6,565077,-0.86,-1.93
2013-09-16,43.79,43.99,43.02,43.26,705683,-0.34,-0.78
2013-09-17,43.2,43.745,43.02,43.34,482236,0.08,0.18
2013-09-18,43.22,43.59,42.55,43.1,570718,-0.24,-0.55
2013-09-19,43.28,43.42,42.52,42.68,681664,-0.42,-0.97
2013-09-20,43.0,43.67,42.58,43.05,1633513,0.37,0.87
2013-09-23,43.05,43.43,42.37,42.58,388438,-0.47,-1.09
2013-09-24,42.55,42.96,42.25,42.31,449400,-0.27,-0.63
2013-09-25,42.41,43.7,42.08,43.6,588130,1.29,3.05
2013-09-26,43.55,44.72,43.37,44.17,481646,0.57,1.31
2013-09-27,43.94,44.23,43.02,43.57,687709,-0.6,-1.36
2013-09-30,43.28,44.11,43.05,44.09,489589,0.52,1.19
2013-10-01,44.35,44.857,43.71,43.89,561550,-0.2,-0.45
2013-10-02,44.0,45.23,43.91,44.92,1190192,1.03,2.35
2013-10-03,44.91,45.2,44.0,44.29,2474916,-0.63,-1.4
2013-10-04,44.43,44.73,44.14,44.5,305541,0.21,0.47
2013-10-07,44.33,44.8,43.76,43.97,369978,-0.53,-1.19
2013-10-08,43.98,43.98,43.21,43.44,355104,-0.53,-1.21
2013-10-09,43.01,43.75,42.74,43.52,563560,0.08,0.18
2013-10-10,43.75,44.0,43.29,43.52,310452,0.0,0.0
2013-10-11,43.38,43.83,43.13,43.73,572689,0.21,0.48
2013-10-14,43.71,44.35,43.71,44.28,1013359,0.55,1.26
2013-10-15,44.11,45.07,43.97,44.95,1113292,0.67,1.51
2013-10-16,45.95,45.989,44.02,44.31,1288191,-0.64,-1.42
2013-10-17,44.36,44.48,42.65,43.07,1433924,-1.24,-2.8
2013-10-18,43.13,43.62,42.33,42.45,565377,-0.62,-1.44
2013-10-21,42.41,42.49,41.79,42.36,494092,-0.09,-0.21
2013-10-22,42.38,43.03,42.38,42.6,501557,0.24,0.57
2013-10-23,42.59,43.78,42.57,43.46,690638,0.86,2.02
2013-10-24,43.41,44.04,42.95,43.88,588806,0.42,0.97
2013-10-25,43.67,43.67,42.5,43.26,791659,-0.62,-1.41
2013-10-28,43.3,43.47,42.91,43.37,360914,0.11,0.25
2013-10-29,43.36,43.47,42.721,43.06,269007,-0.31,-0.71
2013-10-30,42.99,42.99,41.67,42.27,636119,-0.79,-1.83
2013-10-31,42.2,42.555,41.89,42.01,567775,-0.26,-0.62
2013-11-01,42.12,42.95,42.0,42.88,305229,0.87,2.07
2013-11-04,43.0,45.64,42.95,43.74,1263462,0.86,2.01
2013-11-05,43.63,45.01,43.13,44.95,862555,1.21,2.77
2013-11-06,45.04,45.88,44.55,45.15,1016769,0.2,0.44
2013-11-07,44.0,45.04,43.66,44.75,527733,-0.4,-0.89
2013-11-08,44.53,45.91,44.04,45.86,899301,1.11,2.48
2013-11-11,45.78,46.25,45.33,45.81,221000,-0.05,-0.11
2013-11-12,45.66,45.93,45.02,45.13,162831,-0.68,-1.48
2013-11-13,45.04,46.24,44.69,46.22,299463,1.09,2.42
2013-11-14,46.35,47.52,46.13,47.18,1068622,0.96,2.08
2013-11-15,47.46,48.75,47.236,47.56,868806,0.38,0.81
2013-11-18,47.65,48.75,47.5,48.46,900304,0.9,1.89
2013-11-19,48.54,50.57,48.308,50.14,1652796,1.68,3.47
2013-11-20,50.74,50.74,49.8,50.08,1011335,-0.06,-0.12
2013-11-21,50.26,50.49,49.91,50.41,1128007,0.33,0.66
2013-11-22,50.58,51.36,50.23,51.24,537922,0.83,1.65
2013-11-25,50.9,51.2,49.08,50.6,676356,-0.64,-1.25
2013-11-26,52.38,52.49,50.84,51.53,1085492,0.93,1.84
2013-11-27,51.5,51.9,50.63,51.8,263489,0.27,0.52
2013-11-28,51.8,51.8,51.8,51.8,0,0.0,0.0
2013-11-29,51.89,52.34,50.73,51.96,117165,0.16,0.31
2013-12-02,51.7,52.87,51.7,52.31,492485,0.35,0.67
2013-12-03,52.01,52.18,51.05,51.54,474599,-0.77,-1.47
2013-12-04,51.54,51.91,51.0,51.74,324336,0.2,0.39
2013-12-05,51.66,52.35,51.39,52.3,284896,0.56,1.08
2013-12-06,52.43,52.85,51.95,52.55,286260,0.25,0.48
2013-12-09,52.5,53.24,52.34,52.72,580904,0.17,0.32
2013-12-10,52.46,53.39,52.28,52.69,735478,-0.03,-0.06
2013-12-11,52.7,52.7,51.76,51.85,479187,-0.84,-1.59
2013-12-12,51.97,52.21,50.734,52.16,601579,0.31,0.6
2013-12-13,52.13,52.87,51.71,52.45,201155,0.29,0.56
2013-12-16,52.16,52.67,51.87,52.59,499195,0.14,0.27
2013-12-17,52.32,52.45,50.26,50.59,1131035,-2.0,-3.8
2013-12-18,50.6,51.5,49.87,50.9,1036072,0.31,0.61
2013-12-19,50.94,51.97,50.51,51.54,449639,0.64,1.26
2013-12-20,51.49,52.775,51.47,52.22,1095801,0.68,1.32
2013-12-23,52.22,53.8,52.22,53.47,385086,1.25,2.39
2013-12-24,53.36,53.56,52.61,52.76,123065,-0.71,-1.33
2013-12-25,52.76,52.76,52.76,52.76,0,0.0,0.0
2013-12-26,52.89,53.06,52.03,52.04,295683,-0.72,-1.36
2013-12-27,52.0,52.1,51.01,51.39,177093,-0.65,-1.25
2013-12-30,51.4,52.33,51.37,52.02,260536,0.63,1.23
