日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-01-04,2.3071,2.4208,2.2819,2.2819,2292,0.0,0.0
1995-01-05,2.2819,2.2819,2.2819,2.2819,764,0.0,0.0
1995-01-10,2.2819,2.2819,2.2819,2.2819,3827,0.1095,5.04
1995-01-11,2.2819,2.2819,2.2819,2.2819,1914,0.0,0.0
1995-01-13,2.1724,2.1724,2.1724,2.1724,382,-0.0548,-2.46
1995-02-03,2.1977,2.1977,2.1977,2.1977,3827,-0.0547,-2.43
1995-02-07,2.1977,2.1977,2.1977,2.1977,764,0.0,0.0
1995-02-13,2.143,2.143,2.143,2.143,3827,-0.0547,-2.49
1995-02-22,2.2524,2.2524,2.2524,2.2524,764,-0.1685,-6.96
1995-02-23,2.4756,2.4756,2.4756,2.4756,764,0.2232,9.91
1995-02-24,2.2524,2.2524,2.2524,2.2524,382,-0.223,-9.01
1995-02-27,2.5303,2.5303,2.5303,2.5303,2678,0.2779,12.34
1995-02-28,2.3071,2.3071,2.3071,2.3071,382,-0.2232,-8.82
1995-03-01,2.3071,2.3071,2.3071,2.3071,382,0.0,0.0
1995-03-06,2.2524,2.2524,2.2524,2.2524,4209,-0.0547,-2.37
1995-03-07,2.3071,2.4208,2.2272,2.4208,14931,0.1685,7.48
1995-03-10,2.3071,2.3071,2.3071,2.3071,382,-0.1138,-4.7
1995-03-13,2.3071,2.3071,2.3071,2.3071,382,0.0,0.0
1995-03-15,2.3071,2.3071,2.3071,2.3071,382,0.0,0.0
1995-03-16,2.4082,2.5303,2.3661,2.3661,2678,0.0588,2.55
1995-03-24,2.3661,2.3661,2.3661,2.3661,382,0.0,0.0
1995-03-29,2.3661,2.3661,2.3661,2.3661,382,0.0,0.0
1995-03-30,2.3661,2.3661,2.3661,2.3661,1914,0.0,0.0
1995-03-31,2.4756,2.4756,2.4756,2.4756,382,0.1095,4.63
1995-04-03,2.3661,2.3661,2.3661,2.3661,2292,-0.1094,-4.42
1995-04-05,2.3661,2.3661,2.3661,2.3661,382,0.0,0.0
1995-04-10,2.3661,2.3661,2.3661,2.3661,764,0.0,0.0
1995-04-11,2.5303,2.5303,2.5303,2.5303,764,0.1642,6.94
1995-04-18,2.3661,2.3661,2.3661,2.3661,1528,-0.1642,-6.49
1995-04-21,2.3071,2.3071,2.3071,2.3071,1914,-0.0589,-2.49
1995-04-26,2.3071,2.3071,2.3071,2.3071,382,0.0,0.0
1995-04-28,2.4208,2.4208,2.4208,2.4208,382,0.1137,4.93
1995-05-19,2.3071,2.3071,2.3071,2.3071,382,-0.1138,-4.7
1995-05-22,2.3071,2.3071,2.3071,2.3071,764,0.0,0.0
1995-05-24,2.4082,2.5303,2.3366,2.5303,1914,0.0,0.0
1995-05-25,2.3366,2.3366,2.3366,2.3366,382,-0.1936,-7.65
1995-05-30,2.3366,2.3366,2.3366,2.3366,382,0.0,0.0
1995-06-05,2.5008,2.5008,2.5008,2.5008,1528,0.0253,1.02
1995-06-08,2.3913,2.3913,2.3913,2.3913,5741,-0.1095,-4.38
1995-06-09,2.3661,2.3661,2.3661,2.3661,5741,-0.0253,-1.06
1995-06-12,2.4082,2.5303,2.3661,2.3661,4587,0.0,0.0
1995-06-13,2.3661,2.3661,2.3661,2.3661,1914,0.0,0.0
1995-06-14,2.3661,2.3661,2.3661,2.3661,7655,0.0,0.0
1995-06-15,2.3661,2.3661,2.3661,2.3661,1914,0.0,0.0
1995-06-20,2.3071,2.4208,2.1977,2.1977,11100,-0.1685,-7.12
1995-06-21,2.1977,2.1977,2.1977,2.1977,382,0.0,0.0
1995-06-23,2.2524,2.3661,2.2524,2.2524,7655,0.0,0.0
1995-06-26,2.2524,2.3661,2.2524,2.3366,11486,0.0842,3.74
1995-06-30,2.2524,2.3661,2.2524,2.2524,4977,-0.1136,-4.8
1995-07-06,2.1977,2.1977,2.1977,2.1977,4209,-0.0547,-2.43
1995-07-13,2.2524,2.3661,2.1977,2.1977,7655,-0.1685,-7.12
1995-07-21,2.4629,2.585,2.4208,2.4208,1914,-0.1096,-4.33
1995-07-24,2.3661,2.3661,2.3661,2.3661,764,-0.0547,-2.26
1995-07-27,2.6945,2.6945,2.6945,2.6945,6119,0.2188,8.84
1995-08-02,2.5934,2.7197,2.5555,2.5555,14931,-0.0295,-1.14
1995-08-04,2.5555,2.5555,2.5555,2.5555,382,-0.1812,-6.62
1995-08-14,2.585,2.585,2.585,2.585,1914,-0.0799,-3.0
1995-08-17,2.6187,2.7492,2.585,2.6945,2678,0.0,0.0
1995-08-21,2.585,2.585,2.585,2.585,382,-0.1094,-4.06
1995-08-22,2.6187,2.7492,2.585,2.6945,1914,0.1094,4.23
1995-08-23,2.585,2.585,2.585,2.585,382,-0.1094,-4.06
1995-08-25,2.585,2.585,2.585,2.585,1146,0.0,0.0
1995-08-30,2.7492,2.7492,2.7492,2.7492,3827,0.1095,4.15
1995-09-06,2.8039,2.8039,2.8039,2.8039,3827,-0.0546,-1.91
1995-09-11,2.8039,2.8039,2.8039,2.8039,764,0.0,0.0
1995-09-12,2.9681,2.9681,2.9681,2.9681,764,0.1643,5.86
