日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2015-01-02,75.72,76.71,74.68,75.26,526669,0.0,0.0
2015-01-05,74.93,75.16,73.91,74.14,254111,-1.12,-1.49
2015-01-06,74.43,74.69,73.26,73.95,409274,-0.19,-0.26
2015-01-07,74.27,74.63,73.63,74.07,619196,0.12,0.16
2015-01-08,74.5,75.49,73.6,74.88,510959,0.81,1.09
2015-01-09,74.86,74.93,73.64,73.82,3170593,-1.06,-1.41
2015-01-12,72.91,73.99,72.91,73.67,12877,-0.15,-0.2
2015-01-13,74.37,75.32,73.59,73.87,407502,0.02,0.03
2015-01-14,73.26,73.87,72.38,72.54,715205,-1.33,-1.8
2015-01-15,72.68,72.89,71.73,72.17,275462,-0.37,-0.51
2015-01-16,72.25,73.84,72.23,73.65,388666,1.48,2.05
2015-01-20,73.87,74.96,72.62,73.1,314057,-0.55,-0.75
2015-01-21,72.8,73.71,72.58,73.18,339187,0.08,0.11
2015-01-22,73.64,74.86,72.9,74.73,308917,1.55,2.12
2015-01-23,74.71,74.91,74.15,74.55,278043,-0.18,-0.24
2015-01-26,74.67,75.4,73.74,75.05,359280,0.5,0.67
2015-01-27,74.15,75.44,73.95,75.22,365146,0.17,0.23
2015-01-28,75.27,76.2,74.58,75.16,370547,-0.06,-0.08
2015-01-29,75.28,75.88,74.34,75.63,266022,0.47,0.63
2015-01-30,75.31,75.94,75.05,75.75,433998,0.12,0.16
2015-02-02,75.96,75.98,74.24,75.78,396344,0.03,0.04
2015-02-03,76.3,77.13,75.89,77.08,396957,1.3,1.72
2015-02-04,76.94,77.72,76.79,77.08,247136,0.0,0.0
2015-02-05,77.25,77.75,76.31,76.42,500459,-0.66,-0.86
2015-02-06,78.0,79.37,77.0,78.11,691413,1.69,2.21
2015-02-09,78.12,78.35,76.72,77.08,307850,-1.03,-1.32
2015-02-10,77.73,78.75,77.15,78.59,289624,1.51,1.95
2015-02-11,78.69,78.71,77.21,77.33,312561,-1.26,-1.6
2015-02-12,77.46,78.33,77.2,78.19,270930,0.86,1.11
2015-02-13,78.5,78.79,77.35,78.72,220483,0.53,0.68
2015-02-17,78.8,78.8,78.05,78.54,182240,-0.18,-0.23
2015-02-18,78.38,78.63,77.62,78.07,246702,-0.47,-0.6
2015-02-19,78.01,78.16,77.59,77.76,237952,-0.31,-0.4
2015-02-20,77.45,78.57,77.18,78.53,130604,0.77,0.99
2015-02-23,79.29,79.66,78.79,79.12,294211,0.59,0.75
2015-02-24,79.03,79.36,78.88,79.09,217631,-0.04,-0.04
2015-02-25,78.93,79.31,78.48,78.74,271527,-0.35,-0.44
2015-02-26,78.9,79.2,78.13,78.45,207371,-0.29,-0.37
2015-02-27,78.5,78.83,77.97,78.35,353100,-0.1,-0.13
2015-03-02,78.46,79.48,78.37,78.81,312351,0.46,0.59
2015-03-03,78.65,78.97,77.75,78.51,1323388,-0.3,-0.38
2015-03-04,77.45,77.83,76.98,77.54,469198,-0.97,-1.24
2015-03-05,77.81,77.86,76.82,76.99,306903,-0.55,-0.71
2015-03-06,76.66,77.06,75.95,76.05,317513,-0.94,-1.22
2015-03-09,76.26,76.51,75.75,76.16,229337,0.11,0.14
2015-03-10,76.0,76.0,75.25,75.37,303791,-0.79,-1.04
2015-03-11,75.74,75.99,75.27,75.87,852995,0.5,0.66
2015-03-12,76.22,76.97,75.95,76.81,443415,0.94,1.24
2015-03-13,77.66,78.37,77.25,78.2,941593,1.39,1.8
2015-03-16,78.0,78.0,76.72,77.81,1457455,-0.39,-0.49
2015-03-17,77.81,78.62,77.29,78.51,1029680,0.7,0.9
2015-03-18,78.51,79.97,78.07,79.52,694080,1.01,1.29
2015-03-19,79.2,79.78,79.2,79.33,474923,-0.19,-0.24
2015-03-20,79.38,80.0,79.21,79.85,937109,0.52,0.66
