日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2022-05-24,5.25,5.89,3.33,5.06,1192364,-5.72,-53.06
2022-05-25,4.82,4.85,3.64,3.73,532691,-1.33,-26.2846
2022-05-26,3.65,3.65,2.45,2.57,1235166,-1.16,-31.1
2022-05-27,2.35,2.5,1.6802,1.74,2732500,-0.83,-32.3
2022-05-31,1.59,1.59,1.09,1.36,4769696,-0.38,-21.84
2022-06-01,1.29,1.44,1.1209,1.25,3381541,-0.11,-8.09
2022-06-02,1.26,1.36,1.14,1.19,2218556,-0.06,-4.8
2022-06-03,1.2,1.25,1.01,1.02,2990652,-0.17,-14.29
2022-06-06,1.02,1.115,0.9406,1.11,2199988,0.09,8.82
2022-06-07,1.05,1.12,1.01,1.09,694184,-0.02,-1.8
2022-06-08,1.08,1.23,1.08,1.14,1044850,0.05,4.59
2022-06-09,1.17,1.2,1.1,1.11,456286,-0.03,-2.63
2022-06-10,1.07,1.11,1.0,1.09,469953,-0.02,-1.8018
2022-06-13,1.11,1.11,0.9903,1.0,464746,-0.09,-8.26
2022-06-14,1.0,1.547,0.99,1.14,10335883,0.14,14.0
2022-06-15,1.17,1.2699,1.16,1.23,1281247,0.09,7.89
2022-06-16,1.18,1.25,1.17,1.23,567230,0.0,0.0
2022-06-17,1.25,1.41,1.2,1.37,1653512,0.14,11.38
2022-06-21,1.39,1.5699,1.3,1.55,1043964,0.18,13.14
2022-06-22,1.57,1.94,1.5,1.89,2720065,0.34,21.94
2022-06-23,1.95,2.66,1.94,2.43,17220076,0.54,28.57
2022-06-24,2.31,2.43,2.02,2.19,2694652,-0.24,-9.88
2022-06-27,2.17,3.02,2.03,2.53,6139739,0.34,15.53
2022-06-28,2.73,2.9,2.26,2.69,2838873,0.16,6.32
2022-06-29,2.82,2.89,2.3201,2.5,1632713,-0.19,-7.06
2022-06-30,2.4,2.43,2.03,2.14,1029126,-0.36,-14.4
2022-07-01,2.15,2.3437,2.06,2.12,701478,-0.02,-0.93
