日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2019-01-08,45.0,65.95,45.0,59.4,179950,0.0,0.0
2019-01-09,59.1,79.9,56.0,75.5,204179,16.098,27.1
2019-01-10,80.0,114.425,69.1,72.3,242462,-3.2013,-4.24
2019-01-11,68.5,92.53,68.4,89.0,204004,16.7011,23.1
2019-01-14,85.0,88.1,76.3,79.5,148966,-9.4959,-10.67
2019-01-15,79.0,83.7,66.6,74.8,133634,-4.6984,-5.91
2019-01-16,76.7,76.7,67.0,67.7,63104,-7.0984,-9.49
2019-01-17,66.001,70.0,53.57,61.1,46211,-6.6008,-9.75
2019-01-18,60.399,64.56,60.0,63.5,11495,2.4012,3.93
2019-01-22,62.5,66.35,58.3,62.3,22116,-1.2002,-1.89
2019-01-23,60.1,64.3,56.1,64.3,12309,1.9998,3.21
2019-01-24,65.0,68.7,59.0,64.0,29631,-0.3022,-0.47
2019-01-25,63.9,77.0,63.9,66.2,27443,2.2015,3.44
2019-01-28,64.8,74.7,63.3,65.0,11774,-1.1982,-1.81
2019-01-29,63.9,64.4,57.501,61.999,20871,-3.0031,-4.62
2019-01-30,62.31,63.0,57.8,61.305,5440,-0.6944,-1.12
2019-01-31,62.19,64.999,62.1,64.999,5541,3.6965,6.03
2019-02-01,66.5,66.6,63.5,63.6,2480,-1.3974,-2.15
2019-02-04,64.682,70.0,64.453,66.0,14102,2.3978,3.77
2019-02-05,63.5,63.7,56.5,62.796,5764,-3.2008,-4.85
2019-02-06,62.6,65.799,60.1,60.1,2866,-2.6939,-4.29
2019-02-07,60.001,60.001,60.001,60.001,369,-0.0962,-0.16
2019-02-08,60.1,60.1,57.1,57.1,550,-2.8979,-4.83
2019-02-11,57.501,59.0,54.1,57.271,8159,0.1713,0.3
2019-02-12,57.0,57.266,45.601,46.9,27318,-10.372,-18.11
2019-02-13,49.774,49.774,45.3,45.5,1844,-1.4024,-2.99
2019-02-14,43.581,45.4,43.418,45.005,4797,-0.496,-1.09
2019-02-15,45.1,48.074,45.1,47.4,8759,2.3943,5.32
2019-02-19,47.1,54.5,47.1,52.0,9406,4.598,9.7
2019-02-20,52.7,56.464,45.5,48.4,13587,-3.5983,-6.92
2019-02-21,48.4,50.0,48.4,49.0,3491,0.6002,1.24
2019-02-22,48.8,50.8,46.4,50.8,4632,1.7984,3.67
2019-02-25,52.7,59.3,52.7,53.968,24209,3.1698,6.24
2019-02-26,56.129,56.5,52.0,53.7,5940,-0.2698,-0.5
2019-02-27,55.502,55.502,50.5,51.9,9934,-1.7989,-3.35
2019-02-28,52.0,54.7,49.4,52.5,11664,0.602,1.16
2019-03-01,53.672,53.879,50.699,50.699,4667,-1.8007,-3.43
2019-03-04,50.0,50.0,45.7,48.2,5937,-2.4995,-4.93
2019-03-05,48.3,66.914,46.0,50.4,114308,2.198,4.56
2019-03-06,52.3,57.8,49.748,54.1,42237,3.6994,7.34
2019-03-07,54.5,59.899,50.5,59.5,43422,5.3993,9.98
2019-03-08,58.4,58.548,52.3,52.3,14483,-7.1994,-12.1
2019-03-11,51.75,55.044,50.2,51.7,10440,-0.6015,-1.15
2019-03-12,52.5,52.989,51.0,51.8,3562,0.0982,0.19
2019-03-13,50.25,52.373,50.011,50.3,6181,-1.5023,-2.9
2019-03-14,50.3,52.5,47.264,50.5,6559,0.2012,0.4
2019-03-15,51.9,51.9,47.922,50.147,1821,-0.3535,-0.7
2019-03-18,50.426,50.426,47.8,49.8,4485,-0.346,-0.69
2019-03-19,49.6,52.0,48.01,52.0,4809,2.2011,4.42
2019-03-20,51.851,53.071,50.706,53.071,2149,1.0712,2.06
2019-03-21,54.8,54.8,48.26,49.0,3997,-4.0705,-7.67
2019-03-22,49.1,49.4,47.7,48.0,5492,-0.9996,-2.04
2019-03-25,47.3,48.815,47.121,47.121,1557,-0.8784,-1.83
2019-03-27,49.4,49.647,47.6,47.6,11200,0.4806,1.02
2019-03-28,47.9,47.9,45.007,47.001,4737,-0.5998,-1.26
2019-03-29,45.7,47.9,45.7,47.9,259,0.8977,1.91
2019-04-01,46.1,48.58,45.0,46.0,1130,-1.9017,-3.97
2019-04-02,43.1,45.716,42.1,45.716,1285,-0.2852,-0.62
2019-04-03,40.1,46.3,40.1,42.0,15341,-3.7168,-8.13
2019-04-04,46.1,46.1,41.0,41.0,3789,-0.9996,-2.38
2019-04-05,42.1,44.3,40.7,40.999,5251,0.0,0.0
2019-04-08,41.991,45.685,40.2,43.301,6388,2.3001,5.61
2019-04-09,43.2,45.1,40.4,45.0,6426,1.6975,3.92
2019-04-10,44.5,46.199,40.8,41.6,10411,-3.4022,-7.56
2019-04-11,41.5,44.9,41.0,44.9,8754,3.299,7.93
2019-04-12,44.7,45.0,41.808,41.9,2662,-2.9993,-6.68
2019-04-15,44.477,44.477,40.2,40.2,3302,-1.7012,-4.06
2019-04-16,40.2,44.092,40.2,41.5,3815,1.2985,3.23
2019-04-17,43.589,43.85,40.262,41.9,4650,0.3984,0.96
2019-04-18,43.701,43.919,40.0,40.448,6030,-1.454,-3.47
2019-04-22,39.6,40.779,39.6,40.779,289,0.3317,0.82
2019-04-23,40.9,40.9,40.9,40.9,245,0.1223,0.3
2019-04-25,39.3,44.032,33.8,38.016,54349,-2.8834,-7.05
2019-04-26,38.5,41.152,36.5,41.152,19535,3.1363,8.25
2019-04-29,41.5,42.9,39.0,40.705,4255,-0.4486,-1.09
2019-04-30,42.0,42.2,36.8,39.0,3749,-1.7056,-4.19
2019-05-01,40.907,42.1,40.907,42.1,731,3.1005,7.95
2019-05-02,42.9,42.9,38.7,42.7,2857,0.602,1.43
2019-05-03,42.6,42.6,40.2,40.2,1575,-2.4978,-5.85
2019-05-06,41.7,41.7,40.5,41.6,880,1.399,3.48
2019-05-07,40.08,42.9,40.08,42.699,2896,1.0983,2.64
2019-05-08,44.0,44.0,40.602,40.602,1024,-2.0965,-4.91
2019-05-09,44.0,44.0,41.309,41.309,838,0.7065,1.74
2019-05-10,41.0,44.0,39.1,41.958,14298,0.6486,1.57
2019-05-13,41.68,47.45,40.5,44.317,28007,2.3581,5.62
2019-05-14,41.9,47.3,40.1,41.8,16920,-2.5172,-5.68
2019-05-15,41.2,43.8,40.7,40.7,690,-1.0993,-2.63
2019-05-16,41.5,42.51,41.5,42.51,1100,1.8111,4.45
2019-05-17,41.2,44.594,38.0,41.575,4935,-0.9352,-2.2
2019-05-20,41.0,41.3,40.5,41.3,3148,-0.2744,-0.66
2019-05-21,41.4,42.893,41.4,42.357,3625,1.0573,2.56
2019-05-22,41.0,43.1,39.9,40.5,9759,-1.8552,-4.38
2019-05-23,41.0,41.0,39.0,40.0,11649,-0.4981,-1.23
2019-05-24,41.5,41.5,37.185,39.715,13951,-0.284,-0.71
2019-05-28,40.2,40.2,38.076,38.1,1850,-1.6165,-4.07
2019-05-29,37.328,37.328,37.328,37.328,100,-0.7735,-2.03
2019-05-31,40.4,49.5,39.4,47.6,89381,10.2725,27.52
2019-06-03,49.5,56.9,47.001,47.336,38268,-0.2618,-0.55
2019-06-04,47.8,57.168,47.8,50.853,53709,3.5171,7.43
2019-06-05,51.3,57.0,47.336,57.0,10355,6.148,12.09
2019-06-06,56.4,64.799,51.5,64.0,23109,6.9996,12.28
2019-06-07,66.8,66.8,52.0,53.624,25330,-10.3741,-16.21
2019-06-10,53.1,59.9,53.067,56.8,9868,3.1746,5.92
2019-06-11,57.1,57.389,52.1,52.1,9811,-4.6971,-8.27
2019-06-12,57.4,62.157,50.501,55.6,121040,3.501,6.72
2019-06-13,60.6,83.7,56.7,75.7,172722,20.0996,36.15
2019-06-14,70.0,79.6,60.0,71.5,71305,-4.2014,-5.55
2019-06-17,71.7,79.8,60.0,68.5,115312,-3.0031,-4.2
2019-06-18,67.9,77.1,66.0,75.999,64005,7.5006,10.95
2019-06-19,78.5,85.2,73.1,83.0,74791,6.9996,9.21
2019-06-20,86.8,98.9,79.1,89.064,48295,6.0671,7.31
2019-06-21,93.0,95.0,74.4,91.5,12985,2.4402,2.74
2019-06-24,92.0,95.0,87.559,92.5,13407,0.9974,1.09
2019-06-25,92.5,119.6,92.5,103.313,40697,10.8132,11.69
2019-06-26,108.6,109.8,86.1,109.8,34338,6.488,6.28
2019-06-27,105.0,145.835,95.3,129.4,31706,19.5994,17.85
2019-06-28,130.0,169.3,130.0,168.3,114613,38.8982,30.06
2019-07-01,176.5,190.5,160.1,190.5,74163,22.1989,13.19
2019-07-02,189.3,191.0,170.501,185.5,45695,-4.9909,-2.62
2019-07-03,190.0,190.0,145.9,180.1,21270,-5.398,-2.91
2019-07-05,179.1,192.099,177.8,186.01,20677,5.9074,3.28
2019-07-08,183.9,195.495,171.1,172.049,34336,-13.97,-7.51
2019-07-09,180.3,186.095,148.001,148.001,25169,-24.0532,-13.98
2019-07-10,138.0,138.0,92.801,111.264,88154,-36.7328,-24.82
2019-07-11,100.6,104.7,87.6,87.6,18750,-23.6664,-21.27
2019-07-12,86.0,125.201,85.805,110.1,57053,22.4966,25.68
2019-07-15,114.0,132.1,103.2,124.8,22487,14.6985,13.35
2019-07-16,123.0,127.671,118.512,125.0,10023,0.1997,0.16
2019-07-17,133.1,137.5,125.0,133.0,15726,8.0,6.4
2019-07-18,134.9,163.0,117.5,163.0,10194,30.0039,22.56
2019-07-19,180.5,180.5,134.9,171.2,23618,8.199,5.03
2019-07-22,180.3,180.3,140.2,162.2,9353,-9.0054,-5.26
2019-07-23,153.7,161.0,147.12,147.12,13752,-15.0851,-9.3
2019-07-24,155.211,160.67,148.291,151.5,16336,4.3841,2.98
2019-07-25,154.9,154.9,131.5,137.0,49326,-14.4984,-9.57
2019-07-26,137.1,145.157,132.025,144.3,8951,7.302,5.33
2019-07-29,137.1,137.775,107.4,110.4,15723,-33.8949,-23.49
2019-07-30,108.4,120.7,108.4,120.7,8246,10.3003,9.33
2019-07-31,135.1,135.1,110.5,115.456,2827,-5.2381,-4.34
2019-08-01,107.797,115.627,95.0,102.999,10057,-12.4578,-10.79
2019-08-02,101.3,107.5,95.5,98.5,857,-4.5012,-4.37
2019-08-05,110.0,115.0,100.5,114.9,11946,16.4002,16.65
2019-08-06,117.5,117.5,88.1,90.8,37586,-24.0931,-20.97
2019-08-07,92.3,93.7,70.1,76.9,31594,-13.9017,-15.31
2019-08-08,76.0,77.0,57.0,57.0,35881,-19.9023,-25.88
2019-08-09,58.0,63.6,51.557,53.087,65653,-3.91,-6.86
2019-08-12,65.0,81.12,23.6,27.0,880666,-26.0869,-49.14
2019-08-13,27.1,133.5,25.0,73.4,8301847,46.3998,171.85
2019-08-14,60.2,63.7,32.5,40.0,2358407,-33.3945,-45.5
2019-08-15,41.5,44.0,37.6,40.4,437838,0.4,1.0
2019-08-16,41.0,64.4,38.9,50.8,3817531,10.3992,25.74
2019-08-19,49.8,56.5,40.0,44.0,1129912,-6.8024,-13.39
2019-08-20,43.1,45.9,40.2,40.8,268871,-3.1987,-7.27
2019-08-21,40.0,45.896,40.0,41.4,303664,0.5998,1.47
2019-08-22,41.4,45.2,37.5,41.0,324045,-0.4016,-0.97
2019-08-23,40.0,41.917,38.6,39.5,152015,-1.5006,-3.66
2019-08-26,40.6,40.6,36.7,38.4,144471,-1.098,-2.78
2019-08-27,38.7,39.8,35.5,35.5,168420,-2.8991,-7.55
2019-08-28,35.5,35.5,32.5,34.7,130322,-0.7987,-2.25
2019-08-29,35.3,52.5,35.3,40.9,4751395,6.2008,17.87
2019-08-30,40.1,43.399,40.0,40.4,379538,-0.499,-1.22
2019-09-03,39.0,39.3,37.0,37.8,241077,-2.6019,-6.44
2019-09-04,39.1,39.5,36.7,36.8,155201,-1.0017,-2.65
2019-09-05,37.3,38.101,35.9,36.3,96173,-0.5005,-1.36
2019-09-06,36.5,37.688,35.3,36.3,66780,0.0,0.0
2019-09-09,36.3,37.0,35.7,36.8,68198,0.5009,1.38
2019-09-10,36.7,39.399,36.2,37.2,107056,0.4011,1.09
2019-09-11,36.9,38.5,36.283,37.9,57584,0.6994,1.88
2019-09-12,37.0,38.0,36.2,36.9,38320,-1.0006,-2.64
2019-09-13,36.9,37.7,36.1,36.6,46222,-0.2989,-0.81
2019-09-16,36.9,37.5,35.0,35.0,130013,-1.5994,-4.37
2019-09-17,35.0,36.192,33.0,33.0,128949,-1.9984,-5.71
2019-09-18,33.1,34.701,30.1,32.8,447584,-0.2013,-0.61
2019-09-19,32.4,33.18,32.2,33.1,24211,0.2985,0.91
2019-09-20,33.0,33.0,31.1,31.4,144581,-1.7014,-5.14
2019-09-23,32.0,32.5,30.0,30.6,40655,-0.8007,-2.55
2019-09-24,30.2,30.2,27.308,28.3,63942,-2.3012,-7.52
2019-09-25,28.1,28.2,26.25,27.3,51312,-0.999,-3.53
2019-09-26,27.2,28.519,26.4,28.0,60572,0.6989,2.56
2019-09-27,28.05,28.8,26.1,26.1,73440,-1.9013,-6.79
2019-09-30,25.8,26.8,25.8,26.2,14178,0.0992,0.38
2019-10-01,26.2,26.52,25.4,25.5,14982,-0.6995,-2.67
2019-10-02,25.4,26.297,25.3,25.5,15088,0.0,0.0
2019-10-03,26.0,27.5,25.206,25.9,13859,0.4003,1.57
2019-10-04,26.0,26.734,25.3,25.8,15709,-0.101,-0.39
2019-10-07,25.302,26.7,25.2,25.4,10809,-0.3999,-1.55
2019-10-08,25.0,25.189,24.2,24.5,17748,-0.8991,-3.54
2019-10-09,24.5,25.5,23.6,23.883,25576,-0.6174,-2.52
2019-10-10,24.1,24.1,23.249,23.4,13283,-0.4824,-2.02
2019-10-11,23.5,30.1,23.0,27.0,201890,3.5991,15.38
2019-10-14,25.4,28.202,25.4,27.8,170020,0.7992,2.96
2019-10-15,27.0,33.4,26.406,28.6,304638,0.8006,2.88
2019-10-16,27.3,30.8,27.031,30.8,34161,2.1994,7.69
2019-10-17,30.0,30.599,27.782,28.9,32384,-1.9004,-6.17
2019-10-18,28.9,30.5,28.14,29.7,35319,0.8005,2.77
2019-10-21,30.0,30.2,27.5,28.1,41022,-1.6009,-5.39
2019-10-22,28.082,28.6,27.2,27.9,5521,-0.1995,-0.71
2019-10-23,27.7,28.182,26.0,27.1,12127,-0.8008,-2.87
2019-10-24,27.6,28.1,27.038,27.25,15698,0.1491,0.55
2019-10-25,27.807,27.807,26.0,26.9,13784,-0.3488,-1.28
2019-10-28,26.7,27.5,25.999,26.3,23114,-0.5999,-2.23
2019-10-29,26.1,27.2,24.3,25.4,29793,-0.8994,-3.42
2019-10-30,25.4,27.0,25.0,25.0,22330,-0.3988,-1.57
2019-10-31,26.1,26.1,24.0,24.1,22678,-0.9,-3.6
2019-11-01,24.1,24.703,23.8,24.6,7403,0.4989,2.07
2019-11-04,25.6,27.2,24.7,24.7,9577,0.1009,0.41
2019-11-05,24.7,25.5,24.386,24.7,11369,0.0,0.0
2019-11-06,25.9,25.9,23.5,24.0,25921,-0.699,-2.83
2019-11-07,25.8,25.8,24.0,24.0,9364,0.0,0.0
2019-11-08,25.3,25.4,23.6,24.4,13557,0.4008,1.67
2019-11-11,24.802,25.05,23.8,24.584,3903,0.183,0.75
2019-11-12,24.78,24.8,23.6,23.6,3791,-0.9833,-4.0
2019-11-13,24.8,25.0,22.8,23.1,17221,-0.5003,-2.12
2019-11-14,23.32,23.6,18.0,18.0,89209,-5.1006,-22.08
2019-11-15,18.001,24.442,18.001,22.328,116016,4.3274,24.04
2019-11-18,22.7,24.605,18.2,18.2,34018,-4.1285,-18.49
2019-11-19,20.4,20.4,17.796,19.888,48574,1.6872,9.27
2019-11-20,18.99,20.688,18.3,19.2,21243,-0.6881,-3.46
2019-11-21,19.8,21.522,18.5,19.5,27902,0.2995,1.56
2019-11-22,19.601,23.259,19.01,19.5,187047,0.0,0.0
2019-11-25,19.5,19.5,18.101,19.1,29732,-0.3997,-2.05
2019-11-26,18.8,19.9,18.6,19.467,27994,0.3667,1.92
2019-11-27,19.7,22.452,19.7,20.506,58130,1.0395,5.34
2019-11-29,20.0,22.424,19.8,21.835,21159,1.3288,6.48
2019-12-02,22.6,22.6,20.2,20.3,24782,-1.535,-7.03
2019-12-03,19.6,20.165,19.0,19.9,13350,-0.3999,-1.97
2019-12-04,20.3,20.5,19.397,20.076,19890,0.1751,0.88
2019-12-05,21.6,21.6,20.0,20.6,14625,0.524,2.61
2019-12-06,20.6,21.0,20.0,20.575,5789,-0.0247,-0.12
2019-12-09,19.9,21.6,19.9,21.5,17966,0.9258,4.5
2019-12-10,21.4,23.1,21.364,23.1,23701,1.5996,7.44
2019-12-11,22.843,24.6,22.221,24.5,51360,1.3999,6.06
2019-12-12,24.8,26.8,24.0,24.8,41543,0.2989,1.22
2019-12-13,24.8,25.3,23.1,24.0,23530,-0.8011,-3.23
2019-12-16,23.006,24.79,23.006,23.85,51806,-0.1512,-0.63
2019-12-17,23.5,24.05,20.6,21.5,83207,-2.3491,-9.85
2019-12-18,21.8,22.2,20.8,20.8,127328,-0.7009,-3.26
2019-12-19,20.8,22.5,20.8,21.1,110204,0.2995,1.44
