日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2022-02-02,3.0,3.48,2.71,3.15,7679452,-1.049,-24.98
2022-02-03,2.85,3.83,2.57,2.59,10447280,-0.56,-17.78
2022-02-04,2.8219,3.11,2.61,2.7,6514777,0.11,4.25
2022-02-07,2.59,2.6,2.22,2.39,3958604,-0.31,-11.48
2022-02-08,2.21,2.43,2.105,2.16,2342683,-0.23,-9.62
2022-02-09,2.12,2.3,2.09,2.18,1052499,0.02,0.93
2022-02-10,2.07,2.22,2.07,2.16,417831,-0.02,-0.92
2022-02-11,2.13,2.13,1.78,1.8,1162911,-0.36,-16.67
2022-02-14,1.8,2.09,1.79,1.9349,789044,0.135,7.5
2022-02-15,1.94,1.94,1.75,1.7693,480640,-0.166,-8.58
2022-02-16,1.76,1.85,1.74,1.76,174982,-0.0093,-0.5256
2022-02-17,1.76,2.28,1.75,1.88,4424900,0.12,6.8182
2022-02-18,1.88,2.58,1.88,2.27,15670681,0.39,20.74
2022-02-22,2.06,2.28,1.79,1.94,1591286,-0.33,-14.5374
2022-02-23,1.98,2.0198,1.66,1.69,1157378,-0.25,-12.8866
2022-02-24,1.512,1.6,1.45,1.59,657682,-0.1,-5.92
2022-02-25,1.61,1.75,1.52,1.62,1411744,0.03,1.89
2022-02-28,1.62,1.7799,1.62,1.68,733225,0.06,3.7
2022-03-01,1.69,1.7694,1.59,1.62,414872,-0.06,-3.57
2022-03-02,1.6,1.7195,1.58,1.69,619811,0.07,4.32
2022-03-03,1.66,1.69,1.63,1.64,247507,-0.05,-2.96
2022-03-04,1.61,1.7199,1.57,1.64,597188,0.0,0.0
2022-03-07,1.66,1.6699,1.5,1.56,743371,-0.08,-4.88
2022-03-08,1.54,1.7994,1.5,1.72,1339128,0.16,10.26
2022-03-09,1.65,1.96,1.6403,1.92,1687100,0.2,11.63
2022-03-10,1.81,1.83,1.73,1.81,609039,-0.11,-5.73
2022-03-11,1.75,1.89,1.7,1.88,504630,0.07,3.87
2022-03-14,1.88,1.99,1.78,1.99,682180,0.11,5.85
2022-03-15,1.99,1.99,1.81,1.91,486476,-0.08,-4.02
2022-03-16,1.9,2.05,1.86,1.94,1386998,0.03,1.57
2022-03-17,1.87,1.9299,1.75,1.86,720062,-0.08,-4.12
2022-03-18,1.83,1.92,1.78,1.78,530674,-0.08,-4.3
2022-03-21,1.8,2.08,1.76,2.01,924152,0.23,12.92
