日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-01-03,14.1186,14.1186,14.0159,14.1186,89200,-0.051,-0.36
1995-01-04,14.1186,14.5464,14.1186,14.5464,497000,0.4278,3.03
1995-01-05,14.4438,14.8716,14.3839,14.8716,808600,0.3258,2.24
1995-01-06,14.7604,14.8117,14.6577,14.7604,565400,-0.1115,-0.75
1995-01-09,14.8716,15.1369,14.8716,15.1369,468400,0.3764,2.55
1995-01-10,15.1369,15.4535,15.1369,15.1369,288600,0.0,0.0
1995-01-11,15.2395,15.2395,14.7604,14.8716,534000,-0.2649,-1.75
1995-01-12,15.0342,15.2994,15.0256,15.1369,454000,0.2647,1.78
1995-01-13,15.1369,15.2994,15.0855,15.2994,1227800,0.162,1.07
1995-01-16,15.2994,15.6674,15.2994,15.5647,1479200,0.2647,1.73
1995-01-17,15.5647,15.616,15.4535,15.616,559200,0.0514,0.33
1995-01-18,15.616,15.7273,15.616,15.616,175800,0.0,0.0
1995-01-19,15.616,15.83,15.616,15.6674,260000,0.0515,0.33
1995-01-20,15.5647,15.5647,15.0855,15.0855,610200,-0.5812,-3.71
1995-01-23,15.1369,15.1369,14.7604,14.7604,297800,-0.3259,-2.16
1995-01-24,14.7604,14.8716,14.5978,14.709,516600,-0.0517,-0.35
1995-01-25,14.6577,14.9743,14.6577,14.8716,179800,0.1633,1.11
1995-01-26,14.8716,15.0855,14.8716,15.0256,261200,0.1547,1.04
1995-01-27,15.1369,15.2395,15.1369,15.2395,191200,0.2134,1.42
1995-01-30,15.2481,15.5134,15.2395,15.5134,253800,0.2743,1.8
1995-01-31,15.5647,15.5647,15.4535,15.5134,347600,0.0,0.0
1995-02-01,15.5134,15.616,15.5134,15.5647,402200,0.0512,0.33
1995-02-02,15.616,15.8813,15.4021,15.4021,486200,-0.1619,-1.04
1995-02-03,15.5134,15.616,15.5134,15.5647,878600,0.1633,1.06
1995-02-06,15.5818,15.9587,15.4705,15.8474,516000,0.2649,1.7
1995-02-07,15.796,16.5412,15.796,16.1729,1110200,0.3249,2.05
