日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2010-11-02,52.0766,52.3697,51.2949,52.272,744134,0.8788,1.71
2010-11-03,51.7835,52.4674,50.1225,51.3927,987715,-0.8782,-1.68
2010-11-04,52.4674,56.571,52.3697,56.3756,2094666,4.9849,9.7
2010-11-05,56.2779,58.6228,55.6917,58.5251,1776184,2.148,3.81
2010-11-08,59.1113,62.7264,58.6228,61.7493,1820070,3.2247,5.51
2010-11-09,63.0195,63.3126,54.3238,55.2031,2911663,-6.5453,-10.6
2010-11-10,55.3008,57.6458,53.8353,57.1572,1476444,1.9542,3.54
2010-11-11,57.2549,58.5251,56.7664,58.232,1257979,1.0746,1.88
2010-11-12,57.2549,57.3526,54.5192,54.91,1366770,-3.3191,-5.7
2010-11-15,55.8871,56.2779,54.6169,54.6169,787735,-0.291,-0.53
2010-11-16,53.933,54.5192,50.4156,52.272,1809689,-2.343,-4.29
2010-11-17,52.7605,54.2261,51.7835,53.0536,815800,0.784,1.5
2010-11-18,54.3238,55.9848,54.0209,54.7146,1176713,1.6606,3.13
2010-11-19,54.3238,54.91,52.8582,54.91,728529,0.197,0.36
2010-11-22,54.4215,55.9848,53.7376,55.594,911136,0.6863,1.25
2010-11-23,54.91,57.3331,54.6169,55.9848,981187,0.3892,0.7
2010-11-24,57.0595,57.0595,55.594,56.9618,724765,0.9797,1.75
2010-11-26,54.91,56.571,54.5192,55.3008,583794,-1.6634,-2.92
2010-11-29,55.3985,59.3067,54.2261,58.5251,2004368,3.2241,5.83
2010-11-30,59.5998,66.3415,59.4044,64.0943,6143507,5.5714,9.52
2010-12-01,65.7552,68.3933,64.7782,68.0024,3030212,3.9097,6.1
2010-12-02,68.2956,69.468,65.7552,66.6346,2424424,-1.3668,-2.01
2010-12-03,67.4162,69.9565,67.4162,69.9565,1829067,3.3249,4.99
2010-12-06,70.152,75.9165,70.152,73.6693,2965481,3.7146,5.31
2010-12-07,76.1119,76.8936,71.3244,71.6175,2024108,-2.0555,-2.79
2010-12-08,71.2267,72.6923,67.7093,70.5428,2126171,-1.0743,-1.5
2010-12-09,71.129,75.2326,70.9336,73.8647,1616629,3.3225,4.71
2010-12-10,73.5716,74.3533,71.9106,73.3762,1235691,-0.4875,-0.66
2010-12-13,75.3303,75.6234,72.3992,72.4969,1430075,-0.8805,-1.2
2010-12-14,72.8877,73.5716,70.7382,71.3244,1435812,-1.1745,-1.62
2010-12-15,71.0313,73.1808,69.6634,70.152,1291805,-1.1697,-1.64
2010-12-16,69.468,70.0542,67.3185,69.8588,1212539,-0.2946,-0.42
2010-12-17,69.468,72.2037,69.0772,71.0313,1711316,1.1736,1.68
2010-12-20,72.2037,73.1808,70.152,72.0083,938592,0.9802,1.38
2010-12-21,72.106,74.0601,70.7382,74.0601,1018909,2.0522,2.85
2010-12-22,74.2555,74.6464,71.6175,71.7152,842087,-2.3478,-3.17
2010-12-23,71.3244,73.1808,70.2497,71.5198,833100,-0.1936,-0.27
2010-12-27,71.5198,72.79,70.4451,71.2267,526605,-0.2932,-0.41
2010-12-28,72.8877,77.7729,72.106,77.7729,1409533,6.5458,9.19
2010-12-29,78.066,79.2385,76.405,77.5775,1499157,-0.1944,-0.25
2010-12-30,77.7729,78.5546,76.1119,76.8936,805962,-0.6827,-0.88
2010-12-31,77.5775,79.8247,76.9913,78.8477,1187131,1.9531,2.54
2011-01-03,80.6063,81.2903,77.4798,77.5775,1686220,-1.2694,-1.61
2011-01-04,78.1637,78.4568,70.0542,74.7441,3139907,-2.8315,-3.65
2011-01-05,73.6693,74.5487,70.8359,72.5946,1861456,-2.1527,-2.88
2011-01-06,72.4969,72.4969,68.0024,68.491,2029280,-4.1015,-5.65
2011-01-07,68.1979,70.5428,66.3415,68.491,1475708,0.0,0.0
2011-01-10,68.1979,71.2267,68.1002,70.7382,1476166,2.2465,3.28
2011-01-11,73.6693,75.5257,72.6923,75.0372,1900926,4.3008,6.08
2011-01-12,75.5257,76.6982,73.3762,74.1578,1270689,-0.8779,-1.17
2011-01-13,75.1349,75.1349,69.7611,70.6405,1459748,-3.515,-4.74
2011-01-14,69.468,71.5198,68.491,70.8359,1529324,0.1978,0.28
2011-01-18,71.9106,72.5946,70.4451,71.2267,1041654,0.3896,0.55
2011-01-19,72.2037,72.3015,66.9277,67.3185,1674403,-3.9105,-5.49
2011-01-20,65.2667,65.6575,62.0425,62.7264,2216978,-4.5911,-6.82
2011-01-21,62.6287,64.5828,60.6746,60.9677,1325703,-1.7563,-2.8
2011-01-24,61.6516,63.7034,60.9677,61.6516,1077592,0.6829,1.12
2011-01-25,60.5769,60.7723,56.7664,59.209,2649401,-2.4414,-3.96
2011-01-26,59.3067,64.6609,59.209,64.0943,1607643,4.8848,8.25
2011-01-27,63.9966,64.4851,61.0654,62.0425,1286777,-2.051,-3.2
2011-01-28,61.6516,65.8529,61.5539,64.192,1623963,2.1468,3.46
2011-01-31,63.6057,65.0713,62.531,62.531,1307731,-1.6626,-2.59
2011-02-01,63.508,64.9736,62.1402,64.6805,1447231,2.151,3.44
2011-02-02,64.3874,65.4621,62.7264,64.192,960267,-0.4916,-0.76
2011-02-03,64.3874,70.2497,63.1172,70.152,1863362,5.9573,9.28
2011-02-04,70.3474,70.7382,67.4162,67.6116,1268040,-2.5395,-3.62
2011-02-07,68.2956,70.9336,67.5139,69.468,1302262,1.8592,2.75
