日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2016-07-20,25.39,25.39,25.35,25.36,346558,-0.43,-1.67
2016-07-21,25.33,25.34,25.33,25.34,209194,-0.02,-0.08
2016-07-22,25.31,25.36,25.31,25.35,112493,0.02,0.08
2016-07-25,25.34,25.34,25.3,25.31,158993,-0.02,-0.07
2016-07-26,25.31,25.32,25.3,25.3,150050,-0.03,-0.12
2016-07-27,25.3,25.32,25.3,25.31,66248,0.01,0.04
2016-07-28,25.32,25.35,25.31,25.31,37991,0.0,0.0
2016-07-29,25.31,25.35,25.31,25.33,26820,0.02,0.09
2016-08-01,25.32,25.32,25.31,25.31,64232,0.0,0.0
2016-08-02,25.31,25.39,25.31,25.35,28407,0.04,0.16
2016-08-03,25.32,25.33,25.31,25.31,50630,-0.06,-0.24
2016-08-04,25.31,25.34,25.31,25.34,16991,0.03,0.1
2016-08-05,25.31,25.34,25.31,25.33,24425,0.02,0.08
2016-08-08,25.34,25.34,25.31,25.31,48151,0.0,0.0
2016-08-09,25.31,25.32,25.31,25.31,50156,0.0,0.0
2016-08-10,25.31,25.32,25.31,25.32,9813,0.01,0.03
2016-08-11,25.31,25.32,25.31,25.32,30748,0.01,0.03
2016-08-12,25.31,25.32,25.31,25.31,20840,0.0,0.0
2016-08-15,25.31,25.32,25.31,25.32,32502,0.0,0.0
2016-08-16,25.31,25.33,25.31,25.31,28237,-0.01,-0.04
2016-08-17,25.32,25.34,25.32,25.33,12180,0.02,0.08
