日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-07-20,15.37,15.85,12.25,12.5,1569442,-3.5,-21.875
2021-07-21,12.65,13.63,11.66,13.32,1806658,0.82,6.56
2021-07-22,12.16,13.32,12.01,12.53,1155630,-0.79,-5.93
2021-07-23,12.1,13.33,11.8,12.7,2233167,0.17,1.36
2021-07-26,13.0,13.14,12.29,12.39,1474620,-0.31,-2.4409
2021-07-27,12.71,13.45,12.16,13.39,1453169,1.0,8.07
2021-07-28,13.4,13.425,12.92,13.22,606009,-0.17,-1.27
2021-07-29,13.5,13.56,13.2219,13.47,499877,0.25,1.89
2021-07-30,13.38,14.07,13.2,13.8,732819,0.33,2.45
2021-08-02,13.89,14.73,13.76,14.28,361827,0.48,3.48
2021-08-03,14.28,14.28,13.9,14.22,296008,-0.06,-0.4202
2021-08-04,14.04,14.21,13.97,14.06,244051,-0.16,-1.13
2021-08-05,14.12,14.32,13.93,14.12,247746,0.06,0.4267
2021-08-06,14.06,14.56,13.95,14.55,383851,0.43,3.0453
2021-08-09,14.55,14.68,13.5506,13.57,163251,-0.98,-6.74
2021-08-10,13.56,13.7196,13.34,13.52,251314,-0.05,-0.37
2021-08-11,13.52,13.79,13.435,13.73,165826,0.21,1.55
2021-08-12,13.63,13.8099,13.34,13.51,287768,-0.22,-1.6023
2021-08-13,13.46,13.57,13.315,13.51,275618,0.0,0.0
2021-08-16,13.69,13.72,13.25,13.58,315219,0.07,0.52
2021-08-17,13.47,13.76,13.47,13.68,158047,0.1,0.7364
2021-08-18,13.57,13.68,13.12,13.31,263867,-0.37,-2.7047
2021-08-19,13.11,13.3,12.94,13.29,379772,-0.02,-0.15
2021-08-20,13.2,13.54,13.05,13.26,1141339,-0.03,-0.23
2021-08-23,13.27,13.6395,12.96,13.02,240085,-0.24,-1.81
2021-08-24,13.01,13.19,12.9,12.92,249169,-0.1,-0.77
2021-08-25,13.3,14.64,13.0902,13.83,657820,0.91,7.0433
2021-08-26,14.0,14.15,13.26,13.88,637354,0.05,0.3615
2021-08-27,13.8,14.23,13.76,13.78,1472730,-0.1,-0.7205
2021-08-30,13.88,14.28,12.92,13.11,522553,-0.67,-4.8621
2021-08-31,13.21,13.61,13.12,13.53,1737594,0.42,3.2
2021-09-01,13.5,14.01,13.29,13.89,460448,0.36,2.66
2021-09-02,13.88,14.3,13.63,14.22,867028,0.33,2.38
2021-09-03,14.29,14.635,14.25,14.4,658179,0.18,1.2658
2021-09-07,14.59,15.54,14.49,15.05,974183,0.65,4.51
2021-09-08,14.83,15.12,14.34,14.72,600767,-0.33,-2.19
2021-09-09,14.5,14.6,13.59,13.73,1395494,-0.99,-6.73
2021-09-10,13.72,14.455,13.55,14.4,857870,0.67,4.8798
2021-09-13,14.74,14.98,13.54,13.56,955350,-0.84,-5.83
2021-09-14,13.5,14.32,13.47,14.3,917631,0.74,5.4572
2021-09-15,14.12,14.38,13.54,13.56,1580949,-0.74,-5.17
2021-09-16,13.65,14.595,13.645,14.51,1757181,0.95,7.01
2021-09-17,14.44,15.77,14.4,15.52,4855165,1.01,6.96
2021-09-20,15.15,15.235,13.91,14.33,1302883,-1.19,-7.67
2021-09-21,14.32,14.8,14.25,14.46,2114223,0.13,0.9072
2021-09-22,14.5,14.57,14.17,14.37,546581,-0.09,-0.62
2021-09-23,14.31,14.5,13.59,13.76,458007,-0.61,-4.245
2021-09-24,13.72,13.76,13.51,13.54,577079,-0.22,-1.6
2021-09-27,13.52,13.65,13.01,13.26,402657,-0.28,-2.0679
2021-09-28,13.21,13.21,12.76,12.83,561938,-0.43,-3.24
2021-09-29,12.77,12.78,11.98,12.44,1464309,-0.39,-3.0398
2021-09-30,12.43,12.58,12.3,12.41,265342,-0.03,-0.2412
2021-10-01,12.4,12.78,12.13,12.78,459983,0.37,2.98
2021-10-04,12.73,12.73,11.87,12.14,492622,-0.64,-5.01
2021-10-05,12.1,12.68,12.1,12.66,805067,0.52,4.28
2021-10-06,12.44,13.08,12.34,13.0,465485,0.34,2.69
2021-10-07,13.11,13.33,12.745,12.89,763190,-0.11,-0.8462
2021-10-08,12.87,12.97,12.24,12.31,347866,-0.58,-4.4996
2021-10-11,12.17,12.77,12.17,12.54,763061,0.23,1.87
2021-10-12,12.48,12.685,12.28,12.5,687685,-0.04,-0.319
2021-10-13,12.57,12.63,12.26,12.5,583963,0.0,0.0
2021-10-14,12.51,12.77,12.5,12.59,696261,0.09,0.72
2021-10-15,12.71,13.01,12.61,12.97,1573980,0.38,3.0183
2021-10-18,12.98,13.12,12.68,12.7,214393,-0.27,-2.0817
2021-10-19,12.77,13.13,12.7,13.11,274779,0.41,3.23
2021-10-20,13.17,13.315,13.085,13.13,511555,0.02,0.1526
2021-10-21,13.16,13.41,13.07,13.21,136126,0.08,0.6093
2021-10-22,13.2,13.2,12.82,12.88,113068,-0.33,-2.5
2021-10-25,12.89,13.425,12.89,13.27,146755,0.39,3.028
2021-10-26,13.29,13.5,13.13,13.21,129737,-0.06,-0.4521
2021-10-27,13.22,13.33,12.85,12.86,157676,-0.35,-2.6495
2021-10-28,12.95,13.3,12.84,13.17,184052,0.31,2.4106
2021-10-29,13.08,13.43,13.01,13.3,165450,0.13,0.99
2021-11-01,13.38,13.82,13.27,13.71,269457,0.41,3.08
