日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2014-06-12,98.7536,110.6746,98.7536,107.5709,5055046,-5.2933,-4.69
2014-06-13,107.8617,115.4207,107.2075,112.6587,816951,5.0881,4.73
2014-06-16,118.7641,119.2002,116.2929,118.328,887044,5.6669,5.03
2014-06-17,118.8368,123.4885,118.11,123.4885,675639,5.1592,4.36
2014-06-18,123.9973,125.8871,121.09,121.9622,306936,-1.5313,-1.24
2014-06-19,121.7441,122.907,119.927,121.8168,248733,-0.1464,-0.12
2014-06-20,123.4158,123.4885,119.927,120.2905,149623,-1.5227,-1.25
2014-06-23,123.4158,138.0978,123.3431,136.3534,1758502,16.0593,13.35
2014-06-24,138.0978,141.0051,133.1917,134.8998,690731,-1.459,-1.07
2014-06-25,137.0076,138.0978,134.4637,137.5163,401825,2.617,1.94
2014-06-26,137.7344,141.5139,136.2807,137.371,433906,-0.1513,-0.11
2014-06-27,139.4061,139.9149,136.3534,139.0427,258482,1.6759,1.22
2014-06-30,138.0978,139.6968,137.7344,139.0427,252466,0.0,0.0
2014-07-01,139.5515,141.732,139.3334,140.2783,217926,1.2375,0.89
2014-07-02,139.7695,141.732,138.8246,139.4061,175730,-0.8697,-0.62
2014-07-03,140.2783,140.2783,136.2807,136.6441,212109,-2.7602,-1.98
2014-07-07,139.1881,143.4037,137.371,140.4237,627874,3.7849,2.77
2014-07-08,141.1505,142.8222,138.2432,140.9324,350399,0.5055,0.36
2014-07-09,141.3685,144.2759,140.6417,144.2759,223700,3.3402,2.37
2014-07-10,141.8773,148.2516,141.732,146.4564,218590,2.1786,1.51
2014-07-11,148.7822,151.1808,142.8222,143.549,331460,-2.9146,-1.99
2014-07-14,143.549,148.3825,143.549,148.2734,334176,4.7228,3.29
2014-07-15,149.0003,149.3637,146.311,147.5466,151820,-0.7265,-0.49
2014-07-16,146.6744,147.5466,140.2783,146.4564,560366,-1.0919,-0.74
2014-07-17,148.0554,148.1717,144.3485,145.0027,258012,-1.4499,-0.99
2014-07-18,145.2934,146.0929,144.6393,145.2207,196976,0.2175,0.15
2014-07-21,145.3661,146.0929,144.4939,144.93,196169,-0.2904,-0.2
2014-07-22,146.0929,146.8198,143.549,144.7846,341615,-0.1449,-0.1
2014-07-23,145.2207,146.7471,142.2407,143.9125,287400,0.0,0.0
2014-07-24,145.2934,145.2934,140.2783,140.6417,470093,-3.2667,-2.27
2014-07-25,141.0051,142.9676,141.0051,142.1681,206116,1.5329,1.09
2014-07-28,141.8773,142.0954,140.4237,140.6417,326769,-1.5211,-1.07
2014-07-29,140.4963,140.8598,135.1905,135.5539,554869,-5.0914,-3.62
2014-07-30,136.7895,137.371,129.0851,134.1729,606404,-1.3827,-1.02
2014-07-31,133.8095,135.6993,131.2656,133.01,211008,-1.1673,-0.87
2014-08-01,133.01,135.8446,131.5563,132.8646,249631,-0.1463,-0.11
2014-08-04,134.0276,135.0451,130.6841,131.3383,478530,-1.528,-1.15
2014-08-05,131.629,132.8501,129.3032,129.4485,337428,,
2014-08-06,129.0124,132.2832,129.0124,131.1929,225362,1.7475,1.35
2014-08-07,135.1905,135.1905,130.1754,131.2656,267724,0.0787,0.06
2014-08-08,132.2832,132.2832,130.3207,130.7568,226399,-0.5119,-0.39
2014-08-11,130.9022,132.2832,130.6841,130.8295,332770,0.0785,0.06
2014-08-12,131.411,135.1178,131.1929,133.228,327123,2.3943,1.83
2014-08-13,134.4637,136.2807,133.0827,135.9173,603687,2.6912,2.02
2014-08-14,136.7365,141.2795,135.9918,139.79,312952,3.8736,2.85
2014-08-15,139.79,139.79,137.1164,138.5239,201370,-1.2721,-0.91
2014-08-18,138.375,139.3432,137.0344,137.7792,257062,-0.748,-0.54
2014-08-19,139.1942,139.4921,138.1516,139.0453,193140,1.2676,0.92
2014-08-20,139.939,139.939,137.66,138.0026,206851,-1.0428,-0.75
2014-08-21,139.3432,140.0135,137.8164,139.2687,398176,1.2696,0.92
2014-08-22,140.3858,141.354,138.0771,141.0561,209167,1.7827,1.28
2014-08-25,141.354,141.5774,140.0135,141.4285,145990,0.3668,0.26
2014-08-26,142.6201,145.2267,141.6519,144.5564,354020,3.1256,2.21
2014-08-27,144.5564,145.9715,143.8862,145.2267,290103,0.665,0.46
2014-08-28,145.5246,146.2694,142.3967,143.7372,435945,-1.4959,-1.03
2014-08-29,144.7799,146.7162,143.6627,145.1522,220469,1.4087,0.98
2014-09-02,145.5246,145.547,143.1414,143.3648,267682,-1.7853,-1.23
