日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-03-14,1.2285,1.2561,1.1642,1.1948,2430000,-0.0154,-1.27
1995-03-15,1.1979,1.2561,1.1948,1.2316,2273062,0.0368,3.08
1995-03-16,1.2561,1.2561,1.2101,1.2316,872775,0.0,0.0
1995-03-19,1.2408,1.2408,1.1948,1.2255,1445850,-0.0062,-0.5
1995-03-20,1.2101,1.2867,1.2101,1.2255,1812881,0.0,0.0
1995-03-21,1.2285,1.2561,1.2101,1.2408,1858444,0.0153,1.25
1995-03-22,1.2408,1.2408,1.1948,1.2408,194400,0.0,0.0
1995-03-23,1.2408,1.2408,1.1948,1.1948,1286381,-0.0459,-3.7
1995-03-26,1.2408,1.2408,1.1795,1.1795,448538,-0.0153,-1.28
1995-03-27,1.1795,1.2255,1.1489,1.1489,637875,-0.0307,-2.6
1995-03-28,1.1519,1.1948,1.1336,1.1336,520931,-0.0153,-1.33
1995-03-29,1.1366,1.1642,1.06,1.0753,1205888,-0.0583,-5.14
1995-03-30,1.06,1.0907,1.0447,1.0907,691031,0.0153,1.42
1995-04-03,1.0907,1.1182,1.0447,1.1182,186806,0.0276,2.53
1995-04-04,1.1366,1.1948,1.0907,1.1581,367538,0.0398,3.56
1995-04-05,1.1948,1.1948,1.1336,1.1795,150356,0.0214,1.85
1995-04-06,1.1948,1.1948,1.1489,1.1795,485494,0.0,0.0
1995-04-07,1.1795,1.1795,1.1336,1.1642,26325,-0.0153,-1.3
1995-04-10,1.1642,1.1642,1.1182,1.1489,24806,-0.0154,-1.32
1995-04-11,1.1213,1.1642,1.1182,1.1274,292612,-0.0215,-1.87
1995-04-12,1.1366,1.1795,1.1182,1.1795,98212,0.0521,4.62
1995-04-13,1.1366,1.1795,1.1336,1.1336,464231,-0.046,-3.9
1995-04-17,1.1366,1.1795,1.1336,1.1336,69356,0.0,0.0
1995-04-18,1.1213,1.1489,1.0907,1.1029,963394,-0.0306,-2.7
1995-04-19,1.1029,1.1029,1.0907,1.0907,101250,-0.0122,-1.11
1995-04-20,1.1029,1.1029,1.0907,1.0968,345262,0.0061,0.56
1995-04-21,1.1029,1.1029,1.0907,1.0907,78469,-0.0061,-0.56
1995-04-24,1.1029,1.1029,1.0907,1.0907,30375,0.0,0.0
