日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-06-10,11.49,11.6912,10.95,11.0,210061,-0.16,-1.4337
2021-06-11,11.38,11.46,10.32,10.45,274419,-0.55,-5.0
2021-06-14,10.84,10.84,9.61,10.1,393745,-0.35,-3.35
2021-06-15,10.1,10.1799,9.91,10.05,103097,-0.05,-0.5
2021-06-16,10.05,10.2969,9.62,9.91,124644,-0.14,-1.39
2021-06-17,9.87,10.2384,9.62,9.72,118807,-0.19,-1.92
2021-06-18,9.7,9.883,9.13,9.4,204243,-0.32,-3.29
2021-06-21,9.35,9.35,8.85,9.22,248790,-0.18,-1.91
2021-06-22,9.31,9.41,9.17,9.41,195048,0.19,2.0607
2021-06-23,9.43,9.66,8.98,9.04,280411,-0.37,-3.93
2021-06-24,9.25,10.06,9.12,9.8,468147,0.76,8.41
2021-06-25,9.72,10.08,9.4897,9.85,202775,0.05,0.51
2021-06-28,9.98,10.37,9.68,10.01,193522,0.16,1.62
2021-06-29,10.2,10.3,9.75,9.91,349181,-0.1,-1.0
2021-06-30,9.82,10.2,9.82,10.1,127194,0.19,1.92
2021-07-01,10.09,10.54,9.82,10.02,154670,-0.08,-0.79
2021-07-02,10.09,10.42,9.8,10.01,78448,-0.01,-0.1
2021-07-06,10.15,10.3,9.8501,10.0,198989,-0.01,-0.1
2021-07-07,10.2,10.2,9.64,9.9,106560,-0.1,-1.0
2021-07-08,9.67,10.09,9.5,9.89,167994,-0.01,-0.1
2021-07-09,10.39,10.39,9.91,10.1,231537,0.21,2.12
2021-07-12,10.24,10.3,9.85,10.0,95322,-0.1,-0.9901
2021-07-13,10.16,10.35,9.7,9.8,114417,-0.2,-2.0
2021-07-14,9.77,9.85,9.37,9.47,171262,-0.33,-3.37
2021-07-15,9.4,9.4,9.0315,9.21,105277,-0.26,-2.7455
2021-07-16,9.26,9.33,9.06,9.12,103235,-0.09,-0.98
2021-07-19,9.0,9.53,9.0,9.11,82388,-0.01,-0.1096
2021-07-20,9.06,9.46,8.92,8.99,103790,-0.12,-1.32
2021-07-21,8.91,9.24,8.8347,9.2,73129,0.21,2.3359
2021-07-22,9.1,9.2999,9.1,9.23,75418,0.03,0.33
2021-07-23,9.1,9.34,9.03,9.09,57476,-0.14,-1.5168
2021-07-26,9.17,9.1999,8.53,8.6,121124,-0.49,-5.39
2021-07-27,8.6,8.6,7.78,8.1,230071,-0.5,-5.814
2021-07-28,8.04,8.355,7.77,7.98,349218,-0.12,-1.48
2021-07-29,8.16,8.16,7.77,7.99,225025,0.01,0.13
2021-07-30,7.9,8.295,7.82,7.84,233441,-0.15,-1.88
2021-08-02,8.22,8.385,7.73,7.78,308915,-0.06,-0.77
2021-08-03,7.69,7.99,7.5,7.65,170092,-0.13,-1.67
2021-08-04,7.56,7.7799,7.28,7.49,173401,-0.16,-2.09
2021-08-05,7.51,12.38,7.34,8.25,28304789,0.76,10.15
2021-08-06,8.37,8.38,7.4113,7.48,1817153,-0.77,-9.33
2021-08-09,7.54,8.22,7.3971,7.98,1064917,0.5,6.68
2021-08-10,7.8,8.09,7.4575,7.58,618709,-0.4,-5.01
2021-08-11,7.66,7.7,7.05,7.3,716483,-0.28,-3.69
2021-08-12,7.3,7.73,7.25,7.69,640988,0.39,5.34
2021-08-13,7.58,7.76,7.45,7.64,190176,-0.05,-0.6502
2021-08-16,7.75,7.89,7.5,7.88,239223,0.24,3.14
2021-08-17,7.95,8.02,7.64,7.66,447667,-0.22,-2.79
2021-08-18,7.6,8.12,7.4,7.63,424537,-0.03,-0.3916
2021-08-19,7.6,8.0,7.21,7.26,357274,-0.37,-4.85
2021-08-20,7.3,7.74,7.22,7.38,338524,0.12,1.65
2021-08-23,7.5,7.7,7.33,7.42,281249,0.04,0.542
2021-08-24,7.43,7.89,7.3601,7.87,667998,0.45,6.06
2021-08-25,7.85,7.89,7.67,7.83,190930,-0.04,-0.51
2021-08-26,7.76,8.03,7.66,7.72,276369,-0.11,-1.4
2021-08-27,7.97,8.0999,7.88,8.0,541506,0.28,3.6269
2021-08-30,7.98,8.0,7.8,7.88,276784,-0.12,-1.5
2021-08-31,7.93,8.02,7.816,7.89,242674,0.01,0.13
2021-09-01,7.79,8.02,7.61,7.68,243061,-0.21,-2.66
2021-09-02,7.62,8.0,7.62,7.95,160923,0.27,3.52
2021-09-03,7.97,8.01,7.6,7.69,474383,-0.26,-3.27
2021-09-07,7.82,8.0,7.45,7.49,473230,-0.2,-2.6
2021-09-08,7.52,8.6099,7.44,7.55,1856052,0.06,0.8
2021-09-09,7.51,7.61,7.2618,7.48,501831,-0.07,-0.93
2021-09-10,7.58,7.58,7.112,7.14,409914,-0.34,-4.5455
2021-09-13,7.13,7.29,6.86,6.95,983782,-0.19,-2.6611
2021-09-14,7.0,7.18,6.87,6.9,235271,-0.05,-0.7194
2021-09-15,6.85,7.14,6.76,7.11,330579,0.21,3.04
2021-09-16,7.17,7.23,6.83,6.94,456543,-0.17,-2.39
2021-09-17,6.91,7.06,6.76,6.76,2418422,-0.18,-2.59
2021-09-20,6.8,7.05,6.71,6.91,509469,0.15,2.22
2021-09-21,6.96,7.17,6.76,6.94,504084,0.03,0.4342
2021-09-22,6.98,7.0365,6.84,6.97,180426,0.03,0.43
2021-09-23,7.05,7.07,6.76,6.77,403166,-0.2,-2.87
2021-09-24,6.76,6.8454,6.6,6.63,269978,-0.14,-2.07
2021-09-27,6.6919,6.6919,6.4379,6.56,212791,-0.07,-1.0558
2021-09-28,6.49,6.5894,6.21,6.34,573144,-0.22,-3.35
2021-09-29,6.41,6.42,6.12,6.16,339376,-0.18,-2.84
2021-09-30,6.17,6.26,6.1,6.14,332680,-0.02,-0.32
2021-10-01,6.1,6.23,6.01,6.21,186140,0.07,1.14
2021-10-04,6.16,6.22,5.81,5.84,454420,-0.37,-5.96
2021-10-05,5.84,6.1448,5.84,5.91,271309,0.07,1.2
2021-10-06,5.88,5.89,5.71,5.77,187004,-0.14,-2.37
