日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2020-02-14,10.02,10.05,10.0,10.05,795099,0.05,0.5
2020-02-18,10.05,10.09,10.02,10.09,102972,0.04,0.4
2020-02-19,10.09,10.09,10.06,10.09,21060,0.0,0.0
2020-02-20,10.06,10.08,10.02,10.04,12906,-0.05,-0.5
2020-02-21,10.08,10.09,10.07,10.09,1430,0.05,0.5
2020-02-25,10.09,10.09,10.02,10.05,5503,-0.04,-0.4
2020-02-27,10.05,10.05,10.05,10.05,402,0.0,0.0
2020-02-28,10.09,10.09,10.09,10.09,157,0.04,0.4
2020-03-02,10.09,10.09,10.02,10.09,19425,0.0,0.0
2020-03-03,10.0502,10.09,10.0468,10.0468,11900,-0.0432,-0.43
2020-03-04,10.04,10.05,10.04,10.05,6405,0.0032,0.03
2020-03-05,10.02,10.025,10.02,10.025,10052,-0.025,-0.25
2020-03-09,10.0,10.1,10.0,10.0,2619,-0.025,-0.25
2020-03-10,10.0,10.02,9.9776,9.99,361484,-0.01,-0.1
2020-03-11,9.99,9.99,9.97,9.97,20000,-0.02,-0.2
2020-03-12,9.95,9.95,9.95,9.95,100510,-0.02,-0.2
2020-03-13,9.9132,9.9132,9.9,9.9,4200,-0.05,-0.5
2020-03-16,9.82,9.82,9.66,9.71,435400,-0.19,-1.92
2020-03-17,9.71,9.71,9.65,9.65,52270,-0.06,-0.62
2020-03-19,9.6,9.6,9.3,9.4,297300,-0.25,-2.59
2020-03-20,9.3996,9.55,9.35,9.37,64000,-0.03,-0.32
2020-03-23,9.4329,9.4329,9.36,9.36,5800,-0.01,-0.11
2020-03-24,9.5,9.56,9.475,9.55,9300,0.19,2.03
2020-03-25,9.5002,9.65,9.5002,9.65,4215,0.1,1.05
2020-03-26,9.61,9.7,9.61,9.7,39302,0.05,0.52
2020-03-31,9.7,9.7,9.7,9.7,300,0.0,0.0
2020-04-01,9.7002,9.7002,9.7002,9.7002,100,0.0002,0.0
2020-04-06,9.7002,9.7002,9.7,9.7,751,-0.0002,0.0
2020-04-09,9.75,9.94,9.75,9.94,1518,0.24,2.47
2020-04-13,9.9,9.9,9.9,9.9,3012,-0.04,-0.4
2020-04-17,9.85,9.85,9.85,9.85,1000,-0.05,-0.51
2020-04-20,9.84,9.84,9.84,9.84,100,-0.01,-0.1
2020-04-21,9.75,9.92,9.75,9.92,450,0.08,0.81
2020-04-22,9.95,9.95,9.95,9.95,5001,0.03,0.3
2020-04-23,9.9,9.94,9.85,9.94,12300,-0.01,-0.1
2020-04-24,9.87,9.93,9.87,9.93,5271,-0.01,-0.1
2020-04-27,9.94,9.95,9.94,9.94,26401,0.01,0.1
2020-04-28,9.91,9.95,9.91,9.91,37001,-0.03,-0.3
2020-04-29,9.91,9.98,9.91,9.95,230950,0.04,0.4
2020-04-30,9.945,9.96,9.92,9.945,17851,-0.005,-0.05
2020-05-04,9.935,9.95,9.935,9.95,5101,0.005,0.05
2020-05-05,9.94,9.94,9.94,9.94,2500,-0.01,-0.1
2020-05-06,9.95,9.95,9.92,9.9301,27700,-0.0099,-0.1
2020-05-07,9.91,9.92,9.875,9.9,16800,-0.0301,-0.3
2020-05-08,9.9,9.93,9.9,9.93,9950,0.03,0.3
2020-05-11,9.91,9.935,9.9,9.935,1400,0.005,0.05
2020-05-12,9.9,9.99,9.9,9.9725,3411,0.0375,0.38
2020-05-13,9.99,10.0,9.99,9.99,4324,0.0175,0.18
2020-05-15,9.95,9.99,9.95,9.99,1745,0.0,0.0
2020-05-19,10.0,10.0,10.0,10.0,33000,0.01,0.1
2020-05-21,9.95,9.95,9.93,9.94,3352,-0.06,-0.6
2020-05-22,9.94,9.98,9.94,9.94,7750,0.0,0.0
2020-05-26,9.94,9.97,9.93,9.97,3600,0.03,0.3
2020-05-27,9.93,9.99,9.93,9.99,25351,0.02,0.2
2020-05-28,9.98,9.98,9.98,9.98,5400,-0.01,-0.1
2020-05-29,9.99,9.99,9.99,9.99,3800,0.01,0.1
2020-06-01,9.99,9.99,9.99,9.99,1270,0.0,0.0
2020-06-02,9.93,9.97,9.93,9.97,375,-0.02,-0.2
2020-06-03,9.97,9.98,9.97,9.98,3275,0.01,0.1
2020-06-05,9.97,9.99,9.97,9.99,13600,0.01,0.1
2020-06-08,9.98,9.99,9.98,9.99,13300,0.0,0.0
2020-06-10,10.025,10.025,10.025,10.025,248,0.035,0.35
2020-06-11,10.02,10.02,9.97,10.0,11701,-0.025,-0.25
2020-06-12,10.04,10.04,10.04,10.04,3799,0.04,0.4
2020-06-17,10.14,10.14,10.03,10.03,1100,-0.01,-0.1
2020-06-19,10.04,10.04,10.04,10.04,100,0.01,0.1
2020-06-22,10.04,11.0,10.04,10.32,5200,0.28,2.79
2020-07-02,10.05,10.05,10.05,10.05,250,-0.27,-2.62
2020-07-06,10.11,10.1608,10.11,10.11,3000,0.06,0.6
2020-07-07,10.12,10.2,10.12,10.2,900,0.09,0.89
2020-07-09,10.23,10.23,10.23,10.23,100,0.03,0.29
2020-07-10,10.22,10.23,10.22,10.23,200,0.0,0.0
