日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2020-04-30,0.06,0.06,0.06,0.06,399900,0.0,0.0
2020-05-01,0.078,0.078,0.078,0.078,100,0.018,30.0
2020-05-04,0.07,0.07,0.04,0.04,16403,-0.038,-48.72
2020-05-05,0.052,0.052,0.052,0.052,200,0.012,30.0
2020-05-06,0.06,0.06,0.06,0.06,1200,0.008,15.38
2020-05-07,0.0421,0.065,0.0421,0.065,109066,0.005,8.33
2020-05-08,0.0708,0.0708,0.05,0.0501,10500,-0.0149,-22.92
2020-05-12,0.0409,0.0409,0.0409,0.0409,911,-0.0092,-18.36
2020-05-13,0.0409,0.0409,0.0409,0.0409,3189,0.0,0.0
2020-05-19,0.05,0.05,0.05,0.05,82535,0.0091,22.25
2020-05-20,0.05,0.05,0.045399,0.05,21690,0.0,0.0
2020-05-22,0.0409,0.0412,0.0409,0.0412,7000,-0.0088,-17.6
2020-05-26,0.0548,0.0548,0.0408,0.0409,14890,-0.0003,-0.73
2020-05-27,0.044,0.044,0.044,0.044,10000,0.0031,7.58
2020-05-28,0.0409,0.0409,0.0409,0.0409,2270,-0.0031,-7.05
2020-06-03,0.0451,0.0451,0.045,0.045,7525,0.0041,10.02
2020-06-04,0.050101,0.050101,0.05,0.05,1000,0.005,11.11
2020-06-08,0.0585,0.095,0.0585,0.080476,35600,0.030476,60.95
2020-06-10,0.0922,0.13,0.07,0.13,28975,0.049524,61.54
2020-06-11,0.13,0.13,0.13,0.13,575,0.0,0.0
2020-06-12,0.15,0.2,0.13,0.2,4318,0.07,53.85
2020-06-15,0.2,0.2,0.14,0.14,2941,-0.06,-30.0
2020-06-16,0.118999,0.14,0.118999,0.1393,10758,-0.0007,-0.5
2020-06-17,0.181,0.21,0.14,0.14,63123,0.0007,0.5
2020-06-18,0.15,0.15,0.15,0.15,6000,0.01,7.14
2020-06-19,0.17,0.1949,0.135,0.14,34647,-0.01,-6.67
2020-06-22,0.15,0.175,0.13,0.13,47322,-0.01,-7.14
2020-06-23,0.1649,0.1649,0.1649,0.1649,101,0.0349,26.85
2020-06-24,0.12,0.14,0.1,0.14,9481,-0.0249,-15.1
2020-06-25,0.17,0.17,0.1693,0.1693,8040,0.0293,20.93
2020-06-26,0.1001,0.1499,0.1001,0.1494,2310,-0.0199,-11.75
2020-06-29,0.15,0.15,0.1199,0.1399,59110,-0.0095,-6.36
2020-06-30,0.15,0.17,0.12,0.16,42568,0.0201,14.37
2020-07-01,0.1899,0.2079,0.13,0.18,28463,0.02,12.5
2020-07-02,0.14,0.1799,0.14,0.1402,5350,-0.0398,-22.11
2020-07-06,0.14,0.18,0.14,0.16,57017,0.0198,14.12
2020-07-07,0.155,0.2101,0.155,0.1999,32290,0.0399,24.94
2020-07-08,0.1901,0.191249,0.1901,0.190249,2454,-0.009651,-4.83
2020-07-09,0.1999,0.1999,0.1902,0.1974,11610,0.007151,3.76
2020-07-10,0.19,0.2052,0.19,0.2,9689,0.0026,1.32
2020-07-13,0.23,0.26,0.215,0.26,9415,0.06,30.0
2020-07-14,0.26,0.260451,0.2,0.2025,4310,-0.0575,-22.12
2020-07-17,0.1601,0.22,0.1601,0.1921,10757,-0.0104,-5.14
2020-07-20,0.2002,0.2002,0.1799,0.199,7931,0.0069,3.59
2020-07-21,0.2,0.2,0.16,0.1799,20404,-0.0191,-9.6
2020-07-22,0.1799,0.181,0.1602,0.1809,21724,0.001,0.56
2020-07-23,0.16,0.179,0.136,0.152,15980,-0.0289,-15.98
2020-07-24,0.155,0.16,0.1416,0.1595,17200,0.0075,4.93
2020-07-27,0.1594,0.1594,0.124517,0.155,21458,-0.0045,-2.82
2020-07-28,0.1404,0.1404,0.1002,0.12,21184,-0.035,-22.58
2020-07-29,0.1492,0.1492,0.1,0.1492,53350,0.0292,24.33
2020-07-30,0.1002,0.15,0.1002,0.105,2500,-0.0442,-29.62
2020-07-31,0.12,0.12,0.11,0.11795,16242,0.01295,12.33
2020-08-03,0.12,0.13,0.1,0.1,37265,-0.01795,-15.22
2020-08-04,0.1375,0.18,0.12,0.18,19623,0.08,80.0
2020-08-05,0.104,0.17,0.104,0.17,744,-0.01,-5.56
2020-08-06,0.140101,0.140101,0.1085,0.1085,11786,-0.0615,-36.18
2020-08-07,0.14,0.1401,0.125,0.125,22432,0.0165,15.21
2020-08-10,0.127,0.1401,0.127,0.1298,26100,0.0048,3.84
2020-08-11,0.121549,0.132999,0.121549,0.132999,1000,0.003199,2.46
2020-08-12,0.1101,0.132,0.1,0.100101,25035,-0.032898,-24.74
2020-08-13,0.1101,0.132,0.1101,0.132,10287,0.031899,31.87
2020-08-14,0.132,0.1422,0.1,0.14,50500,0.008,6.06
2020-08-18,0.1345,0.14,0.12275,0.136226,3450,-0.003774,-2.7
2020-08-19,0.14,0.14,0.1035,0.1374,2210,0.001174,0.86
2020-08-20,0.1035,0.1283,0.1035,0.1283,2272,-0.0091,-6.62
2020-08-21,0.1035,0.1195,0.1,0.1001,14400,-0.0282,-21.98
2020-08-24,0.1001,0.13,0.1,0.126,12292,0.0259,25.87
2020-08-25,0.126,0.139,0.126,0.138899,10010,0.012899,10.24
2020-08-31,0.118001,0.135,0.1,0.1339,19640,-0.004999,-3.6
2020-09-01,0.139,0.15,0.126,0.13,10550,-0.0039,-2.91
2020-09-02,0.1465,0.1465,0.14,0.145818,17400,0.015818,12.17
2020-09-03,0.1402,0.15,0.1402,0.1459,10898,8.2e-05,0.06
2020-09-04,0.14,0.15,0.14,0.15,22050,0.0041,2.81
2020-09-08,0.15,0.18,0.15,0.179716,39221,0.029716,19.81
2020-09-09,0.161,0.2075,0.161,0.2075,25966,0.027784,15.46
2020-09-10,0.21,0.215,0.2,0.2,21214,-0.0075,-3.61
2020-09-11,0.21,0.239899,0.21,0.22,9725,0.02,10.0
2020-09-14,0.22,0.22,0.213481,0.22,13144,0.0,0.0
2020-09-15,0.23,0.247501,0.23,0.2301,13018,0.0101,4.59
2020-09-16,0.24,0.24,0.2389,0.24,2507,0.0099,4.3
2020-09-17,0.232249,0.232249,0.21,0.21,10970,-0.03,-12.5
2020-09-18,0.26,0.27,0.2151,0.2151,3300,0.0051,2.43
2020-09-21,0.26,0.26,0.2589,0.2599,13825,0.0448,20.83
2020-09-22,0.2222,0.3,0.22,0.27,10132,0.0101,3.89
2020-09-23,0.27,0.2834,0.221,0.23,27398,-0.04,-14.81
2020-09-24,0.212,0.22,0.212,0.22,10804,-0.01,-4.35
2020-09-25,0.22,0.22,0.212,0.212,9873,-0.008,-3.64
2020-09-28,0.28,0.3,0.2202,0.2202,10800,0.0082,3.87
2020-09-30,0.29,0.29,0.29,0.29,1700,0.0698,31.7
2020-10-01,0.29,0.29,0.26,0.2613,8200,-0.0287,-9.9
2020-10-02,0.3,0.3322,0.265501,0.31,8978,0.0487,18.64
2020-10-05,0.295,0.295,0.295,0.295,100,-0.015,-4.84
2020-10-06,0.29,0.31,0.285,0.295,10240,0.0,0.0
2020-10-07,0.3,0.3,0.28,0.28,29102,-0.015,-5.08
2020-10-08,0.28,0.3,0.28,0.2999,31700,0.0199,7.11
2020-10-09,0.26,0.36,0.242,0.36,29387,0.0601,20.04
2020-10-12,0.35,0.350101,0.35,0.35,3325,-0.01,-2.78
2020-10-14,0.36,0.3998,0.252,0.3998,1384,0.0498,14.23
2020-10-15,0.36,0.36,0.36,0.36,400,-0.0398,-9.95
2020-10-16,0.35,0.35,0.34,0.35,9301,-0.01,-2.78
2020-10-20,0.2429,0.32,0.2429,0.32,7000,-0.03,-8.57
2020-10-21,0.3,0.307501,0.265,0.307501,2375,-0.012499,-3.91
2020-10-22,0.34,0.34,0.33,0.34,5220,0.032499,10.57
2020-10-23,0.29,0.35,0.28,0.29,9345,-0.05,-14.71
2020-10-26,0.315001,0.315001,0.28,0.28,1400,-0.01,-3.45
2020-10-27,0.28,0.2801,0.28,0.2801,5082,0.0001,0.04
2020-10-28,0.28,0.2801,0.28,0.2801,3900,0.0,0.0
2020-10-29,0.24,0.24,0.24,0.24,370,-0.0401,-14.32
2020-10-30,0.23,0.24,0.23,0.24,1220,0.0,0.0
2020-11-02,0.2,0.275,0.2,0.2348,7449,-0.0052,-2.17
2020-11-03,0.23,0.23,0.23,0.23,184,-0.0048,-2.04
2020-11-04,0.25,0.25,0.2387,0.2387,15200,0.0087,3.78
2020-11-05,0.14,0.1701,0.14,0.1701,15505,-0.0686,-28.74
2020-11-09,0.24,0.289999,0.24,0.28,64677,0.1099,64.61
2020-11-10,0.2399,0.275,0.2399,0.257499,6198,-0.022501,-8.04
2020-11-11,0.2,0.3398,0.2,0.3,4005,0.042501,16.51
2020-11-12,0.5,0.520001,0.3364,0.371,709093,0.071,23.67
2020-11-13,0.4,0.45,0.3678,0.395501,318807,0.025,6.74
2020-11-16,0.51,0.679899,0.51,0.66,565422,0.264,66.75
2020-11-17,0.77,0.9,0.7102,0.73,905560,0.07,10.61
2020-11-18,0.75,0.75,0.53,0.6389,439068,-0.091,-12.47
2020-11-19,0.69,0.83,0.680056,0.7122,763819,0.073,11.43
2020-11-20,0.83,0.8899,0.7602,0.85,587768,0.138,19.38
2020-11-23,1.2,1.75,1.03,1.65,2185493,0.8,94.12
2020-11-24,2.29,2.7683,1.75,1.97,1875833,0.32,19.39
2020-11-25,2.65,3.77,2.4923,3.77,4189760,1.8,91.37
2020-11-27,2.75,3.07,2.27,2.77,1262137,-1.0,-26.53
2020-11-30,2.78,2.78,2.15,2.39,1091760,-0.38,-13.72
2020-12-01,2.6,2.6,2.1,2.13,418511,-0.26,-10.88
2020-12-02,1.55,1.99,1.51,1.9798,927899,-0.15,-7.04
2020-12-03,2.07,2.29,2.0,2.06,655714,0.08,4.04
2020-12-04,2.2,2.2,1.9499,2.155,502701,0.095,4.61
2020-12-07,2.35,2.48,2.2,2.287,570037,0.132,6.13
2020-12-08,2.37,2.38,2.04,2.2,292556,-0.087,-3.8
2020-12-09,2.33,2.4698,2.05,2.13,453999,-0.07,-3.18
2020-12-10,2.12,2.44,2.07,2.41,425250,0.28,13.15
2020-12-11,2.45,2.5,2.23,2.3215,337072,-0.0885,-3.6722
2020-12-14,2.5,2.51,2.17,2.2,249814,-0.121,-5.21
2020-12-15,2.18,2.3,2.11,2.17,193161,-0.03,-1.36
2020-12-16,2.15,2.37,2.15,2.35,189617,0.18,8.29
2020-12-17,2.39,2.55,2.35,2.37,288406,0.02,0.85
2020-12-18,2.4,2.75,2.38,2.63,612228,0.26,10.97
2020-12-21,2.6,2.82,2.5,2.66,575792,0.03,1.14
2020-12-22,2.9,3.03,2.75,2.98,490562,0.32,12.03
2020-12-23,3.65,3.99,3.27,3.65,637922,0.67,22.48
2020-12-24,3.85,3.96,3.45,3.59,290311,-0.06,-1.64
2020-12-28,4.0,4.15,3.37,3.5,418162,-0.09,-2.51
2020-12-29,3.62,3.7,3.02,3.2,267447,-0.3,-8.57
2020-12-30,3.3,3.52,3.12,3.35,210159,0.15,4.69
2020-12-31,3.25,3.56,3.1,3.28,194020,-0.07,-2.09
2021-01-04,3.39,3.569,2.85,3.2499,372419,-0.03,-0.91
2021-01-05,3.1,3.38,3.07,3.15,111806,-0.0999,-3.0739
2021-01-06,3.4,3.5196,3.2,3.26,225227,0.11,3.49
2021-01-07,3.5,3.6,3.2601,3.33,404157,0.07,2.15
2021-01-08,3.11,3.75,3.1,3.59,377236,0.26,7.81
2021-01-11,3.55,3.65,3.185,3.27,403055,-0.32,-8.91
2021-01-12,3.21,3.43,3.21,3.3988,190833,0.129,3.94
2021-01-13,3.35,3.45,3.2,3.29,204045,-0.109,-3.21
2021-01-14,3.33,3.35,2.88,3.15,344168,-0.14,-4.26
2021-01-15,3.15,3.1717,2.91,2.98,240573,-0.17,-5.4
2021-01-19,3.1,3.3,3.0,3.0,142268,0.02,0.67
2021-01-20,3.11,3.13,2.9,2.9952,103484,-0.0048,-0.16
2021-01-21,3.09,3.09,2.9,3.0,62418,0.005,0.17
2021-01-22,2.89,3.03,2.85,3.0,133343,0.0,0.0
2021-01-25,3.1,3.1,2.75,2.76,242226,-0.24,-8.0
2021-01-26,2.9,3.3901,2.8105,3.36,414706,0.6,21.74
2021-01-27,3.0,3.21,2.81,2.88,181037,-0.48,-14.29
2021-01-28,3.15,3.15,2.8,2.895,61932,0.015,0.52
2021-01-29,3.08,3.08,2.7,2.84,98487,-0.055,-1.9
2021-02-01,3.0,3.13,2.91,3.0998,176850,0.26,9.15
2021-02-02,3.1,3.25,3.1,3.15,207489,0.05,1.61
2021-02-03,3.14,3.25,3.12,3.22,84645,0.07,2.2222
2021-02-04,3.25,3.25,3.12,3.18,216414,-0.04,-1.24
2021-02-05,3.25,3.25,3.08,3.222,111584,0.042,1.32
2021-02-08,3.3,3.34,3.2,3.27,221909,0.048,1.49
2021-02-09,3.12,3.12,2.88,2.91,265280,-0.36,-11.01
2021-02-10,2.9,3.0,2.78,2.78,118332,-0.13,-4.47
2021-02-11,2.85,2.85,2.52,2.71,188473,-0.07,-2.52
2021-02-12,2.84,2.84,2.66,2.71,84850,0.0,0.0
2021-02-16,3.0,3.0,2.61,2.7,216525,-0.01,-0.37
2021-02-17,2.67,2.88,2.65,2.8101,147543,0.11,4.07
2021-02-18,2.73,2.9,2.71,2.89,130450,0.08,2.85
2021-02-19,2.86,2.87,2.73,2.8301,97677,-0.0599,-2.0727
2021-02-22,2.79,2.997,2.77,2.77,112169,-0.06,-2.12
2021-02-23,2.56,2.6,2.4,2.45,168966,-0.32,-11.55
2021-02-24,2.74,2.74,2.41,2.5,87088,0.05,2.0408
2021-02-25,2.52,2.63,2.21,2.25,77664,-0.25,-10.0
2021-02-26,2.44,2.44,2.0101,2.1,96126,-0.15,-6.67
2021-03-01,2.2,2.4084,2.2,2.33,78327,0.23,10.95
2021-03-02,2.41,2.45,2.13,2.3,52287,-0.03,-1.29
2021-03-03,2.15,2.25,1.9,2.1399,95293,-0.16,-6.96
2021-03-04,1.68,2.0,1.52,1.75,140242,-0.39,-18.23
