日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2002-09-25,15.0,15.01,15.0,15.01,198500,0.01,0.07
2002-09-26,15.0,15.02,15.0,15.02,47200,0.01,0.07
2002-09-27,15.01,15.01,15.0,15.0,38200,-0.02,-0.13
2002-09-30,15.0,15.01,15.0,15.0,91300,0.0,0.0
2002-10-01,15.02,15.02,15.0,15.01,32100,0.01,0.07
2002-10-02,15.02,15.02,15.0,15.02,26600,0.01,0.07
2002-10-03,15.02,15.02,15.0,15.01,19900,-0.01,-0.07
2002-10-04,15.01,15.02,14.8,15.01,78800,0.0,0.0
2002-10-07,15.01,15.01,15.0,15.0,35800,-0.01,-0.07
2002-10-08,15.0,15.01,15.0,15.01,33300,0.01,0.07
2002-10-09,15.0,15.01,15.0,15.01,18500,0.0,0.0
2002-10-10,15.0,15.01,15.0,15.01,48800,0.0,0.0
2002-10-11,15.01,15.01,15.0,15.01,11300,0.0,0.0
2002-10-14,15.01,15.01,15.0,15.01,42500,0.0,0.0
2002-10-15,15.0,15.01,15.0,15.0,48900,-0.01,-0.07
2002-10-16,15.0,15.01,15.0,15.0,17300,0.0,0.0
2002-10-17,15.0,15.01,15.0,15.0,154700,0.0,0.0
2002-10-18,15.0,15.01,15.0,15.0,56600,0.0,0.0
2002-10-21,15.0,15.01,15.0,15.0,26300,0.0,0.0
2002-10-22,15.0,15.01,15.0,15.0,68900,0.0,0.0
2002-10-23,15.01,15.01,15.0,15.0,36500,0.0,0.0
2002-10-24,15.0,15.01,15.0,15.0,96400,0.0,0.0
2002-10-25,15.0,15.0,15.0,15.0,56200,0.0,0.0
2002-10-27,15.0,15.01,14.95,15.0,0,0.0,0.0
2002-10-28,15.0,15.01,14.95,15.0,505400,0.0,0.0
2002-10-29,15.0,15.01,15.0,15.0,54700,0.0,0.0
2002-10-30,15.0,15.02,15.0,15.0,25000,0.0,0.0
2002-10-31,15.0,15.01,15.0,15.0,46100,0.03,0.2
2002-11-01,15.01,15.03,15.0,15.03,16400,,
2002-11-04,15.03,15.03,15.0,15.0,50300,-0.03,-0.2
2002-11-05,14.95,15.0,14.9,15.0,15500,0.0,0.0
2002-11-06,14.9,15.0,14.9,14.9,17700,-0.1,-0.67
2002-11-07,14.85,14.9,14.85,14.9,5600,0.0,0.0
2002-11-08,14.9,14.9,14.76,14.76,28000,-0.14,-0.94
2002-11-11,14.9,14.9,14.8,14.9,17500,0.14,0.95
2002-11-12,14.8,15.0,14.8,14.8,27500,-0.1,-0.67
2002-11-13,14.8,14.9,14.8,14.8,15700,0.0,0.0
2002-11-14,14.9,14.9,14.75,14.8,11000,0.0,0.0
2002-11-15,14.75,14.8,14.75,14.8,3000,0.0,0.0
2002-11-18,14.75,14.75,14.65,14.65,22200,-0.15,-1.01
2002-11-19,14.61,14.61,14.42,14.42,45600,-0.23,-1.57
2002-11-20,14.42,14.42,14.25,14.3,51200,-0.12,-0.83
2002-11-21,14.25,14.25,14.0,14.05,58800,-0.25,-1.75
2002-11-22,14.0,14.0,13.75,13.9,37600,-0.15,-1.07
2002-11-25,13.75,13.75,13.35,13.42,70900,-0.48,-3.45
2002-11-26,13.45,13.7,13.4,13.7,15700,0.28,2.09
2002-11-27,13.55,13.6,13.37,13.55,31000,-0.15,-1.09
2002-11-29,13.5,13.59,13.49,13.59,2900,0.04,0.3
2002-12-02,13.59,13.6,13.46,13.5,17200,-0.09,-0.66
2002-12-03,13.45,13.5,13.4,13.42,28000,-0.08,-0.59
2002-12-04,13.52,13.52,13.32,13.38,48100,-0.04,-0.3
2002-12-05,13.44,13.7,13.44,13.7,31300,0.32,2.39
2002-12-06,13.7,13.7,13.5,13.66,49100,-0.04,-0.29
2002-12-09,13.6,13.6,13.43,13.58,34300,-0.08,-0.59
2002-12-10,13.6,13.6,13.4,13.42,48700,-0.16,-1.18
2002-12-11,13.41,13.52,13.41,13.41,35100,-0.01,-0.07
2002-12-12,13.42,13.44,13.29,13.3,73200,-0.11,-0.82
2002-12-13,13.29,13.31,13.17,13.25,67700,-0.05,-0.38
2002-12-16,13.25,13.25,12.91,13.06,96300,-0.19,-1.43
2002-12-17,13.06,13.1,12.9,12.9,120500,-0.16,-1.23
2002-12-18,12.9,13.07,12.79,12.93,86000,0.03,0.23
2002-12-19,12.95,13.1,12.85,13.1,72600,0.17,1.31
2002-12-20,13.01,13.25,12.91,13.17,70400,0.07,0.53
2002-12-23,13.08,13.34,13.0,13.0,74400,-0.17,-1.29
2002-12-24,13.15,13.35,13.05,13.2,27100,0.2,1.54
2002-12-26,13.02,13.2,12.99,13.12,97700,-0.08,-0.61
2002-12-27,13.18,13.29,13.0,13.11,107300,-0.01,-0.08
2002-12-30,13.25,13.65,13.12,13.6,124400,0.49,3.74
2002-12-31,13.7,13.7,13.35,13.5,75300,-0.25,-1.84
2003-01-02,13.51,13.6,13.39,13.58,26200,0.23,1.72
2003-01-03,13.5,13.6,13.48,13.6,49800,0.02,0.15
2003-01-06,13.65,13.67,13.5,13.67,39700,0.07,0.51
2003-01-07,13.6,13.65,13.36,13.5,49000,-0.17,-1.24
2003-01-08,13.35,13.56,13.25,13.39,39800,-0.11,-0.81
2003-01-09,13.35,13.38,13.2,13.28,39300,-0.11,-0.82
2003-01-10,13.3,13.5,13.16,13.2,30800,-0.08,-0.6
2003-01-13,13.15,13.39,13.12,13.32,31000,0.12,0.91
2003-01-14,13.37,13.43,13.21,13.43,47700,0.11,0.83
2003-01-15,13.45,13.55,13.28,13.35,36500,-0.08,-0.6
2003-01-16,13.28,13.4,13.14,13.35,76200,0.0,0.0
2003-01-17,13.35,13.36,13.19,13.35,28000,0.0,0.0
2003-01-21,13.39,13.44,13.27,13.27,44100,-0.08,-0.6
2003-01-22,13.34,13.43,13.27,13.38,42100,0.11,0.83
2003-01-23,13.24,13.4,13.16,13.26,46100,-0.12,-0.9
2003-01-24,13.27,13.3,13.21,13.25,15100,-0.01,-0.08
2003-01-27,13.21,13.4,13.21,13.21,33400,-0.04,-0.3
2003-01-28,13.31,13.33,13.12,13.2,37800,-0.01,-0.08
2003-01-29,13.32,13.54,13.21,13.54,42800,0.34,2.58
2003-01-30,13.6,13.67,13.43,13.6,42600,0.06,0.44
2003-01-31,13.65,13.65,13.54,13.65,19600,0.05,0.37
2003-02-03,13.65,13.65,13.55,13.65,12100,0.0,0.0
2003-02-04,13.55,13.64,13.51,13.64,18000,-0.01,-0.07
2003-02-05,13.64,13.66,13.51,13.6,35300,-0.04,-0.29
2003-02-06,13.64,13.66,13.46,13.54,25900,-0.06,-0.44
2003-02-07,13.54,13.66,13.45,13.64,35900,0.1,0.74
2003-02-10,13.66,13.67,13.47,13.48,27200,-0.16,-1.17
2003-02-11,13.58,13.67,13.49,13.67,19000,0.19,1.41
2003-02-12,13.67,13.67,13.45,13.67,40700,0.0,0.0
2003-02-13,13.72,13.82,13.42,13.67,23500,0.0,0.0
2003-02-14,13.67,13.99,13.67,13.8,25300,0.13,0.95
2003-02-18,13.55,13.95,13.55,13.85,36300,0.05,0.36
2003-02-19,13.8,14.02,13.76,13.88,36800,0.03,0.22
2003-02-20,13.94,14.09,13.76,14.09,19400,0.21,1.51
2003-02-21,13.96,14.04,13.84,13.99,31100,-0.1,-0.71
2003-02-24,14.02,14.14,13.79,14.14,45800,0.15,1.07
2003-02-25,14.15,14.15,13.8,13.89,55200,-0.25,-1.77
2003-02-26,13.9,13.9,13.6,13.6,20700,-0.29,-2.09
2003-02-27,13.57,14.0,13.57,13.62,55100,0.02,0.15
2003-02-28,13.63,13.89,13.6,13.86,28600,0.24,1.76
2003-03-02,13.71,13.85,13.67,13.84,19800,-0.02,-0.14
2003-03-03,13.71,13.85,13.67,13.84,19800,-0.35,-2.53
2003-03-04,13.84,13.89,13.1,13.49,235100,0.0,0.0
2003-03-05,13.49,13.49,13.33,13.49,61900,-0.04,-0.3
2003-03-06,13.28,13.45,13.28,13.45,78600,0.19,1.41
2003-03-07,13.45,13.64,13.32,13.64,55900,,
2003-03-09,13.65,13.7,13.52,13.7,32200,0.06,0.44
