日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-04-30,9.93,9.93,9.9,9.9,1210,0.0,0.0
2021-05-03,9.66,9.76,9.66,9.76,896,-0.14,-1.4141
2021-05-05,9.76,9.76,9.76,9.76,6,0.0,0.0
2021-05-06,9.7,9.7,9.7,9.7,100352,-0.06,-0.6148
2021-05-07,9.67,9.92,9.67,9.74,9818,0.04,0.4124
2021-05-10,9.66,9.68,9.65,9.68,16943,-0.06,-0.616
2021-05-11,9.6,9.66,9.6,9.66,2233,-0.02,-0.2066
2021-05-12,9.64,9.76,9.61,9.61,48710,-0.05,-0.52
2021-05-13,9.61,9.63,9.61,9.63,147462,0.02,0.21
2021-05-14,9.66,9.66,9.63,9.63,2483,0.0,0.0
2021-05-17,9.81,9.81,9.58,9.62,2259,-0.01,-0.1038
2021-05-18,9.69,9.69,9.62,9.63,1736,0.01,0.104
2021-05-19,9.91,9.91,9.6,9.7,1144,0.07,0.7269
2021-05-20,9.79,9.79,9.61,9.65,13366,-0.05,-0.5155
2021-05-21,9.68,9.7,9.64,9.64,15808,-0.01,-0.1036
2021-05-24,9.65,9.65,9.61,9.61,7518,-0.03,-0.3112
2021-05-25,9.62,9.65,9.62,9.635,7898,0.025,0.2601
2021-05-26,9.77,9.92,9.6,9.64,224638,0.005,0.0519
2021-05-27,9.64,9.64,9.64,9.64,73,0.0,0.0
2021-05-28,9.64,9.64,9.64,9.64,20,0.0,0.0
2021-06-01,9.65,9.66,9.62,9.65,88520,0.01,0.1
2021-06-02,9.67,9.67,9.62,9.62,534,-0.03,-0.3109
2021-06-03,9.63,9.64,9.63,9.63,5765,0.01,0.104
2021-06-04,9.63,9.64,9.63,9.63,1642,0.0,0.0
2021-06-07,9.65,9.65,9.61,9.61,11839,-0.02,-0.21
2021-06-08,9.61,9.62,9.61,9.62,4414,0.01,0.1041
2021-06-09,9.63,9.63,9.62,9.62,47328,0.0,0.0
2021-06-10,9.61,9.63,9.61,9.63,765,0.01,0.1
2021-06-11,9.65,9.65,9.65,9.65,3213,0.02,0.2077
2021-06-14,9.65,9.65,9.65,9.65,448,0.0,0.0
2021-06-15,9.65,9.65,9.65,9.65,214,0.0,0.0
2021-06-17,9.65,9.65,9.649,9.65,8222,0.0,0.0
2021-06-21,9.65,9.65,9.65,9.65,994,0.0,0.0
2021-06-22,9.65,9.67,9.65,9.67,2162,0.02,0.2073
2021-06-23,9.65,9.65,9.65,9.65,1483,-0.02,-0.21
2021-06-24,9.65,9.65,9.65,9.65,9,0.0,0.0
2021-06-25,9.67,9.69,9.67,9.69,2017,0.04,0.4145
2021-06-28,9.64,9.94,9.64,9.94,18556,0.25,2.58
2021-06-29,9.69,9.69,9.66,9.66,6953,-0.28,-2.8169
2021-06-30,9.63,9.64,9.62,9.64,2573,-0.02,-0.207
2021-07-01,9.79,9.79,9.62,9.63,15926,-0.01,-0.1037
2021-07-02,9.63,9.65,9.62,9.62,20323,-0.01,-0.1038
2021-07-06,9.65,9.65,9.63,9.63,10699,0.01,0.104
2021-07-07,9.685,9.7,9.685,9.69,51477,0.06,0.6231
2021-07-08,9.63,9.63,9.63,9.63,300,-0.06,-0.6192
2021-07-09,9.68,9.68,9.63,9.65,2572,0.02,0.2077
2021-07-12,9.65,9.66,9.62,9.62,13363,-0.03,-0.31
2021-07-13,9.65,9.69,9.65,9.66,101252,0.04,0.4158
2021-07-14,9.65,9.7,9.62,9.62,305955,-0.04,-0.4141
2021-07-15,9.62,9.645,9.62,9.64,25250,0.02,0.2079
2021-07-16,9.64,9.64,9.6372,9.64,4102,0.0,0.0
2021-07-19,9.63,9.63,9.62,9.62,12129,-0.02,-0.2075
2021-07-20,9.63,9.64,9.61,9.63,10350,0.01,0.1
2021-07-21,9.63,9.65,9.63,9.65,1410,0.02,0.2077
2021-07-22,9.62,9.64,9.62,9.64,5452,-0.01,-0.1
2021-07-23,9.6202,9.64,9.6202,9.64,605,0.0,0.0
