日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2017-10-27,13.5674,15.0968,12.959,14.3075,6158275,1.1512,8.75
2017-10-30,14.0855,14.9571,13.995,14.8419,1341803,0.5351,3.74
2017-10-31,14.7926,15.1626,14.2992,14.9406,791861,0.098,0.66
2017-11-01,14.9077,15.3353,14.7844,14.8913,290534,-0.0493,-0.33
2017-11-02,14.8831,15.1462,14.6775,14.8913,150290,0.0,0.0
2017-11-03,14.8337,15.0311,14.5377,14.8831,323597,-0.0089,-0.06
2017-11-06,14.8748,14.9242,14.7277,14.8173,109266,-0.0655,-0.44
2017-11-07,14.7844,14.8748,14.3157,14.5542,477801,-0.2638,-1.78
2017-11-08,14.5953,14.6734,14.291,14.4473,216140,-0.1062,-0.73
2017-11-09,14.6364,14.6364,13.9292,14.1183,257696,-0.3294,-2.28
2017-11-10,14.1183,14.2252,13.9786,14.0443,92855,-0.0734,-0.52
2017-11-13,14.2335,14.3897,13.5921,13.625,184050,-0.4199,-2.99
2017-11-14,13.6168,13.7072,12.9507,13.1563,149806,-0.4687,-3.44
2017-11-15,13.1727,13.2632,12.556,12.9918,255124,-0.1645,-1.25
2017-11-16,12.8932,13.181,12.6547,12.8603,170484,-0.1312,-1.01
2017-11-17,12.9096,13.1563,12.7452,13.0247,106800,0.1646,1.28
2017-11-20,12.9754,13.3125,12.9507,13.1645,158565,0.1394,1.07
2017-11-21,13.1563,14.3404,12.9014,13.3207,698070,0.1567,1.19
2017-11-22,13.5099,13.8404,13.2361,13.3865,265189,0.0653,0.49
2017-11-24,13.477,14.1183,13.3619,13.6743,154479,0.2878,2.15
2017-11-27,13.6003,13.7648,13.3125,13.3783,1033161,-0.2954,-2.16
2017-11-28,13.6085,14.3733,13.5345,13.9539,1064262,0.5753,4.3
2017-11-29,13.8306,14.0443,13.0001,13.6661,352289,-0.2874,-2.06
2017-11-30,13.6332,14.7597,13.6332,14.3075,421545,0.641,4.69
2017-12-01,14.3157,14.4637,13.8388,14.1841,153029,-0.123,-0.86
2017-12-04,14.1512,14.5624,13.9868,14.1266,109041,-0.0582,-0.41
2017-12-05,14.2088,14.3239,13.5674,13.9786,162634,-0.1483,-1.05
2017-12-06,13.9128,14.1183,13.3536,13.625,256673,-0.3537,-2.53
2017-12-07,13.4276,13.7138,13.181,13.6332,118041,0.0082,0.06
2017-12-08,13.625,14.0156,13.3619,13.5181,59313,-0.1145,-0.84
2017-12-11,13.5181,13.8141,13.1834,13.8141,127545,0.296,2.19
2017-12-12,13.847,14.0707,13.7812,13.8799,102619,0.0663,0.48
2017-12-13,13.9457,14.1126,13.5016,13.7072,199515,-0.1721,-1.24
2017-12-14,13.6743,13.7648,13.5345,13.7401,72848,0.0329,0.24
2017-12-15,13.8059,14.143,13.4276,13.8963,295980,0.1566,1.14
2017-12-18,13.995,14.2746,13.9868,14.2499,33068,0.353,2.54
2017-12-19,14.2252,14.2828,14.1019,14.2417,149418,-0.0086,-0.06
2017-12-20,14.3075,14.7268,14.2252,14.6775,233755,0.4358,3.06
2017-12-21,14.7104,15.36,14.7104,15.2613,195647,0.5842,3.98
2017-12-22,15.3106,15.6568,15.323,15.6568,94894,0.3953,2.59
2017-12-26,15.786,16.026,15.6313,15.9602,67273,0.3283,2.1
2017-12-27,15.8616,15.9356,15.7136,15.7136,84469,-0.2474,-1.55
2017-12-28,15.9561,16.3549,15.8081,16.0589,36500,0.3457,2.2
2017-12-29,16.0671,16.4454,16.0055,16.1247,127115,0.0658,0.41
2018-01-02,16.322,16.7167,16.248,16.47,180038,0.3451,2.14
2018-01-03,16.5852,17.4321,16.5029,16.5276,461830,0.0576,0.35
2018-01-04,16.6098,16.7003,16.026,16.4454,277063,-0.0826,-0.5
2018-01-05,16.5605,16.6592,16.3138,16.3631,65217,-0.0822,-0.5
2018-01-08,16.3467,16.7003,15.7218,16.4454,129771,0.0818,0.5
2018-01-09,16.5769,16.7003,16.2727,16.4043,217835,-0.0411,-0.25
2018-01-10,16.4289,17.0292,16.3138,16.6509,75951,0.2461,1.5
2018-01-11,16.6345,17.0251,16.0096,16.4454,1286116,-0.2048,-1.23
2018-01-12,16.5112,16.9387,16.5235,16.8154,221769,0.37,2.25
2018-01-16,16.7661,17.1279,16.6098,16.7743,210884,0.1232,0.74
2018-01-17,16.8729,16.8072,16.544,16.6304,57566,-0.1527,-0.91
2018-01-18,16.7249,16.8318,16.3796,16.6756,125267,-0.0083,-0.05
2018-01-19,16.692,16.7085,16.4454,16.5523,76935,-0.0982,-0.59
2018-01-22,16.4865,16.7003,16.4043,16.6509,111923,0.1157,0.7
2018-01-23,16.6263,17.1443,16.1165,16.5276,184653,-0.0897,-0.54
2018-01-24,16.692,17.4568,16.6571,16.9963,243258,0.4694,2.84
2018-01-25,17.0127,17.1525,16.7743,16.7907,95818,-0.2298,-1.35
2018-01-26,16.8976,17.724,16.7578,17.095,136705,0.2709,1.61
2018-01-29,17.0538,17.5143,17.021,17.317,175570,0.2626,1.54
2018-01-30,17.2101,17.317,16.8491,16.9798,141647,-0.3377,-1.95
2018-01-31,16.9552,17.1279,16.8484,17.0374,180157,0.0577,0.34
