日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-02-12,23.01,28.0,20.16,25.33,3490053,8.33,49.0
2021-02-16,23.39,24.5,21.62,23.31,389568,-2.02,-7.97
2021-02-17,23.01,24.99,22.9901,24.16,120247,0.85,3.65
2021-02-18,24.17,24.7552,23.0,23.94,99857,-0.22,-0.91
2021-02-19,23.67,23.705,23.0,23.0,97435,-0.94,-3.9265
2021-02-22,23.72,24.73,22.5,23.86,81300,0.86,3.74
2021-02-23,23.17,23.85,22.01,22.04,125295,-1.82,-7.63
2021-02-24,22.01,25.6,22.01,24.99,189741,2.95,13.38
2021-02-25,25.21,26.99,24.11,25.77,164200,0.78,3.12
2021-02-26,25.97,26.99,24.1158,25.91,131689,0.14,0.5433
2021-03-01,24.96,26.375,23.0715,24.36,149078,-1.55,-5.9822
2021-03-02,24.35,25.11,22.29,23.14,127698,-1.22,-5.0082
2021-03-03,23.15,24.16,22.32,23.69,83034,0.55,2.38
2021-03-04,23.27,23.69,17.06,20.0,273556,-3.69,-15.58
2021-03-05,20.45,21.04,18.03,18.69,456107,-1.31,-6.55
2021-03-08,18.74,21.41,18.475,20.63,79577,1.94,10.38
2021-03-09,20.75,26.5,20.59,22.19,175721,1.56,7.56
2021-03-10,22.31,23.29,19.55,21.09,141452,-1.1,-4.96
2021-03-11,21.52,23.92,19.76,23.06,77316,1.97,9.3409
2021-03-12,22.91,25.4693,22.69,24.85,53231,1.79,7.76
2021-03-15,24.73,25.82,22.26,22.77,73519,-2.08,-8.37
2021-03-16,22.36,23.71,21.5,21.74,61268,-1.03,-4.5235
2021-03-17,21.22,22.06,19.501,19.55,159139,-2.19,-10.07
2021-03-18,20.0,21.935,19.7874,20.01,83508,0.46,2.35
2021-03-19,20.72,21.54,18.0,19.51,965747,-0.5,-2.5
2021-03-22,19.3,20.96,19.125,19.3,96536,-0.21,-1.08
2021-03-23,19.01,19.615,17.7601,18.16,55765,-1.14,-5.9067
2021-03-24,18.1,19.7999,17.765,17.95,59950,-0.21,-1.16
2021-03-25,17.77,19.35,17.76,19.16,56027,1.21,6.74
2021-03-26,19.38,20.48,19.38,20.25,26201,1.09,5.69
2021-03-29,20.2,20.25,18.59,18.64,164554,-1.61,-7.95
2021-03-30,18.52,19.0,17.48,18.32,48325,-0.32,-1.72
2021-03-31,18.3,19.22,18.15,19.08,115321,0.76,4.15
2021-04-01,19.56,21.65,18.7601,20.84,100708,1.76,9.22
2021-04-05,20.65,21.3,19.06,20.6,58679,-0.24,-1.15
2021-04-06,20.6,21.34,19.68,19.99,54298,-0.61,-2.96
2021-04-07,20.05,20.3,17.67,18.0,67278,-1.99,-9.95
2021-04-08,18.14,18.965,17.75,18.28,74593,0.28,1.56
2021-04-09,18.26,18.295,17.26,17.85,116228,-0.43,-2.3523
2021-04-12,17.91,18.74,17.66,18.74,13490,0.89,4.99
2021-04-13,18.73,21.06,18.18,20.95,65935,2.21,11.79
2021-04-14,21.94,25.0,21.9,23.89,172498,2.94,14.0334
2021-04-15,25.7,26.4999,20.78,21.0,130676,-2.89,-12.1
2021-04-16,20.44,20.496,18.6,18.74,64044,-2.26,-10.7619
2021-04-19,19.1,19.8963,18.2,18.36,50087,-0.38,-2.03
2021-04-20,18.3,19.21,18.0101,18.46,19974,0.1,0.54
2021-04-21,18.43,19.7829,18.29,18.49,32359,0.03,0.16
2021-04-22,18.66,19.29,18.45,18.5,24900,0.01,0.05
2021-04-23,18.65,19.88,18.65,19.44,13505,0.94,5.08
2021-04-26,19.41,19.7,18.98,19.24,24489,-0.2,-1.03
2021-04-27,19.32,19.63,19.075,19.18,33515,-0.06,-0.31
2021-04-28,19.495,20.47,19.17,20.02,34411,0.84,4.38
2021-04-29,19.92,20.02,19.41,19.52,11272,-0.5,-2.5
2021-04-30,20.03,20.03,18.88,19.31,22521,-0.21,-1.08
2021-05-03,19.19,19.8,18.75,19.67,22504,0.36,1.86
2021-05-04,18.9,19.5,18.01,18.44,35958,-1.23,-6.25
2021-05-05,18.42,18.99,18.18,18.71,42783,0.27,1.46
2021-05-06,18.53,19.81,18.34,19.81,18459,1.1,5.88
2021-05-07,19.9,19.9,18.8,19.59,20369,-0.22,-1.11
2021-05-10,19.58,19.58,18.11,18.55,22462,-1.04,-5.31
2021-05-11,18.13,18.55,18.13,18.36,35190,-0.19,-1.0243
2021-05-12,18.39,19.21,18.15,18.47,46098,0.11,0.6
2021-05-13,18.53,18.815,17.125,17.15,37836,-1.32,-7.15
2021-05-14,17.36,17.87,17.151,17.8,13295,0.65,3.79
2021-05-17,17.85,18.08,17.61,17.98,11841,0.18,1.01
2021-05-18,18.025,18.325,18.025,18.1,14031,0.12,0.67
2021-05-19,18.5,18.75,18.0,18.56,18561,0.46,2.54
2021-05-20,18.2934,19.195,18.09,18.78,34029,0.22,1.19
2021-05-21,19.07,19.12,18.63,18.82,7472,0.04,0.21
2021-05-24,18.72,19.0,17.68,19.0,25473,0.18,0.96
2021-05-25,18.97,19.22,18.52,18.86,12400,-0.14,-0.74
2021-05-26,18.0,19.1675,18.0,18.55,16937,-0.31,-1.64
2021-05-27,18.86,19.5,18.31,19.2,6513,0.65,3.5
2021-05-28,18.94,18.94,18.58,18.58,6097,-0.62,-3.2292
2021-06-01,18.5,18.95,18.31,18.35,16586,-0.23,-1.24
2021-06-02,18.77,18.77,17.77,18.56,34354,0.21,1.14
2021-06-03,18.46,19.37,18.19,19.14,13197,0.58,3.13
2021-06-04,19.27,19.27,18.63,18.63,28440,-0.51,-2.66
2021-06-07,18.5,18.71,18.5,18.7,20431,0.07,0.38
2021-06-08,18.7,18.7,18.47,18.64,20844,-0.06,-0.3209
2021-06-09,18.7,18.7,17.98,17.98,19549,-0.66,-3.54
