日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1996-01-26,2.4371,2.4371,2.3753,2.3753,270800,0.0,0.0
1996-01-29,2.3753,2.4371,2.3753,2.3753,255000,0.0,0.0
1996-01-30,2.4371,2.4371,2.3753,2.3896,31600,0.0143,0.6
1996-01-31,2.3753,2.5511,2.3753,2.4656,596000,0.076,3.18
1996-02-01,2.5226,2.5226,2.4656,2.4656,96800,0.0,0.0
1996-02-02,2.4656,2.4941,2.4371,2.4941,241200,0.0286,1.16
1996-02-05,2.4941,2.4941,2.4039,2.4799,88400,-0.0142,-0.57
1996-02-06,2.4941,2.4941,2.4039,2.4371,174400,-0.0427,-1.72
1996-02-07,2.4086,2.4656,2.4039,2.4039,269800,-0.0331,-1.36
1996-02-08,2.4656,2.4656,2.4039,2.4039,443600,0.0,0.0
1996-02-09,2.4086,2.4656,2.4039,2.4656,42200,0.0618,2.57
1996-02-12,2.4371,2.5226,2.4371,2.4941,60600,0.0286,1.16
1996-02-13,2.4371,2.4514,2.4371,2.4514,4000,-0.0426,-1.71
1996-02-14,2.4941,2.4941,2.4371,2.4371,73400,-0.0142,-0.58
1996-02-15,2.4656,2.4941,2.4371,2.4371,280200,0.0,0.0
1996-02-16,2.4371,2.4941,2.4371,2.4371,231600,0.0,0.0
1996-02-21,2.7031,2.8789,2.5844,2.8219,478200,0.3848,15.79
1996-02-22,2.9122,3.088,2.8789,3.0309,489000,0.2091,7.41
1996-02-23,3.0594,3.354,3.0309,3.3255,1103600,0.2946,9.72
1996-02-26,3.2685,3.696,3.2685,3.5773,885400,0.2517,7.57
1996-02-27,3.6248,3.6248,3.2495,3.2685,419800,-0.3087,-8.63
1996-02-28,3.2067,3.3872,3.2067,3.2827,290600,0.0144,0.44
1996-02-29,3.297,3.4728,3.2685,3.4443,312000,0.1615,4.92
1996-03-01,3.4728,3.4728,3.2685,3.3255,186600,-0.1188,-3.45
1996-03-04,3.2495,3.2495,3.2495,3.2495,0,-0.0762,-2.29
1996-03-05,3.24,3.354,3.2352,3.2352,191600,-0.0143,-0.44
1996-03-06,3.24,3.297,3.2067,3.297,121800,0.0618,1.91
1996-03-07,3.2067,3.297,3.1782,3.1782,112400,-0.1187,-3.6
1996-03-08,3.1497,3.2067,2.9549,2.9977,98200,-0.1805,-5.68
1996-03-11,2.9692,3.088,2.9122,3.0309,115000,0.0333,1.11
1996-03-12,3.0594,3.2067,3.0309,3.2067,237400,0.1758,5.8
