日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2011-05-20,3.9985,3.9997,3.8627,3.923,3644671,0.0,0.0
2011-05-23,3.908,3.9381,3.8778,3.9019,391622,-0.0212,-0.54
2011-05-24,3.908,3.9532,3.8959,3.9291,191804,0.0273,0.7
2011-05-25,3.923,3.9381,3.8929,3.923,162496,-0.0059,-0.15
2011-05-26,3.923,3.9985,3.923,3.9683,219698,0.0451,1.15
2011-05-27,3.9683,3.9834,3.9683,3.9713,98078,0.0032,0.08
2011-05-31,4.0045,4.0045,3.923,3.9593,327516,-0.0119,-0.3
2011-06-01,3.9532,4.0136,3.9532,3.9774,74875,0.0182,0.46
2011-06-02,3.9683,4.0136,3.9532,3.9774,71915,0.0,0.0
2011-06-03,3.9834,4.0075,3.9774,4.0075,34758,0.0302,0.76
2011-06-06,4.0498,4.0498,3.9834,4.0287,47229,0.0212,0.53
2011-06-07,4.0739,4.0739,3.9985,4.0106,49772,-0.0181,-0.45
2011-06-08,4.0588,4.0588,3.9985,4.0196,76569,0.0092,0.23
2011-06-09,4.0136,4.092,4.0136,4.089,44100,0.0695,1.73
2011-06-10,4.0739,4.089,3.9381,3.9834,422428,-0.1055,-2.58
2011-06-13,4.0498,4.0498,3.9834,3.9985,90327,0.0151,0.38
2011-06-14,4.0075,4.0075,3.9381,3.9713,143980,-0.0272,-0.68
2011-06-15,3.9532,3.9744,3.8989,3.9261,226282,-0.0453,-1.14
2011-06-16,3.914,3.9321,3.8778,3.9321,48537,0.0059,0.15
2011-06-17,3.9593,3.9593,3.8929,3.8929,61457,-0.0393,-1.0
2011-06-20,3.8929,3.8929,3.7903,3.8386,86485,-0.0545,-1.4
2011-06-21,3.8476,3.8627,3.7722,3.8084,56640,-0.0303,-0.79
2011-06-22,3.8023,3.8144,3.6273,3.7269,169697,-0.0815,-2.14
2011-06-23,3.6726,3.7963,3.6515,3.7812,129536,0.0544,1.46
2011-06-24,3.7691,3.8627,3.7118,3.7993,823020,0.0181,0.48
2011-06-27,3.7963,3.8627,3.742,3.8597,92346,0.0604,1.59
2011-06-28,3.8627,3.9683,3.7873,3.8536,151239,-0.0062,-0.16
2011-06-29,3.911,3.9412,3.8476,3.8687,63486,0.015,0.39
2011-06-30,3.8386,3.8476,3.748,3.8325,59821,-0.0364,-0.94
2011-07-01,3.8355,3.9381,3.8355,3.92,50141,0.0874,2.28
2011-07-05,3.9261,3.9683,3.9055,3.9321,22212,0.0122,0.31
2011-07-06,3.9381,3.9955,3.8778,3.908,206135,-0.024,-0.61
2011-07-07,3.9351,3.9593,3.9019,3.9562,58402,0.0485,1.24
2011-07-08,3.914,4.0528,3.8992,4.0287,62253,0.0724,1.83
2011-07-11,3.9894,4.0407,3.9321,3.9502,52564,-0.0786,-1.95
2011-07-12,3.9351,3.9532,3.923,3.9381,13059,-0.0122,-0.31
2011-07-13,3.9442,3.9864,3.8929,3.9864,41794,0.0484,1.23
2011-07-14,3.9864,4.0045,3.911,3.9623,31355,-0.0243,-0.61
2011-07-15,3.9744,4.0377,3.9683,4.0347,43085,0.0725,1.83
2011-07-18,4.0075,4.0075,3.9083,3.9472,20582,-0.0876,-2.17
2011-07-19,3.9472,3.9623,3.8929,3.9351,26763,-0.0122,-0.31
2011-07-20,3.923,3.9252,3.8778,3.923,27773,-0.0122,-0.31
2011-07-21,3.9351,3.9532,3.8325,3.9291,41772,0.0059,0.15
2011-07-22,3.917,3.9351,3.8023,3.8627,46855,-0.0664,-1.69
2011-07-25,3.8355,3.8476,3.7812,3.7993,32766,-0.0633,-1.64
2011-07-26,3.7842,3.8325,3.7541,3.7782,42008,-0.0213,-0.56
2011-07-27,3.7631,3.7993,3.739,3.7963,43448,0.0181,0.48
2011-07-28,3.7842,3.7842,3.7571,3.7752,22231,-0.0213,-0.56
2011-07-29,3.7118,3.7118,3.6213,3.6846,108072,-0.0906,-2.4
2011-08-01,3.7209,3.7873,3.7209,3.7752,19777,0.0906,2.46
2011-08-02,3.7601,3.7903,3.7163,3.7691,29181,-0.006,-0.16
2011-08-03,3.7691,3.7909,3.7269,3.7782,84604,0.009,0.24
2011-08-04,3.739,3.7571,3.5519,3.6515,119546,-0.1266,-3.35
2011-08-05,3.6786,3.7601,3.6515,3.6967,95030,0.0453,1.24
2011-08-08,3.6152,3.7118,3.3678,3.3799,77267,-0.3168,-8.57
2011-08-09,3.4251,3.4251,3.1596,3.3527,108203,-0.027,-0.8
2011-08-10,3.2893,3.3195,3.0177,3.2501,98116,-0.1026,-3.06
2011-08-11,3.2501,3.576,3.2139,3.567,52964,0.3169,9.75
2011-08-12,3.567,3.6303,3.4553,3.5489,46518,-0.0182,-0.51
2011-08-15,3.6092,3.6454,3.5489,3.6122,59361,0.0635,1.79
2011-08-16,3.5941,3.8929,3.5911,3.8295,112144,0.2174,6.02
2011-08-17,3.8386,3.9137,3.8144,3.8567,61596,0.0272,0.71
2011-08-18,3.739,3.7571,3.4855,3.6122,69701,-0.2445,-6.34
2011-08-19,3.5609,3.7571,3.5609,3.6545,20014,0.0423,1.17
2011-08-22,3.7299,3.742,3.4794,3.5036,70788,-0.1509,-4.13
2011-08-23,3.5307,3.6515,3.4915,3.6515,59539,0.1479,4.22
2011-08-24,3.6575,3.7873,3.6032,3.7812,43538,0.1296,3.55
2011-08-25,3.8023,3.8023,3.6364,3.6394,93147,-0.1418,-3.75
2011-08-26,3.6303,3.6756,3.5612,3.6002,100582,-0.0393,-1.08
2011-08-29,3.6303,3.6515,3.5911,3.6213,44850,0.0212,0.59
2011-08-30,3.6062,3.7239,3.5911,3.7209,30567,0.0996,2.75
2011-08-31,3.7631,3.8295,3.5911,3.8295,51042,0.1086,2.92
2011-09-01,3.8325,3.9472,3.745,3.923,111986,0.0934,2.44
2011-09-02,3.8808,3.8808,3.6907,3.6937,30771,-0.2295,-5.85
2011-09-06,3.6303,3.8144,3.5549,3.7963,36830,0.1027,2.78
2011-09-07,3.8416,3.8536,3.6364,3.8023,52853,0.0061,0.16
2011-09-08,3.8023,3.8174,3.7782,3.7963,18834,-0.0061,-0.16
2011-09-09,3.7933,3.923,3.7782,3.8567,68652,0.0604,1.59
2011-09-12,3.8386,3.8476,3.7782,3.8416,23093,-0.015,-0.39
2011-09-13,3.751,3.8325,3.6907,3.8144,20113,-0.0273,-0.71
2011-09-14,3.8144,3.8476,3.7725,3.8416,32389,0.0271,0.71
2011-09-15,3.8476,3.8476,3.7746,3.8325,27116,-0.0092,-0.24
2011-09-16,3.8386,3.8446,3.6515,3.6846,71868,-0.1479,-3.86
2011-09-19,3.6515,3.8235,3.6364,3.8174,37256,0.1327,3.6
2011-09-20,3.8054,3.8899,3.7933,3.8476,76011,0.0302,0.79
2011-09-21,3.8446,3.8748,3.7302,3.8506,117010,0.0031,0.08
2011-09-22,3.7601,3.8868,3.745,3.8174,222256,-0.0331,-0.86
2011-09-23,3.8386,3.8386,3.742,3.7903,24038,-0.0271,-0.71
2011-09-26,3.8054,3.8597,3.6364,3.6937,65693,-0.0967,-2.55
2011-09-27,3.742,3.8627,3.742,3.8295,59712,0.1359,3.68
2011-09-28,3.8174,3.8325,3.7329,3.7329,44661,-0.0965,-2.52
2011-09-29,3.7752,3.8295,3.6846,3.8265,45128,0.0937,2.51
2011-09-30,3.8386,3.8748,3.7842,3.8355,162144,0.0092,0.24
2011-10-03,3.8355,3.9321,3.8054,3.8235,64636,-0.0119,-0.31
2011-10-04,3.8054,3.914,3.8054,3.8627,82059,0.0394,1.03
2011-10-05,3.8627,3.8868,3.7963,3.8023,57225,-0.0603,-1.56
2011-10-06,3.7873,3.8325,3.7058,3.8265,33756,0.024,0.63
2011-10-07,3.8144,3.8431,3.6726,3.7028,39239,-0.1236,-3.23
2011-10-10,3.742,3.8325,3.7088,3.8295,48174,0.1266,3.42
2011-10-11,3.7963,3.8325,3.7661,3.8235,15547,-0.0061,-0.16
2011-10-12,3.8144,3.8506,3.7842,3.8325,39456,0.0092,0.24
2011-10-13,3.8084,3.8265,3.6846,3.8265,34757,-0.0061,-0.16
2011-10-14,3.8295,3.8506,3.7903,3.8416,15493,0.0149,0.39
2011-10-17,3.8114,3.8114,3.7088,3.7148,19245,-0.1268,-3.3
2011-10-18,3.7148,3.8597,3.6907,3.8325,21380,0.1178,3.17
2011-10-19,3.8476,3.8627,3.7722,3.7752,19266,-0.0575,-1.5
2011-10-20,3.7869,3.8174,3.7118,3.8114,10879,0.0362,0.96
2011-10-21,3.8717,3.8868,3.7028,3.7963,144475,-0.0152,-0.4
2011-10-24,3.8084,3.923,3.8084,3.8929,58643,0.0964,2.54
2011-10-25,3.8536,3.8627,3.748,3.7782,28264,-0.1148,-2.95
2011-10-26,3.8174,3.8476,3.8174,3.8325,26856,0.0544,1.44
2011-10-27,3.911,3.9894,3.8868,3.914,94402,0.0816,2.13
2011-10-28,3.923,3.9351,3.8597,3.8929,40754,-0.0211,-0.54
2011-10-31,3.8717,4.0739,3.8597,4.0468,103251,0.1538,3.95
2011-11-01,4.0438,4.0438,3.8657,3.8657,40615,-0.1809,-4.47
2011-11-02,3.8959,3.9744,3.8144,3.9502,51575,0.0847,2.19
2011-11-03,3.9834,3.9985,3.908,3.9562,60552,0.0059,0.15
2011-11-04,3.9412,3.9713,3.9019,3.9381,14001,-0.0182,-0.46
2011-11-07,3.9261,3.9985,3.914,3.9834,24081,0.0453,1.15
2011-11-08,4.0106,4.0287,3.923,4.0166,26302,0.0331,0.83
2011-11-09,3.9532,3.9532,3.911,3.923,26568,-0.0936,-2.33
2011-11-10,3.9532,3.9744,3.8899,3.9683,25027,0.0451,1.15
2011-11-11,3.9894,4.0045,3.9291,3.9804,42608,0.0119,0.3
2011-11-14,3.9985,4.0136,3.908,3.9321,16918,-0.0482,-1.21
2011-11-15,3.9683,4.0287,3.9442,3.9744,22638,0.0421,1.07
2011-11-16,3.9894,4.0468,3.9593,3.9593,24067,-0.0151,-0.38
2011-11-17,3.9683,3.9852,3.917,3.9381,40932,-0.021,-0.53
2011-11-18,3.9321,3.971,3.917,3.9381,27510,0.0,0.0
2011-11-21,3.923,3.9532,3.9083,3.923,35671,-0.015,-0.38
2011-11-22,3.9291,3.9499,3.923,3.923,31416,0.0,0.0
2011-11-23,3.8959,3.9502,3.8868,3.923,31091,0.0,0.0
2011-11-24,3.923,3.923,3.923,3.923,0,0.0,0.0
2011-11-25,3.9019,3.9406,3.8265,3.8265,6853,-0.0965,-2.46
2011-11-28,3.9381,3.9774,3.8748,3.9291,46938,0.1026,2.68
2011-11-29,3.911,3.9532,3.9019,3.9412,26008,0.0122,0.31
2011-11-30,4.0679,4.0679,3.9049,3.9834,62165,0.0422,1.07
2011-12-01,3.9925,3.9925,3.923,3.923,19280,-0.0605,-1.52
2011-12-02,3.92,4.0257,3.92,3.9834,19753,0.0604,1.54
2011-12-05,4.0166,4.0166,3.9321,4.0045,49362,0.0211,0.53
2011-12-06,3.9894,3.9894,3.9291,3.9744,17203,-0.03,-0.75
