日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2022-08-01,7.75,9.2545,5.55,8.5,931100,0.07,0.83
2022-08-02,8.07,8.1,6.6007,6.93,440782,-1.57,-18.47
2022-08-03,6.12,9.0324,5.98,7.93,702973,1.0,14.43
2022-08-04,8.19,10.0,6.74,8.85,378690,0.92,11.6
2022-08-05,9.1,9.396,8.37,8.51,155486,-0.34,-3.84
2022-08-08,8.93,10.3197,7.96,9.8,206769,1.29,15.1586
2022-08-09,10.0,10.25,8.76,9.47,239999,-0.33,-3.3673
2022-08-10,9.47,9.66,8.7,9.39,165124,-0.08,-0.84
2022-08-11,9.03,10.1,8.28,9.76,129312,0.37,3.94
2022-08-12,9.35,9.9,9.1,9.32,130266,-0.44,-4.51
2022-08-15,9.5,9.64,9.06,9.55,82954,0.23,2.47
2022-08-16,9.55,9.75,8.37,9.01,140711,-0.54,-5.65
2022-08-17,9.08,10.06,8.5524,9.35,49295,0.34,3.77
2022-08-18,9.29,9.6,8.5,9.35,147224,0.0,0.0
2022-08-19,9.32,9.71,8.9562,9.45,79527,0.1,1.0695
2022-08-22,9.46,12.3,8.13,8.65,421471,-0.8,-8.47
2022-08-23,8.27,10.5,8.08,10.32,253577,1.67,19.31
2022-08-24,10.3,10.75,9.2,9.93,114376,-0.39,-3.7791
2022-08-25,9.68,10.1,9.0997,10.03,32242,0.1,1.01
2022-08-26,10.32,10.97,9.5,10.78,91425,0.75,7.48
2022-08-29,11.29,11.33,9.455,9.87,100347,-0.91,-8.44
2022-08-30,9.85,10.3,7.46,7.46,280861,-2.41,-24.42
2022-08-31,8.22,8.52,7.8301,7.86,209361,0.4,5.36
2022-09-01,7.9,8.15,7.8682,8.02,111344,0.16,2.0356
2022-09-02,8.06,8.4,7.85,8.1,140057,0.08,1.0
2022-09-06,8.43,8.58,8.0,8.21,465219,0.11,1.36
2022-09-07,8.16,8.4,7.77,8.05,175699,-0.16,-1.9488
2022-09-08,8.0,8.12,7.2487,7.93,156870,-0.12,-1.4907
2022-09-09,7.68,8.05,7.34,7.94,282134,0.01,0.13
2022-09-12,8.08,8.17,7.75,7.94,129402,0.0,0.0
2022-09-13,7.82,8.1,7.6378,7.96,180697,0.02,0.2519
2022-09-14,7.76,8.4,7.76,8.12,195292,0.16,2.0101
2022-09-15,8.07,8.4,7.751,7.99,245117,-0.13,-1.601
2022-09-16,7.87,8.51,7.71,8.12,2875704,0.13,1.63
2022-09-19,8.02,8.24,8.02,8.2,77408,0.08,0.9852
2022-09-20,8.2,8.27,7.99,8.08,101109,-0.12,-1.4634
2022-09-21,7.85,8.39,7.25,7.29,265672,-0.79,-9.78
2022-09-22,7.19,7.5,6.3,7.24,496294,-0.05,-0.6859
2022-09-23,7.18,7.4329,6.62,6.95,124901,-0.29,-4.01
2022-09-26,7.04,7.26,6.7,6.7,141028,-0.25,-3.6
2022-09-27,6.74,6.8718,6.32,6.33,37177,-0.37,-5.5224
2022-09-28,6.25,6.55,6.25,6.42,113156,0.09,1.4218
2022-09-29,6.35,6.73,6.28,6.28,184390,-0.14,-2.1807
2022-09-30,6.28,6.5999,6.28,6.37,241858,0.09,1.43
2022-10-03,6.34,6.39,5.73,6.21,313741,-0.16,-2.51
2022-10-04,6.15,6.1878,5.88,6.02,58912,-0.19,-3.06
2022-10-05,6.0,6.38,6.0,6.28,115379,0.26,4.3189
2022-10-06,6.11,6.13,5.6,5.74,203601,-0.54,-8.5987
2022-10-07,5.56,6.01,4.5,4.7,174608,-1.04,-18.12
2022-10-10,4.67,4.99,4.67,4.85,90181,0.15,3.1915
2022-10-11,4.84,5.17,4.84,4.99,181704,0.14,2.8866
2022-10-12,5.0,5.44,4.42,4.67,328292,-0.32,-6.41
2022-10-13,4.57,5.06,4.57,4.95,237776,0.28,6.0
2022-10-14,4.96,5.07,4.84,5.07,89466,0.12,2.42
2022-10-17,5.18,5.28,4.8301,5.15,91572,0.08,1.5779
2022-10-18,5.27,5.38,5.15,5.28,61570,0.13,2.5243
2022-10-19,5.34,5.355,5.04,5.1,180014,-0.18,-3.4091
