日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2011-02-14,13.15,14.0,12.89,13.96,594884,,
2011-02-15,13.75,13.98,13.25,13.46,165445,,
2011-02-16,13.5,13.74,13.4,13.505,106129,,
2011-02-17,13.65,13.75,13.3,13.5,141646,,
2011-02-18,13.32,13.53,13.32,13.4,58237,,
2011-02-22,13.34,13.4,10.63,12.93,82531,,
2011-02-23,12.7,12.82,12.115,12.49,120046,,
2011-02-24,12.11,12.84,12.11,12.75,40885,,
2011-02-25,12.26,12.86,12.23,12.8,53198,,
2011-02-28,12.8,13.0,12.36,12.91,44310,,
2011-03-01,12.85,12.9,12.71,12.86,62058,,
2011-03-02,12.882,12.97,12.8,12.94,50433,,
2011-03-03,12.99,13.05,12.72,12.98,76379,,
2011-03-04,12.94,13.25,12.9,13.16,27758,,
2011-03-07,13.05,13.54,12.25,12.42,68238,,
2011-03-08,12.4,12.4,11.01,11.929,204940,,
2011-03-09,11.11,11.9,11.11,11.67,127862,,
2011-03-10,11.47,11.53,11.27,11.31,94429,,
2011-03-11,11.2,11.99,11.01,11.7,117098,,
2011-03-14,11.69,11.93,11.189,11.7,132889,,
2011-03-15,11.43,11.68,11.05,11.34,93008,,
2011-03-16,11.13,11.34,11.1,11.19,129468,,
2011-03-17,11.13,11.19,10.69,10.7,113925,,
2011-03-18,10.79,10.83,10.4,10.69,163483,,
2011-03-21,10.77,11.0,10.77,10.95,39051,,
2011-03-22,10.515,11.0,10.515,10.69,52929,,
2011-03-23,10.6,10.853,10.3,10.8,77676,,
2011-03-24,10.92,11.61,10.9,11.45,114224,,
2011-03-25,11.54,12.11,11.54,11.74,131190,,
2011-03-28,11.83,11.95,11.67,11.85,123750,,
2011-03-29,11.7,11.8,10.7,10.78,459627,,
2011-03-30,10.8,10.96,10.53,10.59,107917,,
2011-03-31,10.59,10.6,9.76,10.3,445080,,
2011-04-01,10.36,10.53,10.25,10.49,88939,,
2011-04-04,10.59,10.76,10.51,10.62,144925,,
2011-04-05,10.61,10.84,10.61,10.76,135226,,
2011-04-06,10.81,10.81,10.67,10.72,63631,,
2011-04-07,10.7,10.7,10.51,10.65,86330,,
2011-04-08,10.65,10.79,10.46,10.69,122331,,
2011-04-11,10.73,10.9,10.57,10.63,71425,,
2011-04-12,10.59,10.6,10.4,10.5,47653,,
2011-04-13,10.31,10.56,10.17,10.31,51775,,
2011-04-14,10.25,10.43,10.25,10.42,46516,,
2011-04-15,10.39,10.54,10.38,10.53,70318,,
2011-04-18,10.39,10.41,10.24,10.34,33163,,
2011-04-19,10.33,10.518,10.33,10.43,42843,,
2011-04-20,10.53,11.25,10.53,11.11,276848,,
2011-04-21,11.19,11.44,10.95,11.04,74797,,
2011-04-25,11.06,11.09,10.82,10.94,71948,,
2011-04-26,10.95,11.22,10.93,10.99,110127,,
2011-04-27,10.94,11.33,10.92,11.2,119329,,
2011-04-28,11.2,11.49,11.199,11.28,120793,,
2011-04-29,11.27,11.58,11.25,11.35,138176,,
2011-05-02,11.42,11.5,11.25,11.41,100722,,
2011-05-03,11.4,11.4,11.0,11.11,73826,,
2011-05-04,11.1,11.5,11.0,11.23,82166,,
2011-05-05,11.19,11.58,11.08,11.37,124195,,
2011-05-06,11.41,11.88,11.4,11.55,72142,,
2011-05-09,11.63,11.63,11.43,11.52,44587,,
2011-05-10,11.52,11.65,11.3,11.63,495706,,
2011-05-11,11.61,11.71,11.54,11.67,66285,,
2011-05-12,11.62,11.8,11.53,11.75,147498,,
2011-05-13,11.78,11.78,11.39,11.44,47066,,
2011-05-16,11.35,11.38,10.87,11.03,89072,,
2011-05-17,11.99,11.99,10.96,11.76,462784,,
2011-05-18,11.76,11.84,11.193,11.64,74336,,
2011-05-19,11.69,11.74,11.51,11.6,75078,,
2011-05-20,11.53,11.65,11.49,11.53,127637,,
2011-05-23,11.52,11.78,10.94,11.7,73833,,
2011-05-24,11.76,11.76,11.46,11.7,47092,,
2011-05-25,11.56,11.79,11.46,11.7,60196,,
2011-05-26,11.66,11.75,11.65,11.7,68096,,
2011-05-27,11.7,12.2,11.58,11.92,167969,,
2011-05-31,12.2,12.25,11.88,11.9,168137,,
2011-06-01,11.86,12.05,11.41,11.55,117356,,
2011-06-02,11.59,11.86,11.46,11.7,84199,,
2011-06-03,11.59,11.72,11.36,11.68,62842,,
2011-06-06,11.61,11.82,11.38,11.68,231010,,
2011-06-07,11.7,11.78,11.49,11.63,120361,,
2011-06-08,11.59,11.59,11.21,11.35,154198,,
2011-06-09,11.35,11.71,11.16,11.71,222127,,
2011-06-10,11.57,12.07,11.48,12.0,255157,,
2011-06-13,12.0,12.04,11.88,11.9,240387,,
2011-06-14,11.96,12.08,11.9,12.07,163112,,
2011-06-15,12.0,12.07,11.88,11.95,148356,,
2011-06-16,11.94,11.95,10.94,11.49,167826,,
2011-06-17,11.54,11.54,10.86,11.26,168934,,
2011-06-20,11.26,11.57,11.1,11.57,124579,,
2011-06-21,11.62,11.88,11.53,11.78,121375,,
2011-06-22,11.71,12.085,11.45,11.8,195962,,
2011-06-23,11.68,11.8,11.31,11.65,139497,,
2011-06-24,11.67,11.96,11.23,11.32,3994671,,
2011-06-27,11.32,11.78,11.18,11.55,219398,,
2011-06-28,11.61,11.86,11.61,11.82,182914,,
2011-06-29,11.87,12.175,11.87,12.03,225813,,
2011-06-30,12.03,12.2,12.011,12.05,128656,,
2011-07-01,12.09,12.2,11.86,12.175,231437,,
2011-07-05,12.13,12.59,12.122,12.56,199452,,
2011-07-06,12.54,12.59,12.36,12.5,156427,,
2011-07-07,12.53,12.8,12.44,12.65,188665,,
2011-07-08,12.51,12.67,12.28,12.58,112538,,
2011-07-11,12.43,12.43,11.97,12.09,160685,,
2011-07-12,12.06,12.105,11.93,11.99,138012,,
2011-07-13,12.03,12.26,11.95,12.13,161899,,
2011-07-14,12.17,12.745,11.865,11.99,110528,,
2011-07-15,12.04,12.08,11.92,12.02,135811,,
2011-07-18,11.94,11.98,11.59,11.78,142836,,
2011-07-19,11.94,12.16,11.75,11.95,175700,,
2011-07-20,11.94,12.13,11.845,12.08,86259,,
2011-07-21,12.11,12.221,11.86,11.99,63076,,
2011-07-22,11.96,12.0,11.85,11.89,25832,,
2011-07-25,11.75,11.85,11.69,11.74,41824,,
2011-07-26,11.74,11.84,11.66,11.68,81109,,
2011-07-27,11.65,11.68,11.26,11.3,168184,,
2011-07-28,11.27,11.41,11.18,11.23,245845,,
2011-07-29,11.13,11.32,11.08,11.23,147087,,
2011-08-01,11.33,11.34,10.93,11.0,143631,,
2011-08-02,10.96,11.11,10.57,10.58,166656,,
2011-08-03,10.57,10.72,10.14,10.23,223634,,
2011-08-04,10.13,10.178,9.85,9.85,374152,,
2011-08-05,9.88,10.15,9.42,9.96,365376,,
2011-08-08,9.73,9.8,8.94,8.94,175229,,
2011-08-09,9.05,9.31,8.59,9.08,362584,,
2011-08-10,8.85,9.06,8.52,8.89,340322,,
2011-08-11,9.03,9.89,8.78,9.67,192717,,
2011-08-12,9.75,10.65,9.75,10.56,235788,,
2011-08-15,10.66,10.85,10.46,10.57,160497,,
2011-08-16,10.44,10.54,9.96,10.33,136726,,
2011-08-17,10.34,10.42,10.0,10.21,104953,,
2011-08-18,9.95,10.2,9.33,9.45,181182,,
2011-08-19,9.31,9.5,9.15,9.24,123709,,
2011-08-22,9.48,9.77,9.09,9.22,73041,,
2011-08-23,9.27,9.73,9.25,9.68,105281,,
2011-08-24,9.65,9.73,9.44,9.56,117282,,
2011-08-25,9.65,9.65,9.18,9.19,89247,,
2011-08-26,9.13,9.55,9.1,9.45,64491,,
2011-08-29,9.51,9.63,9.44,9.63,80398,,
2011-08-30,9.59,9.59,9.26,9.44,71062,,
2011-08-31,9.48,9.55,9.28,9.48,124532,,
2011-09-01,9.51,9.6,9.25,9.3,84571,,
2011-09-02,9.07,9.22,8.82,8.88,131738,,
2011-09-06,8.61,9.01,8.61,8.85,118315,,
