日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2003-12-02,7.6071,7.7072,7.6071,7.7072,85000,0.0,0.0
2003-12-03,7.8073,7.8073,7.8073,7.8073,150000,0.0964,1.25
2003-12-04,8.1076,8.1076,8.1076,8.1076,25000,0.3043,3.9
2003-12-08,8.4079,8.7282,8.4079,8.7282,477000,0.6165,7.6
2003-12-09,8.7282,9.1085,8.7282,8.8583,1507100,0.1283,1.47
2003-12-10,8.9083,9.2086,8.9083,9.0084,1497250,0.1523,1.72
2003-12-11,9.1085,9.2086,9.0585,9.1686,1101600,0.1603,1.78
2003-12-12,9.2086,9.2286,9.1766,9.1886,354500,0.0238,0.26
2003-12-15,9.1686,9.1686,8.9684,8.9684,643500,-0.2243,-2.44
2003-12-16,8.9484,8.9484,8.7282,8.7882,442800,-0.1757,-1.96
2003-12-17,8.7682,8.7682,8.568,8.588,575400,-0.2004,-2.28
2003-12-18,8.588,8.6281,8.588,8.6281,1212600,0.0404,0.47
2003-12-19,8.6281,8.7282,8.6281,8.7282,710900,0.0958,1.11
2003-12-22,8.6681,8.7282,8.6681,8.6681,2600,-0.0558,-0.64
2003-12-23,8.6881,8.7482,8.6881,8.7282,66900,0.0564,0.65
2003-12-24,8.7282,8.7482,8.7282,8.7482,10100,0.0244,0.28
2003-12-26,8.7482,8.7482,8.7482,8.7482,500,0.0,0.0
2003-12-29,8.7282,8.7282,8.7282,8.7282,547,-0.0236,-0.27
2003-12-30,8.7482,8.7682,8.7482,8.7682,15800,0.0401,0.46
2003-12-31,8.7682,8.8082,8.7682,8.7682,7028,0.0,0.0
2004-01-02,8.8082,8.9884,8.7882,8.9884,278742,0.2244,2.56
2004-01-05,8.9884,9.0084,8.9283,8.9684,67998,-0.0243,-0.27
2004-01-06,8.9684,9.0084,8.9644,8.9884,80245,0.0242,0.27
2004-01-07,8.9684,8.9684,8.8082,8.9083,141656,-0.08,-0.89
2004-01-08,8.9484,8.9484,8.8883,8.9123,192555,0.0,0.0
2004-01-09,8.9283,8.9283,8.4679,8.4679,1728018,-0.4401,-4.94
2004-01-12,8.508,8.508,8.4879,8.4879,8841,0.0161,0.19
2004-01-13,8.508,8.548,8.3918,8.4079,534781,-0.0798,-0.94
2004-01-14,8.4279,8.4479,8.4079,8.4079,104250,0.0,0.0
2004-01-15,8.4079,8.4079,8.3078,8.3478,27053,-0.0563,-0.67
2004-01-16,8.3078,8.3678,8.3078,8.3278,246900,-0.0242,-0.29
2004-01-20,8.4079,8.4279,8.3959,8.4079,428205,0.0799,0.96
2004-01-21,8.4279,8.4679,8.4079,8.4079,484785,0.0,0.0
2004-01-22,8.4479,8.6481,8.4479,8.608,431772,0.2001,2.38
2004-01-23,8.608,8.608,8.4479,8.4879,374117,-0.1205,-1.4
2004-01-26,8.4879,8.4879,8.3478,8.3478,145761,-0.1357,-1.6
2004-01-27,8.3478,8.3478,8.2877,8.2998,497282,-0.0484,-0.58
2004-01-28,8.3078,8.3078,8.1877,8.2077,49927,-0.0963,-1.16
2004-01-29,8.2077,8.2077,7.9074,8.0075,584406,-0.2003,-2.44
2004-01-30,8.0075,8.1076,8.0075,8.0075,170509,0.0,0.0
2004-02-02,8.0075,8.1476,8.0075,8.0675,40337,0.064,0.8
2004-02-03,8.0075,8.1316,8.0075,8.1276,689584,0.0557,0.69
2004-02-04,8.1076,8.1276,8.1076,8.1076,287600,-0.0162,-0.2
2004-02-05,8.1156,8.1156,8.0155,8.0275,324424,-0.0803,-0.99
2004-02-06,8.0675,8.0675,8.0075,8.0275,243233,0.0,0.0
2004-02-09,8.0275,8.0275,8.0075,8.0075,303614,-0.0241,-0.3
2004-02-10,8.0075,8.0475,8.0075,8.0195,272240,0.016,0.2
