日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-01-04,1.8887,1.9995,1.8887,1.9995,2761,0.1109,5.87
1995-01-05,1.8887,1.8887,1.8887,1.8887,1138,-0.1108,-5.54
1995-01-06,1.8887,1.8887,1.8887,1.8887,1625,0.0,0.0
1995-01-09,1.8887,1.8887,1.8887,1.8887,4874,0.0,0.0
1995-01-10,1.855,1.9273,1.855,1.9273,3738,0.0385,2.04
1995-01-11,1.9658,1.9658,1.9658,1.9658,161,0.0385,2.0
1995-01-12,1.9658,1.9658,1.9658,1.9658,486,0.0,0.0
1995-01-16,1.855,1.855,1.855,1.855,1138,-0.1109,-5.64
1995-01-17,1.9273,1.9273,1.9273,1.9273,3250,0.0723,3.9
1995-01-18,1.855,1.9273,1.855,1.855,10237,-0.0723,-3.75
1995-01-19,1.7779,1.8887,1.7779,1.8887,1461,0.0338,1.82
1995-01-20,1.8887,1.8887,1.8887,1.8887,161,0.0,0.0
1995-01-23,1.8887,1.8887,1.8887,1.8887,3250,0.0,0.0
1995-01-24,1.8887,1.8887,1.8164,1.855,5688,-0.0338,-1.79
1995-01-25,1.855,1.855,1.855,1.855,811,0.0,0.0
1995-01-26,1.8887,1.8887,1.7779,1.7779,3413,-0.0772,-4.16
1995-01-31,1.7779,1.8357,1.7779,1.8357,1949,0.0578,3.25
1995-02-01,1.8887,1.9273,1.855,1.8887,11701,0.0531,2.89
1995-02-02,1.855,1.855,1.855,1.855,486,-0.0338,-1.79
1995-02-08,1.9658,1.9658,1.9658,1.9658,1625,0.1107,5.97
1995-02-09,1.855,1.9658,1.855,1.9658,4226,0.0,0.0
1995-02-13,1.855,1.855,1.855,1.855,648,-0.1109,-5.64
1995-02-15,1.855,1.9273,1.855,1.9273,24864,0.0723,3.9
1995-02-16,1.9658,1.9995,1.9273,1.9658,7310,0.0385,2.0
1995-02-17,2.0718,2.0959,2.0381,2.0381,9426,0.0723,3.68
1995-02-21,2.1103,2.1103,2.0381,2.0766,16900,0.0385,1.89
1995-02-22,2.0381,2.0381,2.0381,2.0381,4063,-0.0386,-1.86
1995-02-23,2.0381,2.1103,2.0381,2.1103,2111,0.0723,3.55
