日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-01-04,3.12,3.12,3.12,3.12,1000,0.12,4.0
1995-01-05,3.31,3.31,3.0,3.12,2500,0.0,0.0
1995-01-06,3.0,3.0,3.0,3.0,100,-0.12,-3.85
1995-01-11,3.38,3.5,3.25,3.25,1900,0.25,8.33
1995-01-12,3.25,3.5,3.25,3.25,0,0.0,0.0
1995-01-13,3.38,3.38,3.19,3.19,1700,-0.06,-1.85
1995-01-16,3.19,3.38,3.19,3.19,0,0.0,0.0
1995-01-17,3.19,3.38,3.19,3.19,0,0.0,0.0
1995-01-18,3.25,3.5,3.25,3.5,600,0.31,9.72
1995-01-19,3.5,3.5,3.25,3.5,0,0.0,0.0
1995-01-20,3.75,3.75,3.5,3.75,1700,0.25,7.14
1995-01-23,3.75,3.75,3.5,3.75,0,0.0,0.0
1995-01-24,3.75,3.75,3.5,3.75,0,0.0,0.0
1995-01-25,4.0,4.0,4.0,4.0,700,0.25,6.67
1995-01-26,4.0,4.0,4.0,4.0,1300,0.0,0.0
1995-01-31,3.75,3.75,3.75,3.75,100,-0.25,-6.25
1995-02-01,3.75,3.94,3.5,3.5,10800,-0.25,-6.67
1995-02-02,3.5,3.5,3.5,3.5,200,0.0,0.0
1995-02-06,3.5,3.5,3.5,3.5,500,0.0,0.0
1995-02-07,3.5,3.5,3.5,3.5,300,0.0,0.0
1995-02-09,3.5,3.75,3.5,3.62,3500,0.12,3.43
1995-02-10,3.25,3.25,3.25,3.25,100,-0.37,-10.22
1995-02-13,3.25,4.0,3.25,3.88,5100,0.63,19.38
1995-02-14,4.0,4.0,4.0,4.0,300,0.12,3.09
1995-02-15,3.25,3.25,3.25,3.25,500,-0.75,-18.75
1995-02-16,3.25,3.25,3.25,3.25,2500,0.0,0.0
1995-02-17,3.75,3.75,3.38,3.38,4000,0.13,4.0
1995-02-21,3.38,3.75,3.38,3.38,0,0.0,0.0
1995-02-22,3.38,3.75,3.38,3.38,0,0.0,0.0
1995-02-23,3.25,3.25,3.25,3.25,200,-0.13,-3.85
1995-03-05,3.25,3.25,3.25,3.25,500,0.0,0.0
1995-03-07,3.25,3.25,3.25,3.25,100,0.0,0.0
