日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2018-01-02,44.5918,46.4145,43.9221,46.4145,884344,0.0,0.0
2018-01-03,46.584,47.1944,46.3975,46.9316,2581149,0.5152,1.11
2018-01-04,47.2114,47.3894,46.5925,47.0927,1988429,0.1596,0.34
2018-01-05,46.9655,47.6268,46.4569,47.2453,1618564,0.1507,0.32
2018-01-08,46.957,47.0418,45.6006,45.643,1528205,-1.6016,-3.39
2018-01-09,45.6091,45.6091,44.3629,44.6596,2346720,-0.9813,-2.15
2018-01-10,44.5325,44.8461,43.7101,43.9984,1999128,-0.661,-1.48
2018-01-11,43.6678,45.2191,43.6678,45.1428,1906934,1.144,2.6
2018-01-12,45.1089,45.448,44.8546,45.2954,1304653,0.1535,0.34
2018-01-16,45.6345,45.7108,44.9267,45.0072,2133597,-0.2899,-0.64
2018-01-17,44.9394,45.1768,44.6681,44.7614,1614259,-0.2114,-0.47
2018-01-18,45.0835,45.3463,44.88,45.1005,1254225,0.3313,0.74
2018-01-19,45.1005,45.1852,44.8461,44.9394,1412283,-0.1533,-0.34
2018-01-22,45.1344,45.1768,44.719,44.9903,1176358,0.0584,0.13
2018-01-23,44.9309,45.7392,44.8546,45.5201,2439816,0.5309,1.18
2018-01-24,45.7787,46.0669,45.2107,45.465,2480753,-0.041,-0.09
2018-01-25,45.5328,45.6769,44.9055,44.9773,1050892,-0.4635,-1.02
2018-01-26,45.1174,45.838,44.7614,45.7787,1499051,0.805,1.79
2018-01-29,45.4141,45.838,45.3548,45.5328,1463353,-0.2472,-0.54
2018-01-30,45.2615,45.5159,44.8716,44.9648,1539487,-0.5507,-1.21
2018-01-31,45.0242,45.1344,44.2527,44.3799,1355397,-0.5845,-1.3
2018-02-01,44.0153,44.2866,43.2439,43.6932,1157752,-0.6789,-1.53
2018-02-02,43.1252,43.2524,42.252,42.3876,2129720,-1.3065,-2.99
2018-02-05,41.9044,42.3537,40.8702,40.921,2307023,-1.4491,-3.42
2018-02-06,39.2086,40.1581,34.2577,39.6918,4653982,-1.2445,-3.04
2018-02-07,39.234,40.3615,39.234,39.6833,2941915,-0.0437,-0.11
2018-02-08,39.3018,39.4968,38.1319,38.2167,3304242,-1.4683,-3.7
2018-02-09,38.2676,38.5473,37.4368,37.742,2635921,-0.4507,-1.18
2018-02-12,38.0048,38.8525,37.8437,38.6236,1882688,0.8905,2.36
2018-02-13,38.5982,38.7508,37.7335,37.8988,1424873,-0.7183,-1.86
2018-02-14,37.7504,38.0472,37.4198,37.7589,2008437,-0.1364,-0.36
2018-02-15,38.1065,38.1404,37.4537,37.8098,1816066,0.0491,0.13
2018-02-16,37.7589,37.9713,37.4537,37.6741,1407215,-0.1285,-0.34
2018-02-20,37.5385,38.4202,37.4876,38.1803,2317704,0.5234,1.39
2018-02-21,38.3439,40.8447,38.1489,39.9122,3829233,1.737,4.55
2018-02-22,40.0818,40.6413,39.9461,40.3191,1885932,0.4071,1.02
2018-02-23,40.76,42.9556,40.7261,42.6674,3139291,2.3314,5.78
2018-02-26,42.8115,42.9811,41.6331,42.4979,1952595,-0.1621,-0.38
2018-02-27,42.3114,43.2947,41.8705,41.8705,2328983,-0.629,-1.48
2018-02-28,42.1757,42.7522,41.7434,41.7688,2239806,-0.3072,-0.73
2018-03-01,41.9638,42.4724,41.3958,41.9553,1619962,0.2046,0.49
2018-03-02,41.8112,42.0825,41.2517,41.9468,1438276,-0.0084,-0.02
2018-03-05,41.8366,44.3078,41.7518,43.9051,2858310,1.9589,4.67
2018-03-06,44.2697,44.5494,43.3795,43.7161,2884200,-0.1976,-0.45
2018-03-07,43.3541,43.8585,42.5657,43.2693,2092454,-0.4415,-1.01
2018-03-08,43.4473,43.4558,42.803,42.8709,1650811,-0.3981,-0.92
2018-03-09,43.2354,45.5074,42.9302,44.1934,3951351,1.3205,3.08
2018-03-12,44.1255,44.2866,42.9048,42.9811,1781668,-1.229,-2.78
2018-03-13,43.1082,43.3795,42.7522,42.8624,1538951,-0.1031,-0.24
2018-03-14,43.1845,43.2608,42.6505,42.7522,892031,-0.1029,-0.24
