日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2010-08-06,12.2209,13.2361,12.2115,13.1609,10678485,0.0,0.0
2010-08-09,13.1609,13.1609,12.8789,13.1609,1819535,0.0,0.0
2010-08-10,12.9447,13.0105,12.7661,12.7849,1579277,-0.3764,-2.86
2010-08-11,12.4559,12.5781,11.7038,11.9859,2588211,-0.7991,-6.25
2010-08-12,11.5252,11.7602,11.3748,11.6474,1780340,-0.338,-2.82
2010-08-13,11.5158,11.779,11.1398,11.2808,957570,-0.3669,-3.15
2010-08-16,11.0834,11.497,10.9894,11.074,551620,-0.2064,-1.83
2010-08-17,11.1492,11.5628,11.0458,11.4876,1086654,0.4141,3.74
2010-08-18,11.356,11.8448,11.2808,11.2808,1010606,-0.2068,-1.8
2010-08-19,11.2338,11.3748,10.6322,10.8578,745978,-0.423,-3.75
2010-08-20,10.7638,10.8108,10.3689,10.4817,450646,-0.3757,-3.46
2010-08-23,10.604,10.8108,9.8331,10.3219,761813,-0.1593,-1.52
2010-08-24,10.1151,10.6228,9.8707,10.0399,746734,-0.2818,-2.73
2010-08-25,9.8707,10.4629,9.6169,10.1057,1112174,0.0663,0.66
2010-08-26,10.2843,10.4817,10.1527,10.3407,581369,0.2355,2.33
2010-08-27,10.4817,10.8014,10.3313,10.4441,370888,0.1034,1.0
2010-08-30,10.3501,10.5946,10.3501,10.43,226858,-0.0094,-0.09
2010-08-31,10.3501,10.557,10.2185,10.4112,236017,-0.0188,-0.18
2010-09-01,10.4159,11.2338,10.1151,11.027,412770,0.6114,5.87
2010-09-02,10.4159,11.1962,10.4159,11.1586,98504,0.1312,1.19
2010-09-03,11.1868,11.5816,10.886,11.1774,231399,0.019,0.17
2010-09-07,11.2808,11.6192,11.074,11.309,468400,0.1319,1.18
2010-09-08,10.8014,11.45,10.7356,11.4312,1483732,0.1221,1.08
2010-09-09,11.4782,11.8683,10.8202,11.1868,235614,-0.2446,-2.14
2010-09-10,11.262,11.3983,11.1022,11.262,362921,0.075,0.67
2010-09-13,11.3654,11.5064,11.1304,11.2244,303904,-0.0372,-0.33
2010-09-14,11.1398,11.5158,11.1398,11.5064,250639,0.2817,2.51
2010-09-15,11.7696,12.1457,11.6098,11.7226,561118,0.2163,1.88
2010-09-16,11.7132,11.8824,11.2902,11.2996,323293,-0.4232,-3.61
2010-09-17,11.2902,11.5158,11.1116,11.356,252296,0.0565,0.5
2010-09-20,11.4782,12.1927,11.3748,11.9295,404113,0.5735,5.05
2010-09-21,11.8542,12.0799,11.6192,11.7602,178759,-0.1694,-1.42
2010-09-22,11.6568,11.8448,11.2902,11.45,184632,-0.3105,-2.64
2010-09-23,11.2808,11.7414,11.1774,11.2808,320792,-0.1695,-1.48
2010-09-24,11.3748,11.6286,11.1116,11.4876,146945,0.2064,1.83
2010-09-27,11.4406,11.6474,11.2996,11.5158,186598,0.0287,0.25
2010-09-28,11.4782,11.8636,11.3842,11.8542,168759,0.3386,2.94
2010-09-29,11.873,12.1081,11.7414,11.7978,238483,-0.0569,-0.48
2010-09-30,11.8636,12.1739,11.5252,11.6474,196787,-0.1498,-1.27
2010-10-01,11.7226,12.0047,11.5252,11.6192,170466,-0.028,-0.24
2010-10-04,11.638,11.9473,11.5158,11.6098,140715,-0.0093,-0.08
2010-10-05,11.685,11.9295,11.4876,11.6098,256858,0.0,0.0
2010-10-06,11.5816,11.7414,11.403,11.7226,90378,0.1126,0.97
2010-10-07,11.7508,11.7508,10.9142,11.1398,252790,-0.5826,-4.97
2010-10-08,11.0928,11.3842,11.0176,11.262,251877,0.1225,1.1
2010-10-11,11.2338,11.4218,11.1962,11.3278,63685,0.0653,0.58
2010-10-12,11.2902,11.5628,11.1971,11.5628,59597,0.2345,2.07
2010-10-13,11.5722,11.591,11.2996,11.3466,222010,-0.2162,-1.87
2010-10-14,11.3466,11.497,11.2808,11.4218,223688,0.0749,0.66
2010-10-15,11.6098,11.6098,11.1445,11.2244,396195,-0.1976,-1.73
2010-10-18,11.2432,11.5534,10.9518,11.5064,53545,0.2817,2.51
2010-10-19,11.3372,11.5158,11.2902,11.3842,130104,-0.122,-1.06
2010-10-20,11.4406,11.7038,10.8296,11.4688,124758,0.0842,0.74
2010-10-21,11.3842,11.6568,11.3842,11.5158,58771,0.047,0.41
2010-10-22,11.4688,11.8542,11.45,11.591,94233,0.0749,0.65
2010-10-25,11.4698,11.8354,11.4698,11.6286,128276,0.0371,0.32
2010-10-26,11.5158,11.7414,11.1962,11.544,186145,-0.0849,-0.73
2010-10-27,11.544,12.0329,11.544,12.0047,263757,0.4606,3.99
2010-10-28,12.0517,12.5499,11.8448,12.3995,409914,0.3949,3.29
2010-10-29,12.3713,12.6627,12.1081,12.3995,434606,0.0,0.0
2010-11-01,12.4747,12.6909,11.8072,11.9295,432059,-0.4699,-3.79
2010-11-02,12.1269,12.6251,11.7226,12.4747,300886,0.5452,4.57
2010-11-03,12.4183,12.9729,12.3243,12.8178,359900,0.3479,2.79
2010-11-04,12.9165,13.1609,12.7191,13.1327,274634,0.3103,2.42
2010-11-05,13.0669,13.1609,12.8225,13.1327,175556,0.0,0.0
2010-11-08,13.1609,13.1609,12.7943,12.9447,179929,-0.1878,-1.43
2010-11-09,12.8977,13.1139,12.4089,12.8131,269772,-0.132,-1.02
2010-11-10,12.7849,12.9071,12.2679,12.5217,172291,-0.2908,-2.27
2010-11-11,12.4089,12.4089,11.826,12.0846,317160,-0.4318,-3.45
2010-11-12,11.9295,12.2961,11.8824,12.0517,115650,-0.0375,-0.31
2010-11-15,12.1269,12.3525,12.0141,12.2021,51776,0.1506,1.25
2010-11-16,11.9671,12.47,11.873,12.0705,206457,-0.1318,-1.08
2010-11-17,12.0329,12.1269,11.9953,12.0329,67597,-0.0374,-0.31
2010-11-18,12.2209,12.2209,11.8542,12.1269,118709,0.0939,0.78
2010-11-19,12.1175,12.1269,11.9389,12.1269,74315,0.0,0.0
2010-11-22,12.0799,12.5217,12.0705,12.2115,117651,0.0849,0.7
2010-11-23,12.0329,12.1269,11.9389,12.0329,439995,-0.1783,-1.46
2010-11-24,12.1081,12.1551,11.7508,11.9012,250045,-0.1312,-1.09
2010-11-26,11.8072,12.1551,11.8072,12.0611,348520,0.1595,1.34
2010-11-29,12.0423,12.3243,11.8448,11.9671,270138,-0.0941,-0.78
2010-11-30,11.8448,12.0658,11.5722,11.826,288711,-0.1412,-1.18
