日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-03-29,9.65,9.65,9.65,9.65,100,0.0,0.0
2021-03-30,9.7999,9.7999,9.58,9.66,3376,0.01,0.1036
2021-03-31,9.65,9.7,9.65,9.7,9089,0.04,0.4141
2021-04-01,9.75,9.8214,9.74,9.75,35816,0.05,0.5155
2021-04-05,9.71,9.84,9.71,9.7582,4539,0.0082,0.0841
2021-04-06,9.72,9.89,9.7,9.73,25280,-0.0282,-0.289
2021-04-07,9.78,9.8,9.78,9.78,1719,0.05,0.5139
2021-04-08,9.8491,9.8491,9.78,9.8,5359,0.02,0.2045
2021-04-09,9.92,10.15,9.83,9.99,31777,0.19,1.9388
2021-04-12,10.07,10.07,9.87,9.87,57351,-0.12,-1.2012
2021-04-13,9.8601,9.8601,9.82,9.82,33972,-0.05,-0.5066
2021-04-14,9.84,9.85,9.8,9.845,80663,0.025,0.2546
2021-04-15,9.84,9.855,9.81,9.8334,10163,-0.012,-0.12
2021-04-16,10.05,10.05,9.82,9.869,18997,0.0356,0.362
2021-04-19,9.75,9.85,9.75,9.85,21617,-0.019,-0.1925
2021-04-20,9.8,9.835,9.75,9.82,24135,-0.03,-0.3046
2021-04-21,9.8,9.82,9.79,9.82,9404,0.0,0.0
2021-04-22,9.75,9.81,9.75,9.78,11054,-0.04,-0.4073
2021-04-23,9.74,9.9,9.74,9.9,36529,0.12,1.227
2021-04-26,9.9,9.91,9.85,9.87,34701,-0.03,-0.303
2021-04-27,9.87,9.87,9.76,9.83,12478,-0.04,-0.4053
2021-04-28,9.83,9.83,9.8145,9.8145,1158,-0.0155,-0.1577
2021-04-29,9.81,9.81,9.7134,9.81,10781,-0.0045,-0.0459
2021-04-30,9.8,9.8,9.75,9.76,9298,-0.05,-0.5097
2021-05-03,9.76,9.79,9.74,9.7703,17606,0.0103,0.1055
2021-05-04,9.77,9.77,9.74,9.76,38489,-0.0103,-0.1054
2021-05-05,9.76,9.79,9.73,9.79,21103,0.03,0.3074
2021-05-06,9.75,9.8,9.75,9.8,8090,0.01,0.1021
2021-05-07,9.7844,9.7844,9.732,9.78,28698,-0.02,-0.2041
2021-05-10,9.78,9.79,9.74,9.77,44118,-0.01,-0.1022
2021-05-11,9.74,9.77,9.7,9.7,234690,-0.07,-0.7165
2021-05-12,9.7,9.79,9.69,9.78,73815,0.08,0.8247
2021-05-13,9.78,9.78,9.73,9.73,253554,-0.05,-0.5112
2021-05-14,9.72,9.73,9.7,9.73,47110,0.0,0.0
2021-05-17,9.7213,9.7213,9.7,9.71,4261,-0.02,-0.2055
2021-05-19,9.88,9.95,9.71,9.71,258049,0.0,0.0
2021-05-20,9.69,9.7,9.64,9.64,6830,-0.07,-0.7209
2021-05-21,9.63,9.85,9.63,9.63,50004,-0.01,-0.1037
2021-05-24,9.65,9.69,9.63,9.69,357710,0.06,0.6231
2021-05-25,9.7,9.7,9.67,9.68,27374,-0.01,-0.1032
2021-05-26,9.7,9.73,9.65,9.66,25913,-0.02,-0.2066
2021-05-27,9.66,9.695,9.66,9.68,79335,0.02,0.207
2021-05-28,9.7,9.7,9.67,9.68,10985,0.0,0.0
2021-06-01,9.76,9.76,9.7,9.7,60419,0.02,0.21
2021-06-02,9.7,9.73,9.69,9.73,20101,0.03,0.3093
2021-06-03,9.66,9.76,9.66,9.76,24886,0.03,0.3083
2021-06-04,9.75,9.76,9.74,9.75,11006,-0.01,-0.1025
2021-06-07,9.72,9.75,9.72,9.74,9204,-0.01,-0.1026
2021-06-08,9.73,9.73,9.72,9.7217,2841,-0.0183,-0.1879
2021-06-10,9.77,9.91,9.75,9.78,53802,0.0583,0.5997
2021-06-11,9.8,9.8,9.76,9.77,1493,-0.01,-0.1022
2021-06-14,9.75,9.77,9.75,9.77,3870,0.0,0.0
2021-06-15,9.8,9.8,9.75,9.79,22029,0.02,0.2047
2021-06-16,9.77,9.8,9.77,9.79,9058,0.0,0.0
2021-06-17,9.76,9.77,9.76,9.76,2054,-0.03,-0.3064
2021-06-18,9.75,9.78,9.75,9.78,36884,0.02,0.2049
2021-06-21,9.85,9.85,9.77,9.78,20563,0.0,0.0
2021-06-22,9.77,9.8,9.76,9.8,35160,0.02,0.2045
2021-06-23,9.77,9.78,9.77,9.78,2071,-0.02,-0.2041
2021-06-24,9.71,9.78,9.71,9.78,3734,0.0,0.0
2021-06-25,9.73,9.7401,9.73,9.73,4402,-0.05,-0.5112
2021-06-28,9.71,9.75,9.71,9.75,20415,0.02,0.2055
2021-06-29,9.84,9.84,9.71,9.75,43727,0.0,0.0
2021-06-30,9.76,9.76,9.75,9.75,10238,0.0,0.0
2021-07-01,9.74,9.78,9.74,9.78,28537,0.03,0.3077
2021-07-02,9.76,9.78,9.74,9.77,42485,-0.01,-0.1022
2021-07-06,9.76,9.76,9.68,9.72,37824,-0.05,-0.5118
2021-07-07,9.7,9.75,9.7,9.75,28021,0.03,0.3086
2021-07-08,9.73,9.74,9.7,9.74,24897,-0.01,-0.1026
2021-07-09,9.722,9.722,9.71,9.71,9799,-0.03,-0.308
2021-07-12,9.71,9.71,9.71,9.71,45085,0.0,0.0
2021-07-13,9.71,9.72,9.71,9.72,2762,0.01,0.103
2021-07-14,9.71,9.72,9.7,9.72,3948,0.0,0.0
2021-07-15,9.73,9.73,9.692,9.71,15034,-0.01,-0.1029
2021-07-19,9.71,9.71,9.7,9.71,62834,0.0,0.0
2021-07-20,9.71,9.71,9.7,9.7,1715,-0.01,-0.103
2021-07-22,9.7,9.72,9.7,9.72,14819,0.02,0.2062
2021-07-23,9.71,9.72,9.71,9.72,5542,0.0,0.0
2021-07-26,9.72,9.72,9.71,9.71,32653,-0.01,-0.1029
2021-07-27,9.7,9.71,9.68,9.7,3044,-0.01,-0.103
2021-07-28,9.69,9.73,9.68,9.73,12029,0.03,0.3093
2021-07-29,9.67,9.67,9.67,9.67,426,-0.06,-0.6166
2021-07-30,9.65,9.72,9.65,9.72,11100,0.05,0.5171
2021-08-02,9.75,9.75,9.67,9.71,117342,-0.01,-0.1029
2021-08-03,9.65,9.69,9.65,9.69,2631,-0.02,-0.206
2021-08-04,9.6899,9.71,9.67,9.7,22302,0.01,0.1032
2021-08-05,9.65,9.68,9.615,9.67,25743,-0.03,-0.3093
2021-08-06,9.67,9.6709,9.66,9.66,33225,-0.01,-0.1034
2021-08-09,9.69,9.7,9.66,9.66,78883,0.0,0.0
2021-08-10,9.66,9.67,9.65,9.65,11888,-0.01,-0.1035
2021-08-11,9.6501,9.67,9.65,9.66,28319,0.01,0.1036
2021-08-12,9.66,9.66,9.66,9.66,629,0.0,0.0
2021-08-13,9.65,9.68,9.65,9.65,4740,-0.01,-0.1035
2021-08-16,9.65,9.65,9.64,9.64,8728,-0.01,-0.1036
2021-08-17,9.64,9.68,9.64,9.68,2015,0.04,0.4149
2021-08-18,9.6511,9.6511,9.65,9.65,1830,-0.03,-0.3099
2021-08-19,9.65,9.65,9.64,9.65,36282,0.0,0.0
2021-08-20,9.63,9.63,9.62,9.62,854,-0.03,-0.3109
2021-08-23,9.62,9.69,9.62,9.67,17568,0.05,0.5198
2021-08-24,9.65,9.65,9.63,9.64,26755,-0.03,-0.3102
2021-08-25,9.68,9.69,9.64,9.67,6162,0.03,0.3112
2021-08-26,9.64,9.64,9.64,9.64,190,-0.03,-0.3102
