日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1997-12-01,6.5,6.625,6.5,6.625,2500,0.32,5.07
1997-12-02,6.75,7.25,6.75,6.875,33800,0.25,3.77
1997-12-03,6.875,7.0,6.812,6.875,28800,0.0,0.0
1997-12-04,7.0,7.375,7.0,7.187,85500,0.31,4.51
1997-12-05,7.312,7.312,7.0,7.187,10200,0.0,0.0
1997-12-08,7.312,7.312,7.312,7.312,200,0.12,1.67
1997-12-09,7.25,7.25,7.0,7.0,10500,-0.31,-4.24
1997-12-11,7.0,7.0,6.875,7.0,9100,0.0,0.0
1997-12-12,7.062,7.187,7.062,7.125,28000,0.13,1.86
1997-12-15,7.187,8.5,7.187,8.5,25300,1.37,19.21
1997-12-16,8.75,8.75,7.5,7.5,26900,-1.0,-11.76
1997-12-17,7.875,7.875,7.0,7.125,25800,-0.37,-4.93
1997-12-18,6.75,7.0,6.75,7.0,2500,-0.13,-1.82
1997-12-19,6.5,7.0,6.25,6.516,15400,-0.48,-6.86
1997-12-22,6.5,6.75,6.5,6.5,1700,-0.02,-0.31
1997-12-23,6.5,6.625,6.5,6.625,700,0.13,2.0
1997-12-24,6.75,6.75,6.75,6.75,1000,0.12,1.81
1997-12-26,6.75,6.75,6.75,6.75,100,0.0,0.0
1997-12-29,6.75,7.125,6.625,6.625,3500,-0.12,-1.78
1997-12-30,7.187,7.187,6.984,6.984,2200,0.35,5.28
1997-12-31,6.75,6.75,6.75,6.75,1000,-0.23,-3.3
1998-01-02,7.0,7.0,6.75,7.0,1800,0.25,3.7
1998-01-05,7.125,7.25,7.125,7.187,4600,0.19,2.71
1998-01-06,7.125,7.125,6.75,6.75,900,-0.44,-6.12
1998-01-07,7.0,7.0,6.75,6.75,5400,0.0,0.0
1998-01-08,6.75,6.75,6.25,6.75,3900,0.0,0.0
1998-01-09,6.75,6.75,6.75,6.75,300,0.0,0.0
1998-01-14,6.75,6.75,6.687,6.687,700,-0.06,-0.89
1998-01-15,6.75,6.75,6.75,6.75,100,0.06,0.9
1998-01-16,6.75,6.75,6.5,6.5,800,-0.25,-3.7
1998-01-20,6.5,6.5,6.5,6.5,2700,0.0,0.0
1998-01-21,6.25,6.25,6.234,6.25,1500,-0.25,-3.85
1998-01-22,6.375,6.375,6.0,6.0,2500,-0.25,-4.0
1998-01-26,5.75,6.125,5.75,6.125,4800,0.13,2.17
1998-01-27,6.125,6.25,6.125,6.25,2000,0.12,1.96
1998-01-28,6.25,6.375,6.203,6.203,5900,-0.05,-0.8
1998-01-29,6.0,6.375,5.875,5.875,9700,-0.32,-5.16
1998-01-30,5.875,5.875,5.875,5.875,300,0.0,0.0
1998-02-02,6.25,6.5,6.0,6.5,2300,0.62,10.54
1998-02-03,6.375,6.375,6.0,6.0,9900,-0.5,-7.69
1998-02-04,6.125,6.75,6.125,6.75,53600,0.75,12.5
1998-02-05,7.0,7.062,6.718,6.765,12300,0.02,0.3
1998-02-06,7.0,7.0,6.75,6.75,5700,-0.02,-0.3
1998-02-09,6.875,6.875,6.5,6.593,10600,-0.16,-2.37
1998-02-10,6.671,7.0,6.671,6.75,7600,0.16,2.43
1998-02-11,6.875,6.875,6.453,6.5,6100,-0.25,-3.7
1998-02-12,6.39,6.75,6.375,6.375,4300,-0.12,-1.85
1998-02-13,6.75,6.75,6.375,6.75,2600,0.37,5.8
1998-02-17,6.125,6.375,6.0,6.375,9300,-0.37,-5.48
1998-02-18,6.25,6.5,6.125,6.5,10000,0.12,1.88
