日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1996-04-03,122.0867,131.8273,109.2702,126.9936,47100,9.8192,8.38
1996-04-04,131.9005,134.3174,117.1798,122.0135,62025,-4.9781,-3.92
1996-04-08,129.4837,131.8273,117.1798,129.4105,41025,7.3942,6.06
1996-04-09,131.8273,131.8273,122.0135,129.4105,18675,0.0,0.0
1996-04-10,129.4105,129.4105,119.6699,129.4105,2025,0.0,0.0
1996-04-11,118.4981,126.9936,114.763,114.763,1125,-14.6495,-11.32
1996-04-12,124.5035,124.5035,112.3461,112.3461,16875,-2.4216,-2.11
1996-04-15,112.3461,112.3461,112.3461,112.3461,2700,0.0,0.0
1996-04-16,124.5035,124.5035,97.6987,97.6987,16425,-14.6503,-13.04
1996-04-17,97.6987,105.0224,92.7185,102.5323,6300,4.836,4.95
1996-04-18,102.6056,117.1798,102.5323,114.763,37725,12.232,11.93
1996-04-19,119.6699,119.6699,109.8561,119.6699,9825,4.9117,4.28
1996-04-22,119.6699,131.8273,117.1798,131.8273,26325,12.1584,10.16
1996-04-24,139.2243,156.2886,134.3174,156.2886,16125,24.4662,18.56
1996-04-25,166.1024,180.6034,151.3084,164.0517,24525,7.7673,4.97
1996-04-26,173.4261,175.7697,161.1222,170.936,4275,6.8899,4.2
1996-04-29,175.843,180.6034,170.7163,173.3529,7575,2.4103,1.41
1996-04-30,175.843,180.6034,168.446,180.6034,44250,7.2463,4.18
1996-05-01,178.333,185.5835,165.9559,174.5247,11550,-6.0866,-3.37
1996-05-02,185.6568,190.4172,175.7697,185.5835,16575,11.0645,6.34
1996-05-03,185.5835,185.5835,173.3529,185.5835,6825,0.0,0.0
1996-05-06,190.4904,205.0647,175.7697,205.0647,14025,19.4858,10.5
1996-05-07,210.0448,217.2953,195.2509,212.3884,39825,7.3209,3.57
1996-05-08,212.4616,214.8785,197.7409,209.8983,10350,-2.4849,-1.17
1996-05-09,210.0448,214.8785,195.2509,214.8785,15300,4.9747,2.37
1996-05-10,214.9517,219.7121,195.2509,219.7121,21600,4.8347,2.25
1996-05-13,222.2754,258.8209,214.8785,253.8408,23625,34.1223,15.53
1996-05-14,253.9872,283.1357,229.526,283.1357,24675,29.2934,11.54
1996-05-15,312.6504,327.0781,278.302,319.8276,51675,36.6941,12.96
1996-05-16,322.3909,371.0206,302.7633,341.7256,57825,21.9075,6.85
1996-05-17,371.2403,439.4243,332.0583,361.3532,59625,19.6157,5.74
1996-05-20,400.5352,488.2004,390.6482,478.533,32700,117.1851,32.43
1996-05-21,576.4514,683.5977,478.533,576.0852,113625,97.5694,20.39
1996-05-22,625.3008,771.4826,566.4179,771.4826,200100,195.4054,33.92
1996-05-23,869.5474,1252.3592,790.9637,1074.0994,506025,302.6425,39.23
1996-05-24,1133.2752,1328.0867,771.4826,898.3297,328050,-175.7135,-16.36
1996-05-28,937.8779,986.2146,663.9701,761.6688,145350,-136.6315,-15.21
1996-05-30,742.4806,859.3674,585.899,771.4826,102000,78.202,11.28
1996-06-03,781.5893,878.8486,683.5977,761.6688,96863,-97.7115,-11.37
1996-06-04,840.1792,878.8486,703.0789,800.7775,51113,39.0753,5.13
1996-06-06,976.9867,996.0284,839.7398,878.8486,133088,58.568,7.14
1996-06-07,840.1792,956.9196,781.1499,878.8486,40950,0.0,0.0
1996-06-11,1016.0954,1035.1371,878.8486,976.5472,43050,58.5671,6.38
1996-06-13,937.8779,996.0284,878.8486,937.4385,20663,39.0787,4.35
1996-06-14,937.8779,976.5472,878.8486,939.9285,25350,2.531,0.27
1996-06-18,937.8779,956.9196,790.9637,800.7775,54413,-136.6815,-14.58
1996-06-19,747.3875,869.0348,707.9125,810.4449,57450,9.6891,1.21
1996-06-21,810.8843,834.9061,761.6688,810.4449,21338,9.6891,1.21
1996-06-24,918.3968,956.9196,820.2587,917.9573,43406,107.5421,13.27
1996-06-25,976.9867,986.2146,820.2587,898.3297,43331,-19.6447,-2.14
1996-06-26,898.8424,917.9573,781.1499,830.0725,16913,-68.2744,-7.6
1996-06-27,791.3299,859.3674,703.0789,800.7775,37706,-29.3018,-3.53
1996-06-28,703.445,800.7775,703.0789,722.56,40575,-78.238,-9.77
1996-07-01,722.9994,820.2587,722.56,761.6688,10200,39.0914,5.41
1996-07-02,796.4565,820.2587,703.0789,742.1876,14813,-19.4992,-2.56
1996-07-03,761.6688,761.6688,712.8927,742.1876,10781,0.0,0.0
1996-07-05,713.1856,742.1876,693.265,693.265,6788,-48.9093,-6.59
1996-07-08,674.1501,732.3738,605.3802,644.4889,15656,-48.8081,-7.04
1996-07-09,605.7464,673.7839,517.4953,524.8923,61313,-119.6218,-18.56
1996-07-10,532.1428,532.1428,380.8344,468.7192,72844,-56.1623,-10.7
1996-07-11,439.644,468.7192,380.8344,439.4243,31594,-29.295,-6.25
1996-07-12,449.3846,478.533,429.6105,458.9054,25969,19.4671,4.43
1996-07-15,439.644,468.7192,390.6482,429.6105,11513,-29.277,-6.38
1996-07-16,410.349,439.4243,390.6482,419.9431,23813,-9.6662,-2.25
1996-07-17,468.7192,468.7192,419.9431,439.4243,14981,19.4852,4.64
1996-07-18,458.9054,458.9054,424.7768,439.4243,7931,0.0,0.0
1996-07-19,449.2381,449.2381,405.2957,429.6105,5644,-9.7988,-2.23
1996-07-22,400.5352,439.4243,361.3532,400.3155,14250,-29.2998,-6.82
1996-07-23,346.7058,346.7058,346.7058,346.7058,0,-53.6011,-13.39
1996-07-24,293.096,376.0007,283.1357,336.892,26513,-9.8117,-2.83
1996-07-25,332.2048,390.6482,332.0583,351.5394,13931,14.6545,4.35
1996-07-26,351.6859,380.8344,351.5394,371.0206,6619,19.4756,5.54
1996-07-29,381.0541,405.2957,351.5394,371.0206,9469,0.0,0.0
1996-07-30,380.8344,380.8344,332.0583,341.7256,5850,-29.312,-7.9
1996-07-31,341.7256,341.7256,317.4108,332.0583,3769,-9.6709,-2.83
1996-08-01,322.3909,410.1293,322.2445,351.5394,38306,19.4912,5.87
1996-08-02,419.9431,419.9431,376.0007,376.0007,43575,24.4668,6.96
1996-08-05,415.4024,478.533,400.3155,454.0718,52519,78.06,20.76
1996-08-06,474.0656,693.265,449.2381,668.9502,146906,214.8705,47.32
1996-08-07,742.4806,781.1499,663.9701,717.7263,145050,48.7671,7.29
1996-08-08,747.0213,747.0213,610.3603,615.194,60019,-102.5682,-14.29
1996-08-09,644.4889,644.4889,551.7704,595.7129,25800,-19.5023,-3.17
1996-08-12,552.2098,634.6751,507.828,576.0852,31838,-19.598,-3.29
1996-08-13,605.7464,644.4889,576.0852,644.4889,54450,68.3837,11.87
1996-08-14,664.3363,673.7839,625.0078,659.1364,24469,14.6303,2.27
1996-08-15,669.4629,707.9125,600.5465,707.9125,28481,48.7761,7.4
1996-08-16,722.9994,751.8549,663.9701,687.1863,28369,-20.7423,-2.93
1996-08-19,674.1501,693.265,634.6751,644.4889,9038,-42.6727,-6.21
1996-08-20,640.0947,673.7839,585.899,615.194,11100,-29.3256,-4.55
1996-08-21,649.3226,649.3226,595.7129,620.0277,2606,4.8598,0.79
1996-08-22,601.0592,639.6553,595.7129,620.0277,13013,0.0,0.0
1996-08-23,605.7464,639.6553,585.899,624.3487,5513,4.3401,0.7
1996-08-26,586.192,634.6751,585.899,615.194,4613,-9.1783,-1.47
1996-08-27,625.3008,693.265,595.7129,673.7839,26044,58.5685,9.52
1996-08-28,674.1501,712.8927,625.0078,629.8415,14138,-43.9299,-6.52
1996-08-29,640.0947,678.6176,610.3603,644.4889,7181,14.6747,2.33
1996-08-30,659.1364,659.1364,605.3802,644.4889,5775,0.0,0.0
1996-09-03,605.7464,644.4889,588.3891,625.0078,8063,-19.463,-3.02
1996-09-04,654.5957,663.9701,615.194,634.6751,3469,9.6873,1.55
1996-09-05,615.4869,634.6751,605.3802,625.0078,5850,-9.6467,-1.52
1996-09-06,625.3008,654.3028,576.0852,649.3226,6544,24.3129,3.89
1996-09-09,635.0413,649.3226,595.7129,624.3487,7481,-24.9999,-3.85
1996-09-10,625.0078,625.0078,576.0852,585.899,15338,-38.4605,-6.16
1996-09-11,615.194,615.194,576.0852,581.0654,19144,-4.8041,-0.82
1996-09-12,581.5048,620.0277,566.4179,585.899,11906,4.8229,0.83
1996-09-13,615.194,615.194,581.0654,588.3891,13706,2.5192,0.43
1996-09-16,605.7464,620.0277,581.0654,615.194,6769,26.8294,4.56
1996-09-17,615.194,615.194,571.2516,605.3802,10200,-9.8436,-1.6
1996-09-18,605.3802,605.3802,566.4179,571.2516,6656,-34.1443,-5.64
1996-09-19,561.9504,576.0852,522.4755,527.3091,21488,-43.9281,-7.69
1996-09-20,522.9149,654.3028,522.4755,625.0078,50006,97.7086,18.53
1996-09-23,630.3541,663.9701,615.194,644.4889,28125,19.4997,3.12
1996-09-24,644.7819,649.3226,610.3603,634.6751,21881,-9.796,-1.52
1996-09-25,634.6751,634.6751,595.7129,615.194,10294,-19.4846,-3.07
1996-09-26,640.0947,654.3028,556.6041,556.6041,26119,-58.564,-9.52
1996-09-27,566.6376,615.194,566.4179,600.5465,11719,43.918,7.89
1996-09-30,586.192,634.6751,581.0654,625.0078,11681,24.443,4.07
1996-10-01,625.0078,625.0078,595.7129,610.3603,4163,-14.6246,-2.34
1996-10-02,625.0078,625.0078,585.899,615.194,7669,4.8219,0.79
1996-10-03,625.0078,625.0078,585.899,585.899,6956,-29.2826,-4.76
1996-10-04,605.7464,629.8415,581.0654,595.7129,19163,9.8426,1.68
1996-10-07,600.5465,600.5465,566.4179,585.899,9656,-9.8295,-1.65
1996-10-08,595.9326,620.0277,566.4179,585.899,18675,0.0,0.0
1996-10-09,595.9326,605.3802,546.7903,556.6041,18375,-29.295,-5.0
1996-10-10,556.897,595.7129,556.6041,590.7327,12900,34.1203,6.13
1996-10-11,605.3802,605.3802,576.0852,595.7129,5606,4.9623,0.84
1996-10-14,576.4514,595.7129,566.4179,595.7129,2981,0.0,0.0
1996-10-15,595.7129,595.7129,546.7903,566.4179,8813,-29.3098,-4.92
1996-10-16,566.6376,571.2516,546.7903,546.7903,5006,-19.6557,-3.47
1996-10-17,552.2098,571.2516,551.7704,551.7704,4013,4.9758,0.91
1996-10-18,542.396,566.4179,527.3091,537.1229,6956,-14.6212,-2.65
