日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2019-09-30,7.87,8.62,1.95,2.85,3376355,-6.87,-70.68
2019-10-01,3.24,3.25,2.17,2.19,1869131,-0.66,-23.16
2019-10-02,2.3,2.3,1.85,1.91,1635802,-0.28,-12.79
2019-10-03,1.79,2.16,1.7,2.02,1457396,0.11,5.76
2019-10-04,2.15,2.44,1.83,1.93,2607787,-0.09,-4.46
2019-10-07,1.95,1.95,1.85,1.87,1118554,-0.06,-3.11
2019-10-08,1.64,1.683,1.22,1.28,2796439,-0.59,-31.55
2019-10-09,1.58,2.04,1.39,1.72,20008834,0.44,34.38
2019-10-10,1.69,1.81,1.53,1.59,4066479,-0.13,-7.56
2019-10-11,1.58,1.6,1.45,1.53,1398958,-0.06,-3.77
2019-10-14,1.49,1.56,1.41,1.44,1276132,-0.09,-5.88
2019-10-15,1.43,1.55,1.3,1.53,2340617,0.09,6.25
2019-10-16,1.64,2.73,1.53,2.07,10629037,0.54,35.29
2019-10-17,2.05,2.1,1.79,1.82,1964845,-0.25,-12.08
2019-10-18,1.81,2.19,1.75,2.15,3204458,0.33,18.13
2019-10-21,2.13,2.38,1.95,2.01,1819236,-0.14,-6.51
2019-10-22,1.98,2.05,1.88,1.97,633412,-0.04,-1.99
2019-10-23,1.9,1.9886,1.75,1.91,952999,-0.06,-3.05
2019-10-24,1.9,1.92,1.82,1.9,421403,-0.01,-0.52
2019-10-25,1.9,1.9,1.74,1.76,817783,-0.14,-7.37
2019-10-28,1.73,1.78,1.67,1.67,452443,-0.09,-5.11
2019-10-29,1.6,1.6089,1.47,1.5,929677,-0.17,-10.18
2019-10-30,1.48,1.53,1.42,1.52,394287,0.02,1.33
2019-10-31,1.53,1.77,1.51,1.62,971999,0.1,6.58
2019-11-01,1.6,1.6,1.46,1.52,594130,-0.1,-6.17
2019-11-04,1.53,1.58,1.48,1.52,358272,0.0,0.0
2019-11-05,1.53,1.53,1.44,1.45,518743,-0.07,-4.61
2019-11-06,1.45,1.45,1.28,1.31,1626697,-0.14,-9.66
2019-11-07,1.3,1.3,1.12,1.16,1799298,-0.15,-11.45
2019-11-08,1.21,1.21,1.0,1.0,3868126,-0.16,-13.79
2019-11-11,0.8701,0.8798,0.755,0.8409,3517832,-0.1591,-15.91
2019-11-12,0.834,0.834,0.68,0.6897,3103232,-0.1512,-17.98
2019-11-13,0.67,0.6809,0.5309,0.5732,3820830,-0.1165,-16.89
2019-11-14,0.5475,0.65,0.51,0.5699,5323929,-0.0033,-0.58
2019-11-15,0.6009,0.6009,0.54,0.5595,2430658,-0.0104,-1.82
2019-11-18,0.5441,0.55,0.4001,0.4111,5904153,-0.1484,-26.52
2019-11-19,0.37,0.416,0.35,0.36,4635895,-0.0511,-12.43
2019-11-20,0.3649,0.3649,0.28,0.29,6954306,-0.07,-19.44
2019-11-21,0.3199,0.3444,0.28,0.3089,11096819,0.0189,6.52
2019-11-22,0.3,0.3,0.273,0.2825,8660367,-0.0264,-8.55
2019-11-25,0.285,0.29,0.25,0.2659,5969573,-0.0166,-5.88
2019-11-26,0.2521,0.3188,0.235,0.309,17240722,0.0431,16.21
2019-11-27,0.404,0.47,0.35,0.358,40777844,0.049,15.86
2019-11-29,0.37,0.38,0.33,0.3793,8567588,0.0213,5.95
2019-12-02,0.42,0.449,0.39,0.4245,17243347,0.0452,11.92
2019-12-03,0.42,0.4795,0.3905,0.44,11447773,0.0155,3.65
2019-12-04,0.442,0.4555,0.421,0.426,6239550,-0.014,-3.18
2019-12-05,0.418,0.43,0.373,0.4021,9100385,-0.0239,-5.61
2019-12-06,0.411,0.42,0.3851,0.4101,3977745,0.008,1.99
2019-12-09,0.405,0.41,0.3815,0.386,5745580,-0.0241,-5.88
2019-12-10,0.4,0.4135,0.385,0.3931,5593249,0.0071,1.84
2019-12-11,0.3949,0.4085,0.373,0.3751,4526739,-0.018,-4.58
2019-12-12,0.389,0.389,0.3335,0.3495,6134115,-0.0256,-6.82
2019-12-13,0.3439,0.3564,0.336,0.34,2723613,-0.0095,-2.72
2019-12-16,0.37,0.415,0.35,0.3925,14269030,0.0525,15.44
2019-12-17,0.408,0.4295,0.385,0.3875,8250882,-0.005,-1.27
2019-12-18,0.38,0.3901,0.365,0.384,4578893,-0.0035,-0.9
2019-12-19,0.385,0.385,0.355,0.3625,4276615,-0.0215,-5.6
2019-12-20,0.38,0.425,0.3751,0.405,17171181,0.0425,11.72
2019-12-23,0.406,0.406,0.3805,0.39,4714639,-0.015,-3.7
2019-12-24,0.39,0.394,0.371,0.3878,2236797,-0.0022,-0.56
2019-12-26,0.39,0.409,0.375,0.4025,4224823,0.0147,3.79
2019-12-27,0.41,0.41,0.3915,0.4,3501237,-0.0025,-0.62
2019-12-30,0.41,0.587,0.406,0.579,26859605,0.179,44.75
2019-12-31,0.5869,0.6361,0.49,0.52,14792463,-0.059,-10.19
2020-01-02,0.472,0.52,0.449,0.5107,9535726,-0.0093,-1.79
2020-01-03,0.49,0.569,0.48,0.539,8014376,0.0283,5.54
2020-01-06,0.5454,0.7,0.539,0.69,20564486,0.151,28.01
2020-01-07,0.68,0.69,0.5903,0.6367,10015352,-0.0533,-7.72
2020-01-08,0.6037,0.639,0.5804,0.5926,4866229,-0.0441,-6.93
2020-01-09,0.59,0.728,0.555,0.67,10439637,0.0774,13.06
2020-01-10,0.675,0.68,0.62,0.6249,4575028,-0.0451,-6.73
2020-01-13,0.614,0.62,0.562,0.58,4873721,-0.0449,-7.19
2020-01-14,0.6,0.63,0.5805,0.6,2896795,0.02,3.45
2020-01-15,0.6,0.695,0.59,0.665,12880038,0.065,10.83
2020-01-16,0.66,0.718,0.6291,0.6965,9066052,0.0315,4.74
2020-01-17,0.73,0.8388,0.71,0.7278,21466353,0.0313,4.49
2020-01-21,0.72,0.729,0.66,0.69,5559075,-0.0378,-5.19
2020-01-22,0.6803,0.755,0.65,0.707,6723401,0.017,2.46
2020-01-23,0.73,0.735,0.685,0.6976,3022725,-0.0094,-1.33
2020-01-24,0.6983,0.7325,0.66,0.6695,6225121,-0.0281,-4.03
2020-01-27,0.66,0.684,0.58,0.5924,4600618,-0.0771,-11.52
2020-01-28,0.6,0.64,0.571,0.6288,3477651,0.0364,6.14
2020-01-29,0.62,0.64,0.582,0.589978,2091410,-0.038822,-6.17
2020-01-30,0.5877,0.59,0.525,0.5346,3879647,-0.055378,-9.39
2020-01-31,0.5154,0.545,0.5,0.5302,3117429,-0.0044,-0.82
2020-02-03,0.5202,0.5588,0.51,0.52,1906093,-0.0102,-1.92
2020-02-04,0.525,0.5686,0.5216,0.5512,2217346,0.0312,6.0
2020-02-05,0.5717,0.573,0.5311,0.5439,1665985,-0.0073,-1.32
2020-02-06,0.5404,0.5404,0.5205,0.5351,1481283,-0.0088,-1.62
2020-02-07,0.53,0.54,0.505,0.5107,1883080,-0.0244,-4.56
2020-02-10,0.52,0.5695,0.51,0.56,2622076,0.0493,9.65
2020-02-11,0.5807,0.6489,0.565,0.6071,5232229,0.0471,8.41
2020-02-12,0.6237,0.6237,0.553,0.568,2476485,-0.0391,-6.44
2020-02-13,0.568,0.6199,0.55,0.5599,2013344,-0.0081,-1.43
2020-02-14,0.59,0.59,0.55,0.565294,1540167,0.005394,0.96
2020-02-18,0.575,0.575,0.535,0.54,2076818,-0.025294,-4.47
2020-02-19,0.5456,0.555,0.5,0.535,1887622,-0.005,-0.93
2020-02-20,0.5434,0.568431,0.526,0.54,2336966,0.005,0.93
2020-02-21,0.53,0.54,0.515,0.517,1836074,-0.023,-4.26
2020-02-24,0.5,0.52,0.455,0.511,3001661,-0.006,-1.16
2020-02-25,0.48,0.51,0.46,0.4643,1616868,-0.0467,-9.14
2020-02-26,0.4611,0.4639,0.414,0.4169,2078617,-0.0474,-10.21
2020-02-27,0.37,0.4158,0.3611,0.4113,2534846,-0.0056,-1.34
2020-02-28,0.391,0.46,0.3908,0.45,3799548,0.0387,9.41
2020-03-02,0.45,0.495,0.44,0.478,1828312,0.028,6.22
2020-03-03,0.54,0.58,0.479,0.4865,5491771,0.0085,1.78
2020-03-04,0.4802,0.488,0.4501,0.462,1847145,-0.0245,-5.04
2020-03-05,0.44,0.51,0.4312,0.485,3126370,0.023,4.98
2020-03-06,0.4612,0.485,0.442,0.4603,1526745,-0.0247,-5.09
2020-03-09,0.434,0.434,0.385,0.3947,1781316,-0.0656,-14.25
2020-03-10,0.4194,0.4298,0.3502,0.4,1631142,0.0053,1.34
2020-03-11,0.4,0.402,0.35,0.361199,1328055,-0.038801,-9.7
2020-03-12,0.3113,0.34,0.3,0.328,1385994,-0.033199,-9.19
2020-03-13,0.315,0.3399,0.29,0.3063,1571175,-0.0217,-6.62
2020-03-16,0.2934,0.2934,0.26,0.2602,1331566,-0.0461,-15.05
2020-03-17,0.2771,0.32,0.265,0.2916,1572217,0.0314,12.07
2020-03-18,0.29,0.3,0.26,0.275,1065740,-0.0166,-5.69
2020-03-19,0.2901,0.31,0.2803,0.2967,831688,0.0217,7.89
2020-03-20,0.32,0.335,0.3,0.306,1362321,0.0093,3.13
2020-03-23,0.2647,0.335,0.2602,0.2878,1420710,-0.0182,-5.95
2020-03-24,0.32,0.325,0.2901,0.3048,1279097,0.017,5.91
2020-03-25,0.315,0.317,0.2931,0.3035,1193828,-0.0013,-0.43
2020-03-26,0.321,0.37,0.3,0.35,2716708,0.0465,15.32
2020-03-27,0.35,0.355,0.288,0.2999,3373896,-0.0501,-14.31
2020-03-30,0.29,0.3062,0.28,0.295,1547478,-0.0049,-1.63
2020-03-31,0.3,0.3041,0.2701,0.2811,1416015,-0.0139,-4.71
2020-04-01,0.283,0.2964,0.278,0.2827,1216396,0.0016,0.57
2020-04-02,0.293,0.2945,0.2779,0.28,1181734,-0.0027,-0.96
2020-04-03,0.289,0.289,0.277,0.28,951942,0.0,0.0
2020-04-06,0.285,0.295,0.278,0.2885,1014860,0.0085,3.04
2020-04-07,0.3,0.32,0.285,0.3153,1476461,0.0268,9.29
2020-04-08,0.33,0.33,0.3,0.3072,1153008,-0.0081,-2.57
2020-04-09,0.315,0.32,0.301,0.31111,1010811,0.00391,1.27
2020-04-13,0.3255,0.3255,0.301,0.317,931148,0.00589,1.89
2020-04-14,0.32,0.35,0.31,0.32,1794082,0.003,0.95
2020-04-15,0.3293,0.449,0.32,0.42,8764346,0.1,31.25
2020-04-16,0.445,0.5397,0.418,0.4309,11553524,0.0109,2.6
2020-04-17,0.44,0.4998,0.44,0.465,3546537,0.0341,7.91
2020-04-20,0.45,0.45,0.4102,0.43,2087679,-0.035,-7.53
2020-04-21,0.415,0.42,0.37,0.395,1682888,-0.035,-8.14
2020-04-22,0.4,0.447,0.32,0.34,16595132,-0.055,-13.92
2020-04-23,0.321,0.325,0.3,0.3219,5313802,-0.0181,-5.32
2020-04-24,0.33,0.33,0.3015,0.3111,5859557,-0.0108,-3.36
2020-04-27,0.329,0.329,0.304,0.32,4602118,0.0089,2.86
2020-04-28,0.31,0.33,0.305,0.3192,4071341,-0.0008,-0.25
2020-04-29,0.3215,0.324,0.31,0.3171,3498048,-0.0021,-0.66
2020-04-30,0.3112,0.32,0.305,0.313,3623395,-0.0041,-1.29
2020-05-01,0.31,0.345,0.3053,0.336,24470044,0.023,7.35
2020-05-04,0.3599,0.378,0.326,0.3442,22211579,0.0082,2.44
2020-05-05,0.3516,0.353399,0.3155,0.3395,8476728,-0.0047,-1.37
2020-05-06,0.34,0.361,0.33,0.3342,8090019,-0.0053,-1.56
2020-05-07,0.335,0.342,0.32,0.33,5250385,-0.0042,-1.26
2020-05-08,0.321,0.3244,0.3055,0.3153,6854936,-0.0147,-4.45
2020-05-11,0.311,0.3415,0.3105,0.33,6221258,0.0147,4.66
2020-05-12,0.336,0.345,0.33,0.3351,3971433,0.0051,1.55
2020-05-13,0.315,0.33,0.3001,0.3128,5407724,-0.0223,-6.65
2020-05-14,0.305,0.3165,0.2901,0.3013,5442620,-0.0115,-3.68
2020-05-15,0.3024,0.3135,0.295,0.2999,4144040,-0.0014,-0.46
2020-05-18,0.303,0.309,0.2995,0.305,4182030,0.0051,1.7
2020-05-19,0.3055,0.3299,0.3016,0.3147,9321627,0.0097,3.18
2020-05-20,0.319,0.32,0.3021,0.31,6155433,-0.0047,-1.49
2020-05-21,0.319,0.32,0.3053,0.3188,5673339,0.0088,2.84
2020-05-22,0.3165,0.344,0.3,0.312,18542751,-0.0068,-2.13
2020-05-26,0.3248,0.3415,0.3155,0.3295,19321680,0.0175,5.61
2020-05-27,0.33,0.3388,0.312,0.323,11254188,-0.0065,-1.97
2020-05-28,0.3205,0.3227,0.307,0.312,8419413,-0.011,-3.41
2020-05-29,0.32,0.321,0.303,0.31,11373333,-0.002,-0.64
2020-06-01,0.25,0.3,0.17,0.23,49609408,-0.08,-25.81
2020-06-02,0.23,0.23,0.215,0.2205,10876746,-0.0095,-4.13
2020-06-03,0.225,0.228,0.215,0.2226,11846767,0.0021,0.95
2020-06-04,0.226,0.2295,0.2195,0.225,12353209,0.0024,1.08
2020-06-05,0.23,0.2644,0.225,0.2499,33973030,0.0249,11.07
