日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2017-10-18,10.7827,10.7827,10.5935,10.6692,104878,0.0192,0.18
2017-10-19,10.3098,10.8205,10.3098,10.8016,2126372,0.1323,1.24
2017-10-20,10.499,11.1043,10.499,11.1043,743674,0.3025,2.8
2017-10-23,11.0097,11.0097,10.7449,10.8962,469049,-0.2076,-1.87
2017-10-24,10.8205,11.18,10.8016,11.1232,633274,0.2266,2.08
2017-10-25,11.1421,11.1421,10.8016,10.953,538422,-0.1702,-1.53
2017-10-26,10.9341,11.0286,10.8016,10.9151,358561,-0.0383,-0.35
2017-10-27,10.8205,11.1611,10.8205,11.0476,744520,0.1321,1.21
2017-10-30,11.0097,11.0286,10.9151,10.9908,358148,-0.0563,-0.51
2017-10-31,10.953,11.1232,10.8584,10.9908,632337,0.0,0.0
2017-11-01,10.9719,10.9719,10.8205,10.8962,418270,-0.0945,-0.86
2017-11-02,10.953,10.953,10.6125,10.6503,662364,-0.2463,-2.26
2017-11-03,10.6881,10.8773,10.5935,10.8584,995619,0.2077,1.95
2017-11-06,10.7827,10.8773,10.7827,10.8584,626052,0.0,0.0
2017-11-07,10.7638,10.8773,10.5992,10.8584,670808,0.0,0.0
2017-11-08,10.6125,10.8773,10.6125,10.7449,439770,-0.114,-1.05
2017-11-09,10.5368,10.726,10.5179,10.6692,661217,-0.0752,-0.7
2017-11-10,10.6125,10.7052,10.3855,10.5179,543419,-0.1515,-1.42
2017-11-13,10.4233,10.4422,10.253,10.272,443565,-0.2461,-2.34
2017-11-14,10.1774,10.3987,10.1206,10.3476,659177,0.076,0.74
2017-11-15,10.2152,10.3476,10.1585,10.3287,538763,-0.0186,-0.18
2017-11-16,10.1017,10.4611,10.026,10.3476,418077,0.0186,0.18
2017-11-17,10.2152,10.499,10.2152,10.4611,354985,0.1138,1.1
2017-11-20,10.4422,10.499,10.253,10.3476,470898,-0.113,-1.08
2017-11-21,10.3098,10.3476,10.0828,10.253,820696,-0.0942,-0.91
2017-11-22,10.2341,10.4044,10.1963,10.3287,597730,0.0759,0.74
2017-11-24,10.2909,10.2909,10.0828,10.0828,352192,-0.2458,-2.38
2017-11-27,10.1017,10.1017,9.9031,9.9314,1858978,-0.1512,-1.5
2017-11-28,9.8369,9.9504,9.799,9.8369,1797559,-0.0943,-0.95
2017-11-29,9.6288,9.8747,9.5153,9.5153,3018054,-0.3217,-3.27
2017-11-30,9.4964,9.4964,8.9856,9.118,3679935,-0.3968,-4.17
2017-12-01,9.0234,9.2694,8.9856,9.2315,1478491,0.1131,1.24
2017-12-04,9.2694,9.2694,9.118,9.1748,1477672,-0.0563,-0.61
2017-12-05,9.1937,9.2031,8.9856,9.0991,2323869,-0.0752,-0.82
2017-12-06,9.1937,9.3639,9.0613,9.0991,1570466,0.0,0.0
2017-12-07,9.0802,9.0991,9.0045,9.0045,524808,-0.0946,-1.04
2017-12-08,9.1369,9.1748,9.0423,9.0613,2154563,0.0567,0.63
2017-12-11,9.0234,9.2031,8.9856,9.0423,1486466,-0.019,-0.21
2017-12-12,9.0045,9.1653,9.0045,9.0234,1423044,-0.019,-0.21
2017-12-13,9.0234,9.1369,9.0045,9.0802,1640670,0.0568,0.63
2017-12-14,9.051,9.4201,9.051,9.2064,885073,-0.1165,-1.25
2017-12-15,9.2064,9.2259,8.9928,8.9928,475096,-0.2136,-2.32
2017-12-18,9.0899,9.5172,9.0685,9.2259,1199820,0.2329,2.59
2017-12-19,9.3035,9.4783,9.2161,9.3035,1087957,0.0775,0.84
2017-12-20,9.4201,9.4783,9.2647,9.3812,891779,0.0781,0.84
2017-12-21,9.3812,9.6143,9.3812,9.556,1100481,0.1745,1.86
2017-12-22,9.5755,9.5949,9.3327,9.3715,316167,-0.1844,-1.93
2017-12-26,9.3618,10.0222,9.3618,9.8085,2317954,0.3881,4.12
2017-12-27,9.7308,9.7308,9.4104,9.5366,853579,-0.2717,-2.77
2017-12-28,9.4978,9.556,9.4201,9.5366,755445,0.0,0.0
2017-12-29,9.4978,9.6726,9.4783,9.4978,892551,-0.0391,-0.41
2018-01-02,9.4978,9.828,9.4978,9.6726,1585211,0.1748,1.84
2018-01-03,9.7114,9.828,9.4978,9.692,1775526,0.0193,0.2
2018-01-04,9.7308,9.828,9.556,9.692,1335937,0.0,0.0
2018-01-05,9.692,9.7114,9.5172,9.5366,555448,-0.1649,-1.7
