日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2020-02-07,14.3876,15.3263,13.8895,14.5025,1431044,3.0081,26.17
2020-02-10,14.3684,14.6079,13.9948,13.9948,256617,-0.5076,-3.5
2020-02-11,13.9757,14.56,13.9757,14.3493,276910,0.3541,2.53
2020-02-12,14.3109,14.4738,14.1577,14.4738,92654,0.1248,0.87
2020-02-13,14.4163,16.6674,14.3934,16.6674,187952,2.1941,15.16
2020-02-14,16.4662,16.8589,15.4892,16.7632,260802,0.095,0.57
2020-02-18,17.2229,17.2421,16.3321,16.5716,134986,-0.1911,-1.14
2020-02-19,16.4854,17.2565,16.1405,16.9164,111729,0.3447,2.08
2020-02-20,16.8302,17.6253,16.7632,17.2421,98405,0.3265,1.93
2020-02-21,17.1846,17.3187,16.7632,17.108,47201,-0.1345,-0.78
2020-02-24,16.9356,16.9356,15.5658,16.016,75476,-1.0915,-6.38
2020-02-25,15.9777,16.744,15.3934,15.4413,60803,-0.575,-3.59
2020-02-26,15.5179,16.084,14.6079,15.4125,122431,-0.0293,-0.19
2020-02-27,15.9011,16.2746,14.9815,15.3263,76069,-0.0863,-0.56
2020-02-28,15.0581,15.4604,14.378,15.3359,159631,0.0092,0.06
2020-03-02,15.3263,15.3263,14.3684,15.1347,111865,-0.2009,-1.31
2020-03-03,15.3934,15.3934,12.2228,13.0753,465856,-2.0599,-13.61
2020-03-04,13.5542,13.8847,12.7496,13.3147,183777,0.2393,1.83
2020-03-05,13.1998,13.1998,11.2648,12.1365,244977,-1.1784,-8.85
2020-03-06,12.0216,12.5005,10.5752,11.3511,213407,-0.7852,-6.47
2020-03-09,10.7763,11.3989,8.1422,9.2245,312328,-2.1259,-18.73
2020-03-10,10.3165,10.3309,7.6632,9.5981,281094,0.3736,4.05
2020-03-11,9.1958,9.9238,8.2283,8.7456,180614,-0.8523,-8.88
2020-03-12,8.19,9.5981,7.2034,7.3854,172588,-1.3599,-15.55
2020-03-13,7.3949,9.3969,6.9639,8.0655,138602,0.6802,9.21
2020-03-16,7.6632,7.6632,5.8911,6.2167,149339,-1.8486,-22.92
2020-03-17,6.1784,6.8873,5.3594,5.8623,117933,-0.3543,-5.7
2020-03-18,5.5366,5.7378,3.2664,3.8412,206969,-2.0214,-34.48
2020-03-19,3.822,5.1822,3.6208,4.7991,109799,0.958,24.94
2020-03-20,4.9811,6.8011,4.8853,4.9811,373109,0.1819,3.79
2020-03-23,5.2684,5.6995,4.3201,4.8086,99717,-0.1723,-3.46
2020-03-24,4.7703,7.5099,4.7703,6.3317,58031,1.5229,31.67
2020-03-25,6.6191,7.2513,5.8144,6.3221,46905,-0.0095,-0.15
2020-03-26,6.3221,6.8011,6.1045,6.7053,109759,0.3831,6.06
2020-03-27,6.7053,6.7053,5.8533,5.9006,28825,-0.8046,-12.0
2020-03-30,5.8815,6.0826,5.5079,6.0347,81470,0.1339,2.27
2020-03-31,5.9677,7.3279,5.8719,7.3279,41957,1.2932,21.43
2020-04-01,6.0922,6.1305,5.6612,5.9006,53537,-1.4275,-19.48
2020-04-02,5.8336,6.1784,5.6228,5.8144,64825,-0.0861,-1.46
2020-04-03,5.7474,5.7857,4.9715,5.6707,142379,-0.1436,-2.47
2020-04-06,5.5079,6.0826,5.3163,6.0635,71134,0.393,6.93
2020-04-07,6.0826,7.1459,5.7474,6.9735,88320,0.9101,15.01
2020-04-08,6.8011,7.1842,6.2263,7.098,93980,0.1248,1.79
2020-04-09,7.1172,7.1799,6.2359,6.4754,91399,-0.6225,-8.77
2020-04-13,6.6957,6.8633,6.3221,6.4849,191049,0.0097,0.15
2020-04-14,6.6861,8.1421,6.4658,6.9735,152577,0.4883,7.53
2020-04-15,6.5903,6.9851,6.2934,6.8011,24018,-0.1722,-2.47
2020-04-16,6.8011,7.6344,6.7819,7.1842,105343,0.3829,5.63
2020-04-17,7.2129,7.5865,6.3221,6.8202,73275,-0.3643,-5.07
2020-04-20,6.7053,7.2603,6.7053,7.2129,34454,0.3928,5.76
2020-04-21,7.2225,7.2225,6.5137,6.7723,25260,-0.4407,-6.11
2020-04-22,7.0214,7.0559,6.6957,6.7627,27816,-0.0095,-0.14
2020-04-23,6.9447,7.1459,6.5137,7.1076,34924,0.3449,5.1
2020-04-24,7.0405,7.6057,7.0357,7.6057,52361,0.4982,7.01
2020-04-27,7.6057,8.662,6.9447,8.4774,111603,0.8716,11.46
2020-04-28,9.3491,10.7093,8.7552,10.4698,84475,1.9922,23.5
