日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2000-03-01,1659.0164,2362.2951,1659.0164,2218.0328,1561280,0.0,0.0
2000-03-02,2200.0,2813.1148,2001.6393,2062.518,261290,-155.4818,-7.01
2000-03-03,2150.5902,2218.0328,1803.2787,2030.9607,161800,-31.5565,-1.53
2000-03-05,2001.6393,2008.4197,1803.2787,1893.4426,85040,-137.4944,-6.77
2000-03-06,1875.4098,2019.6721,1875.4098,1922.7639,89350,29.3479,1.55
2000-03-07,1929.5082,1947.541,1668.0328,1672.541,102910,-250.1409,-13.01
2000-03-08,1656.8525,1767.2131,1622.9508,1677.0492,81630,4.5158,0.27
2000-03-09,1726.8197,1821.3115,1699.5902,1733.4197,60960,56.3496,3.36
2000-03-12,1622.9508,1713.1148,1622.9508,1629.7311,80600,-103.6566,-5.98
2000-03-13,1672.7213,1794.2623,1388.5246,1415.5738,96680,-214.1451,-13.14
2000-03-14,1507.9016,1508.0098,1244.2623,1316.3934,85110,-99.2356,-7.01
2000-03-15,1334.4262,1347.9508,1054.918,1262.2951,136060,-54.104,-4.11
2000-03-16,1262.2951,1388.5246,1118.0328,1172.1311,80970,-90.1251,-7.14
2000-03-19,1167.623,1167.623,885.8787,892.623,161670,-279.5674,-23.85
2000-03-20,892.623,894.8951,721.3115,829.5082,188790,-63.108,-7.07
2000-03-21,901.6393,1203.6885,901.6393,1045.9016,315630,216.4135,26.09
2000-03-22,1084.1311,1190.1639,1077.459,1142.8459,118020,96.9542,9.27
2000-03-23,1147.2459,1172.1311,1000.8197,1124.8131,71140,-18.0574,-1.58
2000-03-26,1165.2787,1302.8689,1018.8525,1104.5082,186570,-20.3601,-1.81
2000-03-27,1221.9016,1223.9934,1063.9344,1072.9508,124000,-31.5899,-2.86
2000-03-28,1124.8852,1127.0492,906.1475,919.6721,90470,-153.3323,-14.29
2000-03-29,901.6393,906.1475,784.4262,795.7148,182920,-123.9741,-13.48
2000-03-30,831.6721,888.1148,748.3607,761.8852,162070,-33.8174,-4.25
2000-04-03,766.3934,788.9344,563.5246,595.082,101460,-166.7692,-21.89
2000-04-04,644.8525,655.9607,396.7213,556.7803,219420,-38.3248,-6.44
2000-04-05,509.6066,513.9344,446.3115,471.1246,127700,-85.6286,-15.38
2000-04-06,540.9836,664.977,486.8852,613.1148,307620,141.9954,30.14
2000-04-07,685.2459,685.2459,624.4033,653.6885,112830,40.5873,6.62
2000-04-10,665.0492,721.3115,540.9836,559.0164,84860,-94.651,-14.48
2000-04-11,503.8361,545.4918,464.3443,502.682,107730,-56.3505,-10.08
2000-04-12,535.2131,536.4754,432.7869,459.8361,85980,-42.8269,-8.52
2000-04-13,459.8361,462.1082,383.1967,392.2131,104690,-67.6451,-14.71
2000-04-14,362.8197,369.6721,289.6426,324.5902,111810,-67.6164,-17.24
2000-04-17,324.5902,360.6557,275.0,356.1475,64090,31.5508,9.72
2000-04-18,356.3279,513.9344,347.1311,486.8852,155960,130.7407,36.71
2000-04-19,527.6393,531.9672,446.3115,455.3279,65780,-31.5497,-6.48
2000-04-20,473.541,504.918,428.2787,437.2951,53490,-18.0309,-3.96
2000-04-24,396.7213,428.2787,338.1148,365.1639,44580,-72.1058,-16.49
2000-04-25,378.6885,396.7213,311.0656,327.9803,124360,-37.1726,-10.18
2000-04-26,330.3607,333.6066,284.0164,290.7967,76800,-37.1942,-11.34
2000-04-27,285.2787,338.1148,277.2721,320.082,63570,29.2834,10.07
2000-04-28,338.2951,349.4033,306.5574,313.3377,44810,-6.7539,-2.11
2000-05-01,322.4262,405.7377,317.8459,383.1967,80240,69.8715,22.3
2000-05-02,412.5902,459.8361,369.6721,432.7869,93540,49.5862,12.94
2000-05-03,403.5738,414.7541,378.6885,385.4689,24940,-47.3018,-10.93
2000-05-04,387.7049,428.2787,380.9607,387.7049,21510,2.2357,0.58
2000-05-05,360.6557,387.7049,342.623,349.4033,30240,-38.3056,-9.88
2000-05-08,350.5213,350.5213,322.3541,324.5902,26920,-24.8072,-7.1
2000-05-09,329.2787,360.6557,299.8131,333.6066,38220,9.0234,2.78
2000-05-10,335.7705,338.1148,306.5574,317.8459,24620,-15.7455,-4.72
2000-05-11,324.5902,333.6066,307.6754,322.3541,23090,4.5133,1.42
2000-05-12,329.2787,340.3869,288.5246,299.8131,28820,-22.5319,-6.99
2000-05-15,299.7049,302.0492,271.6098,288.5246,33110,-11.3035,-3.77
2000-05-16,293.2131,317.8459,290.7967,297.541,52770,9.0304,3.13
2000-05-17,295.377,308.8295,278.3902,293.0328,36660,-4.5228,-1.52
2000-05-18,290.6885,295.3049,270.4918,270.4918,35160,-22.5337,-7.69
2000-05-19,278.4262,279.5082,218.6656,234.4262,105170,-36.0552,-13.33
2000-05-22,243.4426,243.4426,182.6,196.1246,150380,-38.306,-16.34
2000-05-23,209.541,225.4098,200.6328,207.377,63280,11.2573,5.74
2000-05-24,208.459,216.3934,171.3115,187.1082,176790,-20.2599,-9.77
2000-05-25,191.5082,196.1246,178.0918,184.8361,223050,-2.2639,-1.21
2000-05-26,193.8525,193.8525,148.7705,180.3279,51010,-4.51,-2.44
