日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1997-01-02,34.9161,35.2269,33.7764,34.8125,6038100,0.2248,0.65
1997-01-03,35.4341,36.9883,35.3305,36.9883,5260600,2.1627,6.21
1997-01-06,37.2991,37.4027,36.975,37.1955,3941000,0.2218,0.6
1997-01-07,37.0919,37.1955,36.3666,37.0919,3608300,-0.149,-0.4
1997-01-08,37.1433,37.4027,35.7963,35.9522,4624400,-1.1196,-3.02
1997-01-09,36.3666,36.4702,34.5017,34.6053,9062400,-1.3408,-3.73
1997-01-10,34.5017,34.7089,33.5692,33.88,13334900,-0.748,-2.16
1997-01-13,34.1908,34.2944,33.6728,33.9836,5964900,0.1489,0.44
1997-01-14,34.398,36.263,34.2944,35.8486,7244800,1.8624,5.48
1997-01-15,36.1594,36.1594,34.1908,34.1908,5845900,-1.7164,-4.78
1997-01-16,34.7089,35.4341,34.035,34.1908,6822500,0.0,0.0
1997-01-17,34.1908,35.1233,33.9836,34.398,6084200,0.2255,0.66
1997-01-20,34.7089,35.5377,34.5017,35.3305,4307000,0.969,2.82
1997-01-21,35.5377,36.0558,34.398,34.6053,7117600,-0.7459,-2.11
1997-01-22,34.6053,35.4341,34.5017,35.1233,6380400,0.5225,1.51
1997-01-23,35.5377,35.5377,33.4656,33.5692,9451600,-1.5671,-4.46
1997-01-24,33.6728,33.6728,32.4295,32.8439,11875600,-0.7457,-2.22
1997-01-27,32.9475,33.1547,31.0826,31.6006,11694400,-1.1937,-3.64
1997-01-28,32.8439,32.8439,31.1862,31.1862,15171500,-0.4492,-1.42
1997-01-29,31.6006,31.9114,31.0826,31.2376,9524200,0.0748,0.24
1997-01-30,31.6006,31.7042,30.6681,31.0826,10748700,-0.1499,-0.48
1997-01-31,31.3934,32.9475,31.0826,32.2223,9502100,1.1197,3.6
1997-02-03,32.6367,33.362,32.4295,32.6367,6631700,0.4474,1.39
1997-02-04,32.9475,33.362,32.5331,33.0511,5666600,0.3725,1.14
1997-02-05,33.5692,33.5692,31.1862,32.015,7983900,-1.0447,-3.16
1997-02-06,32.2223,33.2583,32.1187,32.7403,7850300,0.7455,2.33
1997-02-07,33.2583,33.4656,32.5331,33.1547,3785700,0.4481,1.37
1997-02-10,33.362,33.88,33.0511,33.2583,5398200,0.073,0.22
1997-02-11,33.2583,33.4656,32.2223,32.4295,7587900,-0.8213,-2.47
1997-02-12,33.1547,34.398,33.0511,34.3458,8885700,1.938,5.98
1997-02-13,34.7089,35.0197,33.88,34.2422,5508500,-0.1479,-0.43
1997-02-14,34.2944,34.7089,33.7764,33.88,4110200,-0.3734,-1.09
1997-02-18,34.0872,34.0872,33.0511,33.7764,4083200,-0.0745,-0.22
1997-02-19,33.7764,34.7089,33.362,34.2944,4028900,0.5234,1.55
1997-02-20,34.5017,35.3305,34.4494,34.6053,6558500,0.2985,0.87
1997-02-21,34.7089,34.8125,33.4656,33.88,5976500,-0.748,-2.16
1997-02-24,33.5692,33.88,33.0511,33.4133,3985900,-0.0737,-0.22
1997-02-25,33.6728,34.0872,33.2061,33.88,3689100,0.0,0.0
1997-02-26,33.88,34.398,33.2583,33.7764,3000100,0.0,0.0
1997-02-27,33.7764,33.7764,33.0511,33.1547,3639800,-0.5974,-1.77
1997-02-28,32.9475,33.2583,32.2223,32.5331,5085700,-0.6707,-2.02
1997-03-03,32.5331,32.7403,31.6006,32.6367,6144200,0.1494,0.46
1997-03-04,32.8439,33.1547,32.1187,32.7403,7600600,0.0751,0.23
1997-03-05,32.9475,33.5692,32.2223,32.9475,4292000,0.2225,0.68
1997-03-06,32.9475,32.9475,29.5284,30.3051,18979000,-2.6854,-8.14
1997-03-07,30.7717,31.1862,29.2176,29.6834,13266600,-0.5965,-1.97
1997-03-10,29.9429,30.4609,28.8032,29.8393,9622200,0.1485,0.5
1997-03-11,30.2537,30.3573,29.114,29.6321,6237300,-0.2239,-0.75
1997-03-12,29.5284,29.6321,27.8707,28.2851,8623400,-1.3421,-4.53
1997-03-13,28.3887,30.6681,28.2851,29.9429,13361000,1.6415,5.8
1997-03-14,32.8439,34.0872,32.7403,33.9836,17315100,4.1,13.72
1997-03-17,33.5692,34.9161,33.0511,34.8125,9407500,0.8192,2.41
1997-03-18,34.9161,35.2269,33.0511,33.5692,7317400,-1.2681,-3.64
1997-03-19,32.9475,33.1547,31.7042,32.6367,8008500,-0.8953,-2.67
1997-03-20,32.5331,33.5692,32.2223,33.0511,5912400,0.3725,1.14
1997-03-21,33.362,33.5692,32.9475,33.0511,5185100,0.0,0.0
1997-03-24,32.7403,33.1547,32.2223,33.0511,4849800,0.0,0.0
1997-03-25,33.2583,33.5692,32.015,32.3259,5859000,-0.7475,-2.26
1997-03-26,32.5331,33.7764,32.3259,33.5692,4925100,1.2694,3.93
1997-03-27,33.6728,33.7764,32.015,32.6367,5409200,-0.8953,-2.67
1997-03-31,32.4295,32.6367,31.497,31.9628,4469300,-0.669,-2.05
1997-04-01,30.2537,32.015,30.0465,30.6681,7891000,-1.3445,-4.2
1997-04-02,30.7717,31.1862,30.0465,30.4609,4748900,-0.224,-0.73
1997-04-03,30.4609,32.1187,29.9429,32.015,7912200,1.568,5.15
1997-04-04,31.497,32.9475,31.3934,32.2223,6000100,0.224,0.7
1997-04-07,32.7403,33.0511,32.2223,32.9475,4191000,0.7439,2.31
1997-04-08,32.7403,32.9475,32.1187,32.7403,3054100,-0.2242,-0.68
1997-04-09,32.8439,33.1547,31.7042,31.8078,4437900,-0.2921,-0.91
1997-04-10,31.8078,31.9114,30.8754,31.0826,3783200,-1.3424,-4.14
1997-04-11,30.5645,30.8754,30.2537,30.2537,4732200,-0.8204,-2.64
1997-04-14,30.3573,32.3259,29.8393,32.2223,4659300,1.9382,6.4
1997-04-15,32.5331,32.8439,29.9429,30.9267,7516700,-1.2685,-3.94
1997-04-16,30.6681,31.1862,30.2537,31.0826,3481400,0.1485,0.48
1997-04-17,31.2898,32.3259,30.5645,30.7195,4121900,-0.3731,-1.2
1997-04-18,30.979,31.2898,29.9429,30.7717,5985100,0.0737,0.24
1997-04-21,30.4609,30.7717,29.7357,29.9429,3370300,-0.8975,-2.91
1997-04-22,30.1501,30.1501,28.9068,29.2176,5361100,-0.6695,-2.24
1997-04-23,29.4248,31.497,29.114,31.2898,7771200,2.0852,7.14
1997-04-24,31.7042,33.0511,31.6006,32.7403,7413800,1.4159,4.52
1997-04-25,32.4295,32.6367,31.3934,31.3934,3621200,-1.3422,-4.1
1997-04-28,31.497,32.2223,30.4609,31.497,3390400,0.0754,0.24
1997-04-29,32.3259,33.0511,31.497,31.9114,6123900,0.4468,1.42
1997-04-30,31.6006,33.1547,31.497,32.9475,8905200,1.0433,3.27
1997-05-01,33.0511,34.0872,32.8439,33.517,9000400,0.5213,1.58
1997-05-02,33.4656,35.3305,33.362,35.2269,7319500,1.7158,5.12
1997-05-05,35.5377,37.4027,35.4341,37.0919,13810100,1.8669,5.3
