日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2009-01-15,4.636,4.636,4.2145,4.2145,555,-0.4214,-9.09
2009-01-16,4.2145,4.2145,4.2145,4.2145,0,0.0,0.0
2009-01-20,4.2145,4.2145,4.0122,4.0122,1300,-0.2023,-4.8
2009-01-21,4.0131,4.2145,4.0038,4.2145,2205,0.2022,5.04
2009-01-22,4.2145,4.2145,4.2145,4.2145,0,0.0,0.0
2009-01-23,4.2145,4.2145,4.2145,4.2145,0,0.0,0.0
2009-01-26,4.4,4.4,4.2145,4.2145,3600,0.0,0.0
2009-01-27,4.4,4.9049,4.4,4.9049,1150,0.6911,16.4
2009-01-28,4.695,5.0574,4.695,5.0574,1603,0.1516,3.09
2009-01-29,5.0574,5.0574,5.0574,5.0574,0,0.0,0.0
2009-01-30,5.0574,5.0574,5.0574,5.0574,0,0.0,0.0
2009-02-02,3.7172,4.8383,3.7172,4.8383,2500,-0.219,-4.33
2009-02-03,4.8383,4.8383,4.8383,4.8383,0,0.0,0.0
2009-02-04,4.2331,4.5938,4.2331,4.5938,1200,-0.2443,-5.05
2009-02-05,4.1808,4.1808,4.1808,4.1808,100,-0.413,-8.99
2009-02-06,4.1808,4.1968,3.7088,4.0038,9907,-0.1768,-4.23
2009-02-09,4.2988,4.2988,4.2145,4.2145,1700,0.2106,5.26
2009-02-10,4.0038,4.2988,4.0038,4.2988,2000,0.0843,2.0
2009-02-11,4.1892,4.2145,4.1892,4.2145,2000,-0.0843,-1.96
2009-02-12,4.2145,4.2145,4.2145,4.2145,0,0.0,0.0
2009-02-13,4.2357,4.2357,4.2357,4.2357,230,0.0,0.0
2009-02-17,4.2272,4.2357,4.0239,4.2272,2800,-0.0085,-0.2
2009-02-18,4.0663,4.0663,3.7189,3.7274,13406,-0.4996,-11.82
2009-02-19,4.1595,4.184,4.1595,4.184,200,0.4573,12.27
2009-02-20,4.2357,4.2357,4.2357,4.2357,8600,0.0506,1.21
2009-02-23,4.2357,4.2357,4.2357,4.2357,0,0.0,0.0
2009-02-24,4.2357,4.2357,4.2357,4.2357,0,0.0,0.0
2009-02-25,3.7782,4.2357,3.7782,4.2357,1100,0.0,0.0
2009-02-26,3.7274,3.7359,3.6004,3.6004,903,-0.6354,-15.0
2009-02-27,3.8536,3.8545,3.8503,3.8545,1000,0.2542,7.06
2009-03-02,3.6004,4.0375,3.6004,4.0375,1500,0.1864,4.84
2009-03-03,4.0239,4.0239,3.6004,3.6004,300,-0.4405,-10.9
2009-03-04,4.0197,4.0239,3.6004,3.6004,4921,0.0,0.0
2009-03-05,3.8121,3.8121,3.6004,3.6004,5990,0.0,0.0
2009-03-06,3.6004,3.6004,3.6004,3.6004,1320,0.0,0.0
2009-03-09,3.6004,3.6004,3.6004,3.6004,200,0.0,0.0
2009-03-10,3.7274,3.7274,3.7274,3.7274,965,0.1271,3.53
2009-03-11,3.397,3.397,3.397,3.397,200,-0.3302,-8.86
2009-03-12,3.397,3.397,3.397,3.397,0,0.0,0.0
2009-03-13,3.7274,3.7274,3.7274,3.7274,500,0.3305,9.73
2009-03-16,3.6004,3.6004,3.6004,3.6004,200,-0.1271,-3.41
2009-03-17,3.6004,3.6004,3.6004,3.6004,200,0.0,0.0
