日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-09-27,12.0,12.0,9.7,9.8177,346002,0.0,0.0
2021-09-28,9.81,9.84,9.81,9.8286,1032,0.0109,0.111
2021-09-29,9.8511,9.8511,9.8511,9.8511,115,0.0225,0.2289
2021-09-30,9.88,9.88,9.82,9.82,24525,-0.0311,-0.3157
2021-10-01,9.82,9.82,9.82,9.82,1174,0.0,0.0
2021-10-04,10.76,10.76,9.8,9.81,69226,-0.01,-0.1018
2021-10-05,9.8,9.81,9.8,9.81,202128,0.0,0.0
2021-10-06,9.83,9.83,9.82,9.82,3501,0.01,0.1019
2021-10-07,9.83,9.83,9.82,9.82,25302,0.0,0.0
2021-10-08,9.82,9.82,9.82,9.82,3142,0.0,0.0
2021-10-11,9.82,9.82,9.82,9.82,15,0.0,0.0
2021-10-12,9.83,9.83,9.82,9.83,30207,0.01,0.1018
2021-10-13,9.83,9.83,9.83,9.83,287,0.0,0.0
2021-10-15,9.835,9.86,9.835,9.86,60198,0.03,0.3052
2021-10-18,9.86,9.86,9.86,9.86,2,0.0,0.0
2021-10-19,10.12,10.12,10.0,10.0,210358,0.14,1.42
2021-10-20,9.88,9.88,9.83,9.83,1246,-0.17,-1.7
2021-10-22,10.0,10.0,9.94,9.95,6457,0.12,1.2208
2021-10-25,10.0,10.0,9.92,9.92,576,-0.03,-0.3015
2021-10-26,9.92,9.92,9.92,9.92,101,0.0,0.0
2021-10-27,9.92,9.92,9.92,9.92,21,0.0,0.0
2021-10-29,9.9,9.9,9.9,9.9,295611,-0.02,-0.2016
2021-11-03,9.9,9.9,9.9,9.9,100,0.0,0.0
2021-11-05,9.89,9.89,9.89,9.89,2046,-0.01,-0.101
2021-11-09,9.89,9.89,9.89,9.89,2000,0.0,0.0
2021-11-10,9.86,9.86,9.845,9.86,260202,-0.03,-0.3
2021-11-12,9.86,9.86,9.86,9.86,4,0.0,0.0
2021-11-15,9.89,9.89,9.89,9.89,4000,0.03,0.3043
2021-11-16,9.89,9.8914,9.89,9.8914,7100,0.0014,0.0142
2021-11-17,9.89,9.89,9.89,9.89,100,-0.0014,-0.0142
2021-11-18,9.84,9.84,9.84,9.84,104,-0.05,-0.5056
2021-11-19,9.84,9.89,9.84,9.89,2400,0.05,0.5081
2021-11-22,9.89,9.92,9.89,9.92,2341,0.03,0.3033
2021-11-30,9.85,9.85,9.85,9.85,230,-0.07,-0.7056
2021-12-07,9.92,9.92,9.92,9.92,313,0.07,0.7107
2021-12-09,9.92,9.92,9.92,9.92,2031,0.0,0.0
2021-12-10,9.92,9.92,9.92,9.92,10125,0.0,0.0
2021-12-13,9.92,9.92,9.92,9.92,115,0.0,0.0
2021-12-14,9.91,9.91,9.91,9.91,200010,-0.01,-0.1008
2021-12-15,9.91,9.91,9.91,9.91,162,0.0,0.0
2021-12-16,9.92,9.92,9.92,9.92,200,0.01,0.1009
2021-12-17,9.92,9.92,9.92,9.92,200,0.0,0.0
2021-12-20,9.85,9.92,9.85,9.92,1450,0.0,0.0
2021-12-21,9.92,9.92,9.92,9.92,300,0.0,0.0
2021-12-22,9.9,9.9,9.9,9.9,1938,-0.02,-0.2016
2021-12-23,9.92,9.92,9.92,9.92,655,0.02,0.202
2021-12-27,9.92,9.92,9.92,9.92,65,0.0,0.0
2021-12-28,9.92,9.92,9.92,9.92,221,0.0,0.0
2021-12-29,9.92,9.92,9.92,9.92,15,0.0,0.0
2021-12-30,9.85,9.85,9.85,9.85,220,-0.07,-0.7056
2021-12-31,9.85,9.85,9.85,9.85,10,0.0,0.0
2022-01-04,9.89,9.89,9.89,9.89,3273,0.04,0.4061
2022-01-05,9.89,9.89,9.89,9.89,438,0.0,0.0
2022-01-06,9.9,9.9,9.89,9.89,3824,0.0,0.0
2022-01-07,9.89,9.89,9.89,9.89,1,0.0,0.0
2022-01-12,9.89,9.89,9.89,9.89,10,0.0,0.0
