日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2012-07-20,18.3833,20.69,17.7,17.71,7016057,0.0,0.0
2012-07-23,17.5333,18.0,17.0333,17.17,788384,-0.5402,-3.05
2012-07-24,17.3333,18.6667,17.1733,18.5,716703,1.3306,7.75
2012-07-25,18.8333,19.6667,18.4333,19.65,599608,1.1507,6.22
2012-07-26,19.9267,20.6167,19.3603,19.96,427801,0.3105,1.58
2012-07-27,20.2933,20.2933,19.0,19.0,153352,-0.9601,-4.81
2012-07-30,18.9533,18.9533,17.9733,18.3333,276393,-0.6669,-3.51
2012-07-31,18.3333,19.0467,17.4033,19.0467,285401,0.7132,3.89
2012-08-01,19.5733,19.5733,18.38,18.7267,110809,-0.32,-1.68
2012-08-02,18.56,20.0,17.7567,18.3667,165971,-0.3595,-1.92
2012-08-03,18.8833,18.965,18.0833,18.2633,290843,-0.1029,-0.56
2012-08-06,18.5667,18.6407,17.8933,18.26,156224,-0.0037,-0.02
2012-08-07,18.3333,19.1467,18.1733,18.9333,365732,0.6738,3.69
2012-08-08,18.7333,20.3333,18.6247,20.31,503938,1.3765,7.27
2012-08-09,20.3333,20.82,19.9533,20.4433,293130,0.134,0.66
2012-08-10,20.3333,21.3233,20.1633,20.44,285027,-0.0041,-0.02
2012-08-13,20.3667,21.0267,20.0,20.9067,221997,0.466,2.28
2012-08-14,21.3767,21.4533,19.7767,19.9333,473650,-0.9743,-4.66
2012-08-15,19.8667,20.9667,19.2333,20.91,253736,0.9767,4.9
2012-08-16,21.1667,22.3033,20.6233,22.1667,371863,1.2567,6.01
2012-08-17,22.3667,22.8333,21.6133,22.43,384557,0.2638,1.19
2012-08-20,22.26,22.3833,21.6567,21.8233,269987,-0.6056,-2.7
2012-08-21,21.8267,22.1433,21.0933,21.44,247566,-0.3841,-1.76
2012-08-22,21.6867,21.7233,21.0397,21.0833,124652,-0.3559,-1.66
2012-08-23,21.0667,21.6257,20.8333,21.38,215203,0.2973,1.41
2012-08-24,21.15,21.9233,21.0833,21.59,202875,0.2095,0.98
2012-08-27,21.6833,21.945,20.8733,21.23,176942,-0.3606,-1.67
2012-08-28,21.2333,21.47,20.97,21.3,104152,0.0701,0.33
