日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2022-02-17,28.361,29.2631,27.967,28.2073,12100480,-0.2211,-0.7776
2022-02-18,27.8709,28.486,26.5446,27.275,17019971,-0.9308,-3.3
2022-02-22,27.0252,28.0054,26.6696,26.7657,13261099,-0.5094,-1.8675
2022-02-23,26.9771,27.8036,26.7176,27.2943,14566853,0.5286,1.9749
2022-02-24,26.2851,27.9382,26.189,27.9189,13670619,0.625,2.29
2022-02-25,27.967,28.5244,27.275,28.4091,9130017,0.4914,1.76
2022-02-28,27.6979,29.6921,27.6979,29.4182,23784077,1.0085,3.55
2022-03-01,29.4086,31.7536,29.2356,31.004,21537673,1.5856,5.39
2022-03-02,31.2731,34.3485,31.2346,33.8679,30575520,2.8647,9.24
2022-03-03,33.397,34.1418,33.1087,34.0602,15983441,0.193,0.57
2022-03-04,33.5796,34.2043,32.3591,32.7435,17462203,-1.3182,-3.87
2022-03-07,32.4167,32.8348,31.8737,32.2149,14670047,-0.5271,-1.61
2022-03-08,32.1909,34.0265,32.0996,32.436,12438473,0.2223,0.69
2022-03-09,33.5556,33.7622,32.274,32.4263,8303804,-0.0097,-0.03
2022-03-10,32.1476,32.6186,31.2779,31.9362,10428948,-0.4896,-1.51
2022-03-11,32.263,32.3543,31.225,31.35,6783881,-0.5877,-1.84
2022-03-14,31.9696,35.3098,31.805,34.6321,25229217,3.2823,10.47
2022-03-15,34.3707,35.0049,33.3638,34.0899,13143106,-0.5437,-1.57
2022-03-16,34.1674,35.1356,34.1287,35.0968,10120517,1.0057,2.95
2022-03-17,34.7192,35.7649,34.545,35.6971,9887780,0.6002,1.71
2022-03-18,35.7455,36.0699,34.8451,35.9101,26711399,0.2142,0.6
2022-03-21,35.8908,36.5394,34.6999,35.2421,9914019,-0.6679,-1.86
2022-03-22,35.4357,37.2656,35.2518,36.2393,15019444,0.9972,2.8297
2022-03-23,36.0457,37.2365,35.9779,36.4233,8950088,0.1848,0.51
2022-03-24,36.5201,36.762,36.1522,36.6847,5347599,0.2622,0.72
2022-03-25,36.5588,37.4641,36.4717,37.2559,7591806,0.5723,1.56
2022-03-28,37.1978,37.9627,35.8133,36.4039,9030125,-0.8532,-2.29
2022-03-29,36.7234,37.0429,36.3845,36.9654,6210225,0.5606,1.54
2022-03-30,36.6847,37.3237,36.6363,36.888,4589461,-0.0776,-0.21
2022-03-31,36.5685,36.9751,36.3652,36.6072,7264213,-0.2803,-0.76
2022-04-01,36.7137,36.9461,35.639,36.2103,7748354,-0.3953,-1.08
2022-04-04,36.2006,36.6169,35.1259,36.5201,8487183,0.3114,0.86
2022-04-05,36.462,36.8299,35.5422,35.6681,6769968,-0.8509,-2.33
2022-04-06,35.213,35.5035,34.2642,34.7096,10361563,-0.9595,-2.69
2022-04-07,34.5159,34.7192,33.2903,34.1867,10673492,-0.5241,-1.51
2022-04-08,33.9737,34.9032,33.8963,34.7967,8966394,0.6085,1.78
