日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-05-24,0.73,0.73,0.73,0.73,496364,0.0,0.0
1995-06-20,0.72,0.72,0.72,0.72,93061,0.0,0.0
1995-07-05,0.78,0.78,0.78,0.78,82721,0.01,1.3
1995-07-28,0.81,0.81,0.81,0.81,48260,0.01,1.25
1995-08-08,0.74,0.74,0.74,0.74,3450,-0.01,-1.33
1995-08-17,0.76,0.76,0.76,0.76,210271,0.01,1.33
1995-08-18,0.76,0.76,0.76,0.76,89621,0.0,0.0
1995-08-23,0.78,0.78,0.78,0.78,93061,0.01,1.3
1995-10-13,0.75,0.75,0.75,0.75,13790,0.0,0.0
1995-10-25,0.76,0.76,0.76,0.76,68940,-0.02,-2.56
1995-11-10,0.81,0.81,0.81,0.81,13790,-0.02,-2.41
1995-11-14,0.82,0.82,0.82,0.82,68940,0.0,0.0
1996-07-23,0.17,0.17,0.17,0.17,0,0.0,0.0
1997-01-02,7.375,7.625,7.25,7.25,42600,0.0,0.0
1997-01-03,7.25,7.5,6.625,6.75,169300,-0.01,-4.76
1997-01-06,6.625,7.0,6.625,7.0,11500,0.0,0.0
1997-01-07,7.0,7.0,6.75,7.0,21300,0.0,0.0
1997-01-08,7.0,7.375,6.875,7.125,74300,0.01,5.0
1997-01-09,6.875,7.25,6.75,7.25,49900,0.0,0.0
1997-01-10,7.25,7.375,6.875,7.375,31800,0.0,0.0
1997-01-13,7.0,7.75,7.0,7.625,33300,0.01,4.76
1997-01-14,7.75,8.0,7.5,7.812,62600,0.01,4.55
1997-01-15,7.75,8.125,7.75,8.125,70400,0.01,4.35
1997-01-16,8.125,8.125,7.875,8.109,25500,0.0,0.0
1997-01-17,8.0,8.125,7.625,7.625,44600,-0.02,-8.33
1997-01-20,7.625,7.75,7.125,7.25,75100,-0.01,-4.55
1997-01-21,7.5,7.5,7.25,7.25,194200,0.0,0.0
1997-01-22,8.0,8.125,7.5,7.5,427700,0.01,4.76
1997-01-23,7.875,8.125,7.875,8.0,417400,0.01,4.55
1997-01-24,7.875,8.125,7.5,7.5,41500,-0.01,-4.35
1997-01-27,7.25,7.375,7.25,7.375,2500,-0.01,-4.55
1997-01-28,7.75,7.75,7.25,7.25,9700,0.0,0.0
1997-01-29,7.25,7.25,6.562,6.625,86900,-0.02,-9.52
1997-01-30,6.75,6.875,6.5,6.75,22600,0.01,5.26
1997-01-31,6.875,7.0,5.937,6.75,682900,0.0,0.0
1997-02-03,6.75,7.0,6.625,6.875,18700,0.0,0.0
1997-02-04,6.875,7.375,6.875,7.375,25700,0.01,5.0
1997-02-05,6.875,7.375,6.75,7.0,22700,-0.01,-4.76
1997-02-06,6.875,7.125,6.5,6.875,18500,0.0,0.0
1997-02-07,6.5,6.875,6.5,6.625,12900,-0.01,-5.0
1997-02-10,6.875,6.875,6.437,6.75,23800,0.01,5.26
1997-02-11,6.75,6.75,5.625,6.5,343800,-0.01,-5.0
1997-02-12,6.375,6.875,6.25,6.375,109400,-0.01,-5.26
1997-02-13,6.437,6.75,6.25,6.375,11200,0.0,0.0
1997-02-14,6.25,6.75,6.25,6.75,36800,0.02,11.11
1997-02-18,6.25,7.25,6.25,7.062,69000,0.01,5.0
1997-02-19,7.0,7.0,6.625,6.875,40100,-0.01,-4.76
1997-02-20,6.625,6.875,6.625,6.625,12400,-0.01,-5.0
1997-02-21,6.625,6.75,6.375,6.5,55600,0.0,0.0
1997-02-24,6.437,6.625,6.375,6.375,24800,,
1997-02-25,6.625,6.625,6.375,6.5,47300,,
1997-02-26,6.625,6.625,6.25,6.375,91200,-0.01,-5.26
1997-02-27,6.125,6.25,5.625,5.75,53700,-0.01,-5.56
1997-02-28,5.75,5.75,5.625,5.75,26700,0.0,0.0
1997-03-03,5.625,5.75,5.625,5.687,11300,0.0,0.0
1997-03-04,5.875,6.0,5.625,5.75,46000,0.0,0.0
1997-03-05,5.625,5.875,5.625,5.75,41600,0.0,0.0
1997-03-06,5.875,5.875,5.625,5.875,14700,0.0,0.0
1997-03-07,5.687,5.875,5.625,5.875,38700,0.0,0.0
1997-03-10,5.687,5.875,5.625,5.625,67300,-0.01,-5.88
1997-03-11,5.75,5.875,5.625,5.625,4800,0.0,0.0
1997-03-12,5.625,5.875,5.5,5.5,90800,0.0,0.0
1997-03-13,5.625,5.75,5.125,5.5,68000,0.0,0.0
1997-03-14,5.0,5.5,4.875,5.0,473900,-0.01,-6.25
1997-03-17,5.125,5.125,5.0,5.0,13300,0.0,0.0
1997-03-18,5.0,5.125,4.875,5.0,59300,0.0,0.0
1997-03-19,4.875,5.75,4.75,5.25,454300,0.0,0.0
1997-03-20,5.25,5.625,5.25,5.5,24100,0.01,6.67
1997-03-21,5.5,5.5,5.25,5.25,1100,-0.01,-6.25
1997-03-24,5.25,5.25,4.75,5.0,37100,0.0,0.0
1997-03-25,5.062,5.25,4.875,5.25,130200,0.0,0.0
1997-03-26,5.25,5.25,4.875,5.25,14000,0.0,0.0
1997-03-27,5.375,5.375,5.375,5.375,500,0.01,6.67
1997-03-31,5.25,5.375,5.187,5.375,5400,0.0,0.0
1997-04-01,5.375,5.375,5.0,5.0,11100,-0.01,-6.25
1997-04-02,5.0,5.375,5.0,5.25,25500,0.0,0.0
1997-04-03,5.25,5.375,5.0,5.25,25000,0.0,0.0
1997-04-04,5.125,5.25,5.125,5.25,7500,0.0,0.0
1997-04-07,5.0,5.25,5.0,5.0,25400,0.0,0.0
1997-04-08,5.25,5.5,5.0,5.5,23700,0.01,6.67
1997-04-09,5.375,5.75,5.25,5.5,318800,0.0,0.0
1997-04-10,5.75,6.125,5.5,5.75,46400,0.01,6.25
1997-04-11,5.625,5.625,5.5,5.5,10500,-0.01,-5.88
1997-04-14,5.5,5.5,5.25,5.5,27200,0.0,0.0
1997-04-15,5.5,5.5,5.375,5.375,32200,0.0,0.0
1997-04-16,5.375,5.5,5.25,5.5,33300,0.0,0.0
1997-04-17,5.375,5.375,5.25,5.25,8100,-0.01,-6.25
1997-04-18,5.375,5.5,5.25,5.5,21100,0.01,6.67
1997-04-21,5.25,5.75,5.25,5.75,47700,0.0,0.0
1997-04-22,5.625,5.875,5.281,5.453,94900,0.0,0.0
1997-04-23,5.5,5.5,5.25,5.25,36600,-0.01,-6.25
1997-04-24,5.25,5.375,5.25,5.25,51600,0.0,0.0
1997-04-25,5.25,5.375,5.25,5.375,9800,0.01,6.67
1997-04-28,5.25,5.375,5.25,5.25,21800,-0.01,-6.25
1997-04-29,5.25,5.5,5.25,5.25,13700,0.0,0.0
1997-04-30,5.625,5.625,5.125,5.25,124200,0.0,0.0
1997-05-01,5.375,5.625,5.25,5.625,49000,0.01,6.67
1997-05-02,5.75,5.75,5.375,5.5,66300,0.0,0.0
1997-05-05,5.25,6.375,5.25,6.125,107500,0.02,12.5
1997-05-06,6.125,6.25,5.875,6.0,37500,-0.01,-5.56
1997-05-07,6.0,6.25,6.0,6.0,8600,0.0,0.0
1997-05-08,6.25,6.875,6.0,6.625,111600,0.02,11.76
1997-05-09,6.625,6.625,6.375,6.5,28300,0.0,0.0
1997-05-12,6.625,6.625,6.125,6.5,84500,0.0,0.0
1997-05-13,6.25,6.5,6.25,6.25,21700,-0.01,-5.26
1997-05-14,6.625,6.625,6.25,6.5,32100,0.01,5.56
1997-05-15,6.625,6.625,6.25,6.375,29000,-0.01,-5.26
1997-05-16,6.25,6.25,6.25,6.25,800,0.0,0.0
1997-05-19,6.25,6.375,6.0,6.0,55500,-0.01,-5.56
1997-05-20,6.125,6.125,5.75,5.875,19100,0.0,0.0
1997-05-21,5.875,6.0,5.5,5.5,24100,-0.01,-5.88
1997-05-22,5.75,5.75,5.375,5.625,42700,0.0,0.0
1997-05-23,5.5,5.625,5.375,5.5,18200,0.0,0.0
1997-05-27,5.375,5.75,5.375,5.625,52700,0.0,0.0
1997-05-28,5.625,6.5,5.625,5.875,105500,0.01,6.25
1997-05-29,6.125,6.125,5.875,6.0,6700,0.0,0.0
1997-05-30,5.75,5.875,5.5,5.687,51100,0.0,0.0
1997-06-02,5.5,5.875,5.5,5.75,31900,0.0,0.0
1997-06-03,5.625,6.0,5.625,6.0,38500,0.0,0.0
1997-06-04,6.0,6.0,5.75,5.75,32300,0.0,0.0
1997-06-05,6.0,6.0,5.5,5.625,129200,-0.01,-5.88
1997-06-06,5.5,5.625,5.5,5.625,23400,0.0,0.0
1997-06-09,5.562,5.75,5.562,5.75,29100,0.01,6.25
1997-06-10,5.625,6.0,5.625,5.812,124700,0.0,0.0
1997-06-11,6.0,6.125,5.875,6.062,42800,0.01,5.88
1997-06-12,6.0,6.25,5.875,5.875,123800,-0.01,-5.56
1997-06-13,6.125,6.375,5.875,6.062,64700,0.01,5.88
1997-06-16,6.375,6.375,6.125,6.125,5700,0.0,0.0
1997-06-17,6.375,6.625,6.125,6.375,114200,0.0,0.0
1997-06-18,6.375,7.125,6.375,6.875,319900,0.02,11.11
1997-06-19,6.875,7.062,6.75,6.937,61300,0.0,0.0
1997-06-20,7.125,7.125,6.875,6.875,22800,0.0,0.0
1997-06-23,6.875,7.125,6.875,7.0,60300,0.0,0.0
1997-06-24,6.875,7.125,6.875,6.875,29200,0.0,0.0
1997-06-25,6.875,7.5,6.875,7.125,386500,0.01,5.0
1997-06-26,7.375,7.375,6.875,7.078,143500,0.0,0.0
1997-06-27,7.25,7.375,7.0,7.375,48400,0.0,0.0
1997-06-30,7.25,7.75,7.125,7.75,133000,0.02,9.52
1997-07-01,7.75,7.75,7.125,7.125,84800,-0.02,-8.7
1997-07-02,7.25,7.5,7.125,7.5,65800,0.01,4.76
1997-07-03,7.5,7.5,7.25,7.375,18000,-0.01,-4.55
1997-07-07,7.375,7.5,7.25,7.25,19400,0.0,0.0
1997-07-08,7.25,7.625,7.25,7.625,52100,0.01,4.76
1997-07-09,7.375,7.625,7.375,7.625,33100,0.0,0.0
1997-07-10,7.375,7.625,7.375,7.375,114900,-0.01,-4.55
1997-07-11,7.375,7.625,7.25,7.25,60900,0.0,0.0
1997-07-14,7.375,7.5,7.125,7.5,43000,0.01,4.76
1997-07-15,7.25,7.625,7.0,7.25,113300,-0.01,-4.55
1997-07-16,7.0,7.5,7.0,7.375,192000,0.0,0.0
1997-07-17,7.125,8.375,7.125,8.375,228900,0.03,14.29
1997-07-18,8.0,9.0,8.0,8.5,213800,0.01,4.17
1997-07-21,8.5,8.5,8.25,8.25,58000,-0.01,-4.0
1997-07-22,8.375,8.625,7.0,8.125,393200,0.0,0.0
1997-07-23,8.5,8.5,8.0,8.0,127600,-0.01,-4.17
1997-07-24,8.25,8.625,7.625,8.25,114100,0.01,4.35
1997-07-25,8.25,8.375,7.875,8.25,42600,0.0,0.0
1997-07-28,8.0,8.125,7.625,7.75,49500,-0.01,-4.17
1997-07-29,7.625,8.125,7.625,8.125,59100,0.01,4.35
1997-07-30,7.875,8.125,7.75,8.0,48500,-0.01,-4.17
1997-07-31,7.75,8.0,7.75,7.75,10400,0.0,0.0
1997-08-01,7.75,8.25,7.75,8.062,111400,0.0,0.0
1997-08-04,8.375,8.625,8.125,8.25,86500,0.01,4.35
1997-08-05,8.5,8.875,8.375,8.5,251700,0.01,4.17
1997-08-06,8.75,9.25,8.5,8.75,179900,0.0,0.0
1997-08-07,9.125,9.625,8.875,9.125,238400,0.01,4.0
1997-08-08,9.125,9.5,8.875,9.5,132200,0.02,7.69
1997-08-11,9.5,9.5,9.0,9.0,48600,-0.02,-7.14
1997-08-12,9.25,9.25,9.0,9.0,21000,0.0,0.0
