日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2015-02-03,39.0,40.0,39.0,40.0,24710,,
2015-02-04,50.0,50.0,41.0,41.0,782,1.0,2.5
2015-02-05,42.0,42.0,42.0,42.0,409,1.0,2.44
2015-02-06,48.0,48.0,43.0,43.0,940,1.0,2.38
2015-02-09,45.0,45.0,41.5,43.97,151400,0.97,2.26
2015-02-10,46.95,46.95,45.999,46.0,596,2.03,4.62
2015-02-11,46.491,46.999,45.46,46.95,1999,0.95,2.07
2015-02-12,46.95,46.95,43.48,43.907,150407,-3.04,-6.48
2015-02-13,43.7,46.0,43.7,46.0,2455,2.09,4.77
2015-02-17,45.92,56.0,45.92,54.0,6206,8.0,17.39
2015-02-18,54.0,56.0,52.94,55.0,31099,1.0,1.85
2015-02-19,54.0,54.0,50.08,52.67,37431,-2.33,-4.24
2015-02-20,54.0,55.0,53.8,55.0,7271,2.33,4.42
2015-02-23,54.74,55.0,54.0,54.0,1136,-1.0,-1.82
2015-02-24,55.0,55.0,53.5,53.79,29062,-0.21,-0.39
2015-02-25,53.41,53.79,51.785,52.64,10841,-1.15,-2.14
2015-02-26,56.0,56.0,53.96,54.5,900,1.86,3.53
2015-02-27,54.37,54.37,53.08,54.0,6500,-0.5,-0.92
2015-03-02,52.5,53.5,50.91,50.99,12064,-3.01,-5.57
2015-03-03,50.05,50.85,49.61,50.27,15846,-0.72,-1.41
2015-03-04,50.5,51.375,49.5,50.0,18319,-0.27,-0.54
2015-03-05,53.0,53.0,47.7,48.37,2274,-1.63,-3.26
2015-03-06,48.499,50.0,46.45,50.0,4707,1.63,3.37
2015-03-09,48.75,50.0,48.75,50.0,19902,0.0,0.0
2015-03-10,50.0,50.0,46.39,46.93,13102,-3.07,-6.14
2015-03-11,50.0,50.0,48.0,48.49,10898,1.56,3.32
2015-03-12,49.46,49.48,48.37,49.0,9467,0.51,1.05
2015-03-13,49.0,49.0,46.5,47.0,18105,-2.0,-4.08
2015-03-16,46.95,47.0,45.02,45.47,20580,-1.53,-3.26
2015-03-17,45.98,46.96,44.52,45.0,421659,-0.47,-1.03
2015-03-18,46.0,48.84,44.26,44.99,27862,-0.01,-0.02
2015-03-19,46.77,47.0,39.06,45.0,172006,0.01,0.02
2015-03-20,45.21,48.9,45.01,48.29,234935,3.29,7.31
2015-03-23,50.0,50.0,46.35,49.9,5057,1.61,3.33
2015-03-24,47.94,50.0,47.94,50.0,9890,0.1,0.2
2015-03-25,49.91,50.0,49.64,49.69,5594,-0.31,-0.62
2015-03-26,49.0,49.0,47.0,48.25,2805,-1.44,-2.9
2015-03-27,45.48,48.34,45.48,48.34,5126,0.09,0.19
2015-03-30,48.03,49.99,47.75,49.99,8676,1.65,3.41
2015-03-31,49.0,50.0,47.968,50.0,9130,0.01,0.02
2015-04-01,48.85,49.99,48.64,49.99,1346,0.01,0.02
2015-04-02,49.8,49.8,49.5,49.5,665,,
2015-04-06,49.75,49.99,47.7,49.99,5225,,
2015-04-07,49.93,50.0,49.41,50.0,6482,,
2015-04-08,49.05,50.0,49.05,49.99,2284,-0.01,-0.02
2015-04-09,50.0,50.0,49.92,50.0,8586,,
2015-04-10,50.0,50.0,49.91,50.0,3023,,
2015-04-13,50.0,50.0,48.78,48.81,11249,-1.19,-2.38
2015-04-14,48.9,49.0,48.14,48.99,7952,0.18,0.37
2015-04-15,48.66,49.99,48.66,49.99,7554,1.0,2.04
2015-04-16,49.12,50.75,49.0,50.0,16518,0.01,0.02
2015-04-17,49.98,49.98,48.8,49.5,18962,-0.5,-1.0
2015-04-20,49.89,49.93,49.3,49.8,20385,0.3,0.61
2015-04-21,49.8,51.799,49.59,50.27,17867,0.47,0.94
2015-04-22,49.9,50.27,49.76,50.06,9654,-0.21,-0.42
2015-04-23,50.15,50.98,49.27,50.68,10632,0.62,1.24
2015-04-24,49.97,56.0,48.81,52.96,6606,2.28,4.5
2015-04-27,50.9,50.97,50.23,50.23,16891,-2.73,-5.15
2015-04-28,49.86,49.86,49.0,49.41,5657,-0.82,-1.63
2015-04-29,49.41,49.49,48.81,49.2,4090,-0.21,-0.43
2015-04-30,48.81,49.5,48.81,49.445,7474,0.25,0.5
2015-05-01,49.5,49.5,49.16,49.16,2621,-0.29,-0.58
2015-05-04,49.0,49.5,48.95,49.5,98375,0.34,0.69
2015-05-05,49.5,51.2,49.12,50.0,21432,0.5,1.01
2015-05-06,50.22,50.22,48.82,50.0,12107,0.0,0.0
2015-05-07,49.7,50.0,49.35,49.35,27313,-0.65,-1.3
2015-05-08,49.9,49.9,48.01,48.39,17660,-0.96,-1.95
2015-05-11,48.0,48.0,43.121,43.88,65616,-4.51,-9.32
2015-05-12,42.61,43.01,41.26,41.45,105502,-2.43,-5.54
2015-05-13,41.5,44.27,40.92,44.11,404258,2.66,6.42
2015-05-14,42.66,44.68,42.66,44.51,64403,0.4,0.91
2015-05-15,43.1,45.49,43.05,44.98,58160,0.47,1.06
2015-05-18,45.01,45.57,44.17,45.26,37162,0.28,0.62
2015-05-19,45.5,45.5,44.9,45.5,32473,0.24,0.53
2015-05-20,45.52,49.99,45.39,48.78,117804,3.28,7.21
2015-05-21,48.79,49.74,48.007,48.5,56698,-0.28,-0.57
2015-05-22,48.5,48.99,47.6,47.6,48043,-0.9,-1.86
2015-05-26,48.26,48.26,47.15,47.6,32861,0.0,0.0
2015-05-27,48.0,48.0,46.755,46.83,64520,-0.77,-1.62
2015-05-28,46.59,47.52,46.59,46.92,37842,0.09,0.19
2015-05-29,46.66,47.5,46.66,47.34,52969,0.42,0.9
2015-06-01,46.98,48.02,46.98,47.57,40468,0.23,0.49
2015-06-02,47.64,47.64,46.88,47.29,41203,-0.28,-0.59
2015-06-03,47.25,47.62,46.82,47.1,34699,-0.19,-0.4
2015-06-04,47.36,47.81,47.01,47.11,26862,0.01,0.02
2015-06-05,46.86,47.56,46.73,47.49,21597,0.38,0.81
2015-06-08,47.21,47.51,46.41,47.3,26491,-0.19,-0.4
2015-06-09,47.0,47.42,46.16,46.36,30298,-0.94,-1.99
2015-06-10,46.52,47.01,43.0,45.03,83495,-1.33,-2.87
2015-06-11,45.35,45.35,44.01,44.1,36555,-0.93,-2.07
2015-06-12,43.95,45.0,43.95,44.25,48138,0.15,0.34
2015-06-15,43.85,44.96,43.68,44.42,52327,0.17,0.38
2015-06-16,44.36,44.98,43.42,44.25,55362,-0.17,-0.38
2015-06-17,44.75,45.99,43.87,44.97,92222,0.72,1.63
2015-06-18,45.25,45.27,43.67,45.24,77422,0.27,0.6
2015-06-19,44.85,45.63,43.625,43.85,164824,-1.39,-3.07
2015-06-22,44.4,44.56,42.47,43.03,100375,-0.82,-1.87
2015-06-23,42.81,44.6,41.92,42.5,113058,-0.53,-1.23
2015-06-24,43.92,43.95,40.84,42.52,99173,0.02,0.05
2015-06-25,42.26,43.69,41.795,43.41,102573,0.89,2.09
2015-06-26,43.25,44.71,41.5,42.84,1839821,-0.57,-1.31
2015-06-29,42.5,43.81,41.05,43.43,104870,0.59,1.38
2015-06-30,43.924,44.0,41.39,42.13,57228,-1.3,-2.99
2015-07-01,43.16,43.16,39.72,40.3,87342,-1.83,-4.34
2015-07-02,40.65,41.32,38.53,38.8,101119,-1.5,-3.72
2015-07-06,38.41,39.559,36.33,37.8,87898,-1.0,-2.58
2015-07-07,37.16,38.2,36.023,36.3,96953,-1.5,-3.97
