日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-07-15,26.7013,27.1113,26.2245,26.5392,6715524,-0.1629,-0.61
2021-07-16,26.7013,26.7966,26.4629,26.6536,708107,0.1141,0.43
2021-07-19,26.5106,26.6441,25.2804,25.8907,860920,-0.7623,-2.86
2021-07-20,25.8812,26.9397,25.8812,26.749,517774,0.857,3.31
2021-07-21,26.9111,26.9111,26.1219,26.7013,1852891,-0.0477,-0.1783
2021-07-22,26.5868,26.7394,26.2531,26.4343,491869,-0.267,-1.0
2021-07-23,26.4247,26.7871,26.3198,26.7299,112414,0.2956,1.1183
2021-07-26,26.5678,26.892,26.3025,26.7013,147286,-0.0286,-0.107
2021-07-27,26.5773,26.7871,26.3661,26.749,178550,0.0481,0.18
2021-07-28,26.7108,26.8443,26.2245,26.4343,199447,-0.3147,-1.1765
2021-07-29,26.4152,26.8157,26.4152,26.5964,448373,0.1621,0.6133
2021-07-30,26.4152,26.9301,26.2817,26.7013,300983,0.1049,0.3944
2021-08-02,26.7013,26.9015,26.4629,26.768,257822,0.0668,0.25
2021-08-03,26.9206,26.9206,26.4819,26.6536,188512,-0.1144,-0.4275
2021-08-04,26.4629,26.9397,26.4629,26.7013,132288,0.0477,0.1789
2021-08-05,26.8825,27.1256,26.7013,26.9874,506862,0.2861,1.0714
2021-08-06,27.1209,28.3367,26.9397,28.2175,447966,1.2302,4.5583
2021-08-09,28.084,28.8278,27.941,28.6848,420421,0.4673,1.656
2021-08-10,28.7229,29.6861,28.6133,28.8374,402171,0.1526,0.5319
2021-08-11,28.9137,29.257,28.7706,29.133,301808,0.297,1.03
2021-08-12,29.2093,29.4,28.7992,28.8946,154550,-0.2384,-0.8183
2021-08-13,28.8088,29.448,28.5704,28.742,171560,-0.0715,-0.2482
2021-08-16,28.6562,28.7854,28.1889,28.4369,222660,-0.3052,-1.0617
2021-08-17,28.4941,28.4941,27.8552,28.2557,135331,-0.1812,-0.6372
2021-08-18,28.3034,28.9804,28.1889,28.2843,303570,0.0286,0.1012
2021-08-19,28.208,28.6085,27.8838,28.4941,179092,0.2098,0.7417
2021-08-20,28.5608,29.0758,28.3892,28.866,186792,0.3719,1.3052
2021-08-23,29.0567,29.0567,28.2938,28.3892,273611,-0.4768,-1.6518
2021-08-24,28.4178,28.8422,28.2461,28.6848,79288,0.2956,1.0413
2021-08-25,28.7134,29.2951,28.6181,28.8946,159617,0.2098,0.7314
2021-08-26,28.866,29.2188,28.3321,28.8851,172780,-0.0095,-0.033
2021-08-27,28.9804,29.1807,27.7693,28.7325,344666,-0.1526,-0.5282
2021-08-30,28.8851,29.0949,28.1317,28.8374,155667,0.1063,0.37
2021-08-31,29.1425,29.35,28.5894,28.6657,302643,-0.173,-0.6
2021-09-01,28.6657,29.4572,28.4321,28.5608,313711,-0.1061,-0.37
2021-09-02,28.5322,28.8851,28.475,28.7229,181012,0.1628,0.57
2021-09-03,28.7134,28.8374,28.4083,28.7325,224594,0.0086,0.03
2021-09-07,28.7325,29.4382,28.3129,28.4178,302968,-0.3147,-1.0953
2021-09-08,28.2366,28.4845,28.0173,28.3415,288892,-0.0767,-0.27
2021-09-09,28.3415,28.5322,27.7598,27.817,539858,-0.5245,-1.8506
2021-09-10,27.7598,28.1222,27.3307,27.55,109950,-0.267,-0.96
2021-09-13,27.55,28.0745,27.5214,27.9124,196949,0.3636,1.32
2021-09-14,27.9601,28.1508,27.693,28.0936,118080,0.2623,0.9423
